title,subtitle,author,article_content
Athletico pega o Flamengo e tenta quebrar jejum de dois meses sem vencer no Brasileirão,"Último triunfo na competição foi contra o Cuiabá, em julho; rubro-negros duelam às 20h deste domingo, no Maracanã, pela 28ª rodada",Redação do ge,"O Athletico entra em campo na noite deste domingo para enfrentar o Flamengo, no Maracanã, em busca de reabilitação. O Furacão completou dois meses sem vitórias no último sábado e viu a distância para a zona do rebaixamento cair para três pontos.
O último triunfo foi no final de julho, contra o Cuiabá, fora de casa. Desde então, foram sete jogos, com quatro derrotas e três empates.
Com 31 pontos somados, o Athletico ocupa a 15ª posição do Campeonato Brasileiro, com três de vantagem em relação ao Corinthians, primeiro time da zona.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
+ Siga o GEPR no Facebook
O jogo deste domingo será o segundo do técnico Lucho González no comando da equipe. O argentino foi o escolhido para substituir Martín Varini, demitido na última segunda. Na estreia de Lucho, o time foi goleado por 4 a 1 pelo Racing e se despediu da Sul-Americana.
O treinador não poderá contar com o volante Gabriel, suspenso, e deve promover outras mudanças por opção. Nomes como Madson, Christian e Pablo podem aparecer entre os titulares.


+ Estatísticas, contratações... confira tudo sobre o Athletico
O jogo é válido pela 28ª rodada da Série A. A partida está marcada para começar às 20h (de Brasília) e o ge acompanha em tempo real.
Mais notícias do esporte paranaense em ge.globo/pr"
Racing 4x1 Athletico: assista aos gols e melhores momentos do jogo da Sul-Americana,"Furacão leva gol aos 17 segundos, vê time argentino abrir 3 a 0 antes do intervalo e acaba eliminado nas quartas de final da Sul-Americana",Redação do ge,"O Athletico perdeu por 4 a 1 para o Racing, nesta quinta-feira, no estádio El Cilindro, em Buenos Aires, pelo jogo de volta das quartas de final. O Furacão tinha a vantagem pelo 1 a 0 no jogo de ida, mas o time argentino abriu o placar com 17 segundos, em golaço de Almendra, e Adrián Martínez e Roger Martínez ampliaram antes do intervalo. Nikão descontou no início do segundo tempo, mas Martirena fechou a goleada e a eliminação do Athletico.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
Com 17 segundos, Almendra acertou uma bomba no ângulo e abriu o placar para o Racing. Foi o sinal do que seria o primeiro tempo, com o time argentino dominando. O segundo gol saiu aos 22, com Adrián Martínez, que aproveitou o passe de Roger Martínez no meio da área.
O Athletico pouco ameaçou, em chutes de Canobbio e Leo Godoy para fora. O Racing fez o terceiro aos 41, com Roger Martínez, após contra-ataque. Resultado que vai eliminando o Furacão nas quartas de final da Sul-Americana.
O Athletico voltou para o segundo tempo com três mudanças, e uma delas foi precisa. No primeiro toque na bola, Nikão aproveitou o lançamento de Canobbio, tirou do goleiro e descontou, com um minuto. O gol animou o Furacão, que ficou mais no ataque, porém sem levar perigo. Aos 14, Pablo chutou fraco, e Arias pegou.
Só que a reação esfriou de vez aos 31. Martirena pegou a sobra fora da área, chutou forte e fez o quarto do Racing. Nos minutos finais, Di Yorio cabeceou em cima do goleiro, e Christian teve um gol anulado por impedimento. Nada que mudasse o placar e a eliminação do Athletico.
+ Siga o GEPR no Facebook
+ Estatísticas, contratações... confira tudo sobre o Athletico
O Furacão agora tem apenas o Campeonato Brasileiro pela frente, onde busca uma reação - é o 15º, três pontos acima da zona de rebaixamento. O próximo jogo será contra o Flamengo, no domingo, às 20h, no Maracanã.
Mais notícias do esporte paranaense em ge.globo/pr"
"Athletico perde Christian, mas Gabriel retorna contra o Botafogo","Volante fica à disposição após cumprir suspensão na última rodada; Furacão recebe o time carioca na tarde de sábado, na Arena",Heitor Machado,"O Athletico terá pelo menos um desfalque para a partida do próximo sábado, contra o Botafogo, na Ligga Arena. O volante Christian, suspenso pelo terceiro cartão amarelo, não enfrenta o time carioca.
O jogador foi advertido aos 34 minutos do jogo do último domingo, contra o Flamengo, no Maracanã. Como estava pendurado, cumpre suspensão automática na próxima rodada.
Por outro lado, o volante Gabriel volta a ficar à disposição da comissão técnica. O jogador cumpriu suspensão no Maracanã e retorna ao time.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
+ Siga o GEPR no Facebook
O Athletico desembarcou na capital paranaense no fim da manhã desta segunda-feira. Os jogadores foram liberados e se reapresentam na terça, no CT do Caju, para dar início a preparação.
Na chegada do ônibus ao CT, inclusive, alguns torcedores protestaram por conta dos resultados recentes. O Furacão chegou ao oitavo jogo sem vitórias no Campeonato Brasileiro.
O jogo é válido pela 29ª rodada e está marcado para começar às 16h30 (de Brasília), na Baixada. O ge acompanha em tempo real.
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
"Estatísticas do Athletico em 2024: veja artilheiros, assistências, resultados e próximos jogos","ge reúne as principais estatísticas do Furacão na temporada 2024, como ranking de artilheiros, número de assistências, aproveitamento, resultados e próximos jogos",Redação do ge,"O ge reúne os números do Athletico na temporada 2024. Você pode ver o ranking de artilheiros, o número de assistências, a agenda com os próximos compromissos e as fichas de todos os jogos até agora. Os dados serão atualizados a cada partida do Furacão no ano.
Na temporada: 32 vitórias, 12 empates e 17 derrotas em 61 jogos, com 95 gols marcados e 55 gols sofridos.
No Paranaense: 12 vitórias, 4 empates e 1 derrota em 17 jogos, com 30 gols marcados e 7 gols sofridos.
Na Copa Sul-Americana: 8 vitórias, 1 empate e 3 derrotas em 12 jogos, com 26 gols marcados e 12 gols sofridos.
No Brasileiro: 8 vitórias, 7 empate e 10 derrotas em 26 jogos, com 27 gols marcados e 30 sofridos.
Copa do Brasil: 4 vitórias e 2 derrotas em 6 jogos, com 12 gols marcado e 7 sofridos.






*Gol contra: Léo Assumpção (PSTC)














Mais notícias do esporte paranaense em ge.globo/pr"
Promessa do Athletico assina primeiro contrato profissional com multa de R$ 360 milhões,Meia Gustavo Gomes tem apenas 16 anos e chegou ao Furacão no final de 2018; vínculo vai até setembro de 2029,Redação do ge,"O meia Gustavo Gomes, do Athletico, assinou o primeiro contrato profissional da carreira. O vínculo vai até setembro de 2029 e a multa rescisória é de cerca de R$ 364 milhões.
Gustavo é um dos destaques da geração 2008 do Furacão e foi convocado recentemente para o Campeonato Sul-Americano da categoria, mas foi cortado nesta segunda-feira por conta de uma lesão no tornozelo durante um dos treinos de preparação na Granja Comary.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
+ Siga o GEPR no Facebook
Gustavo é natural de Brasília (DF) e chegou ao CT do Caju em dezembro de 2018. Ele defende o time sub-17 do Furacão atualmente.
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
Athletico tira da camisa a marca de patrocinador master investigado em operação e suspende contrato,Furacão vai jogar contra o Botafogo sem a bet Esportes da Sorte na camisa; entenda,Raylane Martins,"O Athletico suspendeu o contrato de patrocínio com a empresa Esportes da Sorte e solicitou a interrupção imediata da exposição da marca junto ao clube. A operação ""Integration"" investigou plataformas de aposta online que patrocinam clubes de futebol brasileiros, e a bet que era patrocinadora master do Furacão não ficou na lista de casas de apostas liberadas para atuar no Brasil.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
O departamento jurídico do Athletico notificou a empresa patrocinadora, amparado por prerrogativas contratuais e legais, e pediu esclarecimentos sobre a regularidade da operação diante das informações divulgadas pelo Ministério da Fazenda.
O contrato entre Athletico e Esportes da Sorte, anunciado no ano passado como o maior patrocínio master da história do clube, vale por três anos. O investimento fecha em cerca de R$ 50 milhões.
O Athletico entra em campo no domingo, contra o Botafogo, pela 29ª rodada do Brasileirão, sem Esportes da Sorte na camisa.
+ Siga o GEPR no Facebook


O Club Athletico Paranaense informa que notificou a empresa patrocinadora “Esportes da Sorte” da imediata suspensão da execução e exposição de sua marca junto ao Club, com base em prerrogativa contratual e legal, assim como solicitou em prazo determinado que preste esclarecimentos sobre a regularidade de sua operação diante dos fatos recentemente noticiados.
Esta decisão, além de outros fatores envolvidos, decorre da informação divulgada pelo Ministério da Fazenda (SPA/MF) de que as casas de apostas não listadas para operar no Brasil até o final do ano (caso da “Esportes da Sorte”) são consideradas ilegais e seus sites só ficam no ar até 10/10 para que apostadores resgatem valores depositados.
+ Sites de apostas representam 68% dos patrocínios masters dos clubes das Séries A, B e C do Brasileiro


A operação ""Integration"", da Polícia Civil de Pernambuco, apura um suposto esquema de lavagem de dinheiro proveniente de jogo do bicho e jogos de azar na internet, operado por casas de apostas online. Foram expedidos 19 mandados de prisão e 24 de busca e apreensão em cinco estado do país.
+ Esportes da Sorte é uma das 'bets' investigadas em esquema de lavagem de dinheiro e jogos ilegais que apreendeu R$ 2,1 bilhões
Além do Athletico, a Esportes da Sorte patrocinava Corinthians, Bahia e Grêmio, da Série A, Ceará, da Série B, além de Náutico, da Série C, Santa Cruz, sem divisão em 2024, e do time feminino do Palmeiras. Desses, a empresa só não estampava a parte frontal da camisa (como patrocinadora mster) do Grêmio.
Por meio de nota, a Esportes da Sorte disse que ""ratifica seu compromisso com a verdade, com o jogo responsável e, principalmente, com o cumprimento de todos os seus deveres legais"".
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
Athletico tem sequência contra postulantes ao título e rivais diretos na luta contra o Z4,"Furacão visita o Flamengo neste domingo, no Maracanã, e recebe o líder Botafogo na próxima semana; dos próximos cinco jogos, três serão na Baixada",Heitor Machado,"Eliminado pelo Racing na Copa Sul-Americana, o Athletico virou a chave para o Campeonato Brasileiro. Sem vencer há sete rodadas, o Furacão busca reabilitação e terá pela frente adversários que vivem momentos distintos na competição.
Dos próximos três rivais do Furacão, dois brigam na parte de cima da tabela (Flamengo e Botafogo) e outro está atualmente na zona do rebaixamento (Corinthians). A distância do Athletico para o time paulista, inclusive, caiu para três pontos na última rodada.
Na sequência, o Rubro-Negro recebe o Cruzeiro, na Arena, e faz mais um confronto direto, também dentro de casa, contra o Vitória — dos próximos cinco jogos, três serão na Baixada.




🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
+ Siga o GEPR no Facebook
Com duas partidas atrasadas (Fluminense e Atlético-MG), é possível que o calendário do Athletico sofra alterações. A CBF cogita marcar os dois jogos para a próxima Data Fifa, de 7 a 15 de outubro. Neste caso, o Furacão enfrentaria Flu e Galo após o jogo do Botafogo, marcado para o dia 5 de outubro.
Com 31 pontos somados, o Athletico ocupa a 15ª posição do Campeonato Brasileiro, com três de vantagem em relação ao Corinthians, primeiro time da zona.
O Furacão completa neste sábado dois meses sem vitórias na Série A. O último triunfo foi no final de julho, contra o Cuiabá, fora de casa. Desde então, foram sete jogos, com quatro derrotas e três empates.
O jogo deste domingo, contra o Flamengo, no Maracanã, é válido pela 28ª rodada e está marcado para começar às 20h (de Brasília). O ge acompanha em tempo real.
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
Athletico lança camisa em apoio ao Outubro Rosa; veja fotos e preços,"Modelos são vendidos nas lojas física e online do Furacão; preços variam de R$ 199,90 a R$ 299,90",Raylane Martins,"O Athletico lançou a camisa em homenagem ao Outubro Rosa nesta terça-feira. Esse é o quinto ano consecutivo que o clube rubro-negro lança material especial no movimento internacional de conscientização para o controle do câncer de mama.
Os seis clubes patrocinados pela Umbro no Brasil – Athletico, Chapecoense, Grêmio, Fluminense, Santos e Sport Recife – vão lançar a coleção de Outubro Rosa com camisas em tons de rosa mais claro e o mesmo layout, com estampas que apresentam leves grafismos e gola V.
As camisas começaram a ser vendidas nas lojas online e física do Furacão. Os preços são os mesmos da última edição: R$ 299,90 (masculino), R$ 269,90 (feminino), R$ 239,90 (juvenil) e R$ 199,90 (infantil).
LEIA MAIS
+ Athletico enfrenta seca de gols de centroavantes
+ Promessa do Athletico assina contrato com multa de milhões
Em parceria com a Federação Brasileira de Instituições Filantrópicas de Apoio à Saúde da Mama (FEMAMA), parte das vendas líquidas serão destinadas para a instituição.
— Queremos ampliar cada vez mais o diálogo sobre o câncer de mama, levando informação para diferentes segmentos da sociedade - disse a Dra. Maira Caleffi, mastologista e Presidente Fundadora da FEMAMA, ao site do Athletico.
Estudos revelam que o diagnóstico precoce do câncer de mama oferece até 95% de chances de cura. Contudo, apenas 46,2% das mulheres realizam o exame uma vez ao ano, e 27% nunca o fizeram.




O Athletico volta a campo contra o Botafogo no sábado, às 16h30, na Ligga Arena, pela 29ª rodada do Campeonato Brasileiro. O Furacão ocupa a 15ª posição, com 31 pontos.
Mais notícias do esporte paranaense em ge.globo/pr"
Ônibus do Athletico chega ao CT do Caju com protesto de torcedores após derrota para o Flamengo,"Grupo criticou jogadores na chegada a Curitiba, após derrota no Rio de Janeiro pelo Brasileirão",Raylane Martins,"Um grupo de torcedores recepcionou com protestos os jogadores do Athletico no retorno a Curitiba, na manhã desta segunda-feira, após a derrota por 1 a 0 para o Flamengo, no Rio de Janeiro. O vídeo que circula nas redes sociais mostra os torcedores em frente ao CT do Caju no momento que o ônibus do clube chega.
O protesto foi pacífico e teve a presença de policiais militares. Nem todos os jogadores estavam no ônibus, porque o elenco tem folga nesta segunda-feira. Alguns atletas podem ter ficado no Rio de Janeiro ou desembarcado antes da chegada ao CT.
VEJA TAMBÉM:
+ Estatísticas do Athletico em 2024
+ Análise: Athletico em queda livre coloca em risco centenário
A derrota para o Flamengo foi o oitavo resultado ruim seguido no Campeonato Brasileiro. Sem vencer desde o dia 28 de julho, o Furacão acumula uma sequência de cinco derrotas e três empates.
Salvo pelos demais resultados da rodada, o Athletico segue em 15º, com 31 pontos. O Corinthians, primeiro time do Z4, tem 28.
O Furacão volta a campo no sábado para enfrentar o Botafogo em casa. Lucho González vai estrear como técnico na Ligga Arena buscando sua primeira vitória depois da eliminação para o Racing pela Copa Sul-Americana, e da derrota para o Flamengo no Maracanã.
Mais notícias do esporte paranaense em ge.globo/pr"
Análise: Athletico é presa fácil na Sula e terá fim de ano melancólico com luta contra o rebaixamento,Furacão é atropelado pelo Racing e se despede do torneio continental,Heitor Machado,"O Athletico do ""feijão com arroz"" resistiu por 17 segundos. Se a ideia com a troca no comando técnico era simplificar, abrir mão de um jogo mais elaborado e defender melhor, não funcionou.
O golaço de Almendra no primeiro lance do jogo, obviamente, foge do controle. Mérito total do meio-campista argentino em chute de extrema felicidade. O gol no início atrapalhou (tática e psicologicamente), mas o Athletico não se ajudou.
O Racing atropelou nos primeiros 45 minutos e encaminhou a classificação. Roger Martínez e Adrián Martínez, contando com generosa contribuição do sistema defensivo atleticano, ampliaram antes do intervalo.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
+ Siga o GEPR no Facebook
Lucho optou por escalar Léo Godoy na lateral e devolveu Erick ao setor de meio de campo. O camisa 26 formou dupla com Gabriel, com Cuello, Canobbio e Mastriani no ataque.
A bola circulou com pouca qualidade no meio e praticamente não chegou ao ataque. A única boa chance foi de Canobbio, em bonito lançamento de Kaique Rocha.
Com o 3 a 0 no placar, Lucho promoveu três mudanças no intervalo: Nikão, Christian e Pablo entraram nas vagas de Godoy, Erick e Mastriani — se na coletiva de última semana o ex-técnico Martín Varini se esquivou quando questionado sobre a opção por Erick na lateral em detrimento de Godoy, o lateral argentino fez questão de explicar nos primeiros 45 minutos.
+ Atuações: Gabriel e Léo Godoy são os piores em noite trágica
+ Mais notícias do Athletico
No primeiro lance de ataque da etapa final, Canobbio encontrou Nikão na área e o meio-campista descontou. O Athletico ensaiou tímida reação, rapidamente controlada pelo Racing. Martirena, de fora, emendou mais um golaço para os donos da casa e decretou a classificação alviceleste.
Simbólico que a eliminação incontestável aconteça justamente na estreia do quarto treinador da temporada. O Athletico paga a conta de um ano confuso. De quem flertou com Domènec Torrent e sonhou com Fernando Diniz, passou por Osorio, Cuca e dobrou a aposta em um jovem uruguaio de 33 anos.
Com dois meses para o fim da temporada e a ameaça real de rebaixamento, recorre ao mesmo expediente de anos anteriores, liderado novamente por Paulo Autuori, com Lucho González na linha de frente.
+ Estatísticas, contratações... confira tudo sobre o Athletico
O Athletico abusou dos erros na janela do início do ano e optou por não corrigi-los no meio da temporada — o elenco evidencia limitações que já estavam claras nos primeiros meses de 2024.
Com a eliminação na Sul-Americana, a prioridade absoluta passa a ser a permanência na Série A. Embora Lucho tenha minimizado o risco de queda na coletiva, o entendimento interno é que a ameaça é real.
O Athletico tem 13 jogos de Brasileiro pela frente e um débito com seu torcedor: evitar que o pior aconteça. Apertem os cintos.
Mais notícias do esporte paranaense em ge.globo/pr"
