title,subtitle,author,article_content
Campbell projeta possível duelo contra Depay no jogo de sábado,"Astro do Corinthians pode estrear contra o Atlético-GO, na Neo Química Arena; há 10 anos, costarriquenho e holandês se enfrentaram em Salvador, na Copa do Mundo do Brasil",Redação do ge,"A partida entre Atlético-GO e Corinthians, sábado, pode colocar frente a frente Joel Campbell e Memphis Depay. O astro holandês vive expectativa de estrear pelo novo clube, e o meia-atacante do Dragão projetou o que espera do jogo na Neo Química Arena, em São Paulo.
Vale lembrar que um duelo entre eles no Brasil não é inédito. Campbell e Depay se enfrentaram na Copa do Mundo de 2014, com a Holanda eliminando a Costa Rica nas quartas de final, nos pênaltis.
- Vai ser uma partida muito importante para nós. Vamos jogar muito do que signigica a temporada nessa partida. Sabemos que o Corinthians é uma equipe grande do Brasil e que estão ansiosos pela primeira partida de Memphis (Depay). Mas penso que temos que nos preocupar conosco. Em treinar bem e fazer uma boa partida, pois precisamos dos três pontos para sair da zona de rebaixamento. Perdemos três pontos contra o Vitória e temos obrigação de buscar fora agora - disse Campbell.
O costarriquenho também falou da situação delicada do Atlético-GO. O clube segue afundado na lanterna do Brasileirão e precisa de uma arrancada histórica na reta final do torneio para escapar do rebaixamento. Apesar do cenário improvável, Campbell diz que é importante continuar acreditando na permanência.
- Penso que temos que acreditar em nós mesmos. Acreditar no trabalho que fazemos. É difícil, pois a Série A é bastante difícil. São partidas muito difíceis. Mas matematicamente, há possibilidade. No futebol, qualquer coisa pode acontecer. Temos que seguir trabalho e nos reforçando, pois, se estamos vivos, temos que lutar - afirmou o jogador.
+ Jorginho passa por cirurgia e pode ser desfalque por dois meses"
Atuações do Atlético-GO: Janderson mostra disposição e decide contra o Fluminense,Atacante ajuda na defesa e ainda marca o gol da vitória rubro-negra; Hurtado praticamente não toca na bola,Redação do ge,"Janderson: Foi o autor do gol da vitória, mas não só isso. Muito voluntarioso, correu demais, recompôs na defesa e quando a chance surgiu, decidiu no ataque. Nota: 7,0
Rhaldney: Tomou conta do meio de campo. Ajudou na marcação e apareceu bem na frente. Quase marcou, mas ficou na trave. Nota: 6,5
Jean Carlos: Em sua estreia pelo time profissional, o meia de 19 anos mostrou que pode ajudar. Ele participou do lance do gol e ainda teve chance de fazer o segundo, cara a cara com Fábio, mas acabou parando no goleiro. Nota: 6,5
Hurtado: O camisa 9 até que tem disposição, mas foi peça quase nula em campo. Apesar da correria, praticamente não tocou na bola durante a partida. Nota: 4,5







"
Louzer cobra comportamento diferente do Atlético-GO contra Corinthians em ascensão,Técnico diz que time rubro-negro precisa acreditar na vitória e fazer por onde,Redação do ge,"O Atlético-GO tem pela frente no sábado o Corinthians, que vem em ascensão na Série A e também segue vivo na Sul-Americana e na Copa do Brasil. Diante desse cenário adverso, Umberto Louzer diz que o Dragão precisa, primeiramente, crer na vitória. Dito isso, ele vem trabalhando o aspecto mental da equipe e aposta em uma postura diferente em relação à derrota para o Vitória no fim de semana, em pleno Antônio Accioly.
- Sabemos o que iremos enfrentar. O Corinthians vive um momento de crescimento. Seja na competição sul-americana (Copa Sul-Americana) ou no Brasileiro, no qual também vem fazendo bons jogos. Tudo que tem sido falado e mostrado sobre estreia de atletas (Depay) nós não controlamos. Controlamos o que vamos ministrar nos treinos e no ajuste para motivar nossos atletas. Queremos ir lá e representar bem a nossa camisa. Vamos precisar ter um comportamento diferente.
Louzer reforça que não ficou satisfeito com o desempenho do Atlético-GO na última derrota e que o rendimento em campo precisa ser outro para o clube continuar sonhando com permanência.
- A primeira atitude é o desejo pela vitória. É preciso desejar e entender que temos capacidade de vencer. Depois passamos para o plano material. Ações, execuções, nossas ações, atitude e comportamento. É o que temos trabalhado. Se não acreditarmos que é possível fazer um grande jogo e conseguir a vitória, não temos nem que viajar. Nos incomodou muito nosso comportamento contra o Vitória. Então, precisamos dar uma resposta - cobra o treinador.
O duelo contra o Corinthians será na Neo Química Arena, sábado, às 16h. O Dragão é o lanterna do Brasileirão com apenas 18 pontos, enquanto o adversário paulista ocupa a 18ª posição, com 25."
Atlético-GO inicia preparação para enfrentar o Fluminense; Campbell está fora,Dragão volta a campo no próximo domingo; jogador da Costa Rica está suspenso pelo terceiro cartão amarelo,Redação do ge,"Depois de perder para o Corinthians no último sábado, o Atlético-GO iniciou nesta segunda-feira a preparação para enfrentar o Fluminense. O próximo jogo do Dragão será domingo, às 16h, no Antônio Accioly, pela 28ª rodada do Campeonato Brasileiro.
+ Veja a tabela do Brasileirão
O técnico Umberto Louzer poderá contar com o volante Roni, que não enfrentou o Corinthians por questões contratuais – ele pertence ao time paulista e está emprestado ao Atlético-GO. Por outro lado, o costarriquenho Joel Campbell recebeu o terceiro cartão amarelo e está suspenso.
Resta saber se o goleiro Ronaldo terá condições de jogo. Ele foi vetado da última partida porque sentiu um desconforto muscular antes do embarque para o duelo contra o Corinthians. Pedro Rangel foi o titular.
O Atlético-GO é o lanterna do Campeonato Brasileiro, com apenas 18 pontos, e está próximo do rebaixamento. O Dragão tem 10 pontos a menos que o Vitória, primeiro time fora do Z-4. O Fluminense, próximo adversário, também faz campanha ruim e está em 18ª, com 27 pontos."
Jorginho passa por cirurgia e desfalca o Atlético-GO por até dois meses,Meia volta a sentir o tendão de Aquiles e é afastado dos gramados; diretoria vê jogador com bons olhos para o ano que vem,Redação do ge,"O meia Jorginho voltou a sentir uma lesão no tendão de Aquiles e vai desfalcar o Atlético-GO pelo período de seis a oito semanas. Ele passou por uma cirurgia na última segunda-feira.
+ Veja a tabela da Série A
Jorginho sofreu a lesão ainda quando jogava no CRB, seu último clube antes do retorno ao Dragão. O meia participou de três jogos no Campeonato Brasileiro, incluindo as vitórias sobre Internacional e Juventude.
Jorginho tem 33 anos e está em sua quinta passagem pelo Atlético-GO. Apesar da lesão, a diretoria rubro-negra vê o jogador com bons olhos para a Série B do ano que vem. O contrato dele com o clube é até o fim de 2025.
O Dragão é o lanterna do Campeonato Brasileiro, com 18 pontos, e tem poucas chances de escapar do rebaixamento."
"Alix fala sobre lesão e ainda vê chance do Atlético-GO escapar do rebaixamento: ""Nada perdido""","Apesar de situação quase irreversível, zagueiro ainda crê em permanência do Dragão na Série A",Redação do ge,"A situação é complicada, quase que irreversível. Na lanterna isolada do Brasileirão, o Atlético-GO caminha a passos largo para o rebaixamento. Com apenas 18 pontos em 27 jogos, o Dragão teria que ganhar pelo menos nove dos 11 jogos restantes para ainda sonhar com a permanência.
Mas apesar da dificuldade, o zagueiro Alix Vinícius diz que ainda acredita em uma reviravolta. O jogador afirma que somente enquanto houve possibilidades, o time vai lutar para seguir na Série A no ano que vem.
- Não tem nada perdido, (o campeonato) só acaba dia 8 de dezembro. Então, daqui até lá, vamos jogar e vamos vencer que é o mais importante para retomar nossa confiança dentro do campeonato - afirmou.
Alix também comentou sobre a lesão muscular que o tirou de oito jogos do Atlético-GO. Ele retonrou há duas rodadas: primeiro vindo do banco, contra o Vitória, e depois começando como titular, diante do Corinthians.
- Toda lesão para o jogador é difícil, estar de fora. Tive uma lesão no joelho e estava sentindo muita dor. Junto com o departamento médico, preferi esperar um pouco, tratar, para poder voltar 100% e ajudar meus companheiros - lembra."
STJD suspende Guilherme Romão e Emiliano Rodríguez por 90 dias após confusão em jogo do Atlético-GO contra o Bahia,"Os dois jogadores foram acusados de agredir o árbitro da partida; também julgado, Alix foi absolvido. Dragão vai recorrer",Redação do ge,"Lanterna isoldo da Campeonato Brasileiro e muito perto do rebaixamento, o Atlético-GO sofreu outro duro golpe para o restante da temporada. O Superior Tribunal de Justiça Desportiva (STJD) suspendeu o lateral Guilherme Romão e o atacante Emiliano Rodríguez por 90 dias. Ambos foram punidos em virtude da confusão no jogo do Atlético-GO contra o Bahia, no último dia 24 de julho. A acusação é que eles tentaram agredir o árbitro da partida (vídeo acima).
O julgamento ocorreu na tarde desa sexta-feira. O zagueiro Alix, foi absolvido das acusações. Já o Bahia foi multado em R$ 1 mil por atraso de um minuto do retorno do intervalo.
O Atlético-GO informou que vai recorrer da decisão.
O julgamento tomou por base a súmula do jogo, válido pela 19ª rodada. O Atlético-GO vencia o confronto por 1 a 0 até os 53 minutos, quando o Bahia empatou, dando origem a uma grande confusão em campo.
Os jogadores do Dragão se revoltaram com os acréscimos e partiram para cima do abritro Luciano da Silva Moreira, que relatou em súmula os problemas ocorridos em campo.
Sobre Romão, o ábritrou afirmou o seguinte: “Após revisão, expulsei por cartão vermelho direto, por conduta violenta, ao dar[1]me um empurrão pelas costas com brutalidade e força excessiva quando a partida já havia sido finalizada. Devido ao tumulto generalizado não foi possível apresentar o cartão vermelho no campo de jogo”.
Já em relação a Emiliano, o relato foi parecido: ""Após revisão, expulsei por cartão vermelho direto, por conduta violenta, ao puxar minha camisa com brutalidade e força excessiva quando a partida já havia sido finalizada. Devido ao tumulto generalizado não foi possível apresentar o cartão vermelho no campo de jogo”.
Alix também foi denunciado após ser expulso por, segundo o árbitro, ""retirar sua camisa, retardando o reinicio de jogo, causando retardo em sua saída de campo”. No entanto, ele não foi punido.
O advogado do Atlético-GO no julgamento, Filipe Oliveira, pediu a absolvição dos três atletas, mas a relatora do processo, auditora Ana Luiz Ralil, discorou. Segundo ela, ""no vídeo foi muito claro a puxada da camisa pelos atletas"".
Os auditores Delmiro Campos, José Luiz, Pedro Perdiz e o presidente Ticiano Figueiredo acompanharam na íntegra a fundamentação"
Escalação do Atlético-GO: time terá três mudanças contra o Corinthians,"Alix Vinicius, Gonzalo Freitas e Jan Hurtado são as novidades do Dragão para jogo deste sábado",Redação do ge,"Lanterna do Campeonato Brasileiro, o Atlético-GO volta a campo neste sábado, às 16h, contra o Corinthians, e o técnico Umberto Louzer fará três mudanças no time. O jogo da 27ª rodada da Série A será na Neo Química Arena, em São Paulo.
+ Veja a tabela da Série A
A primeira mudança está na zaga: Alix Vinicius entra no lugar de Philipe Sampaio. No meio-campo, Gonzalo Freitas retorna de suspensão na vaga de Shaylon. No ataque, o venezuelano Jan Hurtado entrará no lugar de Derek.
O Dragão será escalado com Ronaldo; Bruno Tubarão, Alix Vinicius, Adriano Martins e Guilherme Romão; Gonzalo Freitas, Rhaldney e Campbell; Alejo Cruz, Jan Hurtado e Luiz Fernando.
O Atlético-GO está na última colocação do Campeonato Brasileiro, com 18 pontos, e tem nove pontos a menos que o Fluminense, primeiro time fora da zona de rebaixamento. Já o Corinthians, com 25 pontos, está em 18º, dentro do Z-4."
Atlético-GO pode ter o terceiro goleiro do elenco em campo contra o Fluminense,Ronaldo foi vetado do último jogo e Pedro Rangel não pode enfrentar o Tricolor Carioca por força de contrato; Emerson Júnior pode estrear,Redação do ge,"O Atlético-GO volta a jogar no próximo domingo, em casa, contra o Fluminense, e pode ter em campo Emerson Júnior, o terceiro goleiro do elenco. Pedro Rangel, que foi titular diante do Corinthians na última rodada do Brasileirão, está fora por força de contrato – ele pertence ao Fluminense e está emprestado ao Dragão.
+ Veja a tabela do Brasileirão
Ronaldo, principal goleiro do elenco rubro-negro, foi vetado antes do embarque para enfrentar o Corinthians por conta de um desconforto muscular. A tendência é que ele entre em campo no próximo domingo, porém, se o goleiro for vetado novamente o titular será Emerson Júnior.
Atlético-GO e Fluminense se enfrentam domingo, às 16h, no Antônio Accioly. Emerson Júnior, de 24 anos, chegou ao time goiano emprestado pelo Inter e ainda não teve a oportunidade de entrar em campo.
Quando Ronaldo não esteve disponível, o escolhido foi Pedro Rangel, que já disputou oito partidas na temporada. No último sábado, Emerson Júnior ficou no banco contra o Corinthians."
Atlético-GO embarca para enfrentar o Criciúma; Ronaldo está fora,Goleiro está suspenso pelo terceiro cartão amarelo e será substituído por Pedro Rangel; time pode ter mais mudanças,Redação do ge,"O Atlético-GO volta a campo na próxima quinta-feira, fora de casa, contra o Criciúma, pela 29ª rodada do Campeonato Brasileiro, e o técnico Umberto Louzer fará mudanças em relação ao time que bateu o Fluminense no último domingo.
+ Veja a tabela da Série A
A principal ausência é o goleiro Ronaldo, suspenso pelo terceiro cartão amarelo. Pedro Rangel, que não pôde enfrentar o Fluminense por força de contrato, será o titular do Dragão.
Quem também pode voltar é o atacante Joel Campbell, que cumpriu suspensão na última rodada, assim como Luiz Fernando, recuperado de um desgaste muscular. Nesta terça-feira, Luiz Fernando treinou entre os reservas, mas poderá ser escalado contra o Criciúma.
Na lateral-esquerda, o titular continua sendo Alejo Cruz, já que Guilherme Romão está suspenso pelo STJD – a diretoria rubro-negra vai recorrer da pena.
A provável escalação do Atlético-GO tem Pedro Rangel; Bruno Tubarão, Alix Vinicius e Alejo Cruz; Roni, Rhaldney e Baralhas; Lacava (Campbell), Hurtado e Janderson (Luiz Fernando).
O Dragão é o lanterna do Campeonato Brasileiro, com 21 pontos, mas se aproximou de todos os concorrentes na luta contra o rebaixamento. Se vencer o Criciúma, o time goiano pode ultrapassar o Cuiabá e deixar a última colocação."
