title,subtitle,author,article_content
"Em meio às decisões do Atlético-MG, Hulk volta a ser decisivo em participações a gol",Camisa 7 ficou cinco jogos sem assistências ou gol e voltou a ter participação direta nos últimos três jogos com dois gols e uma assistência,Redação do ge,"O Atlético-MG enfrenta o Vasco na próxima quarta-feira, em 2 de outubro, pelo jogo de ida da semifinal da Copa do Brasil. O confronto acontece em meio ao fim do jejum de um dos artilheiros do Galo. Hulk participou de gols nos últimos três jogos do Galo.




No fim de semana, diante do Palmeiras, o craque do Galo marcou um golaço de falta. Pelo Fluminense, na quarta-feira anterior, deu passe para o segundo gol de Deyverson, que valeu a classificação do Galo. E pelo Brasileirão, contra o Bragantino, entrou no segundo tempo para marcar o terceiro gol do Galo.
Hulk se tornou no fim de semana, ao lado de Diego Tardelli, o maior artilheiro do Galo no século com 112 gols pelo clube. O jogador ficou cinco jogos sem participar gols no Atlético antes da partida contra o Bragantino.
O Galo terá neste mês de outubro sequência decisiva com as semifinais da Copa do Brasil e Libertadores. Além disso, o time briga para subir na tabela do Brasileiro e atingir a meta pelo G-6. O Atlético tem dois jogos atrasados e deve pagar um deles na data-Fifa deste mês.



"
"Análise: maduro, Atlético-MG domina Vasco, larga bem por vaga, mas produz para vantagem maior",Galo consegue virada e joga por empate por vaga na final da Copa do Brasil,André Ribas,"O Atlético-MG apresentou maturidade no seu 55º jogo do ano. Contra o Vasco, não sentiu o cenário desfavorável, quando o adversário saiu na frente logo aos 13 minutos de partida na Arena MRV. Pelo contrário, mostrou tranquilidade para virar a partida e sair em vantagem no primeiro duelo da semifinal da Copa do Brasil. Mas com a sensação que poderia ter decido em casa, com um placar mais seguro.




O técnico Gabriel Milito surpreendeu na escalação. Escolheu Rubens para ser o substituto de Bernard, lesionado. Já o volante Otávio retornou ao time, como já era esperado.
A dinâmica foi da seguinte forma: Rubens ocupou o corredor esquerdo, enquanto Arana trabalhou por dentro, como um meia-atacante. A dobradinha funcionou e rendeu frutos decisivos na partida.
Antes disso acontecer, veio o susto. Um início de jogo travado, de duelos individuais, e que o Vasco aproveitou de um contra-ataque bem armado para abrir o placar. No lance, Scarpa perdeu a bola, Battaglia e Lyanco não conseguiram acompanhar a marcação, Coutinho recebeu livre e, com toda a categoria, fez o gol.
O gol não mudou o ambiente da Arena MRV. E nem a postura do Atlético. Aos poucos, a equipe se instalou no campo de ataque e empurrou o Vasco para sua área. O Galo empilhou oportunidades. Na primeira, Arana finalizou para fora. Depois, Paulinho exigiu grande defesa de Léo Jardim. Lyanco também foi parado pelo goleiro.
Aos 37 minutos, tudo mudou e trouxe a dupla Paulinho e Hulk ao protagonismo do jogo, lembrando as boas exibições do ano passado. Em tabela pelo meio, o camisa sete acionou Arana pelo lado esquerdo. De primeira, ele acerta o ângulo do gol: 1 a 1.
O empate não mudou a postura do Atlético. Trouxe confiança que poderia virar ainda no primeiro tempo. E virou rapidamente. Em cruzamento de Arana, Paulinho fez a leitura perfeita do lance, cabeceou forte e encerrou um jejum de sete partidas sem marcar.
Em jogos assim, o torcedor se acostumou a ver o Atlético correr menos riscos, recuar as linhas e escolher bem suas jogadas. Mas, no segundo tempo, a postura seguiu a mesma dos primeiros 45 minutos: posse de bola, volume ofensivo e chances para fazer um placar ainda maior.
Sem a bola, o Galo também controlava o Vasco. Não sofria com escapadas e nem com trocas intensas de passes. A equipe de Milito tinha o jogo nas mãos.
No ataque, criou oportunidades claras com Rubens, Hulk e Battaglia. Não fez. Faltou um pouco de capricho no detalhe final.
O Atlético deixou o campo com a sensação que poderia ter definido o duelo na Arena MRV. Isso não ocorreu, mas o time garantiu uma vantagem importante para levar até São Januário.



"
Atlético-MG abre captação de R$ 105 milhões no mercado financeiro em operação pioneira entre as SAF's; entenda,Clube emitiu debêntures na Comissão de Valores (CVM); títulos vencem em 2027 e são restritos a investidores profissionais,Laura Rezende,"O Atlético-MG abriu a captação de R$ 105 milhões no mercado financeiro por meio da emissão de debêntures na Comissão de Valores (CVM). É a primeira vez que uma SAF usa do recurso no Brasil. Os debêntures são títulos de dívidas emitidos por empresas para a captação de recursos. A informação foi antecipada pelo Valor Econômico e confirmada pelo ge.




Os títulos pagarão ao investidor um valor referente ao CDI (Certificado de Depósito Interbancário), mais 3,5% ao ano. Os títulos vencem em 2027 e são restritos a investidores profissionais. O clube não pode se manifestar por conta da norma de silêncio da CVM, e a data limite para divulgação do encerramento da oferta é 29 de março de 2025.
Segundo informações enviadas à Comissão de Valores Mobiliários, disponíveis no site da autarquia, os recursos obtidos na captação serão usados para reestruturação da dívida atual do clube e alongar o perfil da dívida.
As chamadas ""debêntures-fut"" são uma espécie particular de debêntures previstas pela lei das SAF's, de 2021, mas que ainda não tinham sido usadas. Até agora, o acesso dos clubes ao mercado de capitais se dava essencialmente por meio de Fundos de Investimento em Direitos Creditórios (FIDC).
Pelas regras, os recursos desse tipo específico de título de dívida deverão ser alocados no desenvolvimento de atividades, no pagamento de despesas ou dívidas relacionadas às atividades típicas das SAF.


A SAF do Atlético completou um ano em julho deste ano. O clube recebeu o primeiro aporte em novembro de 2023, no valor de R$ 913 milhões. A dívida atual do clube gira em torno de R$ 1,4 bilhões, divulgada no balanço deste ano. A expectativa é de que no fim deste ano, a dívida esteja em R$1,2 bilhões.
Desde a implementação da SAF, o clube tem tentado aumentar os recursos de captação. Recentemente, Daniel Vorcaro fez novo aporto de R$ 200 milhões. O FIGA também tenta captação integral dos R$ 100 milhões propostos inicialmente pelo clube. Rubens Menin, sócio majoritário é quem fará esse aporte.




*Importante lembrar que essa porcentagem são 100% do CNPJ da Galo Holding que detém 75% da SAF. A associação segue com 25% da SAF do clube.



"
"Paulinho, do Atlético-MG, revela problema em osso da perna e injeções para disputar jogos ""escolhidos""","Atacante tem marcado presença em duelos de copas, mas não ficou à disposição nas últimas quatro rodadas do Brasileirão, sendo uma vez por suspensão",Redação do ge,"Decisivo na virada do Atlético-MG sobre o Vasco, na ida da semifinal da Copa do Brasil, Paulinho revelou que tem treinado pouco com os companheiros. O motivo é um problema ósseo na perna direita que, inclusive, estava com uma proteção após o final da partida na Arena MRV.




Em entrevista ao ge, Paulinho disse que tem tomado injeções para conseguir jogar as partidas mais importantes desta reta final de temporada. Segundo ele, há uma conversa constante no clube para definição de quais jogos ele participará.


— Estou conseguindo jogar com injeção para controlar um pouco isso. Reta final não dá para deixar a peteca cair, quero estar presente com o time.
A proteção usada por Paulinho após a partida estava na parte alta da canela, próximo ao joelho. Foi também naquela região que o atacante levou uma pancada de Matheus Carvalho ainda no primeiro tempo.
A revelação de Paulinho explica a ausência dele nas últimas rodadas do Campeonato Brasileiro. O último jogo que ele participou na competição foi diante do Fluminense, no dia 24 de agosto. Desde então, jogou as quartas de final da Copa do Brasil e da Conmebol Libertadores, mas ficou fora dos quatro últimos duelos do Brasileirão, sendo um por suspensão.
Paulinho não marcava um gol desde 13 de agosto, quando anotou no empate com o San Lorenzo, na ida das oitavas de final da Conmebol Libertadores. O atacante tem 16 gols e quatro assistências em 48 jogos na temporada.



"
"Análise: em meio a decisões, Atlético-MG sofre nova derrota e terá que correr atrás por objetivo de G-6","Galo não poupa seus principais jogadores diante do Palmeiras, consegue empate, mas sofre dois gols de pênalti; clube tem foco nas semifinais de Libertadores e Copa do Brasil",Laura Rezende,"O Atlético-MG segue sem conseguir embalar no Brasileirão. Diante do Palmeiras no estádio Brinco de Ouro, em Campinas, o Galo foi derrotado por 2 a 1. Mesmo com a semifinal da Copa do Brasil na quarta-feira, contra o Vasco, quase todos os titulares estiveram em campo. Na partida, o Galo sofreu com o rápido e eficiente ataque do Palmeiras e sofreu dois gols de pênalti. Hulk fez golaço de falta.




Milito estava suspenso, Lucas Gonçalves e Leandro Ávila foram os auxiliares que comandaram o time na beira o campo. A comissão técnica escolheu por não poupar os titulares. Apenas Arana coemçou no banco de reservas.
A escalação do Galo inicial foi: Everson, Bruno Fuchs, Battaglia, Alonso, Rubens, Fausto Vera, Alan Franco, Scarpa, Igor Gomes, Hulk e Deyverson. O camisa 7 começou atuando mais pelo lado direito junto de Scarpa. Deyverson centralizado e Rubens pelo lado esquerdo. Igor Gomes por dentro na criação.
O primeiro tempo teve pressão do Palmeiras. Murilo chegou a marcar em bola parada na batida de escanteio, mas o árbitro pegou falta de Fabinho em Everson. O goleiro foi, inclusive, decisivo em três finalizações de Flaco López, que apareceu com liberdade frente a frente do goleiro do Galo, e também finalizou de fora da área.
O pênalti cometido por Igor Gomes em cima do Maurício, e a batida de Veiga colocaram o Palmeiras em vantagem. Fausto Vera de fora da área e cabeçada de Alonso em escanteio foram as únicas chance do Galo na primeira etapa.
No segundo tempo, o Atlético conseguiu ficar mais com a posse de bola e chegou ao empate com Hulk. Golaço. O jogador que estava fazendo um jogo apagado, bateu falta com precisão, sem chance para o goleiro Weverton.
Mas, o Galo seguiu criando pouco. Arana entrou no lugar de Scarpa, que saiu reclamando muito da substituição. Cadu entrou na vaga de Igor Gomes, e Vargas no lugar de Deyverson. As substituições pouco agregaram no Galo.
No fim, Rubens cometeu um pênalti infantil em cima de Dudu. O jogador chegou atrasado, caiu na área, e no chão, pisou no atacante do Palmeiras. Veiga mais uma vez colocou no fundo das redes. O Galo teve 54% de posse contra 46% do Palmeiras. Foram 15 finalizações do Palmeiras, e apenas 6 do Galo, sendo apenas 3 no gol.
É compreensivo o foco nos jogos decisivos das Copas. Na quarta-feira passada, o Atlético fez um jogo de muita intensidade na virada e classificação na Libertadores em cima do Fluminense. E na próxima quarta, já tem o jogo decisivo contra o Vasco pela semifinal da Copa do Brasil.
Mas, muito dos titulares estavam em campo neste sábado. O Galo queria vencer, e diante de uma adversário tão difícil como o Palmeiras esbarrou nas suas próprias limitações. O time ainda tem dois jogos a menos e o foco em terminar no G-6. Falta chão. E para isto, precisa conseguir virar a chave para o Brasileirão em meio as decisões de Copas e entregar mais no campeonato.



"
"Decisivo no Atlético-MG, Arana tranquiliza após ser substituído por incômodo: ""Nada grave""",Lateral marcou gol e deu assistência na partida contra o Vasco,Redação do ge,"Guilherme Arana foi um dos nomes mais importantes da vitória do Atlético-MG sobre o Vasco, nesta quarta, pela ida da da semifinal da Copa do Brasil. Autor do gol de empate e garçom para o tento que garantiu a virada, o lateral foi substituído no começo da segunda etapa após sentir um incômodo muscular, mas tranquilizou a torcida.






O lateral atleticano comemorou a vitória em casa, mas destacou o duelo em aberto pela vaga na final da Copa do Brasil. Os times jogam em São Januário somente no dia 19 de outubro, após pausa para Data Fifa.
- Ainda nos faltam 90 minutos, uma semifinal com o adversário com uma camisa gigante que também é a do Vasco. Então, tem nada a ganho ainda. Claro que a gente tem que agradecer pela vitória, ficar feliz pela vitória, mas a classificação ainda não está garantida.
O lateral ganhou uma função diferente. Atuou por dentro, fazendo dobradinhas com Rubens. Deu certo, criou chances, anotou uma assistência e marcou um gol na partida.
O Atlético precisa apenas de um empate para se classificar. Em caso de derrota atleticana por um gol de diferença, a decisão será por pênaltis. Dois ou mais gols de vantagem para o Vasco, dá a classificação para os cariocas.



"
Técnico do River Plate elogia Atlético-MG e projeta confronto pela semi da Libertadores,Gallardo relembra confrontos com Gabriel Milito antes de partida que decidirá finalista da competição continental,Redação do ge,"Técnico do River Plate, Marcello Gallardo não poupou elogios ao Atlético-MG, próximo adversário da equipe pela semifinal da Conmebol Libertadores, nos dias 22 e 29 de outubro. O primeiro jogo ocorre na Arena MRV, com a decisão da vaga sendo na Argentina.




A declaração do treinador veio após a derrota da equipe para o Talleres, no domingo, pelo campeonato Argentino. Gallardo citou Milito, técnico que já enfrentou pelo campeonato local nos últimos anos.
— O Atlético é um time duro, como todos que estão nas semifinais da Copa Libertadores. Eles têm um treinador muito bom, nos conhecemos e já nos enfrentamos diversas vezes. Sua equipe tem uma marca registrada pela forma que pensa e vive o treinador. Enfrentaremos um rival muito bom dentro de 20 dias.
Milito e Gallardo já se enfrentaram nove vezes. O técnico do River leva a melhor, com cinco vitórias, contra três do treinador Alvinegro e um empate no duelo.
Após a classificação diante do Fluminense, Milito também elogiou o companheiro de profissão, que retornou nos últimos meses ao futebol argentino.
— Ele ganhou duas Copas Libertadores, perdeu uma final de Copa Libertadores, perdeu uma semifinal de Copa Libertadores. Ou seja, ele, no mata-mata, é um treinador que transmite essa valentia a sua equipe. Iremos e competiremos na série, como fizemos com o Fluminense, e, quem melhor jogue, passará à final.



"
"Vivo em três competições, Atlético-MG tem agenda intensa na reta final do ano; confira","Com dois jogos a menos que a maioria dos adversários no Brasileirão, diretoria do Galo aguarda a definição da CBF sobre datas",Redação do ge,"O Atlético-MG é o único time brasileiro que ainda disputa a Conmebol Libertadores, a Copa do Brasil e o Campeonato Brasileiro neste fim de ano. Com o avanço de fase nas Copas, o Galo vai enfrentar uma agenda apertada até o encerramento da temporada. Com dois jogos atrasados no Brasileirão, o time aguarda a CBF para regularizar o calendário.




O Galo começa o mês de outubro encarando o Vasco pela semifinal da Copa do Brasil. A primeira partida está marcada para esta quarta-feira, às 19h15 (de Brasília), na Arena MRV. Em seguida, o Atlético recebe o Vitória, no sábado, pelo Brasileirão.
Nos dias 10 e 15 de outubro, a seleção brasileira disputa jogos das Eliminatórias para a Copa do Mundo de 2026, com Guilherme Arana convocado. Vasco, Corinthians e Flamengo também têm atletas convocados.
Por causa disso, a CBF passou os jogos de volta das semifinais da Copa Brasil para o fim de semana dos dias 19 e 20 de outubro (Galo e Vasco jogam no sábado, dia 19). A mudança desagradou a diretoria do time do Rio de Janeiro. Com as novas datas, o jogo entre Fortaleza e Atlético, pela 30ª rodada do Campeonato Brasileiro deve ser remarcado para o dia 16 de outubro.
Na semana seguinte, os olhos vão se voltar para outra decisão: Libertadores. O Galo encara o River Plate pela semifinal da competição. A Conmebol colocou o jogo de ida, na Arena MRV, no dia 22 de outubro, às 21h30. A volta será no dia 29, no mesmo horário, em Buenos Aires. E no meio de todos esses confrontos, o time alvinegro ainda terá as rodadas finais no Brasileirão, incluindo duas partidas atrasadas.
Os jogos contra o Athletico-PR e Grêmio ainda não foram remarcados pela CBF. A partida contra a equipe gaúcha deveria ter acontecido na sexta rodada, mas foi adiada por causa das chuvas que causaram estragos no Rio Grande do Sul. O confronto com o Furacão teve a data alterada porque o time paranaense estava disputando os playoffs da Sul-Americana.
Segundo apurou o ge, o Galo busca datas disponíveis para regularizar o calendário e aguarda a definição da CBF. O time tenta marcar os confrontos para as Datas Fifa de outubro e novembro (entre os dias 14 e 19). Caso isso seja aprovado, o time mineiro vai ter um outro problema: desfalques por convocação.
O lateral Guilherme Arana, o zagueiro Junior Alonso, o volante Alan Franco e o atacante Eduardo Vargas vêm sendo convocados com frequência pelas respectivas seleções, desfalcando o Galo nessas datas.
A última Data Fifa do ano vai ser disputada às vésperas da finalíssima da Libertadores, que está marcada para 30 de novembro, na Argentina. Caso o Galo supere o River, o time vai ter que se organizar para não perder nenhum jogador por desgaste ou lesão até a decisão.



"
Auxiliar do Atlético-MG explica escalação de titulares e substituição de Gustavo Scarpa,"Meia do reclamou da substituição durante o jogo: ""Não é possível""",Redação do ge,"Após a derrota do Atlético, por 2 a 1, para o Palmeiras, o auxiliar Lucas Gonçalves, que comandou a equipe no lugar do suspenso Gabriel Milito explicou a escalação de alguns titulares às vésperas do primeiro jogo da semifinal da Copa do Brasil. O auxiliar também justificou a saída de Gustavo Scarpa durante o segundo tempo. O meia reclamou muito da substituição.




- (A substituição do Scarpa) Foi por conta do jogo, a gente estava focado aqui no jogo porque tinha possibilidade de vencer e a partir daí se pensaria no jogo de quarta-feira que é do Vasco. Cada caso é um caso. Na hora de montar a equipe existe todo um trabalho de multidisciplinar, de controle de carga, também tem a questão da estratégia do adversário, a característica do adversário. Então assim, não existe um motivo simplesmente para escolher essa equipe ou outra.
Para a partida deste sábado, o time entrou com os titulares Everson, Battaglia, Alonso, Alan Franco, Gustavo Scarpa e Hulk. Deyverson e Fausto Vera, que jogaram contra o Fluminense e não poderão enfrentar o Vasco por causa do regulamento da Copa do Brasil, também foram titulares. Guilherme Arana foi o substituto de Scarpa na partida.
- O Milito tem uma confiança muito grande no grupo, vocês têm visto isso na prática. Se formos buscar dois jogos atrás, jogamos com o Bragantino, com uma equipe totalmente diferente, tivemos um bom desempenho e resultado. A equipe se modificou, mas continuou competitiva para buscar a vaga na semifinal da Libertadores. E viemos aqui com o time com algumas modificações, mas também competindo com o Palmeiras, que está brigando na parte de cima da tabela até pelo título. (...) Então é levado muitos aspectos em consideração na hora de montar a equipe os 11 iniciantes. - disse Lucas.
Para o auxiliar, as modificações dos últimos jogos são necessárias por causa da intensidade das partidas.
- Em uma semana vamos ter três decisões de três competições diferentes, sendo duas semifinais de copas que acabam gerando um esforço muito grande e um desgaste não só físico mas mental de todo o grupo.



"
"Atlético-MG critica pedidos de Vasco e Corinthians por alterações na Copa do Brasil: ""Contraria a ética e o fair play""","Clube reforça posição da CBF e fala que, alteração promovida pela entidade, ""restabelece os princípios da isonomia, da igualdade de oportunidades e do equilíbrio das disputas""",Redação do ge,"O Atlético-MG lamentou os pedidos de Vasco e Corinthians, no Superior Tribunal de Justiça Desportiva do Futebol (STJD), para que as datas dos jogos de volta, das semifinais da Copa do Brasil, sejam alteradas. O clube entende que vai contra os princípios de ética e fair play desportivo.




Na nota - divulgada no site oficial - o Atlético reforça que, a escolha das datas, foi feita em virtude da definição dos dias, dos jogos válidos pelas competições promovidas pela Conmebol. A entidade tem prioridade sobre os torneios nacionais.
- Em relação à decisão da CBF de inverter a data-base das partidas de volta da fase semifinal da Copa Betano do Brasil com os jogos da 30ª rodada do Campeonato Brasileiro, o Clube Atlético Mineiro entende que a mudança restabelece os princípios da isonomia, da igualdade de oportunidades e do equilíbrio das disputas, previstos no Regulamento Geral de Competições da CBF.
- O Galo lamenta que Vasco e Corinthians tenham acionado o STJD contra a referida alteração, atitude que contraria todos as diretrizes citadas acima, bem como os princípios da ética e do fair play desportivo. A mudança no calendário em nada prejudica os dois clubes, que desejam apenas se beneficiar de ter adversários desfalcados de seus jogadores selecionáveis.
O Corinthians e Vasco se sentem prejudicados pela decisão da CBF, de jogar as partidas de volta, da semifinal da competição, para o final de semana do dia 19 e 20 de outubro. Antes, os confrontos estavam previstos para o meio de semana, pela data-base.
Com, isso, a entidade antecipou o jogo do time paulista contra o Athletico-PR, pelo Brasileirão, e adiou o duelo contra o Flamengo, pela Copa do Brasil. Já o clube carioca teve antecipado o duelo contra o São Paulo, pela 30ª rodada.
O Atlético reiterou estar de acordo com a decisão da CBF.
- Em seu comunicado aos clubes envolvidos, a CBF informou claramente que a alteração foi feita em virtude da definição de datas dos jogos válidos pelas competições promovidas pela Conmebol, as quais têm prioridade sobre os torneios nacionais, prerrogativa prevista no Regulamento Geral de Competições e no Regulamento Específico da Copa Betano do Brasil 2024.
- O Galo acredita ser justo que, em uma etapa importante como uma semifinal de Copa Betano do Brasil, as equipes tenham a possibilidade de contar com os atletas que servem às suas respectivas seleções, inclusive a Seleção Brasileira.
JOGOS DE IDA:
2 de outubro




19 de outubro


20 de outubro





"
