title,subtitle,author,article_content
Corinthians chega ao Rio para semifinal contra o Flamengo; veja relacionados,"Timão tem desfalques por lesão, e Pedro Raul fica fora por opção técnica",Bruno Cassucci,"O Corinthians desembarcou na noite desta terça-feira no Rio de Janeiro, onde enfrenta o Flamengo pela primeira semifinal da Copa do Brasil. O duelo começa às 21h45 (de Brasília) desta quarta-feira, no Maracanã.
+ Siga o canal ge Corinthians no WhatsApp
A delegação corintiana no Rio conta com 24 jogadores. Confira a lista de relacionados:


Pedro Raul não foi relacionado por opção técnica.
Mais notícias do Corinthians:
+ Timão terá que pagar R$ 500 mil para escalar Hugo Souza
+ Corinthians descumpre acordo com Pixbet, e Justiça determina penhora de R$ 21,4 milhões
Para esse jogo o técnico Ramón Díaz não poderá contar com o atacante Memphis Depay, que não foi inscrito a tempo pelo Corinthians na Copa do Brasil.
Também são desfalques o volante Alex Santana e o atacante Talles Magno, em recuperação de lesões. Diego Palacios, Maycon e Ruan Oliveira, em recuperação de cirurgia no joelho, são outras baixas.
Uma possível escalação do Corinthians para enfrentar o Flamengo é: Hugo Souza, Fagner, André Ramalho, Gustavo Henrique e Matheus Bidu (Hugo); José Martínez, Charles, Carrillo e Rodrigo Garro (Igor Coronado); Romero e Yuri Alberto.
A partida de volta da semifinal está prevista para o dia 20, na Neo Química Arena. Quem passar pegar Atlético-MG ou Vasco na decisão.
+ Leia mais notícias do Corinthians
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
"Ramón Díaz reconhece Flamengo superior, mas acredita em virada do Corinthians: ""Temos chance""","Técnico do Timão elogia desempenho do adversário no Maracanã, mas cita chances perdidas para colocar disputa por uma vaga na final da Copa do Brasil aberta",Bruno Cassucci,"O técnico Ramón Díaz vê o Corinthians vivo na briga por uma vaga na final da Copa do Brasil. Na visão do comandante do Timão, o Flamengo perdeu a oportunidade de matar o confronto no jogo de ida ao vencer por 1 a 0, e deu ao clube do Parque São Jorge a possibilidade de uma revanche na Neo Química Arena, no dia 20.
+ Siga o canal ge Corinthians no WhatsApp
– O resultado poderia ter sido mais amplo a favor do Flamengo, mas eles tiveram chances que não concretizaram. Nos deram a possibilidade de ganhar uma revanche. Creio que foi positivo porque poderia ter sido mais amplo. Tivemos três ou quatro chances, não aproveitamos. O resultado nos permite estar vivos para o que virá – afirmou o treinador.
Mais notícias do Corinthians:
+ Veja todos os lances do jogo no Maracanã
+ Atuações: dê suas notas aos jogadores do Corinthians
+ ""Fomos resilientes"", diz Hugo Souza após derrota para o Fla
O primeiro tempo foi praticamente todo do Flamengo. O time da casa teve dez finalizações no período, quatro delas na direção do gol, e quase 60% de posse de bola. Justamente no período, saiu o gol de Alex Sandro em uma jogada pelo lado esquerdo do campo.
– Eles foram muito superior a nós no primeiro tempo, são um time tão grande quanto o Corinthians. Tivemos dificuldades, mas em casa será diferente. Eles aproveitaram bem, mas vamos brigar em casa pela classificação. Vamos brigar como sempre – reiterou o argentino, deixando claro que acredita em uma virada no confronto.
No intervalo, Ramón fez três mudanças, voltou a utilizar o sistema com três zagueiros e o Corinthians foi visivelmente melhor em relação à primeira metade do jogo, tendo acertado duas bolas na trave com Romero e depois Matheuzinho. Ainda na etapa final, Romero ficou muito próximo de marcar em um lance de escanteio, porém Léo Pereira tirou em cima da linha.
– O calendário está apertado, temos que ver muito bem o esforço dos jogadores. O Flamengo jogou muito bem o primeiro tempo, foi superior a nós, criou muito. No segundo tempo melhoramos, o Flamengo seguiu criando, as chances foram claras. No futebol, quando você tem chances e não faz os gols, dá chances ao adversário.
– Temos chance agora. Vamos jogar em casa, ao lado da nossa torcida, e temos essa possibilidade. No Brasileirão, há um mês, enfrentamos eles e vencemos – finalizou o auxiliar Emiliano Díaz, que atendeu a imprensa ao lado de Ramón.
O Corinthians decide a vaga na final da Copa do Brasil no dia 20 de outubro, domingo, na Neo Química Arena. Para garantir lugar na decisão, o Alvinegro precisa de uma vitória por dois ou mais gols de diferença. Em caso de triunfo por apenas um gol, a decisão do classificado será feita na decisão por pênaltis. Qualquer outro resultado favorece o Flamengo. 
Antes disso, no entanto, o Corinthians mede forças com o Internacional (5) e Athletico-PR (17) pelo Campeonato Brasileiro. O Timão está na zona do rebaixamento e precisa de vitórias nos dois jogos em casa para somar pontos e deixar o grupo dos quatro últimos colocados da Série A. 
+ Leia mais notícias do Corinthians


Por que a escolha de deixar o Yuri Alberto no banco de reservas?
(Emiliano) – Temos que pensar muito porque o calendário é complicado. O Yuri jogou quatro partidas seguidas todos os 90 minutos, o Hector estava bem. Não é fácil na situação dele (Hector), vindo de uma lesão, mas é um cara que pode nos ajudar muito. O Yuri tinha jogado, nossa prioridade é o Brasileirão, vamos competir em tudo, mas a nossa prioridade é manter o melhor time para o sábado no Brasileirão.
Sobre oscilação de rendimento nos últimos jogos da temporada
(Emiliano) – Aqui no Brasil, aprendemos que jogar de mandante é jogar de mandante. Eles foram muito superiores a nós no primeiro tempo, são um time tão grande quanto o Corinthians. Tivemos dificuldades, mas em casa será diferente. Eles aproveitaram bem, mas vamos brigar em casa pela classificação. Vamos brigar como sempre.
Mudança de data do segundo jogo da semifinal
(Emiliano) – Somos profissionais, temos que jogar. Não podemos fazer nada, vamos seguir trabalhando e arrumar o time o melhor possível dentro do que é possível no calendário. É difícil trabalhar, não temos nada o que fazer. Não sei se há possibilidade de mudar ou não, da nossa parte é trabalhar e arrumar o time.
Por que a escolha por um meio de campo com Igor Coronado e Rodrigo Garro no início da partida?
(Emiliano) – Pensamos que com Coronado e Garro teríamos a bola, mas o adversário nos superou. A decisão foi nossa de ir a campo com os dois, eles não têm característica de marcação, jogam muito bem no ataque. Fica a experiência, explicamos à equipe, o erro foi nosso, não deles. Tenho que agradecer a eles pela entrega, o time não se rendeu. Isso nos permite uma pequena chance para o jogo da volta.
Sobre dificuldades em fazer os gols
(Emiliano) – Foi assim contra o Fortaleza também, acontece. Enfrentamos um grande rival, que foi superior a nós e não temos o que falar. Nos últimos seis jogos fizemos muitos gols, não há mistério. Fomos mal no primeiro e eles foram superiores. Temos que nos acostumar a sofrer, hoje sofremos e temos que aprender a sofrer. Não foi o que pretendemos, mas como disse o Ramón, o erro foi nosso.
O que mudar em 15 dias para conseguir reverter a desvantagem diante do Flamengo?
(Ramón) – O Flamengo tem só a Copa do Brasil para competir, só isso. Quando você tem apenas isso, coloca tudo em campo. Nós, não. Estamos brigando por algo no Brasileirão, demos chances aos jovens e precisamos preservar alguns jogadores. Essa é a diferença. Por isso não jogou Yuri, Martínez, Carrilo. Hoje, foi uma diferença muito grande. Temos que jogar a volta, nós em casa pressionamos, somos terríveis lá. Vocês vão ver, vamos dar tudo em campo no jogo da volta.
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
"Ryan, do Corinthians, tem suspeita de fratura no tornozelo e deixa Maracanã de muletas",Volante sofreu entorse no primeiro tempo da derrota para o Flamengo,Bruno Cassucci,"O volante Ryan, do Corinthians, sofreu uma entorse no tornozelo esquerdo na derrota por 1 a 0 para o Flamengo, nesta quarta-feira, no Maracanã.
+ Siga o canal ge Corinthians no WhatsApp
Por conta da lesão, Ryan deixou o estádio com o pé imobilizado e andando com o auxílio de muletas. Segundo Ana Carolina Côrte, médica do Corinthians, há uma suspeita de fratura no local.
Mais notícias do Corinthians:
+ Veja como foi o jogo contra o Flamengo
+ Ramón Díaz vê Corinthians vivo na Copa do Brasil
+ Atuações: dê suas notas aos jogadores do Corinthians
Ryan passará por exames nesta quinta-feira, quando a delegação corintiana volta à São Paulo.
A tendência é que o jogador fique fora da próxima partida do Corinthians, sábado, contra o Internacional, na Neo Química Arena, pelo Brasileirão.
+ Leia mais notícias do Corinthians
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
Entre negócios e polêmicas: por que Corinthians e Flamengo vivem relação de altos e baixos em 2024,"De Gabigol a Hugo Souza: clubes começam ano em paz, fazem diferentes negociações, mas relacionamento azeda até semi da Copa do Brasil, com mudança de data que revoltou Timão",Bruno Cassucci,"Adversários na noite desta quarta-feira, no primeiro duelo semifinal da Copa do Brasil, no Maracanã, Corinthians e Flamengo mantêm uma relação próxima em 2024, marcada por episódios de cordialidade, mas também de polêmicas e atritos.
O ano começou com clima amigável entre os clubes. Logo no dia 2 de janeiro, o vice-presidente de futebol rubro-negro, Marcos Braz, foi à posse de Augusto Melo como presidente do Corinthians e estreitou laços com a diretoria alvinegra.
+ Siga o canal ge Corinthians no WhatsApp
Naquela época, os paulistas tinham interesse em Thiago Maia, Matheuzinho e Gabigol e tentavam chegar a um acordo com o Flamengo para contratá-los.


Destas negociações, a única a evoluir foi a de Matheuzinho, que representou o primeiro momento de conflito entre as partes. Após um acordo verbal para ser emprestado por um ano, o lateral-direito viajou a São Paulo e participou de treinos com o elenco alvinegro. Porém, o Corinthians não aceitou algumas das condições impostas pelo Flamengo para fechar a transferência, e o jogador teve de retornar ao Rio de Janeiro.
Sem acerto para o empréstimo, o Corinthians acabou fechando a contratação em definitivo, ao custo de 4 milhões de euros (R$ 21,5 milhões na cotação da época).
Mesmo com o final feliz, a negociação gerou incômodo em ambos os lados, já que Matheuzinho chegou a participar de um treino aberto do Timão antes de ser obrigado a retornar ao Rio de Janeiro por causa do impasse nas tratativas.
Mais notícias do Corinthians:
+ FPF repudia mudança de data na Copa do Brasil
+ Veja time provável para semifinal contra o Flamengo
+ Por que Timão terá de pagar para ter Hugo Souza


Um dos responsáveis por aparar arestas na negociação de Matheuzinho foi Fabinho Soldado. Gerente de futebol do Flamengo até o começo do ano, o ex-jogador foi contratado pelo Corinthians em 24 de janeiro como diretor executivo.
A saída do rubro-negro se deu pela porta da frente, com direito a agradecimento público de Rodolfo Landim, presidente do Flamengo:
– Fabinho que vem trabalhando conosco há muitos anos na área de scout, depois foi chefia essa área. Foi sendo promovido pelo excelente trabalho que desempenhou no Flamengo até ocupar o cargo de gerente de futebol. Recebeu uma proposta do mercado, é da vida, a gente fica dividido: triste por não poder mais contar com o trabalho dele, muito feliz pela ascensão profissional. É uma pessoa que todos nós gostamos muito. Em nome do Flamengo, quero agradecer a ele por todo esse período que trabalhou conosco. Foi um profissional exemplar, e tenho certeza que vai deixar uma saudade grande em todos nós – declarou Landim.


Paulistas e cariocas voltaram a negociar no meio do ano, quando o Corinthians perdeu os goleiros Cássio e Carlos Miguel e se interessou pela contratação de Hugo Souza. O jogador estava no Chaves, de Portugal, e não fazia parte dos planos do Flamengo, que se mostrou aberto a negociá-lo.
Os clubes chegaram a um acordo por um empréstimo por 200 mil euros (R$ 1,19 milhão na época), com a compra fixada em 800 mil euros (cerca de R$ 4,8 milhões na cotação atual).
Porém, para utilizar o goleiro contra o Flamengo o Corinthians teve de pagar R$ 500 mil na partida do segundo turno do Brasileirão e terá de pagar novamente o mesmo valor por conta do duelo desta quarta. O plano alvinegro era efetuar a compra do jogador antes da partida, porém, o contrato só permite que isso seja feito após o dia 10 deste mês.


Nos últimos tempos a relação entre Corinthians e Flamengo vem piorando consideravelmente. No mês passado, os cariocas alegaram atraso de pagamento na compra de Matheuzinho e acionaram as garantias bancárias que receberam da Brax, empresa parceira dos dois clubes na exploração de placas de publicidade no Maracanã e na Neo Química Arena.
Dias depois, as equipes se enfrentaram pelo Brasileirão, e o Timão venceu por 2 a 1, em Itaquera. Na ocasião, um gandula chegou a ser expulso por murchar bolas afim de retardar o jogo, no segundo tempo. Tal fato foi motivo de ironia de Bruno Spindel, diretor de futebol do Flamengo, em entrevista na última terça:
+ Leia mais notícias do Corinthians
– Que se meça bem a pressão na bola lá no jogo em Itaquera. Que esteja com a pressão direitinho, todas as bolas – provocou.
O clima azedou de vez com a mudança de data no jogo de volta da Copa do Brasil pela CBF. A medida, endossada pelo Flamengo e repudiada pelo Corinthians, acirrou os ânimos nos bastidores. O Timão decidiu ingressar com ação no Superior Tribunal de Justiça Desportiva, atitude considerada como ""total desapreço ao princípio da isonomia e da igualdade de condições desportivas"" pelo Rubro-Negro.


É neste contexto de polêmicas e desavenças que as equipes se enfrentam às 21h45 desta quarta-feira.
Apesar dos atritos, os clubes chegaram a um acordo para a divisão da carga de ingressos para os visitantes nas partidas da Copa do Brasil. Cada um terá direito a 4,7% do total de bilhetes de cada partida, o que representa 3200 corintianos no Maracanã e 2100 rubro-negros na Neo Química Arena.
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
Federação Paulista se solidariza com Corinthians e repudia troca de data de semi da Copa do Brasil,Entidade diz que medida afronta o Regulamento Geral de Competições da CBF e é inaceitável,Redação do ge,"A Federação Paulista de Futebol (FPF) saiu em defesa do Corinthians e repudiou a decisão da CBF de alterar a data do jogo de volta da semifinal da Copa do Brasil contra o Flamengo.
Em nota oficial, a FPF afirma que ""tal medida afronta o Regulamento Geral de Competições da CBF, o que torna a medida inaceitável em qualquer âmbito"" (confira abaixo o comunicado na íntegra).
+ Siga o canal ge Corinthians no WhatsApp
Sentindo prejudicado e também desrespeitado com a decisão, o Corinthians decidiu ingressar com ação no Superior Tribunal de Justiça Desportiva (STJD).
Por conta da data Fifa, que acaba em 15 de outubro, a CBF decidiu adiar as partidas de volta da Copa do Brasil para o final de semana e antecipar os jogos da rodada da Série A que seriam disputados nos dias 19 e 20 de outubro.
Mais notícias do Corinthians:
+ Timão terá que pagar R$ 500 mil para escalar Hugo Souza
+ Corinthians contrata meia canadense para a base
Corinthians e Flamengo disputam o duelo de ida da semifinal nesta quarta-feira, às 21h45, no Maracanã.
Confira abaixo a nota oficial da Federação Paulista de Futebol:
""A Federação Paulista de Futebol vem a público manifestar seu repúdio à decisão da Confederação Brasileira de Futebol de alterar a data dos jogos de volta da semifinal da Copa do Brasil, sem que houvesse diálogo claro e transparente com os clubes envolvidos e suas Federações.
Mais do que isso, tal medida afronta o Regulamento Geral de Competições da CBF, o que torna a medida inaceitável em qualquer âmbito. O ajuste provoca ainda impactos significativos em jogos do Campeonato Brasileiro, que vive momentos decisivos de disputas por título, por classificação para competições sul-americanas e contra o rebaixamento.
A FPF apoia e se solidariza de forma irrestrita com seu filiado, o Sport Club Corinthians Paulista, prejudicado diretamente com essa decisão.""
+ Leia mais notícias do Corinthians
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
"Corinthians planeja fechar compra de Hugo Souza do Flamengo nesta terça, véspera de semifinal",Timão quer se livrar de pagamento de R$ 500 mil para usar goleiro na Copa do Brasil,Redação do ge,"O Corinthians planeja efetivar nesta terça-feira, véspera da primeira semifinal da Copa do Brasil contra o Flamengo, a compra do goleiro Hugo Souza. O jogador está emprestado ao Timão pelo clube carioca até o fim do ano.
Para isso, o Corinthians precisa depositar 800 mil euros ao Flamengo, cerca de R$ 4,85 milhões na cotação atual. Com esse valor, o Timão garantirá 50% dos direitos econômicos do atleta.
+ Siga o canal ge Corinthians no WhatsApp
A aquisição é uma forma de o Corinthians se livrar do pagamento de R$ 500 mil para escalar Hugo Souza na quarta-feira. Esse é o preço estipulado em contrato para o Timão utilizar o goleiro contra o clube ao qual ele pertence.
– O Hugo (Souza) é nosso, já tem contrato. Os valores são esses (cerca de 800 mil euros) e a data (para a contratação definitiva) é a partir do dia primeiro (de outubro). Isso já está com nosso financeiro e o jurídico está acertando tudo, tudo sob controle. Se nós pagarmos a partir do dia primeiro, não precisa pagar mais nenhuma multa, só os 800 mil euro – disse o presidente corintiano, Augusto Melo, à ""TV Bandeirantes"".
Mais notícias do Corinthians:
+ Simule os jogos que faltam para o Timão no Brasileiro
+ Corinthians contrata meia canadense para a base
Na partida válida pelo Brasileirão, no início de setembro, o Corinthians precisou desembolsar R$ 500 mil para ter Hugo Souza contra o Flamengo.
Pelo empréstimo até o fim do ano, o Timão já pagou 200 mil euros (R$ 1,19 milhão) ao Rubro-Negro.
+ Leia mais notícias do Corinthians
Hugo já disputou 20 partidas pelo Corinthians e sofreu 18 gols. O goleiro, que foi contratado depois das saídas de Cássio e Carlos Miguel, tem se tornado um líder fora de campo, comandando a reformulação feita no elenco durante a gestão de Augusto Melo.
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
Corinthians decide ir ao STJD contra mudança de data de semifinal da Copa do Brasil,Timão acompanha o Vasco em ação na Justiça Desportiva,Bruno Cassucci,"A diretoria do Corinthians decidiu na noite desta segunda-feira que vai ingressar com uma ação no Superior Tribunal de Justiça Desportiva (STJD) contra a mudança de data da segunda semifinal da Copa do Brasil, contra o Flamengo.
+ Siga o canal ge Corinthians no WhatsApp
Mais cedo, o Vasco tomou medida parecida, baseado em artigos do Regulamento Geral de Competições (RGC).
O Corinthians se sente prejudicado pela decisão da CBF, que antecipou o jogo contra o Athletico-PR, pelo Brasileirão, e adiou o duelo contra o Flamengo, pela Copa do Brasil. Em pronunciamento, o presidente do Timão, Augusto Melo, disse que o clube foi desrespeitado.
Após a publicação desta reportagem, o Corinthians confirmou a ação no STJD por meio de nota oficial (confira abaixo na íntegra).
Mais notícias do Corinthians:
+ Simule os jogos que faltam para o Timão no Brasileiro
+ Corinthians contrata meia canadense para a base
O departamento jurídico alvinegro argumenta que a perda de jogadores na data Fifa não é motivo para alteração do calendário. Também argumenta que as partes que podem pedir mudança no dia de uma partida são: clube mandante, federação mandante ou detentor dos direitos de transmissão. Neste caso, sendo Corinthians e Vasco, o pedido teria vindo dos visitantes.
A primeira partida da semifinal será disputada nesta quarta-feira, às 21h30, no Maracanã. O jogo de volta está agendado para o dia 20.
+ Leia mais notícias do Corinthians
Confira abaixo a nota oficial do Corinthians:
""O Sport Club Corinthians Paulista vem a público manifestar sua preocupação com a integridade do Campeonato Brasileiro e da Copa do Brasil, pilares fundamentais do futebol nacional. A recente decisão da Confederação Brasileira de Futebol (CBF) de alterar as datas da semifinal da Copa do Brasil desrespeita o regulamento, comprometendo a isonomia entre os clubes e, principalmente, colocando em risco a credibilidade das competições.
Mais do que defender seus próprios interesses, o Corinthians reforça a importância de que as decisões sigam o que foi estabelecido, em prol da preservação de um futebol brasileiro justo, competitivo e transparente. A integridade das competições deve ser prioridade, acima de qualquer influência externa, e o clube seguirá lutando para que o respeito ao regulamento seja mantido em todas as esferas.
Em defesa desses princípios e para garantir a justiça nas competições, o Corinthians tomou a medida de ingressar com uma ação no Superior Tribunal de Justiça Desportiva (STJD), questionando a alteração feita pela CBF sem o devido respeito ao regulamento e aos clubes envolvidos. O clube espera que o tribunal restabeleça as datas previamente acordadas, preservando a lisura e o equilíbrio das competições.""
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
"Hugo Souza vê Corinthians vivo na Copa do Brasil após derrota no Maracanã: ""Fomos resilientes""",Goleiro aposta na força corintiana em Itaquera para avançar à decisão do torneio,Redação do ge,"Destaque do Corinthians na noite desta quarta-feira, o goleiro Hugo Souza deixou o gramado do Maracanã confiante na classificação para a final da Copa do Brasil. Apesar da derrota por 1 a 0 diante do Flamengo, o corintiano elogiou a atuação da equipe e disse acreditar em uma virada na Neo Química Arena.
+ Siga o canal ge Corinthians no WhatsApp
– A gente está vivo, muito vivo, principalmente por decidir em casa. Demos uma aula de resiliência, o Flamengo é muito forte, ainda mais jogando aqui. Sofremos e fomos resilientes. Fiz algumas defesas, mas estou aqui para isso. Agora, vamos decidir em casa e, se Deus quiser, vamos buscar a classificação – afirmou o goleiro na saída de campo.
Mais notícias do Corinthians:
+ Veja todos os lances do primeiro confronto das semifinais
+ Atuações: dê suas notas aos jogadores do Corinthians
Para garantir a vaga na final da Copa do Brasil, o Corinthians precisa de uma vitória por dois ou mais gols de diferença na Neo Química Arena. Em caso de triunfo por apenas um gol, a decisão do classificado será feita nos pênaltis. Qualquer outro resultado favorece o Flamengo. 
O confronto decisivo será disputado no dia 20 de outubro, domingo. Antes disso, o Alvinegro mede forças com o Internacional (5) e Athletico-PR (17) pelo Campeonato Brasileiro. O Timão está na zona do rebaixamento e precisa de vitórias nos dois jogos em casa para somar pontos e deixar o grupo dos quatro últimos colocados da Série A. 
+ Leia mais notícias do Corinthians
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
Corinthians pede esclarecimentos à patrocinadora e se vê protegido por multa de R$ 100 milhões,"Em nota, Timão diz ter confiança na Esportes da Sorte, empresa que ainda não está autorizada a operar no Brasil e tem até dia 11 para resolver problema",Bruno Cassucci,"O Corinthians enviou um pedido formal de esclarecimentos à Esportes da Sorte, casa de apostas que patrocina o clube e não consta na lista do Governo Federal das empresas do setor autorizadas a operar no Brasil.
Caso a Esportes da Sorte não resolva o problema até o dia 11, sexta-feira da semana que vem, o site da empresa sairá do ar e o Corinthians será obrigado a tirar a marca da empresa de sua camisa.
+ Siga o canal ge Corinthians no WhatsApp
O tema deixa o clube em alerta, mas a diretoria alvinegra se vê protegida por uma cláusula contratual que prevê o pagamento de multa de R$ 100 milhões caso a Esportes da Sorte não tenha licença para operar.
O pagamento de tal indenização teria de ser feito em até dez dias após o rompimento do contrato. A informação foi divulgada inicialmente pelo ""Uol"".
A Esportes da Sorte fechou com o Corinthians em julho um contrato de três anos no valor de R$ 309 milhões. Destes, R$ 57 milhões eram destinados à contratação de um reforço midiático. O Timão decidiu usar a verba com o holandês Memphis Depay.
Mais notícias do Corinthians:
+ Confira a análise da derrota do Timão para o Flamengo
+ Jogadores do Corinthians admitem superioridade do Flamengo: ""Por sorte, só tomamos um gol""
A casa de apostas diz ter cumprido com todas as exigências para operar no Brasil e alega que está em contato com o Governo para regularizar a sua situação.
+ Leia mais notícias do Corinthians
No mês passado, o dono da empresa foi preso em operação policial que investiga um suposto esquema de lavagem de dinheiro e jogos ilegais.
Confira abaixo nota oficial divulgada pelo Corinthians nesta quinta-feira:
""O Sport Club Corinthians Paulista reafirma sua confiança na Esportes da Sorte, nossa parceira de patrocínio, que vem cumprindo integralmente o contrato. O clube está em contato com a parceira e enviou um pedido de esclarecimentos sobre o status e os próximos passos do processos de regularização da operação. O clube permanece atento a qualquer evolução do caso, sempre priorizando os interesses da instituição e de nossa Fiel Torcida.""
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
"Alex Santana e Talles Magno evoluem, mas ficam à disposição no Corinthians só após Data Fifa",Dupla está em recuperação de lesão e seguirá como desfalque diante de Flamengo e Internacional,Bruno Cassucci e José Edgar de Matos,"O volante Alex Santana e o atacante Talles Magno avançam em suas recuperações de lesões e estão mais próximos de voltar ao Corinthians. Ainda assim, a dupla está fora do jogo contra o Flamengo, nesta quarta-feira, pela semifinal da Copa do Brasil, e contra o Internacional, sábado, pelo Brasileirão.
O departamento médico conta com o retorno dos jogadores apenas na segunda quinzena de outubro, ou seja, depois da Data Fifa, que vai até o dia 15.
+ Siga o canal ge Corinthians no WhatsApp
Ambos ainda estão entregues ao departamento de fisioterapia. Na última segunda-feira, eles realizaram atividades no gramado, mas ainda sem impacto ou contato com outros atletas. A expectativa é de que nos próximos dias eles avancem em trabalhos de transição para o campo.
Talles Magno sofreu uma lesão de grau 2 no músculo posterior da coxa esquerda na semana passada. Já o caso de Alex Santana é mais grave. Ele teve uma lesão de grau 3 no músculo posterior da coxa esquerda, e a previsão inicial é de que voltasse a jogar somente em novembro.
Mais notícias do Corinthians:
+ Simule os jogos que faltam para o Timão no Brasileiro
+ Corinthians contrata meia canadense para a base
Como está há mais tempo sem jogar - e consequentemente perdeu força muscular e condicionamento físico - Alex Santana desperta mais cuidados na comissão técnica alvinegra.
Já Talles Magno tem chances maiores de estar em campo nas semifinais da Copa Sul-Americana, contra o Racing, e no duelo de volta contra o Flamengo, na Copa do Brasil.
+ Leia mais notícias do Corinthians
Além deles, o departamento médico do Corinthians cuida do lateral Diego Palácios, do volante Maycon e do meia Ruan Oliveira, todos em recuperação de lesões no joelho.
🎧 Ouça o podcast ge Corinthians🎧
+ Assista: tudo sobre o Corinthians na Globo, sportv e ge"
