title,subtitle,author,article_content
Análise: Criciúma desperdiça oportunidades e conhece mais uma derrota na Série A,"Equipe teve segundo tempo melhor, mas não foi efetivo ao chegar no ataque",Redação ge,"Chances criadas, perigo no campo de ataque e um segundo tempo melhor. Foi assim a noite do Criciúma diante do Bahia na Arena Fonte Nova, em Salvador. A equipe comandada pelo técnico Cláudio Tencati foi derrotada por 1 a 0, com gol de Cauly no primeiro tempo (assista aos melhores momentos abaixo).


Logo no início do jogo, o Criciúma teve uma chance clara com Claudinho, que saiu da marcação e mandou na trave do Bahia. Depois disso, especialmente após os 20 minutos, passou a levar pressão da equipe da casa. Até que Cauly apareceu e de primeira mandou para o fundo da rede o único gol da partida.
Um jogo de ataque x defesa. Esse é o resumo do primeiro tempo de Bahia e Criciúma após o único gol da partida. O Tigre até tentou criar jogadas, mas foi para o intervalo no sufoco de uma blitz do time da casa no ataque.
Já na segunda etapa, pressão do carvoeiro. A equipe do Bahia mal tinha voltado para o jogo e o Criciúma já havia levado perigo com Allano, Bolasie e depois Marquinhos Gabriel. Após desperdiçar as chances, o time catarinense viu o Bahia correr atrás de ampliar a vitória e foi aí que o goleiro Gustavo entrou em cena e evitou uma derrota maior em Salvador.
Já nos acréscimos, com todas as mexidas feitas por Tencati, Felipe Vizeu teve uma chance na pequena área e ao tentar dominar, acabou pisando na bola.
- A gente sabe que ausência importantes, de jogadores importantes sempre faz a diferença. [...] O futebol você quer ganhar sempre, e você tem que ganhar sempre. Quando se fala a palavra 'obrigação' você carrega cargas a mais. A equipe sabe que tem que ganhar, mas sabe que vai enfrentar uma equipe [Atlético-GO] que é franco-atirador neste momento - disse o técnico, Cláudio Tencati, após a derrota.


Sem poder contar com Arthur Caíke, suspenso pelo terceiro amarelo, o Criciúma entra em campo na quinta-feira. Porém, o Tencati volta a contar com Newton, Matheusinho e Ronald. Pela 29ª rodada do Campeonato Brasileiro, recebe o Atlético Goianiense, às 19h (de Brasília), no Heriberto Hülse.
Mais informações do esporte catarinense em ge.globo.com/sc"
Análise: Criciúma se reinventa e reencontra caminho da vitória na Série A,Tigre supera o Grêmio em rodada atrasada em Porto Alegre,Redação ge,"Longe de casa, contra o Grêmio em Porto Alegre, o Criciúma se reinventou e conseguiu impor o seu estilo de jogo. Superou o time gaúcho pelo placar de 2 a 1 e chegou a oitava vitória na Série A do Campeonato Brasileiro e, o principal, conseguiu abrir mais distância da zona de rebaixamento.


+Atuações: Ataque e defesa têm noite sólida e jogadores se destacam; dê suas notas
Com a missão de surpreender o Grêmio, a equipe comandada pelo técnico Cláudio Tencati impôs o seu estilo de jogo, especialmente no primeiro tempo. Primeiro, com Fellipe Mateus que sem marcação tentou encobrir o goleiro e mandou por cima da meta gremista.
Retornando para titularidade, Arthur Caíke recebeu pelo lado direito e em dois tempos mandou para o fundo da rede. O quinto gol com a camisa do Criciúma - chegando a vice artilharia do time carvoeiro com Felipe Vizeu, Fellipe Mateus, Matheusinho e Claudinho.
Com ataque e defesa sólidos no primeiro tempo, o time conseguiu criar grandes oportunidades e - por pequenos erros, não ampliou o placar nos primeiros 45 minutos. Já na defesa, uma atuação tranquila e conseguindo interceptar cada tentativa de ataque do Grêmio.
Já na segunda etapa, o Criciúma passou a sofrer pressão do Grêmio, que contava com a falta de pontaria em alguns lances para buscar o empate. Até que, pouco depois dos 20 minutos, Villasanti conseguiu furar a defesa e mandar para o fundo da rede. Após isso, a partida se resumiu em ataque x defesa.
E veio do banco de reservas o suspiro de alívio do Criciúma em Porto Alegre. Ronald entrou e em uma noite inspirada, de fora da área mandou para o fundo da rede, sem chance para Marchesín. O primeiro gol com a camisa do time catarinense.
A última vitória do Criciúma no Campeonato Brasileiro havia sido em 28 de agosto, diante do Bragantino, em jogo válido pela 19ª rodada. De lá pra cá, o time precisou superar desafios como a goleada por 5 a 0 para o Palmeiras no Allianz Parque.
- É muita conversa individual, mobilização de todos, não é só o Tencati. Toda a comissão técnica, o staff, dando todo o suporte para os atletas para gente manter o foco, sempre tenho dito para eles: força, foco e fé. Manter as convicções daquilo que a gente tem que fazer para os objetivos - disse o técnico Cláudio Tencati.
Três pontos conquistados fora de casa e que voltam a colocar o Criciúma em uma situação confortável na tabela. Agora, o Tigre ocupa a 13ª colocação com 32 pontos. O próximo compromisso é diante do Bahia, no domingo, às 18h30 (de Brasília), na Arena Fonte Nova.
Mais informações do esporte catarinense em ge.globo.com/sc"
Criciúma custeia ingresso e ônibus para torcedor acompanhar jogo com o Grêmio no RS,Partida atrasada da 5ª rodada acontece na quarta-feira,Manu Silva,"O Criciúma vai colocar ônibus e ingressos para o torcedor acompanhar o confronto com o Grêmio, em Porto Alegre. A bola rola às 19h (de Brasília) em jogo atrasado da 5ª rodada do Campeonato Brasileiro.
+Bolasie recebe terceiro amarelo e é desfalque no Criciúma contra o Grêmio
O clube catarinense informou que para garantir o seu lugar no ônibus, o torcedor precisa comprar o ingresso para partida e apresentar o comprovante na secretaria do clube até terça-feira (24), às 18h (de Brasília). Também é possível enviar via WhatsApp, pelo número (48) 99906-2857 para fazer a reserva.
Com a entrada do jogo e vaga no ônibus garantidos, o Criciúma vai ressarcir o valor do ingresso para o torcedor antes da viagem.
- Queremos nossa torcida, que sempre apoia o Tigre até o final, estejam também neste grande confronto, em busca da confirmação da nossa permanência na Séria A, por isso convocamos à todos os torcedores que puderem estar presente, que venham conosco neste comboio rumo à Porto Alegre - disse o presidente do Criciúma, Vilmar Guedes.
Por conta da capacidade reduzida do estádio, em virtude as enchentes que atingiram o Rio Grande do Sul, o Grêmio está disponibilizando 1,2 mil ingressos para arquibancada visitante. Os ônibus vão sair do Estádio Heriberto Hülse na quarta-feira, às 12 horas.
Mais notícias do esporte catarinense em ge.globo/sc"
Escalação do Criciúma: Newton e Matheusinho devem voltar ao time; veja provável,"Equipe recebe o Atlético-GO nesta quinta-feira, às 19h (de Brasília)",Manu Silva,"Após a derrota por 1 a 0 para o Bahia, a equipe do Criciúma teve dois períodos de treinamento em Santa Catarina. Após cumprirem suspensão, Tencati deve promover o retorno de Newton e Matheusinho. A bola rola na quinta-feira, às 19h (de Brasília), no Heriberto Hülse.
+Miguel Trauco inicia transição no Criciúma
+Jhonata Robert tem lesão no ombro esquerdo e deve ser desfalque no Criciúma
Na reapresentação desta terça-feira, todo o elenco carvoeiro trabalhou no gramado do CT Antenor Angeloni. O volante Ronald, que também cumpriu suspensão, retorna para a lista de relacionados. Já o atacante Arthur Caíke recebeu o terceiro amarelo e é um desfalque certo.


O lateral-esquerdo Miguel Trauco, que está se recuperando de uma lesão na panturrilha esquerda, começou a transição mas ainda não deve ficar à disposição.
Criciúma e Atlético-GO se enfrentam nesta quinta-feira pela 29ª rodada do Campeonato Brasileiro. A bola rola às 19h (de Brasília) no Heriberto Hülse. O Premiere transmite o confronto e o ge acompanha em Tempo Real.
Mais informações do esporte catarinense em ge.globo.com/sc"
"Brasileiro de Aspirantes: estreando na competição, Criciúma espera 'medir o termômetro' da base",Disputa reúne atletas da categoria sub 23 de 16 times do Brasil,Manu Silva,"Sendo o único representante de Santa Catarina, o Criciúma começa nesta quinta-feira a disputa no Campeonato Brasileiro de Aspirantes. A estreia é diante do Mirassol, no Heriberto Hülse, às 19h30 (de Brasília).
+Criciúma tem pelo menos três desfalques no meio-campo para encarar o Bahia
A equipe será comandada por Rodrigo Leitão que retornou para o Criciúma no início de setembro. Antes disso, ele atuou como auxiliar técnico de março até dezembro de 2022.
- Vai nos ajudar a enxergar individualmente os nossos jogadores e medir a temperatura da nossa prateleira. Porque vamos enfrentar equipe que a gente sabe onde estão nesta categoria e pra nós, como é a primeira vez, acredito que vai ser um bom termômetro. [...] A gente não quer criar nenhum tipo de pressão para os jogadores, mas é indiscutível que quando a gente entra ali cada um dê sua melhor versão. Então, a expectativa é de vencer sem que isso seja pressão - disse em entrevista ao ge.
Essa é a primeira vez que o clube participa da competição - que reúne 16 times de todo o Brasil. Comandados pelo técnico Rodrigo Leitão, o clube está no Grupo B - junto com Goiás, Vila Nova-GO, Cuiabá, Juventude, Red Bull Bragantino, Santos e Mirassol.
Segundo o site da CBF, até o momento, o clube inscreveu 39 atletas para competição. São jogadores do sub-20 e atletas que alternam entre base e profissional, como o volante Eliédson, o zagueiro Erick e o goleiro Kauã.
O arqueiro tricolor está no clube desde os 10 anos e tem contrato até o fim outubro de 2026. Segundo ele, a competição é uma oportunidade para ganhar mais minutos dentro das quatro linhas.
- É uma competição nível nacional e é o mais próximo possível do profissional. Então acredito que a qualidade da competição vai ser muito grande, um grau de concentração maior e tecnicamente falando também vai ser mais exigido, então tem que se preparar muito mentalmente e tecnicamente também - disse o goleiro em entrevista ao ge.
Criciúma e Mirassol se enfrentam nesta quinta-feira, às 19h30 (de Brasília), no Heriberto Hülse. A partida terá entrada gratuita pelo portão 2.
Mais informações do esporte catarinense em ge.globo.com/sc"
Jhonata Robert tem lesão no ombro esquerdo e deve ser desfalque no Criciúma,Atleta fez exames nesta terça-feira; Tigre recebe o Atlético-GO na quinta-feira,Manu Silva,"O meia Jhonata Robert teve um trauma no ombro esquerdo, que pode ser considerado como uma lesão, e deve ser uma baixa no Criciúma. A equipe recebe o Atlético-GO na quinta-feira, às 19h (de Brasília), no Heriberto Hülse.
+Criciúma implementa sistema de reconhecimento facial; saiba como vai funcionar
Ele sofreu a contusão na derrota para o Bahia por 1 a 0, no fim de semana. Robert teve uma dividida já no fim do jogo e precisou receber atendimento médico. Ao chegar em Criciúma, nesta terça-feira, o atleta passou por exames de imagem e clínico que constataram o trauma. O seu retorno para os gramados depende da evolução da dor.
Jhonata tem três jogos com a camisa carvoeira e vinha sendo utilizado pelo técnico Cláudio Tencati especialmente no segundo tempo. O Criciúma recebe o Atlético-GO na quinta-feira, às 19h, pela 29ª rodada do Campeonato Brasileiro.
Mais informações do esporte catarinense em ge.globo.com/sc"
Atuações: Ataque e defesa têm noite sólida e jogadores se destacam; dê suas notas,Tigre supera o Grêmio por 2 a 1 em confronto atrasado da Série A,Redação ge,Mais informações do esporte catarinense em ge.globo.com/sc
Criciúma tem pelo menos três desfalques no meio-campo para encarar o Bahia,"Confronto é no domingo, às 18h30 (de Brasília), na Arena Fonte Nova",Manu Silva,"O técnico Cláudio Tencati vai ter que montar um quebra-cabeça para escalar o meio-campo do Criciúma contra o Bahia. Isso porque três atletas receberam o terceiro amarelo contra o Grêmio e vão cumprir suspensão. A bola rola no domingo, às 18h30 (de Brasília), na Arena Fonte Nova.
+Grêmio x Criciúma: assista aos melhores momentos
Os volantes Newton, Ronald e o meia Matheusinho receberam o terceiro amarelo e são desfalques certos. Além disso, o goleiro Matheus Teixeira, que pertence ao Bahia, também não deve ser relacionado. Por outro lado, o atacante Yannick Bolasie retorna ao time titular.
Em transição de uma entorse no joelho direito há duas semanas, o atacante Pedro Rocha também deve ser relacionado pela primeira vez. Ele chegou ao clube no mês de agosto e na primeira semana de treinamento sofreu a lesão.
+Análise: Criciúma se reinventa e reencontra caminho da vitória
Após a vitória por 2 a 1 em Porto Alagre, a reapresentação do elenco carvoeiro acontece na tarde desta quinta-feira no CT Antenor Angeloni. O time catarinense inicia a viagem para Bahia na sexta-feira.
Mais informações do esporte catarinense em ge.globo.com/sc"
Miguel Trauco inicia transição no Criciúma,O atleta está se recuperando de uma lesão na panturrilha,Manu Silva,"O lateral-esquerdo Miguel Trauco foi a novidade no treino do Criciúma. A equipe se reapresentou na tarde desta terça-feira visando o confronto com o Atlético-GO, na quinta-feira. Se recuperando de uma lesão na panturrilha esquerda, ele ainda não deve ficar à disposição.
+Jhonata Robert tem lesão no ombro esquerdo e deve ser desfalque no Criciúma
O peruano estava no departamento médico desde que retornou da convocação para Seleção do Peru. Ele foi desfalque nos confrontos com o Athletico, Grêmio e Bahia. Nesta terça-feira, participou da primeira parte do treinamento com todo o elenco e depois fez um trabalho separado com preparador físico do clube.
- Infelizmente, ele ainda está no processo de transição. [...] Ele está sofrendo com um problema, na verdade, um pouco mais lombar e que tem afetado o adutor e afeta a panturrilha. Outros jogadores quando tem problema lombar ocorre isso. [...] Vamos aguardar na nossa chegada pra ver como ele vai estar e qual a perspectiva para o jogo do Atlético - disse o técnico Cláudio Tencati, após o confronto com o Bahia.
Trauco tem 30 jogos e dois gols anotados com a camisa do Criciúma - um deles, contra o Atlético-GO, adversário de quinta-feira. O Criciúma recebe o Dragão na quinta-feira, às 19h (de Brasília), no Heriberto Hülse.
Mais informações do esporte catarinense em ge.globo.com/sc"
"Atuações: Criciúma tem segundo tempo melhor, mas é derrotado; dê suas notas",Bahia supera o time catarinense por 1 a 0 em Salvador,Redação ge,Mais informações do esporte catarinense em ge.globo.com/sc
