title,subtitle,author,article_content
"Dono do Cruzeiro não joga toalha sobre o Brasileiro, mas admite: ""Intenção é ganhar a Sul-Americana""",Cruzeiro busca jogar as duas frentes por título na temporada e vaga na Conmebol Libertadores 2025,Redação do ge,"Mesmo com a proximidade de chegar a uma final de Conmebol Sul-Americana (está nas semifinais contra o Lanús, da Argentina), o Cruzeiro não joga a toalha no Brasileirão. A Raposa segue com o objetivo de terminar na zona de classificação à Conmebol Libertadores no Campeonato Brasileiro. O clube permanece com o discurso de manter as duas frentes de buscas na reta final da temporada.




- Nossa intenção é ganhar a Sul-Americana. Mas nunca tirar o foco do Brasileiro. Vamos ter o jogo na quinta. Mas o Diniz depois vai ter 15 dias de trabalho, para conhecer o grupo, para trabalhar. Esperamos que, na volta a gente retome com mais força, com alguma coisa a mais que ele vai acrescentar. Mas confiante que as coisas vão acontecer.
O grande objetivo para 2025 é estar na Conmebol Libertadores. Poderá vir com o título da Sul-Americana, caso passe do Lanús e vença Corinthians ou Racing (na outra semifinal) na decisão única em Assunção, no Paraguai, em 23 de novembro.
Se não conseguir via Sul-Americana, o Cruzeiro pode alcançar pelo Brasileiro. No momento, são quatro vagas diretas mais duas para a fase preliminar. Entretanto, a zona de classificação na Série A deverá ser ampliada.
A Raposa ocupa hoje a 8ª colocação no Brasileirão, com cinco pontos a menos que o Flamengo, primeiro time do G-4. A distância para o G-6 é menor, sendo de dois pontos.
Botafogo e Atlético-MG estão nas semifinais da Libertadores e, se vencerem, garantem vaga. Neste momento, o time carioca é que proporcionaria a extensão. Na Copa do Brasil, estão Atlético-MG x Vasco e Flamengo x Corinthians. O Rubro-Negro, presente no G-6, também poderia ajudar a Raposa, neste momento.



"
"Pelo Cruzeiro, Cássio é o goleiro com mais defesas no Brasileiro e assume protagonismo em ""novo time""","Goleiro vivia instabilidade no Corinthians, mas consegue se destacar em início na Toca",Guilherme Macedo,"Contratado para ser um ""rosto"" da nova SAF do Cruzeiro, Cássio tem correspondido em campo. Titular absoluto desde que chegou do Corinthians, o goleiro conseguiu retomar o alto nível que teve ao longo da trajetória no clube paulista e já se firma entre os destaques da posição no Campeonato Brasileiro.




Se no Corinthians Cássio estava no banco de reservas, no Cruzeiro ele já surgiu como peça importante em diversos jogos. Desde que estreou pelo time no Brasileiro, em 13 de julho, contra o Bragantino, é o goleiro com mais defesas na competição. Os números são do Espião Estatístico, do ge.
Desde então, ele entrou em campo 16 vezes na competição nacional, com 50 defesas realizadas – médica de quase três por partida. Logo atrás dele estão João Ricardo (do Fortaleza, com 49) e Gustavo (do Criciúma, com 48). Empatados, com 47 defesas cada, Gabriel (Juventude) e Hugo Souza (Corinthians) completam o top-5.
Cássio vivia momento de instabilidade e estava na reserva do Corinthians quando foi contatado pela diretoria do Cruzeiro. O acerto foi rápido, ainda em maio. A janela foi aberta no início de julho e, em menos de três meses, entrou em campo 17 vezes, igualando o número de jogos pelo ex-clube em 2024, mas com status oposto.
Além dos jogos no Brasileirão, Cássio também defendeu o Cruzeiro nas oitavas e nas quartas de final da Conmebol Sul-Americana, contra Boca Juniors e Libertad. Na ida contra os argentinos, e na volta contra os paraguaios, ele foi decisivo com defesa no segundo tempo. Somando os quatro jogos, ele realizou oito defesas – média de duas por partida.
Cássio assumiu a titularidade da equipe em momento que Anderson se destacava, após substituir Rafael Cabral, negociado com o Grêmio. O goleiro assinou contrato até 2027 e, além de Anderson, tem como concorrentes Léo Aragão e Gabriel Grando, que nem sequer estrearam.
Junto com o goleiro, primeiro contratado da SAF de Pedro Lourenço, o Cruzeiro também acertou as contratações do zagueiro Jonathan Jesus, dos meias Fabrizio Peralta, Matheus Henrique e Walace, e dos atacantes Kaio Jorge e Lautaro Díaz.
Entre todos eles, Cássio é quem mais entrou em campo pelo clube, seguido por Kaio Jorge e Matheus Henrique, que estiveram em campo 16 vezes cada um. Atrás está Lautaro Díaz, com 14 atuações.



"
Escalação do Cruzeiro: Matheus Pereira não participa de treino completo e segue como dúvida,"Desfalque no domingo por incômodo muscular, meia realizou uma parte da atividade em campo",Guilherme Macedo,"A imprensa pode acompanhar, pela primeira vez desde a chegada de Fernando Diniz, um treinamento do Cruzeiro. Matheus Pereira participou somente de uma parte do trabalho e segue como dúvida para pegar o Fluminense, às 21h30 (de Brasília) de quinta, pelo Brasileiro.




O jogador ficou fora contra o Vasco, no domingo, por conta de um incômodo na coxa direita. Exames detectaram possibilidade real de lesão, e ele também realizou somente trabalhos específicos na segunda, dia da reapresentação.
Desta forma, a presença de Matheus no jogo de quinta será definida após o treino desta quarta, que marca o encerramento da preparação na Toca da Raposa, antes da viagem ao Rio de Janeiro.
O treino de terça ainda não contou com a presença dos jogadores do sub-20, que perderam a final do Brasileiro da categoria nessa segunda, para o Palmeiras. Em contrapartida, o volante Alessandro e os meias Felipe Morais e Cauan Baptistella, do sub-17, participaram da atividade.
A imprensa acompanhou cerca de 30 minutos da atividade em campo, ainda em fase de aquecimento, mas com muita cobrança por intensidade e aprimoramento do passe. Durante todo esse período, foi possível perceber trabalho do goleiros com os pés. O estilo de Diniz é marcado pelo jogo dos arqueiros no início da construção.
Antes do trabalho, Diniz teve um longo papo com Ramiro à beira do campo. O volante vem sendo criticado pela torcida e foi acionado no segundo tempo contra o Vasco.
A única dúvida em relação ao time titular está relacionada exatamente a Matheus Pereira. Se ele não entrar em campo, a tendência é de manutenção de Mateus Vital na equipe. João Marcelo volta de suspensão, mas será opção no banco.


Rafa Silva, que está em processo de transição após lesão no joelho direito, não esteve em campo no período acompanhado pela imprensa. Dinenno, Japa e Vitinho seguem entregues ao departamento médico.
O Cruzeiro não vence há três rodadas do Brasileirão e foi para a 8ª colocação, com 43 pontos, a dois do Bahia, que abre a zona de classificação à Libertadores.



"
"Dono do Cruzeiro explica saída de diretora do feminino e afirma: ""Não faremos grandes investimentos""","Pedro Lourenço ainda afirmou que a montagem do elenco para 2025 terá como objetivo formar um ""time razoável""",Danny Paiva,"Há uma semana, o time feminino do Cruzeiro viveu uma grande mudança na gestão. A diretora da categoria comunicou a saída do clube celeste por ""questões pessoais"". Pedro Lourenço, dono do time, justificou as mudanças e revelou que as ideias entre a diretora e os gestores estavam incompatíveis.




- Ela (Kin) tem na cabeça dela algumas coisas que não combinavam com a nossa. Ela que pediu para sair. Não foi a gente que pediu para ela sair. E vamos tocar da mesma forma que o feminino vem trabalhando.
Com a saída de Kin Saito, Bárbara Fonseca ficou com a responsabilidade de comandar a gestão do time feminino. Durante entrevista ao ge em agosto, Kin chegou a dizer que o Cruzeiro estava montando um elenco mais forte para 2025, com contratações de mais expressão. Sem revelar quais atletas, a agora ex-diretora revelou que o clube já tinha pré-contratos firmados. Pedro Lourenço declarou que os investimentos não serão altos.


Com Kin no comando da gestão, grandes nomes do futebol feminino chegaram ao Cruzeiro. A atacante Byanca Brasil, a goleira Camila e o treinador Jonas Urias, todos com passagens pela seleção brasileira, reforçaram a equipe e conquistaram marcas importantes.
O Cruzeiro chegou às quartas de final do Brasileirão pela primeira vez no ano passado e repetiu o feito neste ano. Voltou a vencer o Campeonato Mineiro após três temporadas, e chegou à final da Supercopa do Brasil feminina de forma inédita.



"
"Auxiliar de Diniz no Cruzeiro defende Mateus Vital: ""Dinâmica, movimentação e velocidade""","Meia foi o escolhido para substituir Matheus Pereira no jogo contra o Vasco, no Mineirão",Redação do ge,"O auxiliar de Fernando Diniz, substituto do técnico no jogo contra o Fluminense (Eduardo Barros), saiu em defesa de Mateus Vital. O meia, escolhido para jogar no lugar de Matheus Pereira, foi tema de perguntas na coletiva, e o integrante da comissão garantiu que o jogador tem condições de ter bom desempenho.




- O Vital vai conseguir produzir para nossa equipe jogando de uma forma mais alinhada ao modelo de jogo do Fernando Diniz e, principalmente, com as características que o próprio Vital tem. Isso vai demandar tempo.


Barros foi questionado sobre os números de Mateus Vital. O meia, no Cruzeiro, tem 65 jogos (24 nesta temporada) e quatro gols. No ano, ele marcou dois gols e não deu nenhuma assistência.
- Esses números do Vital, a gente precisa considerar a partir de agora, com o modelo de jogo que vai ser implementado com o Diniz.


Barros sinalizou que Vital poderá atuar em outras posições. Ele citou jogadores que atuaram com Fernando Diniz, mas renderam bem em outros setores.
- Com as equipes que o Diniz faz, alguns jogadores não jogam em uma posição somente em campo. Se olhar o mapa de movimentação do Arias, é muito difícil ver qual posição que ele atuava. O Léo, do Vasco, não era zagueiro. O Caio Henrique (atualmente lateral-esquerdo), que está na Europa. Agora é o Vital, porque tem características que se beneficiam do modelo de jogo do Diniz.



"
Escalação do Cruzeiro: Matheus Pereira vai para jogo contra o Fluminense; veja provável time,Meia do Cruzeiro confirma expectativas internas e viaja com a delegação para jogo no Rio de Janeiro,Gabriel Duarte,"O Cruzeiro está pronto para enfrentar o Fluminense, nesta quinta-feira, no Maracanã, às 21h30 (de Brasília), pelo Campeonato Brasileiro. A grande novidade na delegação é Matheus Pereira. A dúvida ainda é se o meia começa atuando.




O clube ainda não divulgou a lista de relacionados, o que pode não acontecer pelo segundo jogo seguido. Mas o ge confirmou que Matheus Pereira viajou com o grupo para o Rio de Janeiro na tarde desta quarta-feira em voo fretado.
Matheus participou do treino parcialmente aberto de terça-feira, fazendo trabalhos leves. Fez outra parte de forma separada. O Cruzeiro divulgou imagens da viagem para o Rio, mas ainda sem nenhum registro de Matheus Pereira nelas.
Como não participou completamente de nenhuma atividade e ainda ficou fora do jogo contra o Vasco, no último, para evitar uma possível lesão na coxa direita, Matheus Pereira é dúvida para começar jogando. Entretanto, viaja, confirmando as expectativas de bastidores apontadas pelo ge, depois do jogo de domingo.
Se Matheus Pereira não começar jogando, a dúvida é se Mateus Vital será mantido na equipe ou se até mesmo Barreal poderá ganhar uma chance. Outra possibilidade é o argentino ganhar uma chance, mas na vaga de Gabriel Veron, que ficaria como opção no banco.
Na zaga, João Marcelo retorna, mas Lucas Villalba deve ser mantido no setor defensivo ao lado de Zé Ivaldo. O Cruzeiro busca voltar a vencer no Campeonato Brasileiro, após três jogos (derrota para o São Paulo, além de empates com Cuiabá e Vasco).
Escalação do Cruzeiro: Cássio; William, Zé Ivaldo, Lucas Villalba e Marlon; Lucas Romero, Matheus Henrique e Matheus Pereira (Mateus Vital); Gabriel Veron (Álvaro Barreal), Lautaro Díaz e Kaio Jorge.



"
"De capitão à última opção no Cruzeiro, Lucas Silva tem missão de retomada com Diniz","Jogador perdeu espaço com contratações e, nos últimos jogos, foi para o fim da fila no meio",Redação do ge,"Em menos de três meses, Lucas Silva deixou o posto de capitão do Cruzeiro e passou a ser a última opção entre os volantes do elenco. O jogador, que perdeu espaço principalmente depois da janela do meio do ano, busca os primeiros minutos no início de trajetória de Fernando Diniz.




Lucas Silva iniciou a terceira passagem pelo Cruzeiro no segundo semestre do ano passado. Chegou para ser um dos líderes do elenco, que buscava a permanência na Série A. Demorou a ter sequência com Pepa, mas só não participou do segundo turno quando esteve suspenso.
Neste ano, o Cruzeiro modificou o elenco, mas Lucas seguiu com prestígio e começou a temporada como capitão na equipe de Nicolás Larcamón. O volante seguiu desta forma após o Mineiro, quando o argentino foi demitido, com Fernando Seabra contratado.
Lucas Silva manteve o status no elenco em todo o primeiro turno do Campeonato Brasileiro, perdendo o lugar na equipe com as contratações de Matheus Henrique e Walace. Elas custaram cerca de R$ 70 milhões aos cofres da SAF do Cruzeiro.
O primeiro jogo do então capitão do time na reserva - por opção da comissão técnica - foi a vitória por 3 a 0 sobre o Botafogo, na abertura do returno do Brasileirão. Desde então, ele participou de sete dos 14 jogos da equipe.
Todas essas partidas foram saindo do banco de reservas, com 227 minutos somados, correspondendo a menos de três jogos completos.
Além dos dois contratados na janela, ainda com Fernando Seabra no comando, Lucas Silva viu Japa e Vitinho passarem à frente na disputa por uma vaga. A dupla revelada na base, no entanto, foi para o departamento médico. Contra Cuiabá, ainda com o ex-técnico, e Vasco, com Diniz, Ramiro esteve à frente de Lucas entre as opções para o meio-campo.
Nos últimos jogos, quem começou a ter mais minutos em campo foi Fabrizio Peralta, contratado na janela do meio do ano. Além dele, Jhosefer voltará a treinar com os profissionais nos próximos dias, após ter disputado a final do Brasileirão sub-20.







"
"Atuações do Cruzeiro: Zé Ivaldo marca, e trio ofensivo faz bom jogo; veja notas",Time celeste fica no empate com o Vasco no Campeonato Brasileiro,Redação do ge,"O Cruzeiro recebeu o Vasco, pela 28ª rodada do Campeonato Brasileiro, e ficou no empate por 1 a 1, no Mineirão. O time teve tempo distintos. Na primeira etapa, sentiu falta de Matheus Pereira. O meio de campo contou com a movimentação de Lautaro Díaz. Na segunda etapa, com Barreal, Kaio Jorge e Lautaro ficaram mais soltos para o ataque. Dos pés do canhoto argentino saiu o cruzamento certeiro para Zé Ivaldo marcar para o Cruzeiro. Dê suas notas.







"
"No Cruzeiro, Matheus Pereira treina à parte; Rafa Silva inicia transição e é aguardado por Diniz",Meia é aguardado para jogo de quinta-feira; Fernando Diniz pode ter reforço no ataque em breve,Redação do ge,"O Cruzeiro tem a confiança de contar com o retorno de Matheus Pereira para o jogo contra o Fluminense, na quinta-feira, no Maracanã, pelo Campeonato Brasileiro. Segundo apurou o ge, há otimismo quanto a utilização do jogador, mas, nesta segunda-feira, ele ainda realizou trabalhos à parte do elenco no campo da Toca da Raposa.




Matheus Pereira sentiu um incômodo muscular na coxa direita, passou por avaliações que apontaram risco de lesão e ficou fora do jogo contra o Vasco. Ele nem participou da atividade em campo, no sábado, na Toca. Nos bastidores, há expectativa de que o incômodo evolua, e Pereira possa jogar.
Quem será opção em breve no Cruzeiro é Rafa Silva. O atacante iniciou processo de transição nesta segunda-feira, após se recuperar de lesão no tendão da parte posterior do joelho. Após o jogo desse domingo, Eduardo Barros, auxiliar de Diniz já havia indicado que contará com o atleta para as próximas rodadas.
- Rafa Silva, em breve, vai ser reintegrado ao grupo. Já está na fase final de recuperação. Temos um bom time para chegar nos desafios que temos na temporada – garantiu.
Rafa Silva, que retornou ao Cruzeiro no início do ano, ganhou sequência como titular, mas sofreu lesão muscular em junho. O atacante ficou afastado por quase dois meses, voltou a ser relacionado, mas machucou o joelho antes de entrar em campo. No total, são três meses e meio fora de partidas. No ano, ele acumula 16 jogos e quatro gols.



"
Cruzeiro vive pior sequência entre candidatos à Libertadores e mira recuperação para conseguir G-6,"Considerando recorte dos dez últimos jogos do Brasileiro, time celeste tem pontuação abaixo do que todos os times acima na tabela",Redação do ge,"O tropeço como mandante, com empate por 1 a 1 com o Vasco, no domingo, fez o Cruzeiro perder uma posição na tabela do Brasileirão. O time agora é o 8º, com 43 pontos e está a dois do grupo que dá classificação à Libertadores de 2025, principal objetivo cruzeirense para a competição nacional. A saída recente do G-6, no entanto, é explicada não só pelo resultado do final de semana, mas também por um passado recente.




Fazendo um recorte dos dez últimos jogos (e não rodadas, porque há duelos atrasados que foram realizados recentemente), o Cruzeiro tem a pior campanha no comparativo com as equipes que estão acima na tabela. A equipe somou apenas 11 dos 30 pontos possíveis – aproveitamento de 36,6%.
Nesse período, o Cruzeiro acumulou duas vitórias, cinco empates e três derrotas, com dez gols marcados e oito sofridos. A sequência negativa pesou para a saída do técnico Fernando Seabra, que comandou o time em nove desses jogos. A comissão de Diniz, que chegou para o lugar, estreou no torneio diante do Vasco.
A sequência dos últimos dez jogos começou com vitória por 3 a 0 sobre o líder Botafogo, no Rio de Janeiro, e deu indícios de que o time embalaria na competição. Depois daquela partida, na 20ª rodada, o Cruzeiro ficou em 5º lugar, com 35 pontos, a cinco do time carioca - que dividia a ponta com o Flamengo - e a um de Palmeiras e Fortaleza, que vinham nas posições seguintes.
Ao utilizar apenas três rivais como comparação já é possível notar a queda de desempenho do Cruzeiro. Neste momento, o Botafogo está 14 pontos à frente, enquanto Palmeiras e Fortaleza estão a 13 e 12, respectivamente. O único que segue com a mesma diferença para o Cruzeiro é o Flamengo.
Em meio à instabilidade no Brasileirão, o Cruzeiro, além de ver os adversários da frente se desgarrarem, perdeu posições para São Paulo, Bahia e Internacional. Nesse recorte recente, inclusive, o time foi derrotado para o São Paulo e deixou cinco pontos pelo caminho em duelos com o Colorado.
Em relação aos adversários que estão abaixo do Cruzeiro na tabela, Vasco e Atlético-MG são aqueles que surgem ainda como candidatos ao G-6. Apesar de estarem distantes, têm jogos a menos. A dupla, no recorte dos últimos dez jogos, também foi melhor que a equipe celeste. O rival local somou 14 pontos, enquanto os cariocas fizeram 13.







"
