title,subtitle,author,article_content
Inter anuncia venda de zagueiro para clube dos Emirados Árabes; veja valores,Igor Gomes deixa o Beira-Rio para atuar no Shabab Al Ahli,Tomás Hammes,"Agora é oficial. O Inter anunciou nesta segunda-feira com concluiu a negociação para a venda do zagueiro Igor Gomes para o Shabab Al Ahli, clube dos Emirados Árabes Unidos. O zagueiro já não atuou na partida contra o Vitória, neste domingo, por causa da negociação.
+ O ge está no WhatsApp! Siga o canal ge Inter
– O Sport Club Internacional comunica que chegou a um acordo com o Shabab Al Ahli Club, de Dubai, para a venda em definitivo do atleta Igor Gomes. O jogador vestiu a camisa colorada em 63 oportunidades, marcando 3 gols e fornecendo 1 assistência. O clube agradece pelos serviços prestados e deseja sucesso na continuidade de sua carreira – diz o comunicado do clube.
Os valores não foram divulgados, mas o ge apurou que a negociação foi fechada por US$ 5 milhões (R$ 27,2 milhões na cotação atual). Deste montante, o Inter ficará com US$ 4,5 milhões (R$ 24,4 milhões). A janela de transferências dos Emirados se encerra nesta segunda, dia 30.
O zagueiro havia renovado o contrato até o fim de 2026 há um mês. O defensor está no Beira-Rio desde agosto de 2022 após passagem pela base do Barcelona. Disputou 63 jogos pelo clube gaúcho, o último deles ao entrar no primeiro tempo do empate do Inter com o Bragantino.
Sem Igor Gomes, o técnico Roger Machado conta apenas com dois zagueiros disponíveis atualmente: Vitão e Clayton Sampaio, que fez sua estreia contra o Vitória. Gabriel Mercado e Augustín Rogel estão no departamento médico – o primeiro só volta a atuar no segundo semestre de 2025.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
Fernando leva o terceiro cartão amarelo e desfalca o Inter contra o Corinthians,"Volante ainda saiu com um problema no tornozelo direito, mas não preocupa para a sequência do Brasileirão",Redação do ge,"Apesar de manter o embalo e atingir o oitavo jogo de invencibilidade no Brasileirão, o Inter tem mais um problema para o confronto diante do Corinthians. Fernando levou o terceiro cartão amarelo no 3 a 1 sobre o Vitória na noite de domingo e desfalcará o time na Neo Quimica Arena.
+ O ge está no WhatsApp! Siga o canal ge Inter
O volante era um dos cinco pendurados dos gaúchos. Rafael Borré, Bruno Gomes, Renê e Wanderson completavam a lista. Thiago Maia e Enner Valencia passaram a estar neste grupo depois do jogo com o Vitória.
O Polvo foi punido aos 25 minutos do segundo tempo. Estava para ser substituído por Rômulo em razão de um problema no tornozelo direito e o fato de sair lentamente trouxe o cartão. A situação não inspira uma preocupação maior.
– O Fernando sentiu o tornozelo. Tem a semana toda para tratar e levou o terceiro. Dá para descansar o velhinho - brincou Roger Machado.
A situação é importante pelas baixas do Inter. Antes do jogo, veio a confirmação do problema de Rafael Borré. O colombiano apresentou uma lesão na coxa esquerda, mesmo problema de Rogel.
Veja mais:
+ Roger ""esquece"" Gre-Nal: ""Mês tem três dias""
+ Dê notas aos colorados após mais uma vitória
+ Wesley agradece Alan Patrick: ""Promoção""
+ Borré tem lesão na coxa esquerda
+ Mauricio Saraiva: o diferente fez a diferença
O Colorado perdeu Gabriel Mercado, que passará por uma cirurgia no joelho esquerdo e ficará afastado por um longo período. Lucca aprimora a condição física após bursite no mesmo local do argentino. Ivan operou o joelho direito.
Com o resultado, o Inter soma 45 pontos e está em sétimo lugar no Brasileirão. Na próxima rodada, o time de Roger Machado enfrenta o Corinthians. A partida ocorrerá às 19h na Neo Quimica Arena.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
"Inter muda quase toda defesa com Roger, mas se mantém entre as melhores do Brasileirão","Da linha defensiva ideal utilizada por Eduardo Coudet, apenas Vitão permanece como titular",Gabriel Girardon,"O bom momento vivido pelo Inter, em ascensão no Campeonato Brasileiro, passa muito pela solidez defensiva. Embora já fosse uma marca nos tempos de Eduardo Coudet, o time seguiu forte na defesa com Roger Machado, apesar de ter várias alterações no setor. Quase todo se modificou, na verdade.
+ O ge está no WhatsApp! Siga o canal ge Inter
Veja também:
+ Inter prevê volta de Borré para o clássico Gre-Nal
+ Inter fecha setembro sem derrotas; veja números
Apesar das trocas, o Inter se mantém como uma das melhores defesas da Série A do Brasileirão. Mesmo com os gols sofridos nos dois últimos jogos, a equipe levou 24 em 27 partidas (0,88 de média). Apenas o Palmeiras, com 20 em 28, está acima dos gaúchos no quesito.
O setor se transformou recentemente. Aliás, se considerar a própria estreia de Roger no comando do Inter, a linha de defesa mais recente foi totalmente distinta. Quando a equipe encarou o Rosario Central, em 23 de julho, no Beira-Rio, os titulares foram Bustos, Mercado, Robert Renan e Renê.
No último domingo, quando venceu o Vitória, o Inter começou com Bruno Gomes, Vitão, Clayton Sampaio e Bernabei na defesa. Titular com Roger, Vitão também tinha lugar absoluto no time com Coudet, mas quando houve troca no comando técnico estava indisponível por lesão e depois pela possibilidade de ser negociado.
Pouco depois da chegada de Roger, Bustos foi o primeiro a deixar o clube, negociado com o River Plate. Robert Renan foi outro a sair, repassado pelo Zenit ao Al-Shabab, da Arábia Saudita. Mercado sofreu grave lesão, e Renê, de fato, perdeu a titularidade com o novo treinador.
As laterais foram as principais novidades de Roger Machado. A escassez no setor direito fez o volante Bruno Gomes ser improvisado. Deu tão certo que os dois jogadores de origem da posição contratados, Nathan e Aguirre, estão atrás do lateral adaptado na hierarquia.
Na esquerda, Bernabei passou a ter chances com Roger e não saiu mais. Após fazer apenas um jogo em mais de três meses no clube com Coudet, o argentino entrou no intervalo na estreia do novo treinador e engatou sequência como titular que dura até hoje – são 13 jogos seguidos.
A mudança mais recente na defesa foi forçada. Mercado lesionou o joelho esquerdo e ficará longo período inativo. Agustín Rogel foi a opção imediata de Roger, mas também sofreu um problema físico, embora sem muita gravidade. Igor Gomes seria a alternativa seguinte, mas acabou negociado pelo Inter com Shabab Al Ahli, dos Emirados Árabes.
Assim, a oportunidade surgiu para Clayton Sampaio, recém-chegado ao clube do AVS, de Portugal. O zagueiro já estava à disposição, mas ainda não havia estreado. Contra o Vitória, formou dupla com Vitão. Os dois são os únicos da zaga disponíveis no elenco principal neste momento.
Domingo passado, o jovem Victor Gabriel, de 20 anos, foi relacionado pela primeira vez e ficou como opção no banco. Anteriormente, outro garoto, Evertow, de 17, também havia sido chamado por Roger. A tendência é que mais zagueiros da base sejam utilizados junto ao profissional.
O próximo desafio do Inter será contra o Corinthians, uma das equipes com média abaixo de um gol por jogo no certame nacional (27 em 28 partidas). O confronto ocorre apenas no sábado, na Neo Química Arena. Até lá, Roger poderá seguir reforçando a defesa colorada.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
Inter confirma lesão de Rogel e tem volta de Bruno Tabata; veja relacionados,"Sem o uruguaio, Colorado fica apenas com dois zagueiros à disposição para jogo deste domingo com Vitória",Redação do ge,"O Inter confirmou a lesão muscular do zagueiro Rogel e tem apenas dois zagueiros disponíveis. Por outro lado, o meia Bruno Tabata está recuperado e volta a ficar à disposição contra o Vitória, no Beira-Rio, neste domingo.
+ O ge está no WhatsApp! Siga o canal ge Inter
Rogel teve uma lesão no músculo posterior da coxa esquerda no início do empate com o Bragantino. O clube não comunicou prazo para a recuperação do zagueiro. Sem o uruguaio, o técnico Roger Machado conta apenas com Vitão e Clayton Sampaio, que fará a estreia neste domingo. O jovem Victor Gabriel é a novidade na lista de relacionados.
Tabata estava fora desde o dia 16, quando o Inter venceu o Cuiabá no Beira-Rio, também por lesão muscular na coxa esquerda. O meia volta e disputa espaço no time titular com Wesley, embora a tendência seja de ficar como opção no banco.






🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
"Estatísticas do Inter em 2024: campanha, artilheiros e vídeos",Veja os números do Colorado na temporada nesta página,Redação do ge,"Saiba quem é o artilheiro, quem deu mais assistências e veja todos os gols do Inter em 2024. Essa página é atualizada pelo ge com os números do Colorado na temporada.




















Inter: Rochet; Bruno Gomes, Vitão, Rogel (Igor Gomes) e Bernabei; Fernando, Thiago Maia (Bruno Henrique), Gabriel Carvalho (Wanderson), Alan Patrick e Wesley (Gustavo Padro); Borré (Enner Valencia).




Inter: Rochet; Bruno Gomes, Vitão, Mercado (Rogel) e Bernabei; Fernando (Rômulo), Thiago Maia (Bruno Henrique), Gustavo Prado (Wanderson), Alan Patrick e Wesley; Borré (Enner Valencia).




Inter: Rochet; Bruno Gomes, Vitão, Mercado e Bernabei (Renê); Fernando, Thiago Maia (Bruno Henrique), Gabriel Carvalho (Gustavo Prado), Alan Patrick, Wesley (Wanderson); Borré (Enner Valencia).




Inter: Anthoni; Bruno Gomes, Vitão, Mercado e Bernabei; Fernando (Rômulo), Thiago Maia (Bruno Henrique), Bruno Tabata (Gustavo Prado), Alan Patrick e Gabriel Carvalho; Alario (Ricardo Mathias)




Inter: Rochet; Bruno Gomes (Nathan), Vitão, Igor Gomes e Bernabei; Rômulo, Thiago Maia (Bruno Henrique), Gabriel Carvalho, Bruno Tabata (Alan Patrick) e Wesley (Gustavo Prado); Borré (Valencia)




Inter: Anthoni, Bruno Gomes, Rogel, Mercado e Bernabei; Fernando, Thiago Maia (Rômulo), Gabriel Carvalho (Vitão), Bruno Tabata (Bruno Henrique) e Wesley (Valencia); Borré (Renê)




Inter: Rochet; Bruno Gomes (Rômulo), Rogel, Mercado e Bernabei; Fernando, Thiago Maia (Vitão), Gabriel Carvalho (Alan Patrick), Bruno Tabata (Bruno Henrique) e Wesley; Borré (Valencia)




Inter: Rochet; Bruno Gomes, Rogel, Mercado e Bernabei; Thiago Maia (Gustavo Prado), Bruno Henrique (Fernando), Bruno Tabata, Gabriel Carvalho (Ricardo Mathias) e Wesley; Valencia (Alario)




Inter: Rochet; Bruno Gomes, Rogel, Mercado e Bernabei; Rômulo, Thiago Maia (Fernando), Bruno Tabata, Gabriel Carvalho e Wesley (Gustavo Prado [Ricardo Mathias]); Valencia (Alario)




Inter: Rochet; Igor Gomes (Bruno Gomes), Rogel, Robert Renan e Bernabei; Rômulo (Ricardo Mathias), Bruno Henrique, Thiago Maia (Wanderson) e Gabriel Carvalho; Wesley e Valencia (Alario)




Inter: Rochet; Bustos, Vitão (Igor Gomes), Robert Renan e Bernabei; Rômulo, Bruno Henrique (Bruno Gomes), Gabriel Carvalho (Gustavo Prado) e Wesley (Hyoran); Borré (Lucca) e Valencia




Inter: Rochet; Bustos, Mercado, Robert Renan e Bernabei; Bruno Gomes (Rômulo), Bruno Henrique (Matheus Dias) e Gabriel Carvalho (Gustavo Prado); Wesley (Hyoran), Borré e Valencia (Lucca Drummond)




Inter: Rochet; Bustos, Mercado, Robert Renan e Renê (Bernabei); Rômulo (Bruno Gomes), Bruno Henrique (Gabriel Carvalho), Alan Patrick (Alario) e Wesley (Gustavo Prado); Borré e Valencia




Inter: Rochet; Igor Gomes, Mercado, Robert Renan e Renê; Rômulo (Gustavo Prado), Bruno Gomes, Bruno Henrique e Wesley (Hyoran); Borré e Alario (Lucca)




Inter: Rochet; Bustos, Vitão (Igor Gomes), Mercado e Renê; Rômulo, Bruno Gomes, Bruno Henrique, Alan Patrick e Wesley (Gustavo Prado); Alario (Lucca)




Inter: Anthoni; Bustos (Igor Gomes), Vitão, Fernando (Mercado) e Robert Renan (Wanderson); Rômulo (Alario), Bruno Henrique, Bruno Gomes (Gabriel Carvalho), Alan Patrick e Wesley; Valencia




Inter: Anthoni; Bustos, Vitão, Mercado e Robert Renan; Fernando, Bruno Henrique (Bruno Gomes) e Alan Patrick; Wesley (Gustavo Prado), Wanderson (Alario) e Valencia




Inter: Fabrício; Bustos, Igor Gomes, Fernando e Renê (Robert Renan); Rômulo, Bruno Henrique (Wesley), Bruno Gomes (Gustavo Prado) e Hyoran (Alario); Alan Patrick e Lucca Drummond (Wanderson)




Inter: Fabrício; Igor Gomes (Hugo Mallo), Fernando, Robert Renan e Renê; Rômulo (Mercado), Gustavo Prado (Bruno Gomes), Bruno Henrique (Hyoran) e Wanderson; Alan Patrick e Alario (Lucca Drummond)




Inter: Fabrício; Igor Gomes, Vitão, Fernando e Renê; Rômulo, Bruno Henrique (Gustavo Prado), Thiago Maia (Aránguiz) e Wanderson; Alan Patrick e Lucca Drummond (Hyoran)




Inter: Fabrício; Hugo Mallo, Vitão, Robert Renan e Renê; Rômulo (Aránguiz, Thiago Maia, Bruno Henrique (Alario) e Alan Patrick; Wanderson (Hyoran) e Wesley (Gustavo Prado)




Inter: Fabrício; Bustos, Vitão, Fernando e Renê; Thiago Maia, Bruno Henrique (Aránguiz) e Alan Patrick (Mercado); Wesley, Wanderson (Igor Gomes) e Alario (Lucca [Gustavo Prado])




Inter: Fabrício; Bustos, Igor Gomes, Fernando e Robert Renan; Rômulo (Bruno Gomes), Bruno Henrique (Mercado) e Hyoran (Aránguiz); Wesley (Mallo), Wanderson e Alario (Lucca Drummond)




Inter: Fabrício; Mallo, Vitão (Bustos), Mercado e Robert Renan; Thiago Maia, Matheus Dias (Bruno Henrique), Aránguiz (Gabriel Carvalho) e Wanderson (Wesley); Hyoran (Gustavo Prado) e Alario




Inter: Fabrício; Bustos (Igor Gomes), Vitão, Fernando e Renê; Thiago Maia, Bruno Henrique (Gustavo Prado), Aránguiz (Bruno Gomes) e Wesley; Alan Patrick (Hyoran) e Lucca (Wanderson)




Inter: Fabrício; Mallo (Bustos), Vitão, Robert Renan e Renê; Fernando, Bruno Henrique (Wanderson), Aránguiz (Lucca) e Wesley (Thiago Maia); Alan Patrick e Alario (Igor Gomes).




Inter: Fabrício; Bustos, Igor Gomes, Fernando e Renê; Thiago Maia, Mauricio (Lucca), Bruno Gomes (Gustavo Prado) e Hyoran (Wesley); Alan Patrick (Bruno Henrique) e Alario




Inter: Rochet; Mallo (Igor Gomes), Vitão, Mercado e Robert Renan; Thiago Maia, Mauricio (Aránguiz), Bruno Henrique (Fernando) e Wesley (Renê); Enner Valencia (Alan Patrick) e Borré




Inter: Rochet; Bustos (Bruno Henrique), Vitão, Robert Renan (Aránguiz) e Renê; Fernando (Alario), Mauricio (Gustavo Prado), Alan Patrick e Wesley; Borré e Valencia




Inter: Rochet; Bustos (Matheus Dias), Vitão, Mercado e Renê; Thiago Maia (Fernando), Mauricio, Bruno Henrique (Gustavo Prado) e Wesley; Lucca (Alario) e Borré.




Inter: Rochet; Bustos, Vitão, Mercado (Robert Renan) e Renê; Thiago Maia, Bruno Henrique (Mallo) e Mauricio (Igor Gomes); Wesley (Rômulo), Gustavo Prado (Lucca) e Borré




Inter: Rochet; Mallo (Lucca), Vitão, Robert Renan e Renê; Rômulo (Thiago Maia), Bruno Henrique (Bustos) e Mauricio (Bruno Gomes); Wesley, Wanderson (Gustavo Prado) e Borré




Inter: Rochet; Bustos (Igor Gomes), Vitão, Mercado e Renê; Thiago Maia, Bruno Henrique (Rômulo) e Mauricio (Lucca); Wanderson (Gustavo Prado), Wesley (Robert Renan) e Borré




Inter: Rochet; Bustos, Vitão, Fernando e Renê; Thiago Maia (Mercado), Mauricio (Gustavo Prado), Bruno Gomes (Bruno Henrique) e Wanderson (Alario); Lucca (Wesley) e Borré




Inter: Rochet; Hugo Mallo, Igor Gomes (Bustos), Mercado e Bernabei; Thaigo Maia (Wanderson), Bruno Henrique, Alan Patrick (Lucca) e Wesley (Gustavo Prado); Borré e Alario (Mauricio)




Inter: Rochet; Bustos (Igor Gomes), Vitão, Fernando e Renê; Thiago Maia, Mauricio (Gustavo Prado), Bruno Gomes (Bruno Henrique) e Wanderson (Wesley); Alan Patrick (Lucca) e Borré




Inter: Rochet; Bustos, Vitão (Robert Renan), Mercado e Renê; Aránguiz (Bruno Gomes), Mauricio, Bruno Henrique (Valencia) e Wanderson; Alan Patrick e Lucca (Rômulo)




Inter: Anthoni; Bustos, Vitão, Mercado e Renê; Aránguiz, Mauricio, Bruno Henrique (Bruno Gomes) e Wanderson (Wesley); Alan Patrick (Lucca) e Valencia (Alario)




Inter: Anthoni; Bustos, Vitão, Robert Renan e Renê; Fernando, Mauricio (Wesley), Aránguiz (Alario) e Wanderson (Bruno Henrique); Alan Patrick (Bruno Gomes) e Valencia (Borré)




Inter: Anthoni; Bustos, Igor Gomes (Robert Renan), Vitão e Renê; Aránguiz (Bruno Gomes), Bruno Henrique, Mauricio e Wanderson (Hyoran); Alan Patrick (Lucca) e Valencia (Alario)




Inter: Anthoni; Bustos (Aránguiz), Igor Gomes, Vitão e Robert Renan; Rômulo, Gustavo Prado (Bruno Henrique), Bruno Gomes (Renê) e Wesley (Alan Patrick); Hyoran (Wanderson) e Lucca




Inter: Anthoni; Bustos, Igor Gomes, Vitão e Renê; Aránguiz (Bruno Gomes), Mauricio (Wesley), Bruno Henrique (Rômulo) e Wanderson (Gustavo Prado); Alan Patrick e Alario (Lucca)




Inter: Anthoni; Bustos, Vitão, Robert Renan e Renê; Aránguiz (Rômulo), Mauricio (Lucca), Bruno Henrique (Alario) e Wanderson (Wesley); Alan Patrick e Valencia (Bruno Gomes)




Inter: Anthoni; Bustos, Vitão, Mercado (Robert Renan) e Renê; Aránguiz (Hyoran), Bruno Henrique (Gustavo Prado), Alan Patrick (Rômulo) e Wanderson; Valencia e Alario (Lucca).




Inter: Anthoni; Bustos (Lucca), Vitão, Mercado e Renê; Aránguiz (Gabriel), Bruno Henrique (Rômulo), Alan Patrick e Wanderson (Hyoran); Valencia e Alario (Mauricio)




Inter: Anthoni; Bustos (Mercado), Vitão, Robert Renan e Thauan Lara; Rômulo, Gustavo Prado, De Pena e Hyoran (Luiz Adriano); Pedro Henrique (Bruno Henrique) e Lucca (Gabriel).




Inter: Anthoni; Bustos, Mercado, Robert Renan e Renê; Aránguiz, Bruno Henrique (De Pena), Alan Patrick (Rômulo) e Wanderson; Lucca (Alario) e Valencia (Luiz Adriano)




Inter: Anthoni; Bustos, Vitão (Mercado), Robert Renan e Renê; Aránguiz, Hyoran (Lucca), Bruno Henrique (Gustavo Prado) e Wanderson (Alario); Alan Patrick e Valencia.




Inter: Anthoni; Mallo (Renê), Mercado, Robert Renan e De Pena (Wanderson); Rômulo (Valencia), Hyoran, Campanharo (Aránguiz) e Gabriel Barros (Alan Patrick); Pedro Henrique e Alario




Inter: Anthoni; Bustos, Vitão (Robert Renan), Mercado e Renê; Aránguiz (Rômulo), De Pena (Hyoran), Bruno Henrique (Alario) e Wanderson; Alan Patrick e Valencia (Lucca).




Inter: Anthoni; Mallo, Igor Gomes (Vitão), Robert Renan e De Pena; Rômulo, Hyoran (Wanderson), Campanharo (Bustos) e Gabriel Barros (Bruno Henrique); Pedro Henrique (Alario) e Luiz Adriano.




Inter: Ivan (Anthoni); Bustos, Vitão, Robert Renan e Renê; Aránguiz, Bruno Henrique (Rômulo), Hyoran e Wanderson (Igor Gomes); Valencia (Pedro Henrique) e Alario (Luiz Adriano).

"
Borré tem lesão muscular e vira desfalque para o Inter,Colombiano é o artilheiro da equipe no período do técnico Roger Machado,Redação do ge,"O Inter apresentou um problema de última hora para o confronto diante do Vitória. Rafael Borré apresentou uma lesão no músculo posterior da coxa esquerda e está fora do confronto da noite deste domingo no Beira-Rio.
+ O ge está no WhatsApp! Siga o canal ge Inter
O departamento médico evitou estipular um prazo de retorno, mas o atacante deve ficar fora do duelo diante do Corinthians na Neo Quimica Arena, marcado para o dia 5 de outubro. O que indica sequência a Enner Valencia, que será o titular diante do Leão.
A lesão freia a ascensão de Borré no Colorado. O atacante virou o principal nome do time de Roger Machado, com cinco gols nas últimas oito partidas e é artilheiro do período com o treinador.
Além de Borré, Roger perdeu Agustín Rogel. O zagueiro sofreu a mesma lesão do colombiano. Lucca, após apresentar uma bursite no joelho esquerdo, aprimora a condição física.
Gabriel Mercado está fora do restante da temporada. O argentino passará por uma cirurgia no joelho esquerdo. Ivan, que realizou uma operação no joelho direito, também segue ausente.
O clube ainda encaminhou a venda de Igor Gomes ao Shabab Al-Ahli, dos Emirados Árabes. O defensor já foi liberado para definir os últimos trâmites e não atua mais pelo Colorado.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
Inter recebe maior público no Brasileiro e supera 500 mil torcedores no Beira-Rio no ano,Colorado contou com o apoio de quase 39 mil pessoas para superar o Vitória por 3 a 1 na noite de domingo,Tomás Hammes,"Além de superar o Vitória por 3 a 1 na noite de domingo, o Inter tem outro motivo a comemorar. O clube ultrapassou a marca de 500 mil torcedores presentes no Beira-Rio em 2024. O Colorado contou com o maior público no seu estádio no Brasileirão.
+ O ge está no WhatsApp! Siga o canal ge Inter
O Colorado contou com a presença de 38.654 pessoas que empurraram por mais três pontos e aumentaram a invencibilidade para oito partidas. O público permitiu alcançar a marca na temporada em 20 partidas no estádio.
Leia também
+ Clayton estreia e ganha elogios de Roger
+ Inter confirma venda de Igor Gomes; valores
+ Análise: Inter leva susto, mas reafirma momento
Com o público de domingo, o Inter atingiu 511.372 pessoas no Beira-Rio, o que representa uma média de 25.568 por jogo. O clube também está próximo de atingir 500 mil pagantes na temporada.
O maior público até o momento é o da vitória por 3 a 2 no Gre-Nal 441. Na oportunidade, 47.197 pessoas estiveram presentes e ajudaram a equipe, então comandada por Eduardo Coudet, a derrotar o maior rival no Gauchão.
O Colorado ainda contou com mais de 40 mil pessoas em outras duas oportunidades, ambas pelo estadual. Na vitória por 3 a 0 sobre o São Luiz, 40.101 torcedores acompanharam o confronto, enquanto na eliminação para o Juventude na semifinal 40.089 estiveram presentes.
O número chama atenção porque a estreia na temporada, na vitória sobre o Avenida, ocorreu com os portões fechados. O duelo seguinte como mandante, a vitória sobre o Ypiranga, foi de público restrito a mulheres, crianças, idosos e pessoas com deficiências (PCDs). Na ocasião, 12.490 pessoas estiveram nas arquibancadas.
Houve também o período em que o Inter precisou deixar o estádio, já que o Beira-Rio passava por reformas em razão dos estragos da enchente. Foram cinco partidas em 70 dias em que foi mandante afastado de sua casa.
Na luta por uma vaga à próxima edição da Conmebol Libertadores, o Colorado ainda tem mais cinco compromissos no Beira-Rio: Grêmio, Criciúma, Fluminense, Bragantino e Botafogo.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
Treino do Inter: Bruno Tabata participa de atividade com reservas e se aproxima de retorno,Meia está recuperado de lesão muscular na coxa esquerda e deve ficar à disposição de Roger para duelo com o Vitória,Gabriel Girardon,"O elenco do Inter voltou a trabalhar no fim da manhã desta sexta-feira, no CT Parque Gigante, de olho no compromisso de domingo, contra o Vitória, no Beira-Rio. O destaque da atividade foi a presença de Bruno Tabata, recuperado de lesão e que deve ficar à disposição do técnico Roger Machado.
+ O ge está no WhatsApp! Siga o canal ge Inter
Todo treinamento foi aberto à imprensa, um fato raro em qualquer clube atualmente. Em pouco mais de uma hora, foi possível observar um trabalho de jogadores reservas, reforçados por sete garotos da base, divididos em dois times em campo reduzido.
Tabata, cujo problema muscular na coxa esquerda foi confirmado há 11 dias, participou de toda atividade, aparentemente sem restrições. Desfalque nos últimos três jogos, o meia deve retornar ao time no domingo como opção no banco de reservas.
Veja também
+ D'Alessandro elogia Roger e detalha trabalho como diretor do Inter: ""Sou um complemento""
Ainda no treino, os jogadores titulares no empate com o Bragantino, quarta-feira, fizeram apenas algumas corridas em volta do gramado do CT. Neste grupo estava incluído Igor Gomes, que entrou ainda no primeiro tempo em Bragança Paulista por conta de lesão de Rogel.
O uruguaio, aliás, passou por exames médicos por conta das dores na coxa direita. O clube, até este momento, ainda não divulgou o diagnóstico, o que deve ocorrer ainda nesta sexta-feira. De qualquer forma, o zagueiro será mais uma baixa na defesa para este domingo.
Roger Machado comanda o último treino na tarde deste sábado, com portões fechados no CT Parque Gigante. Domingo, às 18h30, o Inter recebe o Vitória no Beira-Rio, pela 28ª rodada do Campeonato Brasileiro.


+ Assista: tudo sobre o Inter no ge e na TV"
"Roger aprova paciência do Inter para construir vitória e ""esquece"" Gre-Nal: ""Mês tem três dias""",Técnico garante que o foco está no confronto contra o Corinthians para manter o embalo no Brasileirão,Redação do ge,"O placar de 3 a 1 do Inter sobre o Vitória veio pela estratégia criada e a postura do time. O técnico Roger Machado seria importante não se afobar para encontrar espaços. Deu certo e o time saiu com mais um resultado positivo na noite deste domingo no Beira-Rio. O momento e a proximidade com o Gre-Nal já colocam o clássico no imaginário do torcedor, mas não no do técnico.
+ O ge está no WhatsApp! Siga o canal ge Inter
Roger, como faz habitualmente, explicou as ideias para a partida. Trouxe seu dialeto técnico e questões táticas para apontar a forma de buscar os três pontos. Apesar do gol sofrido de bola parada, avalia que os gaúchos mereceram o resultado.
– Seria um jogo de muita paciência e estratégia. Foi desta forma o primeiro tempo. Abrimos o segundo com um gol, antes de o adversário mostrar sua cara. Eles começaram a fazer uma saída de três (jogadores). Nos gerou mais dificuldades, mas não foi nas virtudes que conseguiu o desconto, mas na bola parada – ponderou.
A entrevista já trouxe o Gre-Nal para a discussão. O clássico 443 está previsto para 20 de outubro, mas só há o duelo contra o Corinthians antes dele. Roger respondeu sobre os pendurados e disse que não há um pedido específico para evitar levar um cartão.
Veja mais:
+ Dê notas aos colorados após mais uma vitória
+ Borré tem lesão na coxa esquerda e é mais um desfalque
+ Mauricio Saraiva: o diferente fez a diferença no Beira-Rio
Só que o duelo também trará um contorno especial. Será o primeiro de Roger pelo Inter. Questionado sobre o time do coração, evitou responder e disse que trabalha com orgulho no Inter, como ocorreu no período do Grêmio, mas que ainda não está focado no clássico.
– Não tem como pensar. O mês do treinador tem três dias, o semestre sete e o ano 30. Nem alcança lá. Quando planejo a semana, na próxima, quando chegam Paulo (Paixão, preparador físico) e Adriano (Loss, supervisor de logística), pergunto o século que querem falar é qual? Não alcanço. Penso agora no próximo jogo, o Corinthians. Depois me dedicarei ao clássico, que será algo singular na minha trajetória – completou.
Com o resultado, o Inter soma 45 pontos e está em sétimo lugar no Brasileirão. Na próxima rodada, o time de Roger Machado enfrenta o Corinthians. A partida ocorrerá às 19h na Neo Quimica Arena.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
Escalação do Inter: Roger esboça time com Rômulo para encarar o Corinthians,"Sem Fernando, que cumpre suspensão, técnico indica substituto no meio-campo",Tomás Hammes,"O Inter tenta manter o embalo no Brasileirão e segue a preparação para encarar o Corinthians. Na manhã desta quarta-feira, Roger Machado promoveu mais uma atividade e, embora não tenha contado com Rochet, Vitão e Bruno Tabata, indicou o que pretende apresentar na Neo Química Arena.
+ O ge está no WhatsApp! Siga o canal ge Inter
O trio ausente, neste momento, não preocupa. O goleiro permaneceu na academia, enquanto o zagueiro e o meia realizaram exercícios específicos na parte interna do Centro de Treinamentos Parque Gigante e depois correram no gramado.
Em campo, após o primeiro exercício no qual promoveu uma troca de passes, o técnico separou duas equipes. Anthoni atuou na vaga de Rochet, o garoto Victor Gabriel foi o companheiro de Clayton Sampaio na zaga e Rômulo substituiu Fernando. O volante, além de cumprir suspensão pelo terceiro cartão amarelo, está com um incômodo no tornozelo direito.
Roger pedia para a equipe sair rápido da pressão, em até seis toques, para chegar ao ataque pelos lados e tentar o gol. Gabriel Carvalho atuou pela direita, Alan Patrick seguiu centralizado na trinca de meias, Wesley pela esquerda e Enner Valencia como o jogador mais avançado.
Veja também
+ Inter muda quase toda defesa, mas se mantém entre as melhores
Além de Fernando, o departamento médico atualmente conta com três jogadores: Agustin Rogel e Rafael Borré, ambos com lesão muscular na coxa esquerda, Gabriel Mercado, que passará por cirurgia no joelho direito, e Ivan, em recuperação de uma operação no joelho esquerdo.
Roger tem mais duas sessões de treinamento antes da partida, nas manhãs de quinta e sexta-feira. O duelo com o Corinthians está marcado para sábado, às 19h, na Neo Química Arena, pela 29ª rodada do Campeonato Brasileiro.
🎧 Ouça o podcast ge Inter 🎧
+ Assista: tudo sobre o Inter no ge e na TV"
