title,subtitle,author,article_content
São Paulo analisa estádios em Campinas e Bragança Paulista para enfrentar o Vasco,"Equipe não poderá jogar no Morumbis, que terá o gramado trocado após shows de Bruno Mars",Leonardo Lourenço,"Com a reforma do gramado do Morumbis, prevista para começar logo após a série de shows de Bruno Mars, que termina no dia 13, o São Paulo terá que mandar partida contra o Vasco, pela 30ª rodada do Brasileiro, em outro estádio. O clube avalia opções em Campinas e Bragança Paulista.
+ Siga o canal ge São Paulo no WhatsApp
O Brinco de Ouro, do Guarani, e o Nabi Abi Chedid, do Red Bull Bragantino, são os locais favoritos da diretoria neste momento.
Ambos são bem avaliados por suas estruturas e estão em cidades próximas de São Paulo, com viagens curtas de ônibus.
O Brinco de Ouro tem sido utilizado pelo Palmeiras em jogos em que o Allianz Parque não está disponível. O técnico Abel Ferreira fez vários elogios ao gramado do estádio.
Mais do São Paulo:
+ Entenda como funciona o fundo que o São Paulo quer usar para pagar dívidas com bancos
+ São Paulo pode fazer pré-temporada de 2025 no exterior
A capacidade, maior do que do estádio de Bragança, é outro ponto a favor – o jogo entre Palmeiras e Atlético-MG, no último final de semana, teve 16 mil pessoas, mais do que os cerca de 15 mil que o Nabi Abi Chedid pode receber.
O jogo está marcado para o dia 16 de outubro, às 21h45.
+ Leia mais notícias do São Paulo
Essa partida não poderá ser jogada em Brasília, apesar do contrato que o São Paulo tem com a gestora do Mané Garrincha, por que o regulamento da CBF veta que os últimos cinco jogos de mando de cada equipe sejam disputados fora de seu estado de origem – por isso as opções se limitam a São Paulo.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
Atuações do São Paulo: Lucas e Alan Franco são destaques em vitória no clássico; dê suas notas,"Tricolor bate Corinthians por 3 a 1 no Mané Garrincha, em jogo que ficou com dois a mais",Marcelo Braga,"Mais do São Paulo:
+ Veja como foi a definição do batedor do pênalti
+ Leia mais notícias do São Paulo
+ Siga o canal ge São Paulo no WhatsApp
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"Luciano tenta bater pênalti do São Paulo, mas Calleri toma a bola e incentiva Lucas a cobrar; vídeo","Camisa 10 se apresenta para cobrança no clássico contra o Corinthians, mas argentino dá a bola ao camisa 7, que havia perdido na Libertadores",Redação do ge,"Cobrador de pênaltis oficial da equipe do São Paulo, Lucas Moura recebeu incentivo de Calleri para voltar a bater uma penalidade quatro dias depois de desperdiçar a sua cobrança no tempo normal do duelo contra o Botafogo, pela Conmebol Libertadores, na última quarta-feira.
No clássico contra o Corinthians, neste domingo, em Brasília, quando o árbitro Rafael Rodrigo Klein analisou no VAR e confirmou pênalti de Fagner em Calleri, o atacante Luciano pegou primeiro a bola nas mãos e se apresentou para cobrar.
+ Leia mais notícias do São Paulo
Ele, Lucas e Calleri tiveram uma breve conversa, mas o argentino tirou a bola de Luciano e deu a Lucas. O camisa 10 chegou a esboçar uma reclamação, mas aceitou a imposição do argentino. Na cobrança, Lucas Moura bateu sem defesa para Hugo Souza, abrindo o placar no clássico em Brasília.
Na última semana, na entrevista coletiva após a eliminação na Libertadores, Luciano admitiu que se ofereceu para cobrar o pênalti, mas viu Lucas com confiança antes da cobrança. O Tricolor ficou no 1 a 1 com o Botafogo e, depois, nas penalidades, foi eliminado. Lucas e Luciano cobraram e marcaram.
+ Siga o canal ge São Paulo no WhatsApp
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
STJD julga árbitro de Fluminense x São Paulo na quinta-feira,Paulo Cesar Zanovelli foi denunciado por ignorar mão de zagueiro em gol dos cariocas; ele pode ser suspenso por até seis meses,Leonardo Lourenço,"O árbitro Paulo Cesar Zanovelli será julgado pela 5ª Comissão Disciplinar do STJD (Superior Tribunal de Justiça Desportiva) na quinta-feira por ter validado o primeiro gol do Fluminense na vitória por 2 a 0 sobre o São Paulo, no dia 1º de setembro.
+ Siga o canal ge São Paulo no WhatsApp
O lance gerou protestos dos paulistas: nele, o árbitro dá vantagem após uma falta de Calleri em Thiago Santos, mas, na sequência, ignora que o zagueiro Thiago Silva toca com a mão na bola – o atleta achou que a infração tinha sido marcada. Logo em seguida, Kauã Elias abriu o placar para o time da casa.
Mais do São Paulo:
+ Entenda como funciona o fundo que o São Paulo quer usar para pagar dívidas com bancos
+ Veja como foi o treino de segunda
Por causa dessa jogada, o São Paulo pediu a anulação da partida com o argumento de que se trata de um erro de direito. O Tribunal Pleno iniciou esse julgamento na semana passada, mas ele foi interrompido por um pedido de vista de uma auditora.
Zanovelli foi denunciado no artigo 259 do CBJD (Código Brasileiro de Justiça Desportiva), “deixar de observar as regras da modalidade”. A pena prevista é de 15 a 120 dias de suspensão, além de multa de R$ 100 a R$ 1.000.
+ Leia mais notícias do São Paulo
Esse artigo também abre a possibilidade de anular a partida se o erro for considerado “relevante o suficiente para alterar seu resultado”.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
São Paulo estuda fazer pré-temporada de 2025 no exterior,Clube analisa possibilidades e pode disputar torneio amistoso no início do próximo ano,Leonardo Lourenço e Marcelo Braga,"O São Paulo pode fazer parte da pré-temporada de 2025 no exterior. O clube tem convites para disputar torneios amistosos em janeiro e ainda analisa as opções.
+ Siga o canal ge São Paulo no WhatsApp
Uma possibilidade é treinar nos EUA e participar de uma competição nos moldes do Torneio da Flórida, que disputou e venceu em 2017.
A classificação para a Conmebol Libertadores do ano que vem pode interferir nessa decisão caso o São Paulo conquiste uma vaga para as fases preliminares do torneio – a segunda fase, onde entram clubes brasileiros, está marcada para começar em 19 de fevereiro.
Mais do São Paulo:
+ Entenda como funciona o fundo que o São Paulo quer usar para pagar dívidas com bancos
+ Veja como foi o treino de segunda
Atualmente, o São Paulo é o quinto colocado no Brasileiro, com 47 pontos. Os quatro primeiros vão direto para a fase de grupos da Libertadores, que começa em abril. O quinto e o sexto jogam a partir da segunda fase – há ainda uma terceira fase, ambas em mata-mata, antes dos grupos.
O São Paulo disputou o Torneio da Florida de 2017 e enfrentou o River Plate na semifinal, avançando para a decisão nos pênaltis após empate sem gols – foi a estreia de Rogério Ceni como treinador.
+ Leia mais notícias do São Paulo
A final foi contra o Corinthians, e mais uma vez o Tricolor venceu nos pênaltis, ficando com a taça.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
Escudo do São Paulo: como surgiu e a história do símbolo,Emblema é um dos mais longevos do futebol brasileiro e sofreu poucas mudanças ao longo da história,"Luiz Eduardo Porto, para o ge","O escudo do São Paulo é um dos mais icônicos do futebol brasileiro e um dos poucos que sofreram raras alterações ao longo da história. Os elementos principais do símbolo jamais foram mudados e a essência do distintivo tricolor é mantida desde a fundação do clube, em 1930.
+ Siga o canal do ge São Paulo no WhatsApp


No ano em que o Soberano nasceu, o estilista alemão Walter Ostrich (popularmente conhecido pelo apelido ""Oliver"") desenhou o escudo em um concurso, com a colaboração de Firmiano Morais Pinto Filho, um dos fundadores do São Paulo, no dia 26 de janeiro de 1930. Não existem relatos de um emblema semelhante em outros clubes anterior a esta data, o que fez o recém-criado símbolo servir de inspiração para escudos Brasil afora.


O estatuto do São Paulo definiu os elementos do escudo em 2008. O clube também chama o símbolo, oficialmente, de ""coração de cinco pontas"".
— O emblema é composto por um triângulo isósceles com o lado superior maior encimado por um retângulo, com altura equivalente a metade da lateral do triângulo, fundo preto e as letras SPFC, tipo mensageiro ""courier"", em branco. No interior do triângulo acima descrito, uma faixa branca central com ¼ da lateral menor, ladeado por um triângulo escaleno vermelho e outro preto, nessa ordem — define o estatuto do São Paulo.
+ Hino do São Paulo: veja letra, origem e história da música
Ao longo de 93 anos de história, o escudo tricolor sofreu poucas alterações. A mais nítida foi a retirada dos pontos que separavam as iniciais ""SPFC"", na década de 1980. As cores do São Paulo (vermelho, branco e preto) são originárias dos clubes que originaram o Soberano: o Club Athletico Paulistano (vermelho e branco) e Associação Atlética das Palmeiras (preto e branco). Segundo o estatuto oficial, as cores também remetem à bandeira do estado de São Paulo.


As estrelas que figuram no escudo do São Paulo não fazem parte do emblema como um todo. Mas, também de acordo com o estatuto de 2008, elas são insígnias que são sobrepostas ao símbolo como condecorações, além de marcarem presença em bandeiras.
Desde 1952, as estrelas douradas são adicionadas ao escudo como forma de representar títulos olímpicos ou mundiais do clube. A partir de 2000, estrelas vermelhas foram definidas como as representantes das conquistas mundiais ou intercontinentais do São Paulo.
+ Leia mais notícias do São Paulo
As três estrelas vermelhas no escudo são-paulino representam o tricampeonato mundial conquistado pelo clube (1992, 1993 e 2005), enquanto as duas estrelas douradas homenageiam os recordes mundiais do salto triplo atingidos por Adhemar Ferreira da Silva em 1952 (Olimpíadas de Helsinque) e 1955 (Jogos Panamericanos).
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"Zubeldía entra na mira do Boca Juniors, mas técnico não cogita deixar o São Paulo","Clube argentino procurou representantes do treinador, que não pretende trocar de clube","Leo Lepri, Leonardo Lourenço e Marcelo Braga","O técnico Luis Zubeldía, do São Paulo, tem sigo cogitado pelo Boca Juniors, da Argentina, para substituir Diego Martínez, que deixou o comando da equipe no fim de semana, após derrota para o Belgrano.
+ Siga o canal ge São Paulo no WhatsApp
Segundo a Tyc Sports, dirigentes do Boca teriam conversado com um representante de Zubeldía para entender o que seria preciso para trocar o Morumbis pela Bombonera. O ge confirmou essa informação.
Mais do São Paulo:
+ Entenda como funciona o fundo que o São Paulo quer usar para pagar dívidas com bancos
À reportagem, um cartola são-paulino disse que o clube não recebeu qualquer contato, seja do Boca ou do treinador, para informar sobre uma negociação.
Zubeldía, contratado em abril, tem vínculo até o fim de 2025. O São Paulo não confirma, mas o clube costuma estipular o pagamento de três salários como multa rescisória para treinadores.
O técnico argentino já tinha sido especulado como candidato a comandar a seleção do Equador, após a Copa América – ele fez bons trabalhos na LDU e no Barcelona, de Guayaquil. Ele foi procurado, mas a federação local fechou com outro argentino, Sebastián Beccacece.
+ Leia mais notícias do São Paulo
Neste momento, dirigentes tricolores não veem risco de perder o treinador. Mesmo após as recentes eliminações, na Copa do Brasil e na Conmebol Libertadores, avaliam o trabalho de Zubeldía como bom.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"Zubeldia evita análises e valoriza vitória do São Paulo após queda na Libertadores: ""Jogar com dor""","Tricolor vence Corinthians por 3 a 1 no Mané Garrincha, em jogo que ficou com dois a mais",Marcelo Braga,"Lucas, Arboleda e André Silva balançaram as redes para garantir a vitória do São Paulo, por 3 a 1, sobre o Corinthians - que terminou o jogo com dois a menos no Mané Garrincha. Reerguendo a equipe após as eliminações nas Copas - do Brasil e Libertadores -, o técnico Zubeldia valorizou o elenco para além das análises táticas neste domingo.
– É difícil analisar o rendimento, vínhamos de uma semana muito difícil. Colocar em cima da mesa a análise de jogo me parece desnecessário. Sabíamos que necessitávamos ganhar, não só por nós, pelos torcedores, por nossa família. Apesar da dor, a Libertadores era nosso motor mais importante do ano, soubemos jogar com essa dor, e pouco a pouco ir crescendo no Brasileirão, para isso é importante ganhar hoje – disse o treinador.


+ Siga o canal ge São Paulo no WhatsApp
Mais do São Paulo:
+ Veja como foi a definição do batedor do pênalti
O São Paulo terminou o clássico com maior posse de bola - de 55% contra 45% - e mais finalizações que o Corinthians, com 19 e 11. Na vantagem numérica, por conta das expulsões de Fagner e André Ramalho no rival, o Tricolor ainda caiu de ritmo no segundo tempo, mas garantiu a vitória para seguir vivo por sua nova meta: uma vaga no G-4.
Para alguns - como o próprio Rafinha -, houve a sensação de que o São Paulo poderia ter feito mais - ampliando o placar. Não para Zubeldia, contudo.
– Essa sensação não tenho. Era um clássico, depois de uma semana em que estou muito triste, os jogadores também, e mesmo assim demonstramos que somos muito competitivos, por isso estamos entre os 5. Temos espírito. Faremos todo o possível para jogar a Libertadores seguidamente. Muitas equipes boas com poder econômico, não é fácil, mas vamos jogo a jogo para terminar o melhor possível – afirmou.


Com o resultado, o São Paulo chegou a 47 pontos e ganhou uma posição, entrando no G-4 de forma provisória - em 4º lugar e agora torcendo contra o Flamengo, que enfrenta o Athletico às 20h.
+ Leia mais notícias do São Paulo
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"São Paulo se reapresenta, e Zubeldía busca substitutos para Calleri e Alan Franco","Atacante e zagueiro estão suspensos e não poderão enfrentar o Cuiabá, sábado, pelo Brasileirão",Redação do ge,"Os jogadores do São Paulo voltaram aos treinos na manhã desta terça-feira, no CT da Barra Funda, a primeira atividade desde a vitória sobre o Corinthians, no domingo – a segunda-feira foi de folga para o elenco.
+ Siga o canal ge São Paulo no WhatsApp
O técnico Luis Zubeldía prepara a equipe para enfrentar o Cuiabá, sábado, às 19h, na Arena Pantanal, pela 29ª rodada do Brasileirão. Para essa partida, ele não terá dois titulares: Alan Franco e Calleri estão suspensos, assim como o reserva Erick. Sabino e André Silva partem como favoritos para essas vagas.
Mais do São Paulo:
+ Entenda como funciona o fundo que o São Paulo quer usar para pagar dívidas com bancos
Nesta terça, o grupo de atletas foi dividido em dois: os que jogaram por mais tempo contra o Corinthians fez exercícios de recuperação, enquanto o outro trabalhou com bola.
No gramado, Zubeldía comandou atividades técnicas em campo reduzido, posse de bola e confronto.
O São Paulo terá a semana sem jogos para montar a equipe para sábado.
+ Leia mais notícias do São Paulo
Com 47 pontos, o time é o quinto colocado no Brasileiro, um ponto atrás do Flamengo, o quarto.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
Top-10: Arboleda entra em ranking de artilheiros gringos do São Paulo,"Gol sobre o Corinthians foi o 20º do zagueiro equatoriano, que ultrapassou os 300 jogos com a camisa tricolor",Redação do ge,"O zagueiro equatoriano Arboleda entrou para a lista de dez maiores artilheiros estrangeiros do São Paulo ao marcar o segundo gol da vitória sobre o Corinthians por 3 a 1, domingo, em Brasília.
+ Siga o canal ge São Paulo no WhatsApp
Foi o 20º gol dele com a camisa do São Paulo, clube que defende desde 2017. Ele se igualou ao meia peruano Cueva.
Mais do São Paulo:
+ Clube planeja trocar gramado do Morumbi após shows
Ele também é o único equatoriano da lista, dominada por argentinos – Calleri, do atual elenco, é o segundo maior artilheiro, com 76 gols marcado, atrás do uruguaio Pedro Rocha, com 119.
Os números são do Anotações Tricolores.
Veja os Top-10:


– Só posso agradecer a Deus e parabenizar o grupo. Sabíamos que esse clássico seria muito difícil, mas nós merecíamos e trabalhamos para isso – afirmou Arboleda depois do jogo.
+ Leia mais notícias do São Paulo
Foi a 301ª partida do equatoriano pelo São Paulo, o que o coloca como o quarto jogador nascidos fora do país com mais jogos pelo clube. À frente dele estão José Poy (525 jogos), Darío Pereyra (453) e Pedro Rocha (392).
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
