title,subtitle,author,article_content
"Sem Machado contra o Atlético-MG, Carpini indica retorno de Willian Oliveira ao Vitória",Volante do Rubro-Negro recebe terceiro cartão amarelo na derrota para o Internacional,Redação do ge,"O Vitória foi batido pelo Internacional, no último domingo, e não poderá contar com Filipe Machado para enfrentar o Atlético-MG. O volante recebeu o terceiro cartão amarelo contra o Colorado e terá que cumprir suspensão no jogo deste sábado, às 16h30 (de Brasília), na Arena MRV, pela 29ª rodada do Campeonato Brasileiro.
✅ Siga o ge Vitória nos Canais do WhatsApp
Machado ainda não tinha recebido cartões amarelos pelo Vitória, mas foi advertido duas vezes ainda quando defendia as cores do Cruzeiro, pelas décima e 16ª rodadas. Por isso, o volante chegou pendurado e está suspenso após receber o primeiro cartão pelo Rubro-Negro.
O meio-campista disputou nove partidas pelo Leão desde a sua chegada ao Barradão, no fim de julho, sendo sete jogos como titular.
Cartões recebidos por Machado no Brasileirão:




Substituto de Machado na volta para o segundo tempo da partida contra o Internacional, Willian Oliveira é o favorito a assumir a vaga de titular no jogo contra o Atlético-MG. O técnico Thiago Carpini, inclusive, explicou que essa é a troca mais provável.
- Também é pensando no Atlético-MG, mas muito pelo cartão amarelo, acho que o Machado não fez uma das suas melhores apresentações, mas é um cara muito importante para nós, tem uma bola parada muito decisiva. O risco de ficar com um a menos contra um adversário tão qualificado era grande. Pensando na sequência, a entrada do William é um possível mexida, temos também o Léo Naldi, o Ryller… Mas, naquele momento, o importante era não correr riscos - explicou.
+ Atuações: Machado e Carlos Eduardo são os piores do Vitória contra o Internacional
Willian Oliveira tem 45 jogos disputados na temporada 2024, sendo 39 como titular, mas perdeu espaço no 11 inicial rubro-negro nas últimas rodadas. Mesmo assim, ainda é o quarto jogador com mais minutos pelo Vitória em 2024 (3.348) e o terceiro em número de partidas.
+ Veja mais notícias sobre o Vitória
+ Veja a tabela do Campeonato Brasileiro
Assim como mencionado por Carpini, outras opções para a posição são Ricardo Ryller, Léo Naldi, Jean Mota, José Breno e Pablo Baianinho, mas apenas Ryller ganhou minutos nas três últimas partidas do Vitória. O meio-campista entrou no segundo tempo das vitórias sobre Atlético-GO e Juventude.


A boa notícia é que o Vitória conta com o retorno de Janderson para enfrentar o Atlético-MG. O atacante cumpriu suspensão contra o Inter, por acúmulo de cartões amarelos, e fica como opção para Carpini caso o técnico pense em alguma mudança para o trio de ataque formado por Gustavo Mosquito, Carlos Eduardo e Alerrandro.
Vale lembrar que o Rubro-Negro enfrenta o Atlético-MG para seguir fora da zona de rebaixamento. O Corinthians abre o Z-4 com a mesma pontuação do Vitória, que é o 16º colocado por superar o time paulista no critério de resultados positivos (8 a 6)."
"Carpini opina sobre números para escapar do Z-4 e revela papo inicial para renovar: ""Me vejo no Vitória""","Entrevista exclusiva com o treinador vai ao ar no Globo Esporte deste sábado, às 13h20 (de Brasília)","Gabrielle Gomes, Rafael Teles e Tiago Reis","O técnico Thiago Carpini abriu as portas de casa e recebeu a equipe do ge e do Globo Esporte BA para uma entrevista exclusiva que vai ao ar no programa deste sábado, às 13h20 (de Brasília). Em meio ao bate papo, o treinador do Vitória revelou que já existiu um contato inicial, ainda informal, para debater a renovação de contrato com o clube. O vínculo atual vai até o fim desta temporada.




- Estou feliz no Vitória e acredito no trabalho de continuidade. Teria acontecido no Juventude se não fosse o São Paulo e teria acontecido no São Paulo se não fossem algumas adversidades depois do começo da Libertadores. Para você ter uma ideia, metodologia, participar de construção de elenco, hoje conheço muito bem o que tenho em mãos - contou Thiago Carpini.
O treinador desembarcou em Salvador em maio deste ano. Depois de pouco mais de quatro meses na Toca do Leão, garante estar identificado com o Vitória e não esconde que quando olha para o futuro consegue se enxergar vestindo vermelho e preto. Mas, antes, quer comemorar um ""título"" em forma de manutenção na Série A.
- Não tenho por que não falar que me vejo no Vitória. Sou muito bem abraçado. O que falta para uma felicidade completa, se acontecer uma renovação, vou ficar muito feliz. Me vejo no Vitória. Se tudo acontecer pela permanência e a gente continuar, não tenho dúvida que pode ser um ano melhor, trazer os meus filhos, a minha esposa e, sem dúvida, a gente vai estar muito mais completo - projetou Carpini.
+ Veja mais notícias sobre o Vitória
+ Veja a tabela do Campeonato Brasileiro
Thiago Carpini encontrou o Vitória na zona de rebaixamento, ainda sem vencer no Campeonato Brasileiro. O cenário atual ainda é de luta contra o Z-4, mas agora com o Rubro-negro fora do grupo dos quatro últimos colocados e com oito triunfos na competição. O aproveitamento do treinador é de 39% em 23 jogos.


Com mais onze jogos pela frente, o treinador disse ter uma meta de pontos combinada com os jogadores, mas preferiu não revelar. Ainda assim, deu uma pista de as contas não devem ""fugir"" muito dos 42 pontos, perto da média histórica da competição de 43 pontos. Para chegar lá, o Vitória precisaria de mais 14 dos 33 restantes em disputa ainda (42%).
- A gente tem uma meta combinada entre nós. Não vou expor porque vou ser cobrado por isso. Nosso combinado é nosso combinado. Eles (matemáticos e imprensa) falam em 42, pelo que tenho acompanhado. Acho que não vai fugir muito disso. O Vitória tem de muito bom o número de vitórias. O problema é que a gente perdeu muito nos jogos pelo detalhe, não empatar. O Corinthians, que tem a mesma pontuação do Vitória, tem duas vitórias a menos. Então isso é critério na reta final, faz diferença.
Ainda no papo com o ge e o Globo Esporte, Carpini explica as saídas de Rodrigo Andrade e Dudu, o papel que exerceu na contratação dos reforços na segunda janela, a vida em Salvador, a situação de Osvaldo, grande fase de Matheusinho e muito mais."
Vitória abre sequência como visitante contra o Inter para manter reação e seguir fora do Z-4,"Depois de duas vitórias consecutivas em confrontos diretos, Rubro-Negro tem desafio contra dois postulantes à Libertadores",Redação do ge,"Há duas rodadas o Vitória estava afundado na zona de rebaixamento do Brasileirão, a cinco pontos de distância do 16º colocado. Porém, depois de triunfos sobre Atlético-GO e Juventude, o Rubro-Negro retomou a boa fase e saiu do Z-4. Mas, para se manter fora da degola, vai precisar superar dois times postulantes à Libertadores em jogo fora de casa. O primeiro desafio será neste domingo, contra o Internacional.


Próximos dois jogos do Vitória:


Durante esse período, a equipe baiana ficará mais de um mês sem jogar em seu estádio, já que, depois dos jogos contra Internacional e Atlético-MG, o Brasileirão para em razão da Data Fifa. A previsão de retorno é para o dia 20 de novembro, quando o Leão recebe o Bragantino, no Barradão.
O Vitória está na 16ª posição, com 28 pontos, mas não depende só de si para se manter neste posto, já que o Fluminense, que é o 18º, tem um jogo a menos e pode chegar aos 30 pontos.
O Colorado é o 8º colocado, com 42 pontos, mesma pontuação do Bahia (primeiro time do G-6) e três a menos que o Flamengo (equipe que abre o G-4). O detalhe é que o time de Roger Machado engatou uma sequência de sete jogos de invencibilidade no Brasileirão.
Mas Thiago Carpini ao menos tem de onde tirar inspiração, já que seu primeiro triunfo como técnico do Vitória foi justamente contra o Internacional, no Barradão. À época, o Rubro-Negro vinha de nove jogos de jejum no Campeonato Brasileiro e ganhou um respiro na competição ao bater o Colorado por 2 a 1, pela 9ª rodada. Coincidência ou não, a equipe também superou o Atlético-MG em casa e concretizou sua melhor sequência no Brasileirão até aqui.
+ Vitória tem retrospecto recente positivo contra o Inter e boas lembranças do Beira-Rio
+ Alan Patrick e Matheusinho são esperanças de Inter e Vitória em campanhas de recuperação


O Vitória conta com as voltas de Lucas Arcanjo e Alerrandro, dois titulares da equipe de Thiago Carpini que estavam suspensos no último jogo. Já o atacante Janderson, substituto de Alerrandro contra o Juventude, levou terceiro cartão amarelo e é desfalque contra o Internacional.
+ Carpini opina sobre números para escapar do Z-4 e revela papo inicial para renovar: ""Me vejo no Vitória""
Outras baixas no elenco são o meia Gabriel Santiago, os laterais PK e Willean Lepo, que se recuperam de problemas físicos, e o volante Caio Vinícius, que já está na transição após deixar o departamento médico. Já o zagueiro Camutanga, que passou por cirurgia no joelho, e o atacante Osvaldo, que trata tromboembolismo pulmonar, estão fora da temporada.
Diante disso, o time do Vitória contra o Internacional deve ser: Lucas Arcanjo; Raul Cáceres, Neris, Wagner Leonardo e Lucas Esteves; Luan Santos, Filipe Machado e Matheusinho; Gustavo Mosquito, Carlos Eduardo e Alerrandro.





"
Vitória completa 50 jogos na temporada com equilíbrio entre partidas vencidas e perdidas,Rubro-Negro vai terminar 2024 com 61 jogos disputados,Redação do ge,"Ao vencer o Juventude no último fim de semana, o Vitória completou 50 partidas disputadas nesta temporada. Até agora, o ano marcado por título estadual e luta contra o rebaixamento na Série A apresenta equilíbrio nos números rubro-negros, com 21 vitórias, 21 derrotas e oito empates sob o comando de dois treinadores.


Números do Vitória em 2024:


Contratado para comandar a campanha de recuperação no Campeonato Brasileiro, Thiago Carpini esteve à frente do Vitória em quase metade dos jogos da temporada: 23. Nos outros 27, quem estava na beira do gramado foi Léo Condé.
Junto com os números é preciso apresentar o contexto de que Thiago Carpini comandou o Vitória apenas em compromissos nacionais, o que oferece um grau de dificuldade maior.
As 50 partidas da temporada foram disputadas por quatro competições diferentes: Campeonato Brasileiro (27); Campeonato Baiano (13); Copa do Nordeste (8); e Copa do Brasil (2).
+ Veja mais notícias sobre o Vitória
+ Veja a tabela do Campeonato Brasileiro
Com mais onze rodadas de Campeonato Brasileiro pela frente, o Vitória já sabe que vai terminar a temporada com 61 partidas disputadas. O número é o maior dos últimos três anos, depois que o calendário voltou a ser regularizado com o fim da pandemia de covid-19.
Jogos do Vitória nas últimas temporadas:


A partida de número 51 na temporada do Vitória vai ser contra o Internacional, pela 28ª rodada do Campeonato Brasileiro. O encontro está marcado para as 18h30 deste domingo (horário de Brasília), no Estádio Beira-Rio. Clique aqui para simular a reta final do Brasileirão."
Vitória realiza treino tático de olho em jogo contra o Atlético-MG,"Rubro-Negro vai a campo na tarde deste sábado, na Arena MRV, pela 29ª rodada do Brasileirão",Redação do ge,"O Vitória deu sequência, na tarde desta quarta-feira, à preparação para enfrentar o Atlético-MG. Os clubes duelam neste sábado, às 16h30 (de Brasília), na Arena MRV, pela 29ª rodada do Campeonato Brasileiro.
✅ Siga o ge Vitória nos Canais do WhatsApp
O volante Caio Vinícius segue na transição física e deu voltas no campo, além de fazer um trabalho de força na academia, enquanto os laterais Willean Lepo e PK e o meia Gabriel Santiago estão entregues ao Departamento Médico do Vitória.
Lepo fez fisioterapia em processo de estabilização das dores no adutor. PK deu voltas no campo após tratamento da pubalgia, e Gabriel Santiago tratou a lesão na coxa direita.
O treino começou com trabalho de ativação na academia do CT Manoel Pontes Tanajura seguido de atividades no campo. A primeira delas teve aquecimento com exercícios físicos comandado pelo preparador físico Caio Gilli.
Na sequência, o técnico Thiago Carpini assumiu o comando. Primeiro com trabalho técnico de bola parada de ataque contra defesa. Depois, um exercício em campo reduzido com foco em ajustes das linhas e marcação alta.
Por fim, houve um treino tático em campo aberto de 11 jogadores contra 11 com o intuito de trabalhar jogadas de ataque e defesa.
+ Veja mais notícias sobre o Vitória
+ Veja a tabela do Campeonato Brasileiro
O Rubro-Negro vem de derrota na última rodada para o Internacional, estacionou no 28 pontos e está na 16ª colocação. Neste sábado, o time baiano busca pontuar em Belo Horizonte para se manter fora da zona de rebaixamento da Série A."
"Estatísticas do Vitória: artilheiros, assistências, aproveitamento e jogos na temporada 2024",Ge reúne as principais estatísticas do Vitória em 2024,Redação do ge,"O ge reúne aqui as principais estatísticas do Vitória durante a temporada 2024. Você pode ver o ranking de artilheiros, o número de assistências, os próximos jogos e os resultados. A matéria será atualizada a cada partida do Rubro-Negro.
+ Leia mais sobre o Vitória







"
José Breno se recupera de sintomas gripais e treina pelo Vitória,"Volante está à disposição do Rubro-Negro para jogo deste domingo, contra o Internacional",Redação do ge,"O Vitória segue em preparação para enfrentar o Internacional, neste domingo, no Beira-Rio, pela 28ª rodada do Campeonato Brasileiro. No treino da tarde desta quinta-feira, o Rubro-Negro contou com o retorno de José Breno aos trabalhos com o grupo.
✅ Siga o ge Vitória nos Canais do WhatsApp
Recuperado de uma virose que o afastou das atividades na última quarta, o meio-campista trabalhou normalmente. José Breno e o restante do elenco deram início aos trabalhos com ativação na academia do Barradão e, na sequência, assistiram a um vídeo com informações sobre o Inter.
Depois, já no campo do Manoel Barradas, os atletas fizeram aquecimento e trabalhos técnico e tático. Na sequência, o elenco praticou finalizações com cruzamentos e enfrentamentos sob comando do assistente Estephan Djian e supervisão do técnico Thiago Carpini.
Em seguida, o treinador dividiu dois times. Depois, explicou o plano de jogo aos titulares e comandou um coletivo-tático focado na preparação da defesa. Também houve atividade de bola parada defensiva.
+ Veja mais notícias sobre o Vitória
+ Veja a tabela do Campeonato Brasileiro
Caio Vinícius seguiu na transição liderado pelo assistente de preparação física Vinícius Franco. O volante fez um trabalho de propriocepção, de passes e de atividades cognitivas. Já o lateral-esquerdo PK, com pubalgia, e o lateral-direito Willean Lepo e o meia Gabriel Santiago, lesionados, seguem em tratamento.
Fora da temporada por causa de um tromboembolismo pulmonar, Osvaldo utilizou a academia do Vitória para fazer atividades físicas. Depois, o atacante assistiu ao treino do Rubro-Negro.
O Vitória volta a treinar na tarde desta sexta-feira. Com 28 pontos, o Rubro-Negro está na 16ª colocação do Campeonato Brasileiro e tem que buscar bom resultado contra o Inter para seguir fora do Z-4."
"Alerrandro celebra boa fase no Vitória após drama com filha na UTI: ""Afeta qualquer um""","Com três gols nos últimos quatro jogos, atacante volta de suspensão e está à disposição para enfrentar o Internacional",Redação do ge,"Diante de uma sequência dura fora de casa pela frente, com Internacional e Atlético-MG, o técnico Thiago Carpini ao menos ganhou retornos importantes. Desfalques contra o Juventude por suspensão, Lucas Arcanjo e Alerrandro estão à disposição. O segundo, inclusive, vive um novo momento na temporada após ter convivido com um drama familiar.
✅ Siga o ge Vitória nos Canais do WhatsApp
Alerrandro chegou a ficar 16 partidas sem fazer gol, entre março e julho deste ano. Neste período, a filha do centroavante do Vitória chegou a ficar internada em uma UTI. Ele oscilou dentro de campo, além de fazer terapia e evitar redes sociais.
- Quando você tem uma filha no hospital, passando por um problema grave, isso afeta qualquer um. Mas acho que tentei manter a cabeça tranquila nesse período, por mais que eu não fizesse gol. Ajudei a equipe me doando - iniciou o atacante.


Depois do momento difícil, Alerrandro deu a volta por cima e acumula seis bolas nas redes desde então. Artilheiro do Vitória em 2024 com 12 gols marcados, sendo três nos últimos quatro jogos, Alerrandro é titular absoluto do comando de ataque e comemora a boa fase.
- Claro, estou vivendo um ano especial na carreira, fazendo gols, dando assistências. Mas minha equipe ajuda muito. Espero poder ajudar mais ainda com mais gols e assistências até o final do ano.
O centroavante também é o líder do Vitória em participações em gols em 2024, com 19 até aqui. Uma delas no confronto de ida do primeiro turno contra o Internacional, em jogo que o Leão venceu por 2 a 1.
+ Carpini opina sobre números para escapar do Z-4 e revela papo inicial para renovar: ""Me vejo no Vitória""
O Inter, inclusive, é um adversário que o Vitória tem boas recordações recentes, já que vem de dois triunfos seguidos, sendo um no Beira-Rio, pela Copa do Brasil, em confronto que custou a classificação para o Colorado. Por outro lado, a equipe gaúcha vem embalada no segundo turno da Série A, com a quinta melhor campanha (Leão vem logo atrás em sexto).
- O Internacional é uma equipe grande, a gente sabe que o momento que vinham passando não condiz com o elenco que eles têm. E agora sim, momento muito bom deles, mas a gente também está em um momento bom. Acho que jogo, a hora que entra dentro de campo iguala, e a gente vai poder botar tudo em prática da semana, pressionar eles lá em cima para buscar a vitória - explicou o atacante.
Com 28 pontos, o Rubro-Negro está na 16ª colocação do Campeonato Brasileiro e precisa fazer a sua parte contra o Inter para não voltar para a zona de rebaixamento (Corinthians abre a degola com a mesma pontuação). Já o Colorado é o oitavo, com 42, e quer vencer para entrar no G-6. As equipes se enfrentam às 18h30 deste domingo (horário de Brasília), pela 28ª rodada da Série A.


Sequência positiva
- Acho que é importante a gente fazer uma semana muito boa para poder fazer um excelente jogo contra o Inter, sabendo que o Inter vem de sequência forte. A gente também vem de sequência positiva, acho que é manter a cabeça boa, no lugar, igual estamos entrando nos jogos para fazer um excelente jogo e sair com a vitória.
Equipes em bom momento
- Tem que se comportar igual a todos os jogos fora, surpreender o adversário, pressionar lá em cima. Às vezes a equipe vem de um momento bom, então é aproveitar o máximo do erro deles para fazer um grande jogo e buscar a vitória.
Vitória fora do Z-4 e sequência fora
- Jogo difícil, igual como foi contra o Atlético-GO, contra o Palmeiras. Qualquer jogo a partir deste momento é importante, muito difícil. Temos que encarar como encaramos esses jogos fora de casa para sair com a vitória ou no mínimo com o empate.
Vai renovar?
- Não, não, ainda não teve nenhuma conversa, estou feliz no Vitória, espero terminar o ano o melhor possível. Fazendo mais gols, ajudando com assistências. Claro, permanecer na Série A, aí no final do ano a gente deixa para o meu empresário e a diretoria conversarem."
Veja atualização do departamento médico na reapresentação do elenco do Vitória,Rubro-Negro inicia preparação para enfrentar o Atlético-MG na Arena MRV,Redação do ge,"A tarde desta terça-feira foi marcada pela reapresentação dos elenco do Vitória na Toca do Leão. Os jogadores voltaram a trabalhar após a derrota para o Internacional e deram início a preparação para enfrentar o Atlético-MG na próxima rodada do Campeonato Brasileiro. A partida está marcada para as 16h30 deste sábado (horário de Brasília), na Arena MRV.


Embora Gabriel Santiago e Patric Calmon tenham apresentando melhora, os quatro jogadores entregues ao departamento médico seguiram fora das atividades com bola. Veja a lista abaixo:


Quem foi titular contra o Internacional no fim de semana seguiu com o protocolo de treino regenerativo nesta terça-feira. Ou outros jogadores trabalharam finalização com confrontos e 1 x 1 e 2 x 1. Depois houve uma atividades com foco na posse de bola em espaço reduzido comandada pelo assistente técnico Estephano Djian sob a supervisão de Thiago Carpini.
+ Veja mais notícias sobre o Vitória
+ Veja a tabela do Campeonato Brasileiro
O elenco do Vitória tem mais três dias de treinos até a partida contra o Atlético-MG. Atualmente na 16ª posição, com 28 pontos, o Rubro-Negro entra em campo para tentar se manter fora da zona de rebaixamento. Clique aqui para entender o que o Leão precisa para garantir a manutenção na Série A ao fim da competição."
"Escalação do Vitória contra o Inter: veja time provável, desfalques e dúvidas após último treino",Thiago Carpini tem volta de dois titulares para jogo deste domingo,Redação do ge,"Em Porto Alegre, o Vitória encerrou, neste sábado, a preparação para encarar o Internacional no Beira-Rio, pela 28ª rodada do Campeonato Brasileiro. Em alta no Segundo Turno, as duas equipes medem forças neste domingo, às 18h30 (horário de Brasília).


Para encarar o Inter, Thiago Carpini não vai poder contar com Caio Vinícius (transição), Patrick Calmon, Gabriel Santiago, Camutanga e Willean Lepo (lesão), além de Janderson (suspenso). Osvaldo, diagnosticado com tromboembolismo pulmonar, também não joga.
+ Carpini opina sobre números para escapar do Z-4 e revela papo inicial para renovar: ""Me vejo no Vitória""
Em razão das ausências, Paulo Roberto, centroavante do sub-23, foi relacionado. Carpini também ganha os retornos de Lucas Arcanjo e Alerrandro, que cumpriram suspensão na última partida contra o Criciúma e retomam o lugar no time nos lugares de Muriel e Janderson.
Arcanjo e Alerrandro, inclusive, devem ser as únicas novidades na escalação do Vitória que vai a campo neste domingo. O provável time titular tem: Lucas Arcanjo; Raul Cáceres, Neris, Wagner Leonardo e Lucas Esteves; Luan, Machado e Matheusinho; Carlos Eduardo, Mosquito e Alerrandro.
+ Contratações do Vitória na segunda janela preenchem lacunas e ganham espaço no time titular
+ Alan Patrick e Matheusinho são esperanças de Inter e Vitória em campanhas de recuperação
O Vitória está na 16ª posição na tabela de classificação, com 28 pontos, a mesma do Corinthians, que abre a zona de rebaixamento e tem número de triunfos inferior. Já o Internacional é o 8º colocado, com 42 pontos.
+ Vitória tem retrospecto recente positivo contra o Inter e boas lembranças do Beira-Rio"
