title,subtitle,author,article_content
"Athletico posta foto de perna de Cuello com sangramento após entrada: ""Nem falta?""; veja o lance","Argentino sofreu entrada de Caíque, do Juventude, no primeiro tempo",Redação do ge,"O Athletico publicou uma foto da perna machucada do atacante Cuello nas redes sociais. O jogador sofreu entrada de Caíque, do Juventude, no primeiro tempo do jogo deste domingo, no Alfredo Jaconi, e teve que receber atendimento médico (assista ao lance no vídeo abaixo).
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
A arbitragem sequer marcou falta e o VAR entendeu que o lance não deveria ser analisado na cabine.
Cuello foi titular da equipe e acabou substituído na etapa final por Zapelli. O Athletico saiu perdendo e buscou o empate no segundo tempo.
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
Athletico reencontra o Inter em semana que comemora quatro anos do título da Copa do Brasil,"Furacão revê o Colorado com apenas dois remanecentes. Athletico recebe o Inter na quinta-feira, às 19h30, na Ligga Arena, pelo Brasileirão",Redação do ge,"O Athletico reencontra o Inter na semana que comemora o aniversário do título inédito da Copa do Brasil. Os times se enfrentam na quinta-feira, às 19h30, na Ligga Arena, pela 24ª rodada do Campeonato Brasileiro.
A conquista no Beira-Rio completou quatro anos na segunda-feira, em uma vitória por 2 a 1, com gols atleticanos de Léo Cittadini e Rony - Nico López descontou. Na ida, em casa, Bruno Guimarães deu o triunfo por 1 a 0.
De 2019 para cá, apenas dois atletas seguem no elenco do Furacão. O lateral-direito Madson, que entrou no segundo tempo e retornou nesta temporada após passagem pelo Santos, e o volante Erick, que não saiu do banco de reservas.
Protagonista na finalíssima, Marcelo Cirino segue vinculado ao clube, mas foi afastado pela diretoria na última semana por falta de comprometimento. O atacante fez a jogada do segundo gol ao driblar Edenílson, com o drible conhecido como ""Cirineta"".
Já os zagueiros Pedro Henrique e Thiago Heleno faziam parte do grupo atleticano, mas não participaram da campanha. O primeiro tinha atuado na competição pelo Corinthians, enquanto o segundo estava suspenso por doping.
Por fim, o meio-campista Lucho González agora está do outro lado. Ídolo atleticano, que entrou na final em Porto Alegre, o argentino virou auxiliar-técnico colorado de Coudet.




LEIA MAIS
Athletico defende tabu de nove anos contra o Inter em casa
Escalação do Athletico: trio titular retorna contra o Inter
Marcelo Cirino é afastado do Athletico por telefone; veja bastidores
Athletico iguala série de 2022 e mira recorde de 18 jogos sem perder
Entre a final e o jogo desta semana, os dois times curiosamente perderam títulos importantes para o Flamengo. O Athletico foi vice da Libertadores no ano passado. Já o Inter deixou escapar o título brasileiro de 2021.
Em compensação, o Furacão ainda conquistou a Sul-Americana de dois anos atrás diante do Bragantino e jogou a Libertadores em todos os anos. O Colorado ficou de fora da competição em 2022.


No reencontro, os clubes vivem momentos distintos. O time rubro-negro foi eliminado das competições mata-mata e tem apenas a vaga na Libertadores pelo Brasileirão como objetivo - atualmente é o sétimo colocado, com 37 pontos.
A equipe colorada é semifinalista da Libertadores contra o Fluminense, com início da disputa em 27 de setembro no Rio de Janeiro, e deixou a Série A ""de lado"" - ocupa a 12ª posição, com 29 pontos.
Para a partida, o técnico interino Wesley Carvalho tem os retornos de Fernandinho e Vitor Roque, que cumpriram suspensão, e de Canobbio após ser poupado. Por outro lado, o comandante interino tem a baixa do volante Hugo Moura pelo terceiro cartão amarelo.
Mais notícias do esporte paranaense em ge.globo/pr"
"Após venda de Bento, Petraglia cita limitação do Athletico para investir: ""Política de pés no chão""",Entrada de dinheiro no caixa não garante contratações de valores elevados no ano do centenário,Redação do ge,"A venda de Bento para o Al-Nassr, da Arábia Saudita, agitou a torcida do Athletico. Nas redes sociais, a maioria apontou que o valor da negociação, em torno de 18 milhões de euros (R$ 107 milhões na cotação atual), será usado para contratações, mas o presidente do clube, Mário Celso Petraglia, esfriou os ânimos.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp
Através de uma conta também na rede social, Petraglia se manifestou sobre a venda de Bento e afirmou que o Athletico trabalha com um limite de investimentos e que não é agora, com a entrada de um valor elevado, que vai ""fazer loucuras"" no mercado.
— Todos sabem da nossa limitação de investimentos no futebol, nunca fizemos loucuras e não seria desta vez que sairíamos da nossa política de pés no chão! Nunca investimos no futebol como temos feito ultimamente, mas nossa torcida, a quem temos o maior respeito a todos que fazem parte de mais de 2 milhões de torcedores, quer e faz questão que sejamos campeões de todas as competições que disputarmos, todos os anos! — disse o dirigente.


O presidente ainda pontuou que nos últimos meses o clube desembolsou de R$ 117 milhões paga o pagamento de valores referentes à construção da Ligga Arena. O pagamento faz parte do acordo homologado entre Athletico, Prefeitura de Curitiba e o Governo do Paraná. A disputa judicial durou mais de nove anos e chegou ao fim em julho de 2023.
— Neste últimos meses pagamos R$ 117 milhões para a fomento do acordo do tripartite! Desde as liberações das parcelas do financiamento (2012) para a construção da Arena/Copa 2014, o CAP não havia desembolsado nenhum valor! Felizmente tivemos caixa para honrarmos o sinal do acordo de R$ 50 milhões mais a primeira parcela de vencimento junho/2024 no valor de R$ 67 milhões! — pontuou.




O valor final da obra do estádio ficou em R$ 590 milhões por conta do perdão de juros e multa aprovado pela Assembleia Legislativa do Paraná (Alep), em outubro de 2022. Caso contrário, o custo seria de R$ 1,2 bilhão.
O montante foi dividido de forma igualitária entre os três envolvidos: clube, estado e município. Vale destacar, contudo, que o Athletico assume a dívida integral, ficando responsável pela quitação de R$ 190 milhões, com prazo de 15 anos para pagar os financiamentos.
+ Siga o GEPR no Facebook




Lamentavelmente a nossa torcida é levada pela imprensa especulativa e negativista a pensar de forma distorcidas!
Esquecem que temos saída também e só olham os valores que entram no nosso caixa!
Neste últimos meses pagamos R$ 117 milhões para a fomento do acordo do tripartite! Desde as liberações das parcelas do financiamento (2012) para a construção da Arena/Copa 2014, o CAP não havia desembolsado nenhum valor!
Felizmente tivemos caixa para honrarmos o sinal do acordo de R$ 50 milhões mais a primeira parcela de vencimento junho/2024 no valor de R$ 67 milhões!
Fato foi que a PMC não iniciou as vendas do Potencial Construtivo pela razão da necessidade do Decreto publicado somente agora onde define todas as condições dos valores e do prazo das vendas!
Tenho minha consciência de missão cumprida! Não deixaria o CAP com pendências e com riscos de perder nossa Arena por falta de pagamentos dos valores dos financiamentos para viabilizar o fluxo de caixa e tomamos os 100% em nome do Clube!
Agora estamos tranquilos, cada parte do tripartite ficou responsável pela sua fração de 1/3 do valor total gastos da construção da Arena!
Não prometemos nada pelo nosso Centenário, aliás, temos o hábito de cumprir nossas promessas!
Prometer que seremos campeões é um ato insano, pois ninguém pode assegurar nada no futebol! Lembremos dos “galáticos do Madrid”!
Todos sabem da nossa limitação de investimentos no futebol, nunca fizemos loucuras e não seria desta vez que sairíamos da nossa política de pés no chão!
Nunca investimos no futebol como temos feito ultimamente, mas nossa torcida, a quem temos o maior respeito a todos que fazem parte de mais de 2 milhões de torcedores, quer e faz questão que sejamos campeões de todas as competições que disputarmos, todos os anos!
Lembremos que com essa nossa forma de gestão estamos entre os primeiros no ranking da CBF e Conmebol!
Construímos a melhor infraestrutura patrimonial da América do Sul, não temos dívidas e temos um futuro promissor e brilhante pela frente!
Deixamos claro que o CAP bateu no teto, pelas razões claras e objetivas, precisamos nos transformar em SAF com entrada de capital para fazermos frente aos clubes considerados gigantes do nosso futebol e aqueles que já se transformaram e estão se estruturando muito rapidamente!
Tomei a liberdade de escrever este texto longo e cansativo porque não temos dado entrevistas e nem nos pronunciado com o que pensamos ultimamente!
Um forte abraço!
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
Qual o melhor time do Athletico entre os anos do centenário? Veja as opções e escolha,Deixe seu voto no ge e ajude a eleger qual elenco do Rubro-Negro foi o principal em 100 anos,Redação do ge,"O Athletico completa 100 anos no dia 26 de março. Nesse período, o clube cresceu, se estruturou e figura entre os mais importantes do futebol brasileiro. A trajetória de consolidação passa também pela formação de grandes elencos e, por isso, o ge quer saber: qual o melhor time do Athletico entre os anos do centenário? Escolha abaixo!
🗞️+ Mais notícias do Athletico
✅+ Clique aqui e siga o canal ge Athletico no WhatsApp
💯+ ge tem série de reportagens especiais no centenário; confira




O time de 1949, por exemplo, ficou conhecido pelo apelido que é lembrado até hoje: Furacão. Liderado por Jackson Nascimento, o Athletico foi campeão estadual após uma campanha marcada por muitas goleadas, sendo 10 vitórias, um empate e uma derrota em 12 jogos. No geral, foram 49 gols.


Outro time que marcou história foi o campeão de 1970, encerrando jejum de 12 anos sem a conquista estadual e, de quebra, impedindo o tricampeonato do rival Coritiba. O Furacão tinha um elenco recheado de craques, como Sicupira, Djalma Santos, Alfredo, Julio, Nilson Borges, entre outros.


O grupo de 1983 não foi campeão, mas fez história. O Athletico alcançou a semifinal do Brasileiro com um time formado por nomes como com Nivaldo Carneiro, Washington e Assis - o casal 20. A vaga na final escapou, mas o clube ostenta até hoje um recorde: o maior público do futebol paranaense em um jogo: 67.391 pessoas, no Couto Pereira.


O primeiro grande esquadrão da Era Petraglia. Assim pode ser chamado o time de 1996. Após terminar a primeira fase em quarto lugar, o elenco do técnico Evaristo de Macedo caiu nas quartas de final para o Atlético-MG. O Furação contava com Ricardo Pinto, Paulo Rink, Oséas, entre outros


A primeira vez que o Athletico foi à Libertadores se deu através do título da Seletiva 1999. O time tinha o quadrado mágico com Kelly, Adriano Gabiru, Lucas e Kleber Pereira. Na decisão contra o Cruzeiro, Lucas foi grande destaque. Para chegar à vaga, o Furacão superou Coritiba, Internacional, São Paulo, além da Raposa.
+ Da Baixada à Arena: conheça as etapas e mudanças do caldeirão
+ 100 anos em um: os desafios do Athletico no centenário
+ Estatísticas, contratações... confira tudo sobre o Athletico


23 de dezembro de 2001. Uma data marcada para sempre na história do Athletico. Naquele dia, o Furacão foi campeão brasileiro da Série A. Vice-líder da primeira fase, o time fez 27 jogos, com 15 vitórias, seis empates e seis derrotas. No mata-mata, passou por São Paulo, Fluminense e, por fim, o São Caetano.


Em 2004, apesar de ter perdido o título na reta final para o Santos, o Athletico fez história. Foram 18 jogos de invencibilidade e até hoje o fato de ter o maior artilheiro da história do Brasileirão: Washington, com 34 gols. O time comandado por Levir Culpi tinha nomes como Dagoberto, Fernandinho, Jadson e Alan Bahia.


No ano de 2018, o Athletico conquistou o maior título de sua história: a Sul-Americana. Após dois empates por 1 a 1 contra o Junior Barranquilla, o Furacão levou a melhor nos pênaltis por 4 a 3, com Thiago Heleno convertendo o último. O time de Tiago Nunes tinha Nikão, Renan Lodi, Bruno Guimarães, Marcelo Cirino, Raphael Veiga, Pablo...


Outro grande elenco do Athletico também levantou a taça: a Copa do Brasil 2019. Sob o comando de Tiago Nunes, o Furacão superou o Internacional na decisão. O elenco contava com Léo Cittadini e Rony, responsáveis pelos gols no jogo de volta, além da base campeã um ano antes.
Mais notícias do esporte paranaense em ge.globo/pr"
"Titular em 2023, Cacá treina separado no Athletico enquanto aguarda definir o futuro; entenda","Jogador está emprestado pelo Tokushima, do Japão, até julho, mas Athletico não deve exercer opção de compra. Aos 24 anos, Cacá tem sondagens de clubes da Série A",Rodrigo Saviani,"O zagueiro Cacá vem treinando em separado no Athletico. Titular em 2023, o jogador está emprestado pelo Tokushima Vortis, do Japão, até julho. Como o Furacão, em um primeiro momento, não deve exercer a opção de compra ao fim do contrato, Cacá fica fora dos planos e aguarda definir o futuro - já recebeu sondagens de clubes da Série A.
+ Mais notícias do Athletico
+ Receba as notícias do Furacão no WhatsApp
O motivo para o jogador treinar separado é que, caso Cacá faça 30 partidas pelo Athletico, o clube é obrigado a exercer a opção de compra no valor fixado de 3,5 milhões de dólares - R$ 17,2 milhões na cotação atual. Até agora, o zagueiro fez 20 jogos pelo Furacão e marcou dois gols.
O Athletico chegou a sinalizar, ainda em 2023, o interesse em manter Cacá. Porém, isso mudou após Pedro Henrique voltar de lesão e pela contratação de Mateo Gamarra, além da manutenção de Thiago Heleno e as opções de Kaíque Rocha e Lucas Belezi no setor.
Neste começo de Campeonato Paranaense, o técnico Juan Carlos Osorio tem utilizado Gamarra e Kaíque Rocha como titulars, já que Thiago Heleno cumpre suspensão e Pedro Henrique ainda aprimora a parte física.
+ Contratações do Athletico: veja quem chega e quem sai


Cacá tem 24 anos e foi revelado pelo Cruzeiro. Após ser titular em boa parte de 2020 pela Raposa, o zagueiro foi negociado no início da temporada seguinte com o Tokushima, por cerca de R$ 10 milhões.
O jogador vinha sendo monitorado pelo Athletico desde quando jogava no Cruzeiro, mas não houve um acordo na época. O Furacão conseguiu contratar Cacá somente julho do ano passado. O zagueiro rapidamente ganhou a condição de titular e assim permaneceu até o fim de 2023.
O contrato de Cacá com o Tokushima, que disputa a segunda divisão do Japão, vai até o final de 2025. A multa para deixar o time japonês é estipulada em 6 milhões de dólares (cerca de R$ 29,5 milhões na cotação atual).
Mais notícias do esporte paranaense no ge.globo/pr"
"""Elevamos o sarrafo"" e ""Vitor Bueno craque"": Athletico divulga bastidores da vitória contra o Flamengo","Furacão vence o Fla por 3 a 0, em Cariacica-ES, e encosta no G-4 do Brasileirão. Vídeo tem falas de Thiago Heleno, Erick, Alex Santana e Wesley Carvalho",Redação do ge,"O Athletico divulgou os bastidores da vitória por 3 a 0 contra o Flamengo, na quarta-feira, no estádio Kleber Andrade, em Cariacica-ES. Em confronto direto, o Furacão voltou a vencer após três jogos e encostou no G-4 do Campeonato Brasileiro.
O vídeo inicia com o zagueiro Cacá, que abriu o placar e também se destacou defensivamente, cantando no hotel. Ele escolheu a canção ""Vida Loka, parte 1"", do Racionais MC's. Já o lateral-direito Bruno Peres, que estreou e voltou a jogar após quase cinco meses, optou por ""Preciso desabafar"", do Exaltasamba. O meia Zapelli também canta um pouco.
No vestiário do estádio, antes da bola rolar, o capitão Thiago Heleno relembrou os empates contra o Atlético-MG (1 a 1) e Fluminense (2 a 2), ambos na Ligga Arena. O time vinha de três igualdades seguidas e não vencia há um mês.
LEIA MAIS
Filho de ex-goleiro Bruno, Bruninho defende pênaltis decisivos no Athletico
Vidal passa por cirurgia no joelho e tem futuro incerto no Athletico
Alex Santana, que entrou na etapa final e marcou o segundo gol, deu uma moral para o meia Vitor Bueno, que chegou aplaudido após a partida. Ele também sugere fazer um churrasco na casa do massagista Bolinha.
O meio-campista fechou a vitória, de pênalti, e foi eleito o ""craque do jogo"". Com 16 participações em gols, Bueno igualou a melhor marca da carreira. Ele tem nove gols e sete assistências na temporada.
O volante Erick também se pronunciou e analisou que o Furacão foi ""taticamente muito bem, porque treinou. O jogo começa no início da semana"".
Por fim, o técnico Wesley Carvalho relembrou o orçamento de R$ 1 bilhão do Flamengo para a atual temporada. O interino estava pressionado e era alvo de protestos recentes da torcida.
- Vocês foram top demais, aproveitem o momomento e comemorem. É f*** ganhar de um time que tem um dos 50 maiores orçamentos do mundo - finalizou Carvalho.


O Athletico volta a campo contra o Internacional na quinta-feira, às 19h, na Ligga Arena, pela 24ª rodada. O Furacão é o sétimo colocado, com 37 pontos, a dois pontos do G-4.
Mais notícias do esporte paranaense em ge.globo/pr"
Fernandinho aproveita férias e visita Guardiola e ex-companheiros de Manchester City,Volante leva funcionários do Athletico para a experiência e compartilha foto do goleiro Ederson vestindo a camisa do Athletico,Raylane Martins,"O volante Fernandinho aproveitou as férias para voltar a Manchester, na Inglaterra, pela primeira vez desde que assinou com o Athletico. Além de reencontrar ex-companheiros de Manchester City, o jogador do Furacão apresentou o clube inglês ao coordenador geral das categorias de base do Athletico, Leonardo Coelho, e ao coordenador técnico da base, Rodrigo Chipp.
O veterano compartilhou nas redes sociais fotos com Guardiola e outros amigos, entre eles o goleiro Ederson. Indicado a melhor do mundo no The Best 2023, o goleiro do City apareceu nas redes sociais vestindo a camisa do Athletico - um presente de Fernandinho.
Fernandinho vestiu a camisa do clube inglês durante nove anos, conquistando onze títulos em mais de 300 jogos. Faltou a Champions - o ano em que chegou mais perto foi na temporada 2020/21, quando o City foi derrotado pelo Chelsea na decisão.
O atleta de 38 anos renovou com o Athletico até o final de 2024. Para o ano do centenário, o Furacão negocia com o técnico Domènec Torrent, que trabalhou com Fernandinho no Manchester City, quando Domènec era auxiliar de Pep Guardiola.
LEIA MAIS:
+ Athletico e Domènec: próximos passos e detalhes da negociação
+ Athletico mantém conversas pelo atacante Mastriani; veja valores
No último jogo antes da estreia no Mundial de Clubes, o Manchester City cedeu o empate por 2 a 2 com o Crystal Palace, neste sábado (16), no Etihad Stadium, pela 17ª rodada do Campeonato Inglês.
Mais notícias do esporte paranaense em ge.globo/pr"
Atuações do Athletico: Cuello comanda vitória sobre o Cerro Porteño; veja as notas,Argentino decide com gol e assistência e é o melhor da partida; vitória coloca Furacão nas oitavas da Sul-Americana,Redação do ge,"Com Cuello como destaque, o Athletico venceu o Cerro Porteño, por 2 a 1, nesta quinta-feira, na Ligga Arena, pelo jogo de volta dos playoffs da Copa Sul-Americana. O argentino deu assistência para Mastriani abrir o placar, fez o segundo gol do Furacão e ainda provocou a expulsão de Cabañas, quando o Rubro-Negro também tinha um a menos.
🗞️ Mais notícias do Athletico
✅ Clique aqui e siga o canal ge Athletico no WhatsApp


Léo Linck [GOL]: Foi pouco exigido e não comprometeu. Boa participação no jogo com os pés, especialmente no primeiro tempo. Nota: 6,5
Kaíque Rocha [ZAG]: Firme no duelos, levou vantagem na maioria dos confrontos pelo lado direito. Foi o melhor do trio. Nota: 6,5
Thiago Heleno [ZAG]: Jogo seguro do zagueiro. Sem brilho, mas na média. Nota: 6,0.
Esquivel [LAE]: Seguro para defender e com bons avanços pelo lado esquerdo do campo. Nota: 6,5
Cuello [LAD]: Foi muito bem aberto pelo lado direito. As principais chances saíram do seu lado. Contribuiu com assistência para Mastriani e marcou o segundo gol na etapa final. Ótima atuação. Nota: 8,5
Leo Godoy [LAD]: Entrou na reta final da partida, perto dos 40 do segundo tempo. Sem nota
Erick [VOL]: Função muito específica. Com bola, atuava como armador, por dentro. Sem ela, fechava como um lateral na linha defensiva. Fez grande jogo. Nota: 8,0
Fernandinho [VOL]: Entre erros acertos, deixou sua contribuição. Atuação na média. Nota: 6,5
Gamarra [ZAG]: Entrou para compor a defesa, já na reta final da partida. Sem nota.
Christian [MEC]: Atuação discreta no setor de meio de campo. Nota: 6,0
Gabriel [VOL]: Mais um que entrou no fim, aos 40 do segundo tempo. Sem nota.
Zapelli [MEC]: Distribuiu passes de qualidade e apareceu para o jogo, mas foi displicente em alguns momentos. Foi expulso no segundo tempo e dificultou a vida da equipe. Nota: 5,0.
Canobbio [ATA]: Não esteve em noite inspirada. Jogou aberto pela esquerda e acumulou muitos erros técnicos. Nota: 5,5
Mastriani [ATA]: Na primeira bola, gol. Decisivo para abrir o placar e destravar a retranca que o Cerro planejou fazer na Arena. Nota: 7,0
Di Yorio [ATA]: Entrou no segundo tempo e ajudou a armar dois bons contra-ataques, em um deles acabou tentando decidir e perdeu a chance de liquidar o jogo. Nota: 5,5
Martín Varini [TEC]: Foi bem na estratégia. O lado direito com Cuello e Erick funcionou. Defensivamente o time pouco sofreu, mesmo quando esteve com um jogador a menos. Nota: 7,0
+ Siga o GEPR no Facebook
O Athletico avança para enfrentar agora o Belgrano, da Argentina, nas oitavas de final. A Conmebol ainda não detalhou as datas dos confrontos. O jogo de ida será na Ligga Arena, e a volta na Argentina.
O Furacão volta a campo no próximo domingo para enfrentar o Cuiabá, fora de casa. A bola rola às 19h (de Brasília), na Arena Pantanal. O ge acompanha em tempo real.
+ Estatísticas, contratações... confira tudo sobre o Athletico
Mais notícias do esporte paranaense em ge.globo/pr"
"Escalação do Athletico: com quatro suspensos, time alternativo encara o Cuiabá; confira os relacionados","Furacão fecha participação no Campeonato Brasileiro contra o Dourado, na Arena Pantanal; fora da relação, Vitor Roque não enfrenta equipe mato-grossense, mas Canobbio retorna",Redação do ge,"O Athletico terá mudanças em todos os setores para enfrentar o Cuiabá na noite desta quarta-feira, na Arena Pantanal, em duelo válido pela última rodada do Campeonato Brasileiro. Todos os jogos serão às 21h30 (de Brasília).
+ Receba todas as informações do Athletico no WhatsApp
Wesley Carvalho não poderá contar com Cacá e Thiago Heleno, suspensos pelo terceiro cartão amarelo. Pelo mesmo motivo, Fernandinho e Alex Santana também desfalcam a equipe.
No setor ofensivo, o atacante Vitor Roque se despediu dos funcionários e não viaja para Cuiabá, assim como o lateral Esquivel, vetado pelo departamento médico em função de dores no púbis (confira os relacionados abaixo).
Por outro lado, o atacante Canobbio, recuperado de dores musculares, volta a ficar à disposição da comissão técnica.
Uma das alternativas para repor a vaga no meio é Hugo Moura, que estava suspenso contra o Santos. No ataque, Willian Bigode deve ganhar mais minutos. A tendência é que Matheus Felipe e Kaique Rocha atuem no sistema defensivo.


LEIA MAIS
Athletico se impõe contra o Santos e encerra jejum
Athletico volta a marcar gol de falta após quase dois anos
A delegação atleticana realizou na manhã desta terça-feira o último treino antes do jogo e embarcou para Cuiabá no início da tarde.
Oitavo colocado, o Athletico soma 56 pontos, mesma pontuação do Fluminense. Com a vaga na Sul-Americana garantida e a classificação direta para a terceira fase da Copa do Brasil confirmada, uma vitória contra o Cuiabá pode garantir o sétimo lugar ao Furacão. O ge transmite a partida desta quarta-feira em Tempo Real.


Goleiros


Zagueiros


Laterais


Meio-campistas


Atacantes


Mais notícias do esporte paranaense em ge.globo/pr"
"Cacá, do Athletico, provoca torcedor do Coritiba nas redes após Athletiba: ""Sempre voltando pra Série B""","Zagueiro do Furacão responde brincando sobre rebaixamentos recentes do Coxa. Athletico perdeu do Coritiba por 2 a 0, no domingo, pelo Brasileirão",Redação do ge,"O zagueiro Cacá provocou um torcedor do Coritiba após a derrota do Athletico no clássico do Campeonato Brasileiro. O Furacão perdeu por 2 a 0 no domingo, no Couto Pereira, pela 25ª rodada.
O coxa-branca fez o comentário ""Volte sempre"" na postagem de lamentação da derrota feita pelo zagueiro, em referência ao histórico do Athletiba. No geral, são 126 vitórias do Athletico contra 149 vitórias do Coritiba, além de 118 empates.
Cacá, que fez a falta que originou o primeiro gol alviverde, de Victor Luis, relembrou o passado do rival, com quedas recentes à Série B, as últimas em 2017 e 2020. Além disso, o zagueiro ""decretou"" mais uma queda por conta da campanha atual do Alviverde, que ocupa a lanterna do Brasileiro.
- Volte sempre é o recado da Série A pra vocês 🤣🤣🤣 E vocês sempre voltando pra Série B 🤣Parabéns pela classificação antecipada pra B. Time pequeno não pode ganhar um jogo que pensa que é grande. Emociona não, BB 👶 (duplo sentido) - afirmou.
LEIA MAIS
Athletico posta e apaga vídeo com cemitério ao lado do Couto
Athletico passa em branco, e Wesley minimiza ausência de Vitor Roque
Polícia identifica torcedores que imitaram macaco no Athletiba
A derrota para o Coritiba fez o Furacão cair de sexto para oitavo colocado, com 40 pontos, a um ponto do G-6 e quatro pontos do G-4. O rival vinha de oito derrotas seguidas e segue na lanterna, com 17 pontos - a distância para o Goiás, primeiro time fora da ZR, é de 10 pontos.
De acordo com o Infobola, do matemático Tristão Garcia, o Athletico tem 15% de chances de terminar entre os quatro primeiros colocados e 38,2% para ficar no G-6.
As vagas para a Libertadores 2024 podem aumentar em caso de títulos de brasileiros nos torneios sul-americanos. As duas competições terão, ao menos, um time do Brasil nas finais.
Também segundo o Infobola, o risco de queda do Coxa para a Série B é de 97%, junto com o América-MG, que tem 18 pontos. Restam 13 rodadas.


O Athletico volta a campo contra o vice-líder Bragantino no domingo, às 18h30, na Ligga Baixada, pela 26ª rodada.
Mais notícias do esporte paranaense em ge.globo/pr"
