title,subtitle,author,article_content
Atlético-GO decide rescindir contrato com atacante Emiliano Rodríguez,"Jogador uruguaio de 21 anos começou bem a temporada, mas não joga mais pelo Dragão",Redação do ge,"Titular em boa parte da temporada, o atacante Emiliano Rodríguez, de 21 anos, não joga mais pelo Atlético-GO. A diretoria rubro-negra vai rescindir o contrato do jogador, que estava emprestado pelo Boston River, do Uruguai, até o fim do ano.
O ge apurou que “problemas internos” motivaram a decisão do clube.
+ Veja a tabela do Brasileirão
Emiliano Rodríguez disputou 36 jogos pelo Dragão e marcou oito gols, sendo quatro no Campeonato Goiano e quatro na Copa do Brasil. No Brasileirão, ele passou em branco.
Na última sexta-feira, o atacante acabou suspenso pelo Superior Tribunal de Justiça Desportiva (STJD) pela confusão após o jogo contra o Bahia, na 19ª rodada do Campeonato Brasileiro – o lateral Guilherme Romão também foi suspenso.
O Atlético-GO irá recorrer da pena, no entanto, Emiliano Rodríguez não joga mais pelo Dragão, que volta a campo na próxima quinta-feira, fora de casa, contra o Criciúma, pela 29ª rodada."
"Atlético-GO contrata atacante Felipe Vizeu, ex-Flamengo e Grêmio",Centroavante de 25 anos já está em Goiânia e assina por uma temporada com o Dragão,Redação do ge,"Felipe Vizeu é o novo reforço do Atlético-GO. O atacante de 25 anos já está em Goiânia e assina contrato em definitivo com o Dragão por uma temporada.
Revelado pelo Flamengo, Vizeu surgiu como grande promessa e foi vendido para a Udinese em 2019. Sem se firmar na Itália, ele passou por Grêmio e Ceará, no Brasil, e também pelo futebol da Rússia e do Japão, sempre por empréstimo.
Em 2021, se desligou da Udinense e foi para Sheriff, da Moldávia. Na temporada 2022, o atacante disputou apenas nove jogos e marcou dois gols. Agora retorna ao Brasil para defender o Dragão.
Felipe Vizeu chega com status de principal reforço do Atlético-GO até o momento e como esperança de gols do clube, que tem como maior objetivo conquistar o acesso na Série B em 2023."
"Jair Ventura diz que árbitro foi ""protagonista"" negativo: ""Que nunca mais apite nossos jogos""","Expulso contra o Flamengo, técnico do Atlético-GO saiu na bronca com Andre Luiz Skettino (MG)",Redação do ge,"Expulso logo no início da partida contra o Flamengo, o técnico Jair Ventura saiu na bronca com o árbitro Andre Luiz Skettino (MG). O treinador admite que falou um palavrão, mas nada que não seja relativamente comum no campo de futebol, segundo ele.
Jair Ventura citou que essa foi apenas a sua segunda expulsão em mais de 300 jogos como técnico e lamentou também os vermelhos para o zagueiro Alix Vinícius e o lateral-direito Maguinho.
- Parabéns a ele (juiz), pois conseguiu ser mais protagonista que os jogadores. Deu uma olhada rapidinha no celular e só se fala nele. Completei hoje 303 jogos na minha carreira e só fui expulso duas vezes. Parabéns para ele. Basta ver que não é uma situação recorrente na minha carreira. Ele hoje foi o principal responsável do jogo, essa é a verdade.
+ Atlético-GO detona arbitragem do jogo contra o Flamengo
O Dragão também reclama de gol marcado por Baralhas que foi anulado por impedimento de Emiliano Rodríguez e da marcação de penalidade na disputa de bola entre Maguinho e Bruno Henrique.
Sobre a partida, Jair elogiou a atuação do Atlético-GO, que suportou mesmo com 10 em campo e quase virou a partida no segundo tempo - Shaylon perdeu um pênalti quando o placar estava 1 a 1.
- Falando de futebol, como vou falar agora, a equipe fez um bom jogo. O Flamengo teve um chute com o Cebolinha, mas nós tivemos uma chance clara com o Emiliano em que o Rossi fez uma belíssima defesa. Aí ele me expulsou, expulsou mais um (Alix), expulsou mais outro (Maguinho). É difícil. Espero que ele (o árbitro) possa nunca mais apitar jogos nossos. Que ele vá para a reciclagem - disse Jair.
Derrotado na estreia, o Atlético-GO vê quebrada a sequência de 15 vitórias. O Dragão volta a campo na quinta-feira contra o Botafogo, no Nilton Santos. Jair, Alix e Maguinho estão suspensos."
Torcida do Atlético-GO não perdoa e tira onda com título em cima do Vila Nova,Rubro-Negros relembram derrota do rival para o ABC e provocam o presidente Hugo Jorge Bravo,Redação do ge,"A torcida do Atlético-GO não perdoou o Vila Nova e provocou bastante durante a final do Campeonato Goiano. O Dragão, que já havia vencido o jogo de ida por 2 a 0, fez 3 a 1 neste domingo, no Antônio Accioly, e confirmou o tricampeonato goiano.
+ Jair Ventura alfineta: ""Hoje não tem desculpa""
Um dos alvos da torcida rubro-negra foi o presidente do Vila, Hugo Jorge Bravo. O dirigente chegou a pedir a presença das duas torcidas nos jogos da final, no entanto, o pedido foi negado.
Nas arquibancadas do Antônio Accioly, alguns torcedores do Atlético-GO usaram máscaras do presidente do Vila Nova chorando.
A torcida rubro-negra também relembrou a derrota do rival para o ABC, na última rodada da Série B do ano passado. O jogo foi disputado no dia 25 de novembro, em Natal.
O ABC já estava rebaixado e o Vila dependia apenas de uma vitória simples para conquistar o acesso para a Série A. No entanto, o Tigre perdeu o jogo e quem ficou com a vaga na Série A do Campeonato Brasileiro foi justamente o Atlético-GO."
"Eduardo Souza destaca evolução do Atlético-GO e diz que vitória foi o ""jogo da esperança""","Segundo treinador, Dragão começou a reagir ainda na derrota para o Corinthians e confirmou a evolução com duas vitórias seguidas",Redação do ge,"O técnico do Atlético-GO, Eduardo Souza, destacou a evolução do Atlético-GO nas últimas rodadas. Segundo ele, o time começou a reagir ainda na derrota para o Corinthians, quando perdeu com um gol sofrido no fim.
Eduardo Souza classificou a partida diante do Avaí, no último sábado, como o “jogo da confiança”. Para ele, o resultado em Florianópolis foi fundamental para que o time acreditasse na virada diante do Fluminense, na última quarta-feira. Depois de estar perdendo por 2 a 0, o Dragão virou e venceu por 3 a 2.
Eduardo Souza disse que este foi o “jogo da esperança”, já que o Atlético-GO segue vivo na luta contra o rebaixamento.
– Foi o que nós falamos antes do jogo. O jogo do Avaí era o da confiança. Começou contra o Corinthians, que foi quando a gente podia acreditar que tínhamos chances pelo desempenho que tivemos. Depois, o jogo do Avaí deu confiança e hoje era o jogo da confiança. Jogamos contra o Fluminense, que está na terceira colocação. Levamos dois gols contra o melhor ataque do campeonato. A chance de tomar três, quatro gols era grande e a gente tinha que se expor. Mas os jogadores tiveram muita garra, transpiração e acreditaram. É o jogo da esperança, quem sabe a gente não pode garantir a permanência na Série A – disse Eduardo Souza.
O Atlético-GO está na 18ª colocação, com 28 pontos, e tem três pontos a menos que o Coritiba, o primeiro time fora da zona de rebaixamento. O Coritiba entra em campo nesta quinta-feira contra o líder Palmeiras e tem outro jogo a menos – contra o São Paulo.
A próxima partida do Dragão será segunda-feira, às 18h30, contra o Palmeiras, no Antônio Accioly. O volante Gabriel Baralhas e o lateral-esquerdo Jefferson receberam o terceiro cartão amarelo e estão suspensos."
"Eduardo Baptista aposta em Atlético-GO mais forte, ligado e competitivo contra o Internacional","Após semana livre para treinar, técnico projeta várias mudanças, inclusive de postura",Redação do ge,"O Atlético-GO deverá ter até seis modificações na equipe para enfrentar o Internacional na próxima segunda-feira. No entanto, as mudanças projetadas pelo técnico Eduardo Baptista não são apenas na escalação. Após uma semana voltada inteiramente para os treinamentos, o comandante rubro-negro confia que o Dragão irá a campo com outra postura, muito mais forte e competitiva.
- As mudanças que começamos a fazer agora são mudanças que eu já tinha intenção em fazer, mas eu não tinha tempo para trabalhar. Precisava observar um pouco mais. Com pouco tempo de trabalho, era ruim fazer (mudanças). Agora não, agora podemos ter um time competitivo e mais forte fisicamente, com uma pegada maior. Esperamos mudar um pouco nosso estilo e também os resultados - comentou.
Na derrota para o Coritiba, no último domingo, o Atlético-GO até fazia um jogo parelho, mas sentiu muito cada um dos gols do adversário e não demonstrou força, inclusive emocional, para reagir. Apesar disso, o treinador minimiza esse aspecto e diz que focou realmente nos trabalhos táticos e técnicos antes do duelo contra o Internacional.
- Sobre o emocional, a gente conversa no dia a dia. Mas o principal é o trabalho no campo. Com uma semana, trabalhamos muito a saída de bola, a construção, cada fase do jogo. Coisa que não tivemos tempo de trabalhar antes. Passar essa ideia é importante. Criar situações e opções para eles tomarem as melhores decisões. Isso é treino.
Atlético-GO e Internacional se enfrentam segunda-feira, às 20h, no estádio Antônio Accioly. O Dragão deve ir a campo com: Renan; Dudu, Lucas Gazal, Klaus e Arthur Henrique; Willian Maranhão, Rhaldney e Shaylon; Airton, Churín e Wellington Rato."
Atuações do Atlético-GO: time entra desligado e paga caro no clássico; só Shaylon se salva,"Baralhas, Jorginho e Peglow saem logo no início; Hayner é expulso. Veja as notas",Redação do ge,"Shaylon: entrou no segundo tempo e foi talvez o único jogador que se salvou. Marcou o único gol do Atlético-GO no jogo. Deveria ter sido o substituto de Jorginho, que saiu ainda no primeiro tempo. Nota: 7,0
Baralhas: mal na marcação no início da partida, foi um dos escolhidos para pagar o preço por uma péssima atuação coletiva do Atlético-GO, que demorou a acordar. Saiu esbravejando e irritado com a decisão do técnico Jorginho. Nota: 4,0
> Goiás 2 x 1 Atlético-GO: confira tudo do clássico!
Klaus: teve muita dificuldade para marcar Pedro Raul. No primeiro tempo, perdeu praticamente todas as jogadas com o centroavante do Goiás. Depois do intervalo, melhorou um pouco e não sofreu tanto, mas também porque o adversário recuou e parou de atacar. Nota: 4,0
Veja todas as notas:


Entraram:

"
"Jorginho questiona postura de Abel Ferreira: ""Se fosse brasileiro, seria chamado de covarde""","Técnico do Atlético-GO critica o português, que foi ""escutar música"" no vestiário durante os pênaltis entre Palmeiras e Atlético-MG, pela Libertadores: ""Porque ganhou, nada acontece""",Redação do ge,"O técnico Jorginho, do Atlético-GO, questionou nesta terça-feira a postura de Abel Ferreira, do Palmeiras, no jogo contra o Atlético-MG, pela Libertadores. Na ocasião, o português foi para o vestiário do Allianz Parque ""escutar música"" durante a disputa de pênaltis.
De acordo com Jorginho, Abel seria ""chamado de covarde"" se fosse brasileiro. Em entrevista à ESPN, o técnico do Dragão criticou o comportamento do colega e disse que é uma situação que passa batido apenas porque ele venceu e eliminou o Galo.


Antes de Jorginho, o próprio Cuca, técnico do Atlético-MG, também já havia feito comentário semelhante. No fim de semana, ele seguiu a mesma linha de raciocínio e questionou a postura de Abel.
Nesta terça, o Atlético-GO encerrou a preparação para enfrentar o Corinthians no jogo de volta das quartas de final da Copa do Brasil. Os clubes se enfrentam quarta, às 21h30, em Itaquera, e o Dragão pode até perder por um gol de diferença, já que venceu na ida por 2 a 0."
"Apesar de capitão, Ronaldo divide liderança no Atlético-GO e quer time ligado no mata-mata","Goleiro crê em jogo complicado contra o Goiatuba, fora de casa",Redação do ge,"Capitão do Atlético-GO, Ronaldo tem a missão de tentar conduzir o time ao inédito tricampeonato do Goianão este ano. O goleiro tem papel de liderança no Dragão, mas faz questão de dividir essa responsabilidade com outros atletas, como Baralhas, Shaylon, Luiz Fernando e Vagner Love. Prestes a iniciar a fase de mata-mata do Estadual, o jogador ressalta que o grupo atual é bastante compromissado.
- Não é só o Ronaldo que é um líder, temos grandes lideranças dentro do grupo. Cada um se cobra a sua maneira. Cada um tem sua forma de liderar. Costumo falar que existe vários tipos de liderança. Aqui no Atlético-GO não é diferente. Tem muita gente com potencial para ser capitão e líder. Além disso, temos um padrão de contratação. Todo mundo que é selecionado e vem para cá é porque quer crescer na vida. Isso facilita muito o dia a dia da gente.
+ Atlético-GO contrata atacante colombiano ex-Fluminense
Ronaldo cobra foco e seriedade ao elenco. Ele lembra que o Atlético-GO goleou o Goiatuba por 6 a 0 na fase de classificação do Goianão, mas garante que o time não terá vida fácil agora nas quartas de final.
- Vai ser um jogo muito difícil. Não podemos achar que o jogo vai ser como foi o 6 a 0 que acabamos aplicando em cima deles. Vai ser totalmente diferente, pois é uma fase diferente da competição. Agora é fase eliminatória. Jogos de ida e volta. Temos essa semana para poder trabalhar os pontos que precisamos melhorar e potencializar os pontos positivos. Tem sido uma semana muito boa. Estamos nos preparando bastante para poder chegar em Goiatuba e fazer um grande jogo.
O jogo de ida será sábado, às 16h, no estádio Divinão. Como fez melhor campanha, o Atlético-GO decidirá em casa no outro fim de semana."
"Com retornos e desfalques, Atlético-GO terá três mudanças contra o Novorizontino","Luiz Fernando e Rodrigo Soares estão recuperados de lesão, enquanto Rhaldney e Matheus Sales estão suspensos; Renato também volta ao time",Redação do ge,"O Atlético-GO deve ter três mudanças para o jogo desta sexta-feira, fora de casa, contra o Novorizontino, pela 16ª rodada da Série B.
Recuperados de lesão, Rodrigo Soares e Luiz Fernando estão de volta ao time rubro-negro. Renato, que cumpriu suspensão contra o Vila Nova, também retorna.
+ Veja a tabela da Série B
Deixam a equipe o zagueiro Emerson Santos, que atuou improvisado como lateral-direito na última partida, além dos volantes Rhaldney e Matheus Sales, ambos suspensos pelo terceiro cartão amarelo.
Com isso, Bruno Tubarão, que jogou como atacante contra o Vila Nova, será recuado para o meio-campo – abrindo espaço para a volta de Luiz Fernando.
A provável formação do Dragão tem Ronaldo; Rodrigo Soares, Lucas Gazal, Heron e Jefferson; Renato, Bruno Tubarão e Shaylon; Kelvin, Gustavo Coutinho e Luiz Fernando.
O Atlético-GO está em 10º na Série B, com 22 pontos, e busca a vitória para se reaproximar do G-4. O Novorizontino é justamente o quarto colocado e fecha a zona de acesso para a Série A com 29 pontos."
