title,subtitle,author,article_content
Atlético-MG espera Lyanco para assinar contrato; veja valores e forma de pagamento,Galo vai comprar 50% dos direitos econômicos do zagueiro em transação milionária; entenda os números,Laura Rezende,"O Atlético-MG está perto de anunciar mais um reforço para a temporada. O zagueiro Lyanco, de 27 anos, desembarca em Confins neste começo de semana para assinar contrato com o clube mineiro.




O zagueiro pertence ao Southampton, clube da Inglaterra. A diretoria do Galo vai adquirir 50% dos direitos econômicos do jogador. O ge apurou que a SAF do Atlético vai desembolsar R$ 18 milhões na negociação, em um primeiro momento.
O pagamento será feito de forma parcelada em três vezes. O contrato com o Atlético prevê ainda algumas metas. Caso o zagueiro cumpra o estabelecido, o Galo pode comprar outros 25% dos direitos de Lyanco por mais R$ 9 milhões, totalizando a transação em R$ 27 milhões.
Caso seja aprovado nos exames, o zagueiro vai assinar com o Atlético até o fim de 2028. O zagueiro atuou na última temporada no Al-Gharafa, do Catar, mas pertence ao clube inglês. Brasileiro, mas com nacionalidade sérvia, Lyanco vem de sete temporadas jogando fora do Brasil.
Neste meio de temporada, o Atlético trouxe o atacante Bernard e também negocia as contratações do zagueiro Junior Alonso e do volante Fausto Vera. Caso confirme todos esses reforços, eles só poderão estrear após a reabertura da janela de transferências no futebol brasileiro, programada para o dia 10 de julho.



"
Atlético-MG marca jogo-treino contra o Ipatinga em preparação para o Campeonato Mineiro,"Confronto está agendado para o próximo sábado, 15h, na Cidade do Galo",Redação do ge,"O Atlético-MG vai enfrentar o Ipatinga em jogo-treino, no próximo sábado, às 15h (de Brasília). O jogo faz parte da preparação do time para o Campeonato Mineiro. O confronto, que vai acontecer na Cidade do Galo, não terá acesso de torcedores e da imprensa.




O Galo começou a pré-temporada no dia 08 de janeiro, com reapresentação do elenco, exames e testes físicos. Foi a primeira vez que o único reforço do time, Gustavo Scarpa, se juntou ao companheiros no CT do time.
Na última sexta-feira, a equipe foi à campo pela primeira vez. A atividade foi feita em campo reduzido. Segundo apurado pelo ge, Scarpa é dúvida para a estreia. A tendência é de que o meia não seja relacionado logo no primeiro desafio. Tudo vai depender de como vai ser a evolução durante a pré-temporada.
Nesta segunda-feira Scarpa será apresentado na Arena MRV. O primeiro jogo oficial do Galo acontece no dia 24 de janeiro, contra o Patrocinense, em Patrocínio, às 21h30, pela primeira rodada do Campeonato Mineiro.



"
"Gerente do Atlético-MG, Victor não descarta possibilidade de substituir Caetano como executivo","Ídolo do Galo, ex-jogador cita preparação acadêmia e de vivência ao lado de Rodrigo nos últimos três anos",Redação do ge,"Gerente de futebol do Atlético-MG, Victor deixou em aberto a possibilidade de substituir Rodrigo Caetano como executivo do clube. Ídolo do Galo, o ex-jogador disse estar feliz de ter o nome lembrado e citou toda preparação acadêmica que teve pensando neste pós-carreira.




- Fico feliz com a possibilidade, muito motivado de ter o nome citado em um momento deste de transição. É uma responsabilidade imensa substituir o Rodrigo Caetano, que é uma referência dentro da função.


O nome de Victor surgiu nos últimos dias, com a eminente saída de Caetano para assumir o cargo de diretor de seleções na CBF.
Atualmente, o ex-jogador é quase um braço direito de Caetano e está sempre presente no dia a dia, além de ter o respaldo do grupo de jogadores.
Na entrevista, Victor falou sobre o cargo e se já existe conversas com a diretoria alvinegra, além de responder sobre a falta de experiência na função.
- A gente conversa. Hoje estou mais na função de gerência, nessa ponte entre jogadores, treinador e diretoria. Óbvio que conversamos internamente. Hoje ainda sou gerente de futebol e busco exercer minha função.


Rodrigo Caetano aceitou o cargo de diretor de seleções e vai trabalhar em conjunto com Dorival Junior na CBF.
A oficialização não foi feita por nenhumas partes, mas há a expectativa de que seja feito nas próximas semanas.
Caetano acompanhou o time no jogo em São João del Rei. A saída eminente também virou assunto durante a coletiva de Felipão. O treinador respondeu se ele tem alguma participação no processo de escolha do novo diretor de futebol.
- Eu trabalho no Galo, pelo amor de Deus, eu tenho que me colocar no meu lugar. Eu sou um funcionário e trabalho com as pessoas que estão ao meu lado com maior carinho. Então, se o Rodrigo sair, porque ele está sentadinho ali ainda (na sala de imprensa). Se ele sair, não sei o que vai acontecer, mas a pessoa que for substituí-lo, terá o meu apoio total, independente de nome, embora eu queira dizer que eu não participe.
Assista: tudo sobre o Atlético no ge, na Globo e no Sportv

"
Atlético-MG amarga pior sequência sem vencer no Campeonato Brasileiro,Tropeço diante do Fluminense fez o Galo chegar ao quarto jogo sem vitória na competição,Redação do ge,"O Atlético-MG não vive um bom momento no Campeonato Brasileiro. Contra o Fluminense, os comandados de Milito foram derrotados e chegaram ao quarto jogo sem vencer de forma seguida pelo Campeonato Brasileiro.




A marca é a pior da equipe nesta edição. Antes, o Galo havia chegado a uma seca de três partidas. Em triunfos, o máximo que o time conseguiu foi dois resultados positivos.
O goleiro Everson e o atacante Paulinho reconheceram o desempenho ruim na competição. Para eles se espera mais do elenco em relação à posição do clube na tabela.
— O Brasileiro é um campeonato que tem que pensar rodada a rodada. Com base no elenco, todo mundo planeja estar entre os quatro primeiros. Ao decorrer, temos que saber o que podemos mais. É saber das nossas responsabilidade, o que podemos melhorar.
— São quatro jogos sem vitória. Lógico que é ruim. Sabemos que precisamos melhorar. Estamos no meio de tabela, o que não condiz com nossa qualidade, nosso investimento.




A oscilação na Série A mantém o time distante do G-6 - objetivo financeiro e esportivo do clube. Atualmente, o Atlético tem dois jogos em atraso, tem 30 pontos e ocupa a oitava colocação, com a rodada ainda em andamento.
Na próxima quarta-feira, às 21h30, o Atlético-MG visita o São Paulo, no Morumbis, pelo jogo de ida das quartas de final da Copa do Brasil. No domingo, dia 1º de setembro, às 16h, o Atlético enfrenta o Grêmio, em Porto Alegre, pela sequência do Brasileirão.



"
"Atuações do Atlético-MG: Rabello é expulso em nova derrota sob gritos de ""Olé""; dê sua nota",Zagueiro deixa Galo com dez aos 24 minutos do 1º tempo,Redação do ge,"O Atlético-MG precisou lidar com uma nova expulsão e não conseguiu evitar a derrota para o Botafogo por 3 a 0, neste domingo, no Engenhão, pela 15ª rodada do Campeonato Brasileiro. O zagueiro Igor Rabello, que levou vermelho direto no primeiro tempo, teve a pior avaliação. O jogo terminou sob os gritos de ""Olé"". Dê sua nota.







"
"No retorno ao Atlético-MG, Alonso se coloca pronto para estreia e vê ""problema"" para Milito escalar zaga","Com contrato até o fim de 2027, zagueiro é oficialmente apresentado e inicia terceira passagem pelo Galo",Redação do ge,"O zagueiro Junior Alonso foi oficialmente apresentado no Atlético-MG nesta segunda-feira. O zagueiro inicia sua terceira passagem pelo clube com a chance de ser titular nesta terça-feira, diante do Juventude.




— Espero que nessa nova passagem, com contrato até o final de 2026, investimento importante feito pela SAF, espero que seja período de grandes conquistas, grandes vitórias e que você possa consolidar ainda mais esse carinho que a torcida tem com você - disse Victor na apresentação do jogador.
Alonso se colocou à disposição e diz estar pronto para a estreia. Milito perdeu Battaglia suspenso para a partida desta terça-feira, e Alonso pode surgir no time.


Com a chegada de Alonso e Lyanco, a zaga ainda conta com Maurício Lemos, Bruno Fuchs, Igor Rabello e Rômulo. Battaglia ainda faz as vezes de defensor com Gabriel Milito. O novo reforço do Galo vê a situação como um ""problema"" para o treinador.


Chegando a sua terceira passagem pelo Galo, Alonso elegeu 2020 como o melhor ano dele pessoalmente no clube mineiro. No ano seguinte, o Galo conquistou o triplete alvinegro - Mineiro, Copa do Brasil e Brasileirão.
- Eu fiz uma análise porque estava olhando os comentários e muito se falava do ano de 2022, 2021, mas eu cheguei no ano de 2020 joguei com Sampaoli, individualmente falando para mim meu melhor ano é 2020, mas coletivamente foi em 2021, mas falando só de mim, falando só três campeonatos que joguei, foi 2020.
Gabriel Milito pediu a diretoria do Galo apenas um reforço: um zagueiro canhoto. Questionado sobre isso, Alonso falou sobre o porquê acredita que o treinador do Galo tenha pedido o perfil do jogador.
- Pelo sistema de jogo, jogando na linha de quatro de forma defensiva, mas com a posse, é por isso que o treinador estava procurando um zagueiro canhoto que é melhor para a posse de bola, para o passe que quebra linhas, estou preparado para fazer aquela função, com Sampaoli em 2020 joguei quase todo o ano daquele jeito, conheço aquela função.



"
"Análise: Atlético-MG leva susto no início, cria para virar, mas fica no empate com o CRB",Galo sofre dois gols em sete minutos e falha na pontaria para sair com um placar melhor,André Ribas,"O Atlético-MG passou por sete minutos assustadores: dois gols do CRB na casa do adversário, pelo primeiro jogo das oitavas de final da Copa do Brasil. O momento duro passou, a equipe conseguiu reagir e chegou ao empate para levar a decisão da vaga para a Arena MRV. Poderia ser ainda melhor.




O técnico Gabriel Milito manteve a base do time e promoveu apenas duas trocas. Na zaga, Lyanco entrou no lugar de Battaglia, enquanto Alan Franco substituiu Fausto Vera, que não pode atuar na competição.
Antes do susto, o time teve a chance de viver a calmaria. Aos três minutos, Alan Franco lançou a bola nas costas da marcação do CRB. Arana arrancou e ficou na cara do goleiro. Com categoria, ele deu um toque por cobertura, mas mandou por cima do gol.
O que ficou perto de ser tranquilidade, virou desespero. No lance seguinte, o time da casa abriu o placar em cobrança de escanteio — em vacilo de Junior Alonso na marcação.
Dois minutos depois, o segundo gol. O CRB pressionava a saída de bola do Galo — tinha como referência a marcação individual, e conseguiu recuperar a posse. Léo Pereira recebeu e acertou um bonito chute para abrir 2 a 0 no placar.
— O começo do jogo foi surpreendente para nós. Sofremos um gol, rapidamente levamos o segundo em pouco tempo de jogo. Claramente a situação poderia ser muito pior. Tem que servir de aprendizado. Quando começa a partida, temos que jogar — disse Milito.
Não demorou muito para vir mais um baque. Hulk sentiu um problema muscular e foi substituído. Em desvantagem, gradualmente, o Atlético ficou mais com a posse a procura de espaços para diminuir.
A chance clara veio com Alan Franco. Sem goleiro, cabeceou para fora. O volume do Alvinegro seguiu, mas sem tantas finalizações.
O cenário mudou com uma penalidade. Paulinho foi para a bola e marcou para o Atlético. Um gol que colocou a equipe novamente na partida.
O Atlético voltou do intervalo como o dono do jogo. Posse de bola, volume ofensivo e inúmeras chances para empatar. Chegou a acertar a trave antes de Scarpa acertar um bonito chute e igualar o placar.
A superioridade ficou ainda mais clara após a expulsão de Willian Formiga, que agrediu Scarpa. Com dez, o Galo teve controle da transição do adversário e estacionou no campo de ataque.
Do banco, Milito pedia passes e inversões rápidas para fazer a linha do CRB balançar. O time chegou a ter 73% de posse de bola e, pelo menos, três chances claríssimas para virar. Faltou capricho na finalização.
A qualidade ofensiva se perdeu um pouco com as saídas de Scarpa e Paulinho. Mesmo assim, a equipe chegou até a marcar. Contudo, o lance foi anulado pelo VAR.
Com o nível do elenco — e as ambições colocadas na temporada — o Atlético precisa ter mais controle nos 90 minutos. Sete minutos como esses — na Conmebol Libertadores — podem custar um dos grandes objetivos do clube no ano.
Nenhum clube é 100% em um jogo. Vive bons momentos, outros ruins. Mas é preciso lidar melhor nessas situações e ser mais preciso quando tiver as oportunidades.



"
"Atlético-MG pode ter ""time"" de desfalques para enfrentar Palmeiras; entenda","Galo sofre baixas contra o Bragantino, e lista tem oito ausências confirmadas e cinco dúvidas",Redação do ge,"Copa América, lesões e suspensões. O impacto dessas três situações podem fazer o Atlético-MG ter até 13 desfalques para enfrentar o Palmeiras na segunda-feira, às 21h30 (de Brasília), pelo Campeonato Brasileiro.




Da lista, cinco podem vir da vitória contra o Bragantino, na terça-feira. Três por suspensão e dois com possíveis lesões. São os casos de Everson, Maurício Lemos e Battaglia (suspensos); Rômulo e Zaracho (lesões).
Everson estava pendurado e levou o amarelo — por reclamação — ainda no primeiro tempo. Lemos entrou na segunda etapa e — também pendurado — foi punido com amarelo. Já o volante argentino levou dois cartões e acabou expulso.
Zaracho é quem mais preocupa. O argentino sofreu uma entrada forte, teve uma torção no tornozelo esquerdo e deixou o jogo com muitas dores. Ele ainda será avaliado para saber a situação.
Rômulo precisou ser substituído após indicar um problema muscular na posterior. Assim como o volante, ainda precisará passar por exames, mas gera menos preocupação, conforme explicou milito.
— Ninguém imaginou essa situação. Agora, contra o Palmeiras, ainda mais complicada. Não sabemos se o Zaracho se poderá jogar. Considero que o Rômulo estará bem. Sabemos que não jogará Everson, Lemos e Battaglia. É futebol, acontece. Não é normal, mas pode acontecer.
Os suspensos se juntam a outros sete que ficaram ausentes da partida: Alan Franco, Guilherme Arana e Eduardo Vargas (Convocados) Otávio, Rubens e Mariano (lesionados).
Um ainda é dúvida. Hulk está em recuperação de um problema muscular e depende da evolução na semana para saber se terá condição de jogar. Já Paulo Vitor está recuperado de lesão e trabalha a parte física para ser relacionado. Isso pode ser acelerado por conta dos desfalques.
Veja os desfalques confirmados do Atlético.



"
"Após empate em Atlético-MG x Cruzeiro, Hulk chama árbitro de ""boçal"" e crava título: ""Voltar para ser campeão""","Atacante também critica adversários em entrevista: ""A gente ganha e não sai falando m...""",Redação do ge,"Após o empate entre Atlético-MG e Cruzeiro em 2 a 2, no primeiro jogo de ida da final do Campeonato Mineiro, o atacante Hulk chamou árbitro de ""boçal"" e disse crer no título na partida de volta. O camisa 7 marcou o segundo gol do Galo e levou amarelo durante a partida. Assim como na semifinal contra o América-MG, o atacante reclamou da falta de diálogo da arbitragem.






O árbitro do jogo foi Felipe Fernandes de Lima. Na saída de campo, Hulk conversou com o quadro de arbitragem. A conversa também reuniu os dois assistentes Magno Arantes Lira e Felipe Alan Costa de Oliveira.
- Não é reclamação com os árbitros, não, cara. Eu falei no jogo contra o América, não só eu, mas os trinta jogadores que estavam ali. Humildade, para de arrogância. A gente vai conversar com os árbitros, e eles acham que são maior que todo mundo. A CBF faz uma reunião com a gente e pede que os capitães conversem com os árbitros, ter uma relação. A gente vai conversar com os árbitros, e eles dão as costas. Que autonomia eu vou ter? Para que eu tô usando a braçadeira, se eu vou conversar com ele e ele dá as costas? Isso é respeito?




Depois de sair vencendo por 2 a 0 no primeiro tempo, o Atlético cedeu o empate na etapa final. O Galo vai para o jogo de volta precisando da vitória para ser campeão mineiro. O camisa 7 e capitão do time saiu confiante da primeira partida. Antes do jogo de volta no domingo que vem, o Galo estreia na Conmebol Libertadores, na quinta-feira, contra o Caracas, na Venezuela.
- Agora é focar. Quinta tem Libertadores. Voltar pra ser campeão. Vamos voltar pra ser campeão. Tenho plena convicção que vamos chegar com toda humildade do mundo. Nosso time mostrou que é muito humilde. A gente ganha e não sai falando m... Vamos chegar sábado e ser campeão com fé em Deus”.


- Confiança, confiança no nosso trabalho. Sempre notei uma torcida apaixonada, que carrega o time no peito, vive o Atlético. A gente não pode perder isso. Estando bem ou estando mal vamos dar a volta no resultado, temos que ganhar, vai ser difícil mas temos plantel para isso, e trabalhar forte. Acredito que vamos chegar mais preparado para o próximo jogo.



"
"Atuações do Atlético-MG: Battaglia destrava o jogo, Alisson entra bem, e coletivo oscila contra o Itabirito","Longe de atuação ideal, Galo engata segunda vitória e mantém liderança do Grupo B",Redação do ge,"O Atlético-MG ainda não empolgou o torcedor, mas garantiu mais uma vitória, desta vez diante do Itabirito, por 2 a 0, neste sábado, em Brasília, pela sexta rodada do Campeonato Mineiro. Battaglia fez o gol que destravou o jogo para o Galo. Alisson voltou a se destacar no 2º tempo, e Hulk sacramentou a vitória. Veja as notas do ge e opine.







"
