title,subtitle,author,article_content
"Escalação do Bahia contra o Bragantino: desfalques, dúvidas e time provável após último treino",Tricolor recebe o Massa Bruta às 18h30 deste domingo,Redação do ge,"O treino comandado por Rogério Ceni na manhã deste sábado foi o último do Bahia antes da partida contra o Bragantino, marcada para as 18h30 deste domingo (horário de Brasília), na Arena Fonte Nova. O treinador teve a semana livre para fazer a preparação e usou o sábado para comandar um treino tático e fazer ajustes no posicionamento, principalmente na parte defensiva.


O Bahia não divulgou novos problemas físicos ao longo desta semana, e os únicos desfalques para o jogo contra o Botafogo devem ser o lateral-esquerdo Ryan e o volante Acevedo, que seguem em recuperação de lesão. Ryan, inclusive, foi para campo neste sábado e deu continuidade ao processo de transição.
+ Veja mais notícias sobre o Bahia
+ Veja a tabela do Campeonato Brasileiro
Em relação ao time titular, uma novidade pode ser o retorno de Victor Cuesta, que nas últimas duas partidas foi relacionado, mas ficou como opção no banco. Vale lembrar que Rogério Ceni repetiu a escalação do Bahia contra Grêmio, Criciúma e Botafogo.
O provável time titular do Tricolor tem: Marcos Felipe; Santiago Arias, Gabriel Xavier, Kanu (Victor Cuesta) e Luciano Juba; Caio Alexandre, Jean Lucas, Cauly e Everton Ribeiro; Thaciano e Everaldo.
O encontro entre Bahia e Bragantino é válido pela sexta rodada do Campeonato Brasileiro, competição que tem o Tricolor na vice-liderança, com os mesmos dez pontos do líder Athletico. Rival do Esquadrão neste domingo, o Massa Bruta é o quinto colocado, com um ponto a menos. Clique aqui para ver a tabela completa da Série A."
Bahia divulga relacionados para pegar o Fluminense com Cauly e sem Ratão,"Rogério Ceni também não vai ter Raul Gustavo, Acevedo e David Duarte contra o Flu",Redação do ge,"O Bahia divulgou, na tarde desta terça-feira, a lista de jogadores relacionados para a partida contra o Fluminense, marcada para as 19h (horário de Brasília), pela 31ª rodada do Campeonato Brasileiro. A principal novidade é o retorno do meia Cauly.


Cauly está de volta ao Bahia após se recuperar de uma lesão na coxa e desfalcar a equipe na última partida, contra o Palmeiras.
+ Veja mais notícias sobre o Bahia
+ Veja a tabela de jogos do Brasileirão
Por outro lado, Rogério Ceni não vai ter outros dois jogadores por lesão. O zagueiro Raul Gustavo deixou o jogo contra o Palmeiras com um estiramento muscular na região posterior da coxa direita, e o atacante Rafael Ratão segue em recuperação de um incômodo muscular.
Acevedo está suspenso, e David Duarte, por questões contratuais, também não pode atuar contra o Fluminense.



"
Acevedo é expulso e desfalca o Bahia contra o Fluminense,"Volante tricolor é advertido duas vezes com cartão amarelo em derrota tricolor diante do Palmeiras, pela 30ª rodada do Campeonato Brasileiro",Redação do ge,"Acevedo recebeu dois cartões amarelos e foi expulso na derrota do Bahia diante do Palmeiras, por 1 a 0, neste sábado, no Allianz Parque, pela 30ª rodada do Campeonato Brasileiro [assista aos melhores momentos no vídeo abaixo]. Com isso, o volante terá que cumprir suspensão contra o Fluminense.


Acevedo foi advertido no início do primeiro tempo por causa de uma falta em contra-ataque adversário. Na etapa final, outra infração, desta vez próxima à área, gerou o segundo cartão e, consequentemente, a expulsão.
+ Veja mais notícias sobre o Bahia
+ Veja a tabela de jogos do Brasileirão
Como é considerado reserva do time comandado por Rogério Ceni, o volante provavelmente já seria substituído por Yago Felipe na próxima rodada, independentemente de suspensão.
Nesta terça-feira, o Bahia vai enfrentar o Fluminense, às 19h (de Brasília), na Arena Fonte Nova, em jogo válido pela 31ª rodada da Série A."
"Após dizer que não iria mais jogar, Diego Rosa entra em campo e faz gol pelo Bahia",Meio-campista vai bem no empate com o Atlético-BA,Redação do ge,"Quatro dias depois de cogitar uma aposentadoria aos 21 anos, Diego Rosa entrou em campo pelo Bahia e marcou um dos gols do Tricolor no empate em 3 a 3 com o Atlético de Alagoinhas. O meio-campista ainda iniciou a jogada de outro gol do Esquadrão e terminou como o melhor em campo na avaliação do ge. Clique aqui para ver as notas e avaliar os jogadores do Bahia.


Na última quarta-feira, depois de ser vaiado na saída de campo, Diego Rosa usou as redes sociais para avisar que não voltaria a jogar futebol profissionalmente. O atleta voltou atrás da decisão e já no dia seguinte participou do treino na Cidade Tricolor.
+ Veja mais notícias sobre o Bahia
+ Veja a tabela completa do Campeonato Baiano
Através de nota, o Bahia informou que Diego ""está recebendo todo suporte e atenção do Departamento de Saúde e Performance"". O ge apurou que o meio-campista também tem recebido auxílio de uma profissional que não trabalha no Tricolor.


A participação dele no jogo do Bahia era dúvida, mas partiu do próprio jogador o pedido para entrar em campo neste domingo. Titular, ele teve atuação deicisa no primeiro ponto somado pelo Bahia no Campeonato Baiano.
Foi a partir de um lançamento de Diego Rosa que o Bahia abriu o placar do jogo. Depois o camisa oito assumiu a responsabilidade por uma cobrança de pênalti e marcou o segundo do Tricolor. Na comemoração, atravessou o campo para celebrar junto da torcida.
O meio-campista foi o principal responsável pelas bolas paradas do time, e também pela construção do jogo desde o campo de defesa. Ele deixou a partida aos 18 minutos do segundo tempo, substituído por Guilherme. Depois do apito final, o meia foi elogiado pelo técnico Rogério Ferreira.
O clube já oferece continuamente suporte a todo mundo. O que a gente buscou fazer foi tentar entender o futebol na cultura brasileira. A gente vai do céu muito rápido por questões de resultado. Não achei que fez uma partida ruim [contra o Jequié] e que bom que o futebol oferece oportunidade. Ele foi extremamente corajoso, bravo, trabalhou, chegou para treinar, falou que queria jogar e colheu o que plantou durante a semana - afirmou o treinador.


Diego Rosa foi revelado pelo Vitória, se transferiu para o Grêmio e foi vendido ao Grupo City em 2020 ainda antes de estrear como profissional. Ele desembarcou em Salvador para defender o Bahia no ano passado e vestiu a camisa tricolor em 27 oportunidades ao longo da primeira temporada pelo clube.
Neste ano, ficou fora da delegação que embarcou para pré-temporada em Manchester. O jogador seguiu no Brasil para treinar com o elenco sub-20 e reforçar os garotos da base nas primeiras rodadas do Campeonato Baiano. Diego foi titular nas duas partidas disputadas pelo Bahia até agora em 2024.
O Bahia volta para campo nesta quarta-feira, para mais um compromisso pelo Campeonato Baiano. O Tricolor recebe o Jacobina, na Arena Fonte Nova, a partir das 19h15 (horário de Brasília). A partida deve marcar a estreia do time principal do Esquadrão em 2024."
Bahia enfrenta os cinco últimos colocados nas próximas seis rodadas do Brasileirão,"Além do Corinthians, Tricolor vai enfrentar Atlético-GO, Fluminense, Vitória e Grêmio neste período",Redação do ge,"Após cair para a quinta colocação do Brasileirão, o Bahia pode ter uma ajuda da tabela para voltar ao G-4. Nas próximas seis rodadas, o Tricolor enfrenta os cinco últimos colocados da Série A. Além do jogo deste domingo, contra o Corinthians, o Tricolor tem Atlético-GO, Fluminense, Vitória e Grêmio pela frente. O Internacional é o único adversário em situação diferente, pois está na 13ª posição.
✅ Siga o ge Bahia nos Canais do WhatsApp
A sequência contra equipes que lutam na parte inferior da tabela pode ser um caminho para manter o Bahia entre os primeiros colocados da Série A. Mas é importante lembrar que essas partidas também podem ser armadilhas para o Bahia. O Campeonato Brasileiro tem mostrado que enfrentar times que lutam contra o rebaixamento não é garantia de felicidade.
Na última rodada, por exemplo, o Bahia perdeu para o Cuiabá e deixou escapar uma sequência de 20 partidas de invencibilidade em casa. O adversário era o 16º colocado e subiu uma posição após o jogo na Fonte Nova, agora com 17 pontos.
Com 30 pontos, o Bahia está na quinta posição e precisa voltar a vencer para se manter na briga pelas primeiras posições. O duelo com o Corinthians abre a sequência contra equipes em situação de risco e será disputado às 16h deste domingo (horário de Brasília), na Casa de Apostas Arena Fonte Nova.
+ Veja mais notícias sobre o Bahia
+ Veja a classificação do Brasileirão
Vale ressaltar que, em meio a estes jogos pelo Brasileirão, o Bahia também terá dois desafios contra o Botafogo, válidos pelas oitavas de final da Copa do Brasil.
O primeiro duelo terá mando de campo do clube carioca e será disputado na semana de 31 de julho, entre os jogos contra Inter e Fluminense. A partida de volta, na Fonte Nova, será disputada na semana de 7 de agosto, entre o duelo com o Flu e o clássico diante do Vitória."
Bastidores: as duas semanas até Everton Ribeiro se tornar realidade no Bahia,"Entenda como surgiu ideia, debate e negociação até chegada do novo camisa 10 tricolor",Gabrielle Gomes,"A apresentação do meia Everton Ribeiro ao Bahia, no último domingo, foi o ponto alto de uma relação que começou a ser construída ainda no final de 2023. O que parecia um sonho distante se tornou realidade após duas semanas de conversas e um trabalho em conjunto de convencimento que teve atuação em diversas frentes no clube baiano.


Em dezembro de 2023, Everton Ribeiro ainda negociava a renovação de contrato com o Flamengo, mas a proposta de ampliação do vínculo por mais uma temporada não agradava. Cadu Santoro, diretor do Bahia, que já monitorava a situação, levou o nome de Everton para o processo de discussão semanal com a base em Manchester, onde o departamento de Scout analisa todos os atletas que possam chegar ao clube.
Após análise dos números de Everton, Manchester, então, deu o aval para a contratação por entender a estratégia e impacto que o atleta poderia dar. A partir desse momento, Cadu Santoro entrou em contato com Carlos Eduardo e Flavio Brissant, empresários do jogador. Até o acerto com o meia, os três mantinham contado diário e fizeram uma série de reuniões.
As conversas pela contratação de Everton Ribeiro avançaram após o Campeonato Brasileiro, no dia 6 de dezembro. Foram três reuniões com Everton, mas somente nos últimos dias do ano o jogador aceitou conversar junto a esposa e empresários para escutar o projeto desportivo do Bahia. Naquele momento, o jogador definiu que não iria renovar o contrato com o Flamengo.
O Bahia apresentou uma proposta com valorização salarial, dois anos de contrato e com metas factíveis para extensão por mais uma temporada, além de um projeto para o pós-carreira, com o jogador tendo a oportunidade de exercer funções dentro do Grupo City.
Mas, além do projeto, pesou também a confiança que Everton teve sobre a importância que teria no time ao falar com o técnico Rogério Ceni. Por telefone, o treinador mostrou também a ideia de jogo e o posicionamento que o jogador pode ter ao longo desta temporada.
O ""sim"" foi dado com a assinatura do termo de aceite, no dia 2 de janeiro. Na ocasião, o meia fez apenas um pedido: ir ao Rio de Janeiro nesta segunda-feira para buscar o material esportivo no Flamengo e se despedir dos companheiros.
Everton Ribeiro fez exames médicos na última sexta-feira, quando uma equipe de marketing do Bahia viajou até o Rio de Janeiro para produzir as fotos e vídeos para o anúncio. Todo o material da chegada do camisa 10 foi feito pelas equipes de marketing e comunicação do Tricolor, sem interferência do Grupo City.
E, em um primeiro momento, fica claro que todo o esforço foi aprovado pela torcida tricolor, que fez festa na chegada de Everton Ribeiro a Salvador. Resta agora acompanhar como vão ser os capítulos dentro de campo."
"Atuações do Bahia: David Duarte e Kanu vão mal, e Everton Ribeiro se salva em derrota para o River-PI",Tricolor perde a primeira partida na temporada com o time principal; veja as notas do ge e avalie,Redação do ge,"O Bahia sofreu contra o River-PI, em Teresina, a primeira derrota com o time principal nesta temporada. O Tricolor baiano tomou o gol logo no início do jogo e não conseguiu ser efetivo para evitar a derrota por 1 a 0, na tarde deste sábado, no Albertão, pela 2ª rodada da Copa do Nordeste.


Mesmo com o resultado ruim, Everton Ribeiro foi o destaque do Bahia e deixou os companheiros na cara do gol. Por outro lado, a defesa tricolor, principalmente com David Duarte e Kanu, sofreu.
O Bahia vai tentar uma recuperação rápida na Copa do Nordeste já nesta quinta-feira. O adversário da vez será o América-RN, na Arena Fonte Nova, em jogo marcado para as 20h (horário de Brasília). Com a derrota deste sábado, o Tricolor estacionou nos três pontos no Nordestão.
Confira a avaliação do ge e dê suas notas aos atletas do Bahia!"
"Ademir celebra titularidade no Bahia e projeta boa estreia contra o Sport: ""Clássico é diferente""",Atacante aproveita mudanças de Rogério Ceni e é titular pelo segundo jogo seguido,Redação do ge,"O Bahia está embalado depois de três vitórias seguidas no Campeonato Baiano e parece pronto para fazer a sua estreia pela Copa do Nordeste. Após bater o Barcelona de Ilhéus, na última quarta-feira, por 2 a 0, pela quinta rodada do estadual, o Tricolor terá pela frente um duelo com o Sport. A partida será disputada neste domingo, também na Fonte Nova, e chama atenção de Ademir.


O atacante também aproveitou para comemorar a titularidade nos dois últimos jogos do Bahia e avaliou o bom resultado diante do Barcelona de Ilhéus.
- A gente fica feliz pelas oportunidades que o professor tem nos dado, mais feliz pelo triunfo. Jogo difícil, a gente fez um primeiro tempo bom, mas não conseguiu abrir o placar. Equipe deles tem um bom conceito de jogo, bons jogadores, mas no final a gente conseguiu sair com o triunfo. A gente está feliz.
O duelo com o Sport está marcado para as 16h deste domingo (horário de Brasília). Por se tratar de um adversário tradicional na região e tecnicamente mais forte que os do estadual, Ademir garante que o Bahia terá que aproveitar melhor as oportunidades de gol.


Pelo Campeonato Baiano, o Tricolor volta a campo na próxima quarta-feira, contra o Itabuna, às 21h30 (de Brasília), na Arena Fonte Nova, em partida da sexta rodada. O Esquadrão chegou a dez pontos e assumiu a liderança da competição, após derrotar o Barcelona."
Bahia conta com apoio da torcida durante treino em Manchester,Tricolor realiza quarto dia de atividades no CT do Manchester City,Redação do ge,"Os jogadores do Bahia que realizam pré-temporada em Manchester, na Inglaterra, sentiram o calor da torcida tricolor, durante o treino deste sábado. Mais de 30 torcedores acompanharam a quarta atividade do Esquadrão no CT do Manchester City.


Os trabalhos foram focados na parte técnica, após o aquecimento. A comissão técnica azul, vermelha e branca dividiu o grupo em cinco times com quatro componentes em cada um para confrontos entre duas equipes, em dois espaços diferentes, enquanto o quinto grupo executava um exercício de passe.
Por fim, o técnico Rogério Ceni comandou um trabalho de troca de passes e finalizações, enquanto o auxiliar Charles Hember liderou uma atividade com foco na defesa.
Durante a tarde deste sábado, o Bahia fará uma nova atividade. Vale lembrar que o Tricolor está em Manchester desde a última terça-feira e só volta a Salvador no dia 21 deste mês.
+ Veja mais notícias sobre o Bahia
Por isso, a equipe vai perder as duas primeiras rodadas do Campeonato Baiano (Tricolor vai usar equipe sub-20 contra Jequié, dia 17 (ingressos à venda), e Atlético-BA, dia 21)."
"Sem Mingotti, Bahia divulga lista com 24 atletas relacionados para encarar o Atlético-MG",Yago Felipe retorna de suspensão e é opção para Rogério Ceni,Redação do ge,"O Bahia divulgou a lista de relacionados para o jogo decisivo contra Atlético-MG, marcado para as 21h30 desta quarta-feira (horário de Brasília), na Arena Fonte Nova, pela 38ª rodada da Série A. As novidades da lista são a ausência do atacante Vinicius Mingotti, que jogou contra o América-MG, e o retorno de Yago Felipe.


O atacante era presença constante entre os relacionados e chegou a entrar no segundo tempo na partida contra o Coelho, no último domingo. O clube não divulgou o motivo da ausência do jogador.
Outra novidade é a presença do meia Yago Felipe, que cumpriu suspensão na rodada passada e saiu machucado da partida contra o São Paulo.
+ Bahia encerra preparação para enfrentar o Atlético-MG com presença de Yago Felipe
Vale lembrar que o Bahia não depende só de si para fugir do rebaixamento nesta quarta-feira. Além de pontuar, o Tricolor precisar torcer por tropeço de Vasco ou Santos para permanecer na elite do futebol nacional (confira aqui os cenários).




+ Em busca de força mental e sorte, Bahia recebe o Atlético-MG em última cartada por permanência"
