title,subtitle,author,article_content
Bragantino faz treino tático e encerra preparação para decisão contra o Corinthians,"Massa Bruta encara o Alvinegro nesta terça-feira, 20, pelas oitavas da Sul-Americana",Redação do ge,"O Red Bull Bragantino encerrou na manhã desta segunda-feira, 19, a preparação para enfrentar o Corinthians, pelo jogo de volta das oitavas de final da Sul-Americana. A partida ocorre nesta terça-feira, 20, às 21h30, na Neo Química Arena. O ge acompanha o duelo em tempo real - clique aqui.
No treino desta segunda-feira, 19, os jogadores fizeram um treino tático, com ensaio de jogadas de bolas parada. Em relação ao Departamento Médico, não há novidades. Cleiton, Lucão, Pedro Henrique, Matheus Fernandes, Juninho Capixaba e Eric Ramires seguem em tratamento.
O Bragantino perdeu o jogo de ida das oitavas de final por 2 a 1. O Massa Bruta precisa vencer por dois ou mais gols de diferença para avançar no tempo normal. Em caso de vitória por um gol de diferença, a decisão será nos pênaltis.
Com o Braga há sete jogos sem vencer, o técnico Pedro Caixinha disse que este é o pior momento desde que chegou ao clube. Para o duelo contra o Corinthians, o comandante destaca a postura que o Massa Bruta deve ter.
– Acredito que é importante em determinados momentos fazer o feijão com arroz, mas nunca perder a nossa identidade. Temos que ser corajosos, bravos, sabermos correr riscos e sermos equilibrados. Se fizermos isso, seremos nós. E é isso que vou fazer. Não vou pedir à equipe que jogue para trás. Não vejo a vida assim. Vejo a vida com gosto pelos riscos. Nós temos que ganhar e vamos lá com a postura de querer ganhar. Estamos em desvantagem. Não temos, rigorosamente, nada a perder. Já enfrentou alguém que não tenha nada a perder na vida? É importante. Essa pessoa não tem nada a perder – afirmou Pedro Caixinha em coletiva de imprensa.
+ Clique aqui e saiba tudo sobre o Bragantino"
Bragantino anuncia contratação por empréstimo do meia Lincoln Henrique,"Revelado pelo Grêmio, jogador pertence ao Fenerbahçe e chega com vínculo até o fim da temporada",Redação do ge,"O Red Bull Bragantino anunciou nesta quinta-feira, 8, a contratação por empréstimo do meia Lincoln Henrique, de 25 anos, que pertence ao Fenerbahçe-TUR. O jogador, revelado pelo Grêmio, chega ao Massa Bruta com vínculo até o fim desta temporada, com opção de compra.
O contrato de empréstimo foi assinado nesta quinta-feira. Lincoln, inclusive, já foi integrado ao elenco, que se reapresentou na tarde desta quinta após a vitória por 2 a 0 sobre o Novorizontino, fora de casa, na última quarta-feira, 7.
O meio-campista foi revelado pelo Grêmio, mas fez poucos jogos pelo time principal. Atuou no clube gaúcho até 2019 e se transferiu para o Santa Clara, de Portugal. Após três temporadas na equipe portuguesa, foi contratado pelo Fenerbahçe.
Na última temporada pelo clube turco, fez 34 jogos, marcou dois gols e deu oito assistências.
+ Clique aqui e saiba tudo sobre o Bragantino
🎧 Ouça o podcast ge Bragantino🎧"
Bragantino volta aos treinos neste sábado e inicia preparação para enfrentar o Flamengo,"Massa Bruta teve uma semana de folga e agora se prepara para enfrentar o Rubro-negro na quinta-feira, 22",Redação do ge,"O Red Bull Bragantino volta aos treinos neste sábado, 17, após ficar uma semana de folga. O time realiza uma atividade às 9h30 no centro de treinamento HWT Sports, em Bragança Paulista. Depois, faz outro treino às 16h. É o início da preparação para a partida contra o Flamengo, a ser disputada na quinta-feira, 22, às 21h30, no Nabi Abi Chedid, pela 11ª rodada do Brasileirão.
O Bragantino tem o desfalque do goleiro Cleiton na partida contra o Flamengo. O jogador recebeu o terceiro cartão amarelo contra o Atlético-MG e cumpre suspensão automático. Por outro lado, o volante Matheus Fernandes, que estava suspenso no último jogo, volta a ficar à disposição do técnico Pedro Caixinha.
O Massa Bruta é o 12º colocado do Brasileirão, com 14 pontos. Na última rodada, o time empatou por 1 a 1 com o Atlético-MG, no Mineirão. Esse foi o terceiro jogo consecutivo da equipe fora de casa. Antes, havia enfrentado o Estudiantes-ARG, pela Sul-Americana, e o Fluminense, pelo Brasileirão.
Por causa da Data Fifa, as competições de clubes foram pausadas e retornam na próxima semana. O Bragantino aproveitou o período para dar folga aos jogadores após o jogo contra o Galo.
+ Clique aqui e saiba tudo sobre o Bragantino
🎧 Ouça o podcast ge Bragantino🎧"
"Atuações do Bragantino: eficiente, Massa Bruta bate Atlético-GO com gols de Lincoln e Helinho","Além dos atletas que marcaram, Eduardo Sasha se destacou com duas assistências",Redação do ge,"O Red Bull Bragantino venceu o Atlético-GO por 3 a 1 na noite desta quarta-feira, 3, no estádio Nabi Abi Chedid, pela 14ª rodada do Brasileirão. O Massa Bruta foi eficiente no ataque, principalmente no primeiro tempo, quando marcou os três gols.
Lincoln balançou as redes duas vezes, e Helinho fez um gol. O atacante Eduardo Sasha também se destacou, com duas assistências.
Confira as notas dos jogadores do Bragantino e dê suas notas:
+ Clique aqui e saiba tudo sobre o Bragantino"
Matheus Fernandes mira voltar a ter performance de 2023 e avalia disputa por vaga no meio do Bragantino,"Em coletiva de imprensa, volante também comentou a preparação para última rodada da Sul-Americana",Danilo Sardinha,"Matheus Fernandes terminou a temporada 2023 como o segundo atleta com mais jogos pelo Red Bull Bragantino, com 55 partidas, atrás somente de Juninho Capixaba, com 56. O volante foi um dos destaques do Massa Bruta no último ano, mas, em 2024, ele reconhece que ainda não alcançou a mesma performance da última temporada.
O jogador aponta a lesão sofrida no Campeonato Paulista e um incômodo que o tirou de alguns jogos após o estadual atrapalharam a regularidade e, consequentemente, o desempenho. Porém, acredita que tem evoluído e se vê perto de ser o Matheus Fernandes de 2023.
– A gente conversa bastante que o nosso individual ainda pode dar um salto. Nesta temporada, ainda não veio. Por exemplo: aquele Matheus da temporada passada ainda não chegou. Está vindo, pouco a pouco. Acho que esse descanso vai ser bom para isso, rever o que temos feito, os erros, os acertos – comentou em coletiva de imprensa.
– Acho que estou até voltando a encontrar. Nos últimos jogos, acho que fui bem melhor do que antes, quando estava lesionado. O que falta é sequência. Acabei lesionando no início, joguei pouco o Paulista. Agora, pude ter uma sequência de jogos mais pesada, contra o Racing, na Copa do brasil... Acho que estou ganhando essa casca. Saindo da pré-temporada, que foi pequena. Tem tudo isso. Daqui para frente, a tendência é só melhorar – acrescentou.
Assim como Matheus Fernandes, outros jogadores do meio-campo também estão voltando de lesão. Lucas Evangelista, Lincoln e Raul são três exemplos. Com isso, a disputa no setor tem ficado maior.
– Estou tranquilo, não sei o Caixinha (risos). Ele vai ter um pouco de dificuldade. Faz parte do futebol, ele quer também ter todo mundo pronto, disponível para jogar. Para mim e para meus companheiros, é muito importante estar todo mundo bem. Um faz o outro elevar o nível, para estar sempre bem. Futebol é competitividade. Temos que estar sempre prontos. Que jogue o melhor – disse.
O Bragantino se prepara para enfrentar o Coquimbo Unido, do Chile, na próxima terça-feira, 28, pela última rodada do Grupo H da Copa Sul-Americana. O jogo está marcado para as 21h30 (de Brasília) e será disputado no estádio Francisco Rumoroso, em Coquimbo, no Chile.
Confira como foi a coletiva de Matheus Fernandes:
Após a classificação às oitavas de final da Copa do Brasil, sente que a confiança da equipe aumentou depois de um placar convincente em Bragança Paulista (3 a 0)?
– Não só pelo placar, mas pelo bom desempenho da nossa equipe. A gente vem de uma boa regularidade, de grandes jogos, jogos difíceis em que estamos conseguindo os resultados. Isso dá confiança para o grupo trabalhar mais tranquilo e saber também que temos um adversário muito forte pela frente, uma semana cheia para se preparar.
Como avalia a concorrência por uma vaga no meio-campo?
– Estou tranquilo, não sei o Caixinha (risos). Ele vai ter um pouco de dificuldade. Faz parte do futebol, ele quer também ter todo mundo pronto, disponível para jogar. Para mim e para meus companheiros, é muito importante estar todo mundo bem. Um faz o outro elevar o nível, para estar sempre bem. Futebol é competitividade. Temos que estar sempre prontos. Que jogue o melhor.
Na Sul-Americana, vocês já têm vaga garantida no playoff. Isso diminui a pressão ou a disputa é pelo primeiro lugar?
– A disputa sempre foi pelo primeiro lugar. Enquanto tiver chance, não vamos desistir. Jogo é jogado. Apesar de todo mundo estar falando que estamos em segundo, para nós, não. Jogo é jogado. Vamos para vencer e veremos do outro lado. Os caras têm que vencer também. Se não vencerem, a gente passar.
O que estão esperando do Coquimbo para esta partida?
– Esperamos um time que vai jogar pela primeira, segunda bola, como foi aqui na nossa casa. Eles são um time totalmente agressivo e esperamos iguyalar isso, igualar essa força. Vamos para cima, com força total para vence o jogo. Vamos bem, confiantes pelas vitórias, todo mundo disponível para jogar.
Como avalia a sua temporada neste ano?
– Iniciei a temporada bem, mas teve o problema da lesão. Depois, senti um incômodo de novo e tive que parar novamente. Faz parte. Nosso calendário é muito cheio. No ano passado, consegui suportar bastante jogos. Acho que até por conta disso, me sobrecarregou neste ano. Faz parte, estou pronto. Entendo também o pensamento do treinador. Às vezes, ele quer um cara mais ofensivo, um mais defensivo ou vai poupar. A gente entende. Estou aqui em prol do grupo. Vamos sempre para ajudar. Estou feliz. Com a oportunidade que tem, vou dar meu máximo. Quando não tiver, vou também estar pronto para entrar e dar meu máximo. Focado sempre em busca da vitória.
O que você vê de positivo com a pausa do Brasileirão, em questão de tempo para treinar?
– O positivo vai ser dar uma respirada. São muitos jogos, um em cima do outro. Acaba que não temos tanto tempo para viver outras coisas, estar perto da família. Teve alguns que tiveram filho agora, então vai aproveitar esse momento. Também para trabalhar mais aquilo que a gente não está tão bem. Às vezes, está fazendo alguma coisa bem, mas pode melhorar. E só o treinamento vai fazer isso. Com essa parada, vai ter lastro para aproveitar mais a família, descansar e também dar ênfase naquilo que precisa melhorar.
Como vê enfrentar o Grêmio no Couto Pereira? É um ponto positivo?
– Não sei se a palavra certa seria positivo. Com tantas dificuldades que eles estão passando, talvez seja um momento de superação deles também. Olharem, falarem “vamos nos superar, temos que vencer” e virem com tudo para vencer. Temos que esperar um jogo extremamente difícil, equilibrado. Claro que o adversário tem passado por dificuldades, mas vai jogar. Então, eles também estão entendo muito bem isso. Da dificuldade, podem juntar mais força e, se dormirmos, podemos ser atropelados. Temos que entrar focados, não esperar um adversário fraco, porque sabemos que o Grêmio é forte em qualquer gramado, em qualquer estádio, em qualquer lugar. É uma competição disputada. Estamos no bolo, queremos brigar lá em cima e queremos vencer, não importa o adversário.
O você destaca que o time precisa ajustar neste período maior entre um jogo e outro?
– Acho que é a consistência mesmo e alguns detalhes, coisas de jogo, um posicionamento aqui, outro ali. A gente conversa bastante que o nosso individual ainda pode dar um salto. Nesta temporada, ainda não veio. Por exemplo: aquele Matheus da temporada passada ainda não chegou. Está vindo, pouco a pouco. Acho que esse descanso vai ser bom para isso, rever o que temos feito, os erros, os acertos.
O que está faltando para voltar a ser o Matheus do ano passado?
– Acho que estou até voltando a encontrar. Nos últimos jogos, acho que fui bem melhor do que antes, quando estava lesionado. O que falta é sequência. Acabei lesionando no início, joguei pouco o Paulista. Agora, pude ter uma sequência de jogos mais pesada, contra o Racing, na Copa do brasil... Acho que estou ganhando essa casca. Saindo da pré-temporada, que foi pequena. Tem tudo isso. Daqui para frente, a tendência é só melhorar.
+ Clique aqui e saiba tudo sobre o Bragantino"
Bragantino fecha preparação para enfrentar o Flamengo e viaja ao RJ,"Time fez o último treino neste sábado e não contou com Thiago Borbas, que segue como dúvida",Redação do ge,"O Red Bull Bragantino concluiu na manhã deste sábado, 24, a preparação para enfrentar o Flamengo pela 24ª rodada do Campeonato Brasileiro, às 20h deste domingo, 25, no Maracanã - o ge acompanha em Tempo Real.
Cheio de desfalques, o Massa Bruta fez o último treinamento antes do partida neste sábado, no Centro de Desenvolvimento e Performance (CDP) do clube, em Atibaia.
O elenco que está disponível fez atividades táticas, trabalhos de movimentação e treinou bola parada. O elenco viaja para o Rio de Janeiro no período da tarde.
Com dores na coxa, o atacante Thiago Borbas não participou dos últimos treinos. A participação do uruguaio do jogo contra o Flamengo ainda é incerta.


O Bragantino tem pelo menos oito baixas confirmadas para o duelo de domingo - veja:


Por outro lado, o lateral-direito Nathan Mendes, o volante Jadsom e o atacante Eduardo Sasha, que desfalcaram o time na última rodada por estarem suspensos, voltam a ficar à disposição.
Quem também deve voltar é o goleiro Cleiton, afastado dos últimos jogos por causa de um estiramento na coxa direita.


Uma provável escalação do Bragantino para enfrentar o Flamengo tem: Cleiton (Fabrício); Nathan Mendes, Douglas Mendes, Eduardo e Luan Cândido; Raul (Jadsom), Lincoln e Jhon Jhon; Gustavinho, Henry Mosquera e Eduardo Sasha.
+ Clique aqui e saiba tudo sobre o Bragantino"
"Sasha avalia sequência de jogos do Bragantino: ""vai realmente clarear onde podemos chegar""","Próximos quatro jogos do Massa Bruta são contra Santos, Fluminense, Atlético-MG e Flamengo",Redação do ge,"Passada mais uma pausa para os jogos da Data Fifa, o Red Bull Bragantino volta a jogar nesta quinta-feira, 19. Às 20h, o Massa Bruta enfrenta o Santos, na Vila Belmiro, pela 27ª rodada do Brasileirão. O jogo é o primeiro de uma sequência avaliada como difícil pelo atacante Eduardo Sasha.
Após a partida contra o Peixe, o Bragantino encara o Fluminense (casa), o Atlético-MG (fora) e o Flamengo (fora). Questionado em coletiva de imprensa se essa sequência poderia mostrar onde o Massa Bruta pode chegar no Brasileirão, o atacante concordou.
– É uma sequência difícil, de alto nível, com grandes adversários. Sem dúvida nenhuma, talvez os próximos cinco, seis jogos podem decidir o campeonato, decidir o que vamos brigar realmente. Com certeza, essa sequência de jogos vai realmente clarear onde podemos chegar – afirmou.
– Esperamos um jogo difícil (contra o Santos). Todo mundo sabe a grandeza do Santos, a dificuldade que é enfrentar eles na Vila Belmiro. Esperamos um jogo muito difícil, equilibrado, mas estamos confiantes porque viemos de uma boa semana de trabalho, estamos preparados para buscar o nosso resultado – disse.
O Bragantino está na vice-liderança do Brasileirão, com 46 pontos. O Santos é o 15º colocado, com 30. Eduardo Sasha destaca que a colocação do Massa Bruta no nacional tem sido tratada com pés no chão pelo time.
– O elenco todo está ciente do momento que estamos vivendo. Todo mundo está preparado para buscar algo a mais, sempre. Isso que a gente vem fazendo durante toda a temporada, que é pensar jogo a jogo. Por estarmos na vice-liderança, isso não vai ser diferente. Vamos jogar da mesma forma que estamos jogando, com os mesmos pensamentos. Todo mundo está com a cabeça boa. Indo jogo a jogo, vamos ver, nas próximas rodadas, o que podemos almejar a mais neste campeonato – comentou.
Confira outros trechos da coletiva:
Reencontro com o Santos
– Vai ser uma honra retornar lá. Todo mundo sabe a história que a Vila Belmiro tem. Com todo respeito, agora defendo outra camisa. Sem dúvida nenhuma, caso venha o gol, vou comemorar normalmente, como comemoro os gols que venho fazendo, com todo o respeito à camisa que defendo hoje.
Há dez jogos sem marcar com bola rolando
– A questão de não marcar com bola rolando, lógico que nós, como atacantes, queremos estar sempre marcando gols. Mas sabemos que, às vezes, as coisas não acontecem da forma como a gente planeja ou tenta fazer durante a partida. Mas eu venho trabalhando da mesma forma de quando estava fazendo gols seguidos, com bola rolando. As coisas vão acontecer naturalmente. Estou tranquilo em relação a isso.
Folga no período de Data Fifa
– Este ano está sendo diferente. Antes, não tinha essa parada. Agora, está sendo importante, não só para nós, mas para todo mundo. Sabemos o quão intenso são os jogos, os treinos. Esses dias que temos a mais, de folga e descanso, é importante para nós. Foi isso que aconteceu nas outras paradas e desta vez não vai ser diferente.
Melhor momento da carreira?
– Estou muito feliz pelo ano que venho fazendo. Como falei: não é talvez esse momento de jogos que não teve gol com bola rolando que vou mudar de alguma forma. Vou continuar trabalhando da mesma forma. Estou feliz pela temporada que venho fazendo. É normal pegar uma fase da temporada de não ter gols, mas já passei várias vezes por isso. Tenho certeza que já já as coisas voltam naturalmente. O mais importante de tudo isso é não só eu me sentir bem, mas todo o grupo. Isso vem acontecendo e não é à toa que a gente está indo muito bem neste campeonato.
Participações em gols no Brasileirão
– Eu não sabia que era um dos principais em participações em gols. Para ser sincero, nem acompanho muito isso. Claro que quero estar fazendo gols durante os jogos, mas sou um cara muito coletivo. Às vezes, não penso muito em mim. Talvez, até por isso fico às vezes tranquilo até demais por não estar fazendo gols. Claro que quero fazer gols, não vou deixar de negar. Mas fico feliz de estar ajudando de alguma forma, às vezes por questão de característica, acabo saindo um pouco da área, ficando distante. Às vezes, acaba tendo menos oportunidades claras de gol. É continuar trabalhando da mesma forma. O importante é o time estar bem.
+ Clique aqui e saiba tudo sobre o Bragantino
🎧 Ouça o podcast ge Bragantino🎧"
Bragantino retorna aos treinos de olho na partida contra o Cruzeiro,"Juninho Capixaba pode deixar o time nesta semana para acertar com o CSKA, da Rússia",Redação do ge,"O Red Bull Bragantino tem reapresentação marcada para a manhã desta terça-feira, 29, no centro de treinamento HWT Sports. Após vencer o Cuiabá por 2 a 0 no último domingo, 27, o Massa Bruta agora visa a partida contra o Cruzeiro, no domingo, 3, às 18h30, no Mineirão, pela 22ª rodada do Brasileiro.
Uma dúvida na reapresentação desta terça-feira é a presença do lateral-esquerdo Juninho Capixaba. A princípio, o atleta é esperado para a reapresentação. Porém, ele deve ainda nesta semana viajar para a Rússia para acertar com o CSKA. A negociação com o clube russo está bem adiantada e pode ser concretizada em breve.
Para a partida contra o Cruzeiro, o Bragantino terá as voltas do volante Jadsom e do lateral-direito Andres Hurtado, que estavam suspensos. O time não tem desfalques por suspensão para o jogo deste domingo.
O Bragantino é o sexto colocado do Brasileirão, com 35 pontos. O Cruzeiro, adversário do fim de semana, ocupa o 12º lugar, com 25 pontos. A Raposa vem de uma derrota por 3 a 0 para o Grêmio, fora de casa.
+ Clique aqui e saiba tudo sobre o Bragantino
🎧 Ouça o podcast ge Bragantino🎧"
"Caixinha quer Bragantino mais maduro para reagir no Brasileirão e vê time com ""medo cênico""",Massa Bruta perdeu para o Criciúma nesta quarta-feira e está há seis jogos sem vencer,Redação do ge,"Com a derrota por 1 a 0 para o Criciúma nesta quarta-feira, 28, o Red Bull Bragantino aumenta para seis jogos o jejum de vitórias no Brasileirão. Para o técnico Pedro Caixinha, o time não vence há nove partidas, já que, na visão dele, o triunfo sobre o Corinthians nas oitavas da Sul-Americana não conta porque o time foi eliminado na disputa por pênaltis.
Diante desse jejum, Pedro Caixinha segue reconhecendo que a fase do time é ruim. Em entrevista coletiva após a derrota para o Criciúma, disse o que é preciso para a equipe reagir.
– São nove jogos (sem ganhar). Ganhamos o jogo contra o Corinthians, mas depois perdemos nos pênaltis. O que contava era a eliminatória. Então, para mim, esse resultado não contabilizo como vitória. São seis em relação ao Brasileirão – afirmou.
– Quando iniciamos esse jogo, falei que a equipe sempre tem que olhar para cima. Não sou uma pessoa de olhar para trás, mas, sim, olhar para frente. Sabemos que é um momento complicado, sabemos que estamos em posição complicada e sabemos que temos que reagir ganhando jogos para sair desta situação. Estar a reagir como estamos a reagir já não é suficiente. Tem que ser uma equipe muito mais adulta, muito mais madura, muito mais séria e muito mais competitiva. Desta forma, podemos ganhar jogos. Fazer uma reação positiva e estar à beira de empatar, ganhar o jogo, não é suficiente. Temos que fazer muito mais – completou.
Na avaliação do treinador, a história dos últimos jogos do Bragantino tem sido a mesma. A equipe começa com rendimento abaixo e desperta durante as partidas. Pedro Caixinha fez uma avaliação sobre isso.
– Posso dizer aqui fora porque já disse lá dentro. Isso para mim tem um nome: é medo cênico. Sabe o que é isso? É medo de atuar, medo de escutar uma cena. É como se você vai ao palco e, de repente, te dá um bloqueio. Mas, depois, acontece qualquer coisa e eu já estou livre. E essa qualquer coisa que acontece, já estamos a perder. Enquanto eles não libertarem esse bloqueio, esse medo cênico, isso vai continuar acontecendo. Por isso, é preciso libertá-lo, soltá-lo. E fazer o que fazemos, quando reagimos, tendo uma palavra que sempre repeti desde o início: proatividade. Eu não gosto de uma equipe que reage. Gosto de uma equipe que é proativa, que vai e quer fazer acontecer – comentou.
Com a derrota, o Bragantino fica na 15ª colocação do Brasileiro, com 27 pontos. A equipe está duas posições acima da zona de rebaixamento. O Vitória, primeiro time do Z-4, tem cinco pontos a menos.
Pedro Caixinha evita olhar para a degola neste momento do campeonato.
– Nós olhamos para frente, para cima. Estamos em uma situação muito importante, que é depender de nós mesmos. Depender daquilo que é o trabalho que desenvolvemos, não dependemos do trabalho de terceiros. É desta forma que tem que continuar. Hoje, disse aos jogadores que estamos a três pontos do oitavo. Fala-se desse aspecto porque é normal. Estamos a cinco pontos da 17ª posição. Se estou mais próximo lá de cima, por que vou olhar para baixo? Minha forma de ver a vida é esta. Positividade. É um momento difícil, de preocupação, mas não é para pensar desta forma tão negativa – afirmou.
O Bragantino volta a jogar no domingo, 1, contra o Bahia, às 18h30, no Nabi Abi Chedid. Para o duelo, o técnico Pedro Caixinha vive a expectativa de poder voltar a contar com o atacante Helinho, afastado dos últimos jogos por causa de um estiramento na panturrilha esquerda.
Confira outro trecho da coletiva do treinador:
Faça uma análise do jogo contra o Criciúma
– Não é de hoje que vem acontecendo esse resultado. Vem um padrão como a história do jogo. A equipe hoje não entrou bem. Já se passavam 15 minutos e o time ainda não tinha entrado no jogo. Um jogo desta natureza, com essa importância, em que tínhamos que olhar mais para cima, agora temos que olhar mais para baixo, não foi a atitude competitiva que merecia. O adversário foi superior a nós no primeiro tempo, encontrou o gol de uma forma facilitada da nossa equipe. Depois, como sempre, a equipe se liberta, vai para o jogo, solta-se e assume o jogo. Joga majoritariamente no campo de ataque, corre riscos tremendos no mano a mano atrás, tem situações gol, mas não consegue marcar. Essa tem sido a repetição. Hoje penso que começamos a perder pela falta de atitude, falta de querer, essa atitude competitiva que uma equipe tem que ter em jogos desta natureza.
Hoje, fomos penalizados, mas acho que fomos penalizados essencialmente porque não demos tudo quando tínhamos que dar.
+ Clique aqui e saiba tudo sobre o Bragantino"
Atuações do Bragantino: Borbas faz o segundo dele no fim e garante empate contra Botafogo,"Braga empatou por 2 a 2 com o Alvinegro na tarde deste domingo, 12, pelo Brasileirão",Redação do ge,"O Red Bull Bragantino empatou por 2 a 2 com o Botafogo na tarde deste domingo, 12, no estádio Nabi Abi Chedid, pela 34ª rodada do Brasileirão. O Massa Bruta começou bem a partida, abriu o placar com Thiago Borbas, mas, após a parada técnica do primeiro tempo, diminuiu o ritmo e viu o Alvinegro virar o placar. Nos acréscimos do segundo tempo, Borbas fez o segundo dele e empatou o jogo.
Confira as notas dos jogadores do Bragantino e dê sua nota:
+ Clique aqui e saiba tudo sobre o Bragantino
🎧 Ouça o podcast ge Bragantino🎧"
