title,subtitle,author,article_content
"Shopping, ruas e estádio: torcida do Criciúma celebra acesso na Série C",Tricolores vibram com a vaga garantida na segunda divisão da próxima temporada,Daniela Walzburiech,"O torcedor do Criciúma está em êxtase. Depois de duas temporadas acompanhando os jogos do time na terceira divisão, os tricolores celebraram o retorno à Série B na tarde deste sábado. A vaga foi garantida após a vitória por 1 a 0 sobre o Paysandu, no estádio da Curuzu, em Belém.
+ Leia mais notícias do Criciúma
Enquanto os jogadores do Tigre lutavam pelo acesso dentro das quatro linhas, a torcida vibrava com os lances a 3.758 quilômetros de distância. Em um shopping de Criciúma, um grande número de tricolores se reuniu para assistir à partida (confira no vídeo acima).
Quando o árbitro apitou o fim do jogo, confirmando a tão esperada vaga na Segundona, a torcida comemorou pelas ruas, com músicas e bandeiras, e também no estádio Heriberto Hülse, que teve os portões abertos para o momento.
+ Relembre os outros dois acessos do Criciúma à Série B
Confira mais notícias no ge.globo/sc"
Dia Internacional da Mulher: Criciúma planeja ação em partida do Campeonato Catarinense,Compromisso contra o Atlético-SC está marcado para 7 de março,Daniela Walzburiech,"O Criciúma prepara uma ação especial para homenagear as torcedoras carvoeiras no Dia Internacional da Mulher, comemorado em 8 de março. No compromisso diante do Atlético-SC, no dia 7 de março, pela 10ª rodada do Campeonato Catarinense, o Tricolor anunciou que irá disponibilizar 2,5 mil ingressos para que os associados levem o público feminino ao Estádio Heriberto Hülse.
+ Leia mais notícias do Criciúma
De acordo com Viviani Olimpio, gerente comercial e de marketing do Tigre, a meta é lembrar e celebrar as inúmeras conquistas.
– É um dia especial para refletirmos sobre a luta e as conquistas das mulheres, principalmente por igualdade e respeito ao longo de toda história. E, na véspera deste dia especial, o Criciúma vai presentear as mulheres com o acesso grátis. É o nosso presente para as torcedoras carvoeiras – disse.
Antes do Criciúma focar no Atlético-SC, o técnico Cláudio Tencati prepara a equipe para a estreia na Copa do Brasil. A partida contra o Real Ariquemes será na quinta-feira, 2 de março, às 16h30 (de Brasília), em Rondônia.
Mais notícias do esporte catarinense em ge.globo/sc"
"Criciúma anuncia a contratação do atacante Júlio César, ex-Guarani",Jogador de 28 anos assina vínculo com o Tigre até o final da temporada,Redação do ge,"Especulado na semana passada, o Criciúma anunciou a contratação de Júlio César, que defendeu o Guarani nas últimas duas temporadas.
O atacante de 28 anos assinou vínculo com o Tigre até o final da temporada. Ele já estava integrado ao elenco carvoeiro.
+ Criciúma empata com Aimoré em último jogo-treino antes do Catarinense
Na última temporda, Júlio César fez 36 partidas pelo Guarani, entre Paulista, Copa do Brasil e Série B do Brasileiro, e deu uma assistência.
Da base do Paraná, o jogador também tem passagens por ABC, Caxias, Oeste, Chapecoense, Atlético-GO, Ponte Preta, Botafogo-SP e Portimonense (Portugal).
O Criciúma estreia no Campeonato Catarinense no próximo domingo diante do Concórdia. A partida está marcada para às 19h (de Brasília), no Heriberto Hülse.
Leia mais notícias em ge.globo/sc"
"Sem Meritão e Popó, Tencati faz mudanças no Criciúma contra o Bragantino","Duelo atrasado é nesta quarta-feira, às 19h30, no Heriberto Hülse",Manu Silva,"Depois da derrota o Grêmio por 1 a 0, o Criciúma volta a entrar em campo na quarta-feira contra o Bragantino. O jogo atrasado é válido pela 19ª rodada do Campeonato Brasileiro e o técnico Cláudio Tencati vai ter que promover mudanças na equipe. A bola rola às 19h30 (de Brasília) no Heriberto Hülse.
+Miguel Trauco, do Criciúma, é convocado para as Eliminatórias da Copa do Mundo
O volante Higor Meritão recebeu o terceiro amarelo e cumpre suspensão. No lugar dele, Ronald deve ser titular. Já o atacante Wérik Popó, que ainda não fez sua estreia, pertence ao adversário e está emprestado ao time catarinense. Para atuar, o Criciúma precisaria pagar uma multa, o que não deve acontecer.
Por outro lado, o atacante Allano volta de suspensão. Ele deve retornar à titularidade ao lado de Bolasie. O volante Barreto segue em transição do departamento médico. O Criciúma finaliza a preparação nesta terça-feira, no Estádio Heriberto Hülse com portões fechados.
A bola rola para Criciúma e Bragantino na quarta-feira, às 19h30 (de Brasília), no Estádio Heriberto Hülse.
Mais notícias do esporte catarinense em ge.globo/sc"
Prepara o caixa! Cartola divulga valores de Marquinhos Gabriel e Felipe Vizeu do Criciúma,"O Criciúma estreia na Série A em casa, diante do Juventude, no dia 13 de abril",Redação do ge,"O torcedor do Criciúma já pode começar a planejar a vida financeira no Cartola para 2024. Isso porque o mercado abre nesta quinta-feira e o preço de alguns atletas já foi divulgado.
Quem quiser escalar o meia Marquinhos Gabriel terá que desembolsar C$ 5. Já o atacante Felipe Vizeu estará no mercado por C$ 4.
+ Cartola 2024: veja os jogadores que vão mudar de posição nesta edição do game
A última vez que o torcedor carvoeiro pôde escalar um atleta tricolor foi em 2014. Por isso, a expectativa para conferir a lista completa dos valores para a atual temporada.
O Criciúma estreia na Série A em casa, diante do Juventude, no dia 13 de abril.
Leia mais notícias em ge.globo/sc"
"Dudu Vieira projeta jogo decisivo do Criciúma contra o Paysandu: ""Temos que focar no emocional""","Tigre enfrenta o Papão neste sábado, às 17h, fora de casa, em busca da vaga na Série B",Redação do ge,"O Criciúma tem pela frente a partida mais importante da temporada, neste sábado, contra o Paysandu, às 17h (de Brasília), fora de casa, pela última rodada da segunda fase da Série C do Brasileiro.
O Tigre precisa vencer e contar com um tropeço do Botafogo-PB, diante do Ituano, para conquistar o acesso à Série B de 2022.
Para a partida, a preparação durante a semana tem sido focada, também, no ponto-chave da decisão, como comentou o volante Dudu Vieira.
— Os trabalhos foram focados na parte tática e no emocional, que vai contar muito nessa última partida para nós. A gente precisa estar ligado, unir todos os pontos que o professor vai passar, e tenho certeza que vamos conseguir o acesso — disse.
+ Leia mais notícias do Criciúma
Para o atleta de 27 anos, que vai para seu 28º jogo com a camisa tricolor, a expectativa de brigar pelo acesso era outra, mas o momento pede concentração.
— Não imaginava chegar a disputar o acesso assim. Vim visando chegar na final e ser campeão, pela grandeza do Criciúma. Mas aconteceu. Agora, precisamos estar focados, vai ser uma final para nós — completou.
A única combinação possível para o Tigre ascender de divisão será a vitória contra o Papão, além de torcer para que o Botafogo-PB não vença seu jogo contra o Ituano, também às 17h, no estádio Novelli Júnior (CLIQUE AQUI e confira a tabela da terceira divisão).
Confira mais notícias no ge.globo/sc"
Criciúma oficializa contratação do atacante Yannick Bolasie,Congolês de 34 anos já treina sob o comando de Cláudio Tencati para disputa da Série A,Redação do ge,"A contratação de Yannick Bolasie foi oficializada pelo Criciúma nesta quarta-feira. O atacante de 34 anos está em Santa Catarina há mais de uma semana e treina com a equipe para a Série A do Campeonato Brasileiro. O contrato com o Carvoeiro vai até o fim de 2024.
Bolasie disputou duas vezes a Copa Africana de Nações pela República Democrática do Congo e tem mais de 100 partidas na 1ª divisão da Liga Nacional Inglesa – a Premier League – vestindo a camisa de clubes como Everton, Aston Villa e Crystal Palace, onde teve o maior destaque.
+ CLIQUE para ler mais notícias do Criciúma
O novo jogador do Criciúma tem 485 jogos por times profissionais e 66 gols na carreira. Na última temporada, atuou no Swansea City, da 2ª divisão da Liga Nacional Inglesa – a Championship.
Essa será a primeira vez de Yannick Bolasie defendendo um clube fora da Europa. Agora, ele aguarda a regularização no Boletim Informativo Diário (BID).
Mais informações do esporte catarinense em ge.globo.com/sc"
Criciúma treina no CT do Athetico e reencontra Luiz Felipe Scolari,Ex-treinador está na história do clube do Sul de Santa Catarina pelo título da Copa do Brasil,Redação do ge,"O Criciúma deixou o Campeonato Catarinense de lado para focar em outra competição: a Copa do Brasil. O time do Sul de Santa Catarina enfrenta o Coritiba nesta terça-feira, às 20h (de Brasília), de olho na vaga à próxima fase e também na premiação de R$ 2,1 milhão da Confederação Brasileira de Futebol (CBF).
No último domingo, a equipe comandada por Cláudio Tencati realizou uma atividade no CT do Caju, do Athletico. Lá, o passado e o presente ficaram lado a lado com o reencontro entre Luiz Felipe Scolari, o Felipão, e Cláudio Tencati.
+ Leia mais notícias do Criciúma
O atual coordenador de futebol do clube paranaense está na história do Criciúma pelo título da Copa do Brasil de 1991, quando era treinador do time tricolor. No local, ele conversou com integrantes da comissão técnica do Tigre e posou para fotos.
Mais notícias do esporte catarinense em ge.globo/sc"
Crystopher e Gustavo aumentam as opções de Tencati para partida do Criciúma contra o Camboriú,"Por outro lado, treinador do time tricolor não poderá contar com o volante Léo Costa",Daniela Walzburiech,"Para o compromisso diante do Camboriú, válido pela oitava rodada do Campeonato Catarinense, o técnico Cláudio Tencati tem mais dois jogadores à disposição no plantel do Criciúma: Crystopher e Gustavo.
O meia e o goleiro, respectivamente, cumpriram suspensão diante do Joinville, no último domingo, e não participaram do empate por 1 a 1 no Estádio Heriberto Hülse.
+ Leia mais notícias do Criciúma
Por outro lado, o comandante do Tricolor não poderá contar com o volante Léo Costa, que recebeu o terceiro cartão amarelo.
A partida com o Camboriú está marcada para a quarta-feira, às 19h (de Brasília), no Estádio das Nações. Na tabela, o Criciúma aparece em 10º lugar, fora da zona de classificação do estadual.
Ainda na primeira fase, o time enfrenta Figueirense, Atlético Catarinense e Avaí.
Leia mais notícias em ge.globo/sc"
"Jogadores se reapresentam, e Criciúma inicia a pré-temporada","Equipe tricolor estreia no Catarinense em 15 de janeiro, contra o Concórdia, no Majestoso",Daniela Walzburiech,"O Criciúma iniciou a preparação para o Campeonato Catarinense nesta quarta-feira. Após a reapresentação do elenco, os jogadores participaram de uma reunião no auditório com o presidente Vilmar Guedes, o gerente de futebol Alex Brasil e o técnico Cláudio Tencati, que renovou o contrato por mais uma temporada.
Depois da conversa, o grupo realizou as primeiras avaliações físicas. O trabalho com bola deve ocorrer nos próximos dias.
+ Leia mais notícias do Criciúma
– Estamos muito felizes com esse retorno aos trabalhos e, ao mesmo tempo, motivados com essa temporada que se aproxima. Assim como em 2022, vamos seguir com muita dedicação para alcançar os objetivos traçados para 2023 – disse o presidente.
Novamente na elite do Catarinense, o Criciúma estreia na competição em 15 de janeiro, às 19h (de Brasília), contra o Concórdia, no Heriberto Hülse.
Confira mais notícias no ge.globo/sc"
