title,subtitle,author,article_content
"Cruzeiro encaminha acerto com Álvaro Barreal, ponta ofensivo do Cincinnati FC; veja detalhes",Atacante de 23 anos estava atuando nos Estados Unidos e chegará por empréstimo,Gabriel Duarte,"O Cruzeiro encaminhou acerto para contratação, por empréstimo de uma temporada, do argentino Álvaro Barreal. O ponta de 23 anos chega com opção de compra.


O argentino pertence ao Cincinnati FC, com quem tem contrato até o fim da temporada. O Cruzeiro receberá o jogador, caso tudo se acerte, com direitos econômicos fixados. O clube mineiro não comenta negociações em andamento. A expectativa é que Barreal desembarque em Belo Horizonte nos próximos dias.
A informação do acerto foi divulgada inicialmente pelos jornalistas Samuel Venâncio e Germán Garcia Grova. O ge confirmou a negociação em andamento.
Álvaro Barreal joga pela esquerda, podendo funcionar como lateral, atacante e também no meio de campo. Costuma bater faltas e escanteio no Cincinatti. Geralmente, é explorado na ponta esquerda para lançamentos na área e jogadas pela linha de fundo.
O jogador foi revelado pelo Vélez Sarsfield, da Argentina. Também tem passagens pela seleção argentina de base.
Em 2020, o jogador foi negociado ao Cinccinatti FC, dos Estados Unidos. Por lá, o atacante participou de quatro temporadas com 120 jogos e 19 gols. Também deu 20 assistências.



"
Cruzeiro busca vaga inédita na Sul-Americana e fim de jejum contra o Boca no século,"Mirando título da competição, time inicia disputa de mata-mata contra adversário tradicional",Redação do ge,"Vivendo nova fase e ambicionando títulos com a SAF sob a gestão de Pedro Lourenço, o Cruzeiro inicia a disputa das oitavas de final da Conmebol Sul-Americana, nesta quinta-feira, às 21h30 (de Brasília), contra o Boca Juniors, na Bombonera. Um adversário histórico que está engasgado pelo passado recente.




O time argentino está entre os adversários internacionais que o Cruzeiro mais vezes enfrentou na história. São 14 confrontos, com números equilibrados: seis vitórias do Boca, quatro do time brasileiro e quatro empates. A Raposa marcou 12 gols, enquanto os argentinos marcaram 15.
O Cruzeiro é um entre oito times brasileiros que venceram o Boca Juniors na Bombonera, considerando apenas jogos oficiais. Essa vitória foi há 30 anos, pela Libertadores de 1994, e contou com brilho de Ronaldo Fenômeno. Depois daquele dia, o time celeste bateu os argentinos por duas vezes: na volta de 1994 e na Supercopa de 1997.
Aquele foi o último duelo entre os times na década de 1990, a mais vitoriosa da história cruzeirense. Depois da virada do século, no entanto, o Boca se tornou uma pedra no sapato, eliminando o time por duas vezes na Libertadores.
Em 2008, o time orquestrado por Juan Roman Riquelme, atual presidente do Boca Juniors, venceu por 2 a 1, na Bombonera e no Mineirão, eliminando o Cruzeiro nas oitavas de final. Dez anos depois, em 2018, passou pela Raposa nas quartas de final, vencendo na Argentina e empatando no Mineirão. O duelo de ida naquela ocasião foi marcado por polêmica expulsão de Dedé, que acabou anulada pela Conmebol.


Os duelos com o Boca Juniors representam a continuidade do time na competição, vista como possibilidade real de título ainda em 2024, após o aporte de R$ 180 milhões em contratações. E, além disso, se o Cruzeiro passar, já terá a melhor campanha da sua história na competição.
O Cruzeiro disputa o torneio, existente desde o início do século, pela sétima vez na história. A melhor campanha foi em 2005, quando eliminou o Juventude na primeira fase e caiu para o Vélez Sarsfield, da Argentina.
Nos primeiros anos de disputa da competição, havia uma fase preliminar disputada entre equipes do mesmo país. Nos últimos anos, esses confrontos passaram a ser internacionais e, desde 2021, conta com grupos antes do mata-mata.
Na atual edição, o Cruzeiro já conseguiu a primeira vitória como visitante na história do torneio ao bater o Alianza FC, da Colômbia, por 3 a 0.

"
Unión La Calera x Cruzeiro: Lucas Romero viaja para o Chile; veja lista de relacionados,"Volante argentino volta ao time para enfrentar o Unión La Calera, em jogo pela terceira rodada do Grupo B da Copa Conmebol Sul-Americana",Redação do ge,"No começo da noite deste domingo, o Cruzeiro divulgou a relação de jogadores para a viagem rumo ao Chile. Nesta terça-feira, às 19h (de Brasília), o time do técnico Fernando Seabra enfrenta o Unión La Calera, no no Estádio Municipal de Concepción, pela terceira rodada do Grupo B da Copa Conmebol Sul-Americana.




Uma das novidades na delegação é o retorno do volante Lucas Romero. O jogador argentino levou o cartão vermelho no jogo contra o Fortaleza e cumpriu suspensão automática na derrota para o Atlético, nesse sábado, pelo Campeonato Brasileiro.
O Cruzeiro leva 24 jogadores para a viajem rumo à Concepción, cidade do interior do Chile. O goleiro Gabriel Grando, que foi trocado por Rafael Cabral, não acompanha a delegação, pois não só pode ser inscrito na próxima fase da Copa Sul-Americana, caso o Cruzeiro se classifique.
Outra novidade na lista de relacionados é o lateral Wesley Gasolina, que não ficou à disposição para o clássico de sábado por opção do treinador. Com a entrada de Romero e Gasolina na delegação, Vitinho e Palacios ficam em Belo Horizonte e não viajam para o Chile.
O Cruzeiro ocupa o terceiro lugar do Grupo B da Copa Conmebol Sul-Americana, com dois pontos somados. O time mineiro empatou com Universidad de Quito e o Alianza, da Colômbia, nos dois primeiros jogos da competição. A equipe equatoriana lidera a chave, com quatro pontos, seguida pelo La Calera, que tem três.
Confira a lista de relacionados do Cruzeiro para enfrentar o Unión La Calera:



"
"Escalação do Cruzeiro: em meio a negociação para sair, Machado segue fora; veja time",José Cifuentes e Japa também não aparecem entre os relacionados; João Pedro retorna,Guilherme Macedo,"O Cruzeiro fechou a preparação para enfrentar o Unión La Calera, nesta quinta-feira, às 21h (de Brasília), no Independência, pela 5ª rodada do Grupo B da Sul-Americana. Filipe Machado, que negocia saída da Toca da Raposa, não está relacionado.




Filipe Machado negocia a saída para o Ludogorets e também não participou da partida contra o Atlético-GO, no final de semana. Nesta semana, ele trabalhou no mesmo horário que o restante do elenco, mas fez apenas atividades físicas.
Sem atuar desde fevereiro por conta de lesões no tornozelo e na coxa, Japa foi totalmente reintegrado ao elenco na terça-feira e participou de duas atividades em campo. Contudo, ainda não fica à disposição.
Por outro lado, quem retorna para a lista é o meia João Pedro. Ele havia ficado de fora dos últimos jogos da Raposa.
Quem se aproxima do retorno, mas continua fora contra o La Calera, é o Juan Dinenno. Fora de combate há mais de um mês por conta de uma fratura no nariz e de edema muscular na coxa, ele realiza apenas parte dos treinos com o grupo e utilizando máscara de proteção. Bilu, que passou por cirurgia no Tendão de Aquiles em maio de 2023, aprimora parte física.
Em relação ao time titular, a tendência é de manutenção da equipe que iniciou nas vitórias contra Vitória e Atlético-GO. A situação somente será diferente em caso de desgaste acusado pelos atletas.


O único jogador que está sob cuidados completos do departamento médico é o meia Mateus Vital, que passou por cirurgia no ombro e já realiza recuperação na Toca da Raposa. Gabriel Grando fica fora da partida por não estar inscrito na Sul-Americana.
Em segundo no grupo, com seis pontos, o Cruzeiro garantirá vaga na repescagem da Sul-Americana em caso de vitória no Independência. Para ser o primeiro do grupo e avançar direto às oitavas de final, precisa vencer os dois jogos e contar com tropeço da Universidad Católica contra o Alianza.







"
"Rival do Cruzeiro, Libertad tem técnico recém-chegado da seleção e elenco recheado de quarentões",Grupo conta com jogadores de Copa pelo Paraguai e goleiro campeão pelo Vasco,Guilherme Macedo,"O Cruzeiro inicia a caminhada diante do Libertad, nessa quinta-feira, em Assunção, de olho na vaga na semifinal da Conmebol Sul-Americana. O adversário está em fase inicial de trabalho com o técnico Daniel Garnero e tem elenco recheado de medalhões, com quatro jogadores acima dos 40 anos de idade.




O comandante de 55 anos de idade é um dos mais vencedores recentes no futebol nacional. O argentino teve carreira como jogador e defendeu o Independiente na década de 1990. A trajetória como técnico também começou naquele país, mas deslanchou no Paraguai, onde chegou em 2015.
Desde então, o treinador passou por quatro clubes do país. Surgiu no Sol de América e conquistou títulos nacionais por Paraguai, Olímpia e Libertad, de onde saiu em 2023 rumo à seleção paraguaia, substituindo Guillermo Schelotto. Bem avaliado no país, Garnero teve passagem breve e ruim pela Albirroja.
O treinador comandou a seleção paraguaia em dez jogos, com apenas duas vitórias. Demitido após a Copa América – onde foi goleado por 4 a 0 pelo Brasil e eliminado na fase de grupos -, Garnero retornou ao Libertad para o lugar de Ariel Galeano, de 25 anos.
A reestreia de Garnero no comando do time foi há menos de um mês, em 25 de agosto. Desde então, o Libertad disputou cinco jogos, com três vitórias, um empate e uma derrota. A equipe ainda era treinada por Galeando quando eliminou o Sportivo Ameliano, nas oitavas da Sul-Americana.


Se o treinador tem identificação com o clube e retorna de uma experiência frustrada na seleção nacional, o elenco do Libertad é recheado de jogadores com passagens importantes pelo exterior, sendo que há quatro peças com mais de 40 anos de idade.
As duas principais estão no ataque: Óscar ""Tacuara"" Cardozo (41 anos) e Roque Santa Cruz (43 anos), que vivem fases distintas dentro do elenco paraguaio.
Revelado pelo 3 de Febrero e com passagem pelo Nacional-PAR, Tacuara foi vendido ao Newell’s, da Argentina, onde logo chamou atenção do Benfica. Em Portugal, foi alçado a ídolo, com sete títulos conquistados. Com 171 gols marcados em 293 jogos, foi artilheiro de duas edições do Português e de uma Liga Europa.
Óscar Cardozo ainda defendeu o Trabzonspor, da Turquia, e o Olympiacos, da Grécia, antes de chegar ao Libertad. Ele está no clube de Assunção desde 2017, com 321 jogos e 129 gols marcados. É titular absoluto da equipe e acumula 11 gols em 2024.
Mais veterano ainda que Tacuara e atual suplente no comando de ataque, Roque Santa Cruz surgiu como talento paraguaio ainda no final dos anos 1990, defendendo o país natal nas Copas do Mundo de 2002, 2006 e 2010, com um gol marcado. Ele é o maior artilheiro da história da Albirroja, com 32 gols em 110 jogos.
Santa Cruz jogou por 15 anos no futebol europeu, atuando na Alemanha, na Espanha e na Inglaterra. O maior título na trajetória internacional foi a Liga dos Campeões de 2000, defendendo o Bayern de Munique. O centroavante voltou ao Paraguai em 2016, pelo Olímpia, e está no Libertad desde 2022. Na atual temporada, soma três gols e duas assistências.
Além da dupla ofensiva, o Libertad conta com dois defensores acima de 41 anos - ambos conhecidos do futebol brasileiro. O goleiro Martín Silva é titular absoluto da equipe, onde chegou em 2019, após cinco anos defendendo a meta do Vasco, conquistando dois Cariocas.
O outro jogador é o volante Cristian Riveros, que tem apenas dois jogos na temporada, mas está sendo relacionado por Daniel Garnero. Entre 2013 e 2014, disputou 69 jogos pelo Grêmio, com seis gols, duas assistências e nenhum título.
Além dos quarentões, o elenco do Libertad também conta com outros jogadores acima dos 30 anos: os zagueiros Diego Viera (33 anos) e Luís Cardozo (35 anos), o lateral Iván Piris (ex-São Paulo, 35 anos), os meias Alejandro Silva (35 anos), Hernesto Caballero (33 anos) e William Mendieta (ex-Palmeiras, 35 anos), além dos atacantes Antonio Bareiro (35 anos) e Lorenzo Melgarejo (34 anos).



"
"De olho no mercado internacional, Cruzeiro segue alvos a pouco mais de um mês do fim da janela","Clube tem até 7 de março, quando fecha a janela de transferências, para contratar",Redação do ge,"O Cruzeiro ainda tem pouco mais de um mês, até o fim da janela para registro de contratações, para reforçar o elenco à disposição de Nicolás Larcamón. O clube segue atrás dos alvos e necessidades traçadas para este primeiro período de 2024. O olhar tem sido voltado ao mercado internacional, até agora.




Com seis contratações realizadas até agora, o Cruzeiro ainda trabalha para trazer dois nomes para o meio-campo e também, pelo menos, mais duas peças para o ataque. Também quer, não de maneira urgente, um zagueiro.
Para o ataque, o Cruzeiro ganhou baixas com as lesões de Gabriel Verón e Rafael Papagaio. Por isso, trabalha para trazer dois nomes pelo menos para o setor. O time ainda perdeu peças, com as saídas de Bruno Rodrigues (Palmeiras), Stênio (emprestado ao AVS, de Portugal) e Paulo Vitor (cedido ao Novorizontino).
Ainda há Wesley, na mira do Elche (Espanha) e com situação indefinida no Cruzeiro. O atacante está se recuperando de lesão. Até por isso, Larcamón decidiu promover Vitinho e Fernando, peças ofensivas do Sub-20 e que passaram a treinar com o grupo.
No meio-campo, Jose Cifuentes apareceu como alternativa do Cruzeiro à impossibilidade de contratar Emmanuel Martinez, do América-MG. O volante equatoriano está no Rangers, da Escócia, e negocia para um empréstimo de uma temporada.
Na situação da zaga e com cinco peças de origem para o setor, mais Palacios (escalado na defesa no primeiro jogo), o Cruzeiro não tem regime de urgência para contratação, mas quer uma peça para atuar pelo lado esquerdo.
Lucas Villalba, do Argentinos Juniors, entrou na pauta do clube mineiro. Ainda não houve proposta oficial. O jogador atua como zagueiro e lateral.
A janela de transferências fecha em 07 de março. O Cruzeiro, até lá, espera trazer mais contratações para Larcamón, que sinalizou a necessidade de mais peças na última coletiva.



"
Dono do Cruzeiro trabalha para trazer jogo contra o Fortaleza para Belo Horizonte; entenda,"Jogo com mando de campo do Cruzeiro está marcado para Cariacica, na próxima segunda-feira; gestão passada vendeu mandos de campo do time mineiro e Pedro Lourenço quer reverter",Redação do ge,"O dono do Cruzeiro, Pedro Lourenço, afirmou que pretende trazer o duelo contra o Fortaleza na próxima rodada, no dia 5 de agosto, para o Belo Horizonte. O jogo, que tem o clube mineiro como mandante, está marcado para Cariacica após a gestão Ronaldo vender o mando de campo.




- Tô muito feliz (com resultado)! O Alexandre tá no Rio com o Pedro Júnior, estamos mobilizando, tem um prazo de 10 dia para mudar (de local o jogo), vamos conversar com a CBF, o que tiver que fazer para jogarmos no Mineirão, vamos fazer - disse em entrevista à Rádio Itatiaia.


O Cruzeiro é o melhor mandante da Série A, com oito vitórias em oito jogos e tem na próxima rodada o jogo contra o Fortaleza. Segundo Pedrinho, eram quatro jogos vendidos, e a administração conseguiu reverter para dois. Além da partida diante do Fortaleza, o duelo com o São Paulo está marcado para Brasília.
O técnico Fernando Seabra também falou sobre a possibilidade de mandar a partida no Mineirão.
- Seria maravilhoso, nossa torcida no Mineirão tem sido nosso 12º jogador de verdade, contribuindo demais para atmosfera, para que nossos jogadores se sintam mais energizados, ainda mais depois de um jogo como o de hoje, seria interessante encontrar nossa torcida. Tomara que ele tenha êxito na missão - analisou o técnico Fernando Seabra.
O jogo contra o Fortaleza está marcado para o dia 5 de agosto, segunda-feira, em Cariacica, às 21h, pela 21ª rodada da Série A.



"
Cruzeiro anuncia o empréstimo de João Pedro para o Mirassol,Atacante foi cedido ao time paulista até abril de 2025,Gabriel Duarte,"O Cruzeiro anunciou, nesta segunda-feira, o empréstimo do atacante João Pedro ao Mirassol, do interior de São Paulo, até o fim de abril de 2025.




João Pedro, de 21 anos, foi integrado ao elenco Cruzeiro na reta final do Brasileirão do ano passado, ganhando sequência no Campeonato Mineiro deste ano, quando Nicolás Larcamón era o treinador. O atacante chegou à Raposa em 2023 para terminar a formação de base, após passagem pelo Valladolid, da Espanha.
O último jogo dele com a camisa do Cruzeiro foi contra o Vasco, em 16 de junho.
No fim de fevereiro, João Pedro e Fernando (também ex-base) foram afastados dos treinos com o elenco após a divulgação de um vídeo com a presença de ambos em uma festa. João se desculpou publicamente com a torcida e com o clube.
Em abril passado, o Cruzeiro anunciou a renovação do contrato com o atacante. O novo vínculo vai até o fim de 2026.



"
Edu Dracena é anunciado pelo Cruzeiro e explica função na diretoria,"Ex-zagueiro, campeão da Tríplice Coroa pela Raposa em 2003, irá ocupar o cargo deixado por Paulo Autuori",Redação do ge,"O Cruzeiro anunciou a contratação ex-zagueiro Edu Dracena. Ele chega para ocupar o posto de diretor técnico deixado por Paulo Autuori. Ele é o terceiro nome para o departamento de futebol da era SAF Pedro Lourenço. Chega para trabalhar junto de Alexandre Mattos e Paulo Pelaipe, e explicou a função no clube.






- Estou aqui para somar e vestir a camisa do Cruzeiro, porque eu sei o quanto ela é pesada.
Dracena e Pelaipe são nomes com aval de Alexandre Mattos, encarregado por Pedro Lourenço de cuidar do futebol do Cruzeiro a partir de agora.
Edu Dracena encerrou a carreira em 2018, atuando pelo Palmeiras. Seguiu no time paulista como assessor do futebol. Em 2022, assumiu posição de coordenador técnico do Santos.
O ex-zagueiro tem currículo vitorioso pelo Cruzeiro. Atuou entre 2003 e 2006, sendo campeão da Tríplice Coroa (títulos do Mineiro, Copa do Brasil e Brasileiro) em 2003. Também levou os Estaduais de 2004 e 2006. Foram 161 jogos pela Raposa e 13 gols marcados.



"
Cruzeiro anuncia Fernando Diniz,Treinador assume o Cruzeiro e assina contrato até o fim de 2025,Gabriel Duarte,"O Cruzeiro anunciou a contratação do técnico Fernando Diniz para assumir o time após a demissão de Fernando Seabra. O treinador assinará contrato com a Raposa até o fim de 2025.




O Cruzeiro anunciou que, junto de Fernando Diniz, chegam os auxiliares técnicos Eduardo Barros e Wagner Bertelli.
Fernando Diniz já estará no treinamento desta terça-feira, na reapresentação do elenco cruzeirense. Ele vai comandar a equipe na partida contra o Libertad, do Paraguai, nesta quinta-feira, pelas quartas de final da Conmebol Sul-Americana.
Por estar livre no mercado, Fernando Diniz virou forte candidato nos bastidores do clube mineiro, e era nome considerado ""extremamente viável"".
Diniz foi demitido do Fluminense em julho, após deixar o time na lanterna do Campeonato Brasileiro, mesmo com classificações na Copa do Brasil e Conmebol Libertadores. O treinador encerrou um longo ciclo no clube carioca, pelo qual foi campeão da maior competição continental no ano passado, além de ter levado o Carioca do mesmo ano e a Recopa Sul-Americana de 2024.
Fernando Diniz ainda teve rápida passagem pela Seleção, entre o meio de 2023 e janeiro deste ano. Comandou a equipe nacional por seis partidas, com duas vitórias, um empate e três derrotas.
Diniz nunca comandou o Cruzeiro, mas vestiu a camisa do clube como jogador. Natural de Patos de Minas-MG, Diniz foi contratado em 2004, sob o comando de Marco Aurélio. Com 30 anos, chegou ao clube mineiro como uma figura experiente para o elenco. E atuou ao lado do então iniciante no profissional e recém-chegado ao Cruzeiro, Fred. Mas fez apenas oito jogos e deixou o clube após o término do Campeonato Brasileiro.



"
