title,subtitle,author,article_content
"Auxiliar do Cuiabá pede desculpas à torcida por atuação ruim: ""Não representa esse grupo""",Bruno Lazaroni lamentou derrota para o Atlético-MG e prometeu reação na última rodada,Redação do ge,"Em noite de atuação bastante ruim, o Cuiabá acabou derrotado por 3 a 0 para o Atlético-MG, nesta quinta-feira, no Mineirão, em jogo válido pela 37ª rodada do Campeonato Brasileiro.
Em entrevista após a partida, o auxiliar Bruno Lazaroni, que comandou o time no lugar do suspenso António Oliveira, pediu desculpas à torcida pelo desempenho da equipe e prometeu reação no confronto contra o Coritiba, no domingo, pela última rodada.
- Não foi a atuação que a gente gostaria, não representa esse grupo, infelizmente aconteceu hoje. Peço desculpas para a direção, para os torcedores, tenho certeza que esse grupo vai dar a volta por cima no domingo - disse ele, antes de continuar.
- A gente esperava conseguir controlar mais esse ímpeto inicial deles, pra depois utilizar as transições e poder feri-los com mais frequência. Com dois minutos, o jogo foi desbloqueado e no fim do primeiro tempo a gente sofre um gol e acaba prejudicando. Venho pedir desculpas à direção em nome dos jogadores, da comissão técnica e pedir desculpas aos torcedores. Tenho certeza que esse grupo vai dar uma resposta diferente no domingo - completou.
+ Atuações: Camilo falha e recebe pior nota
Lazaroni também lamentou os desfalques por lesões ao longo da temporada e para o jogo contra o Galo - Pepê e Marcão se tornaram baixas durante a semana.
- Infelizmente convivemos com a perda de jogadores importantes. Perdemos o Uendel ainda no primeiro turno, tivemos longo período de inatividade do Walter, agora para esse jogo perdemos o Pepê e o Marcão. Jogadores importantes, experientes. Isso tudo acabou afetando nosso rendimento ao longo da competição, mas é um grupo que tem caráter, que trabalha forte no dia a dia para que a gente consiga atingir nossos objetivos. A gente vinha de três jogos pontuando, com duas vitórias e um empate. Não representa esse grupo a atuação de hoje e vamos dar a volta por cima no domingo - analisou.
Apesar da derrota, o Cuiabá segue perto da permanência na Série A. Um empate na última rodada é suficiente. Em caso de derrota, o Atlético-GO teria de tirar diferença de seis gols de saldo para ultrapassar e rebaixar o Dourado - o time goiano enfrenta o América-MG fora de casa.
- Tenho certeza que a torcida vai nos apoiar, vai encher a Arena Pantanal, nos ajudar nesse objetivo de manter o Cuiabá na Série A do ano que vem, que vai ser bom para todo mundo - concluiu.
+ Ingressos a partir de R$ 5 para despedida
O Cuiabá recebe o Coritiba no domingo, às 15h (de MT), na Arena Pantanal, pela 38ª e última rodada do Brasileirão. A equipe mato-grossense está em 16º lugar, com 38 pontos conquistados, a três do Atlético-GO, que abre o Z-4."
Cuiabá confirma lesão do atacante Derik Lacerda; Ceppelini não deve ser preocupação,Jogador contundiu a coxa direita e será desfalque na partida contra o Grêmio,Jonathas Gabetel,"Desfalque de última hora na derrota para o Bragantino, no último domingo, o atacante Derik Lacerda teve lesão confirmada pelo Cuiabá. O jogador tem contusão de grau 1 no músculo adutor da coxa direita.
Conforme informou o clube, ele está entregue ao departamento médico e já iniciou fisioterapia. Por conta disso, Derik não será opção ao técnico António Oliveira para o confronto contra o Grêmio, na manhã do próximo domingo, fora de casa.
Em contrapartida, o meia Pablo Ceppelini, também baixa instantes antes do jogo no interior de São Paulo, não está lesionado e deve ficar à disposição.
+ António Oliveira entra no Top-5 de técnicos do Cuiabá
O Cuiabá ainda atualizou a situação do atacante Clayson. Com lesão de grau 1 no músculo posterior da coxa esquerda, ele segue em tratamento diário e será reavaliado no decorrer da semana.
O zagueiro Marllon e o volante Raniele, suspensos pelo terceiro cartão amarelo, são desfalques confirmados.
Vindo de três derrotas consecutivas, o Cuiabá busca a reabilitação no Campeonato Brasileiro. O confronto contra o Grêmio será às 10h (de MT), no próximo domingo, na Arena do Grêmio, pela 22ª rodada."
"Entre os piores ataques do Brasileirão, Cuiabá convive com seca de gols dos atacantes","Dourado é o terceiro time que menos balançou as redes na Série A, e mau momento passa pelo jejum do setor ofensivo",Gabriela Troian e Jonathas Gabetel,"O mau momento do Cuiabá no Brasileirão passa também pelo desempenho ruim do setor ofensivo. Terceiro pior ataque da competição, o Dourado convive com seca de gols de seus atacantes na temporada.
A equipe mato-grossense balançou as redes adversárias 23 vezes em 26 jogos (média de 0,88 tento por partida) na Série A e está à frente neste ranking apenas de Atlético-GO e Fluminense, que marcaram 21 cada.
Das opções à frente, Clayson foi o último a comemorar com a torcida, na vitória por 2 a 1 sobre o Criciúma, em 31 de agosto. Ou seja, há quase um mês.
Leia mais do Cuiabá:
+ Com retorno na zaga, Cuiabá embarca para Fortaleza
+ TV Centro América transmite Fortaleza x Cuiabá
Isidro Pitta, artilheiro do time no ano, não marca desde o dia 17 de agosto, no empate em 1 a 1 com o Atlético-MG. Vale lembrar que o centroavante perdeu duas partidas no período - contra Juventude, pela convocação à seleção paraguaia, e Cruzeiro, por suspensão.
Depois disso, o jejum é ainda maior. Derik Lacerda fez o último gol no início de julho. Eliel e Jonathan Cafú, em junho. André Luís ainda não marcou na Série A (fez pela Sul-Americana há dois meses), a exemplo de Gustavo Sauer, recém-chegado.
Enquanto busca soluções, o técnico Bernardo Franco acredita que o volume ofensivo melhorou desde sua chegada, mas admite falta de eficiência no toque final.
> Tudo do Cuiabá: siga o canal do ge MT no WhatsApp
Acredito que é continuar criando volume. A gente melhorou no volume ofensivo e precisamos ter capricho na hora de definir a jogada, porque é isso que vai fazer a diferença - analisou o treinador após o empate sem gols com o Cruzeiro na rodada passada.
O Cuiabá tem mais um duelo na luta contra o rebaixamento e enfrenta o Fortaleza neste domingo, às 15h (de MT), na Arena Castelão, pela 28ª rodada do Brasileirão. O Dourado está na 19ª posição, com 23 pontos, cinco de distância do Vitória, primeiro time fora do Z-4."
Cuiabá oficializa inauguração de CT orçado em R$ 50 milhões; veja imagens,"Ao todo, o novo centro de treinamento do clube terá mais de 8 mil metros quadrados de área construída em um terreno de 10 hectares",Redação do ge,"O Cuiabá inaugurou neste sábado o novo centro de treinamento. O clube investiu R$ 50 milhões no CT Manoel Dresch para ter uma das melhores estruturas do país e elevar seu patamar.


As obras tiveram início no fim de 2022 e estão praticamente finalizadas. No final do ano passado, o Dourado tinha inaugurado o prédio destinado aos vestiários, espaços para comissão técnica, rouparia e sala de fisiologia, além de três campos de futebol com medidas oficiais e um lago artificial para auxiliar na drenagem dos gramados.
Agora foram concluídas as obras do auditório para 94 pessoas, sala de imprensa, área médica, academia de quase 500 metros quadrados - considerada pela diretoria referência em tecnologia (veja vídeo abaixo).
– É um dia importante e emocionante. Nós temos muitos momentos difíceis aqui, a nossa vida é superar desafios, e esse CT é uma mudança de mentalidade. Nós vamos crescer ainda mais e temos que ter a ambição de saber que podemos chegar onde ainda a gente não chegou – disse o presidente do clube, Cristiano Dresch, durante a inauguração.
+ Presidente do Cuiabá detalha projeto do CT e destaca: “Vai ser um dos melhores do Brasil”
Toda estrutura necessária para o departamento de futebol está completa. A próxima etapa é concluir o refeitório e o espaço de lazer para os jogadores. Ao todo, o CT terá mais de 8 mil metros quadrados de área construída - incluindo hotel para 34 pessoas que será construído em breve.
A estrutura inteira do CT Manoel Dresch terá:



"
Escalação do Cuiabá: interino terá força máxima em duelo decisivo com o Porto Velho na Copa Verde,"Dourado estreia no torneio regional nesta quarta-feira, em confronto único das oitavas de final",Redação do ge,"O Cuiabá encerrou nesta terça-feira a preparação para o confronto diante do Porto Velho, na estreia da Copa Verde. As equipes se enfrentam na quarta, às 19h (de MT), na Arena Pantanal, pelas oitavas de final do torneio regional.
O elenco auriverde fez o último treinamento antes da partida no período matutino, no CT Manoel Dresch, sob comando do técnico interino Luiz Fernando Iubel.
+ Leia mais notícias do Cuiabá
O auxiliar fixo terá força máxima para escalar o Dourado no duelo eliminatório - com exceção do volante Denilson, que segue afastado em processo de recondicionamento físico. Com isso, a base titular deve ser mantida.


O jogo decisivo será disputado em mão única e, em caso de empate, haverá decisão por pênaltis. Quem avançar encara Brasiliense ou Ceilândia nas quartas de final da Copa Verde."
Escalação do Cuiabá: Filipe Augusto volta a ser relacionado; Uendel segue fora contra o Corinthians,"Volante está recuperado de lesão na coxa esquerda, mas deve iniciar como reserva; João Maranini também retorna",Gabriel Barros e Gabriela Troian,"O Cuiabá embarcou na tarde desta sexta-feira para São Paulo, onde irá enfrentar o Corinthians pela 10ª rodada do Brasileirão. Segundo melhor visitante do campeonato, o Dourado encara o Timão neste sábado, às 17h30 (de MT), na Neo Química Arena. Em busca de manter o time fora da zona de rebaixamento, o técnico António Oliveira tem os retornos do volante Filipe Augusto e do zagueiro João Maranini.
Filipe vinha sendo titular da equipe antes de lesionar a coxa esquerda, contra o Atlético-MG, no dia 10 de maio. O jogador volta a ser relacionado após ficar fora de combate por quatro rodadas. João passou por artroscopia no joelho e volta a ser opção na defesa.
+ Segundo melhor visitante, Cuiabá tenta surpreender Corinthians para embalar na Série A
Em contrapartida, Uendel segue em transição física e não viajou com o elenco. O lateral-esquerdo soma quase 11 meses sem entrar em campo oficialmente após romper o ligamento cruzado anterior do joelho direito. Junto dele, PK ainda se recupera de contusão no joelho e será baixa pela segunda rodada seguida.
O treinador auriverde não conta com o volante Raniele e o zagueiro Marllon, suspensos, além do atacante Jonathan Cafú, que pertence ao Corinthians e está fora por cláusula contratual. A novidade na lista é o jovem meia Victor Yan, que embarcou com a delegação e está à disposição do time principal pela primeira vez.
+ Veja a tabela do Brasileirão
Apesar dos desfalques, António Oliveira irá manter a base da equipe titular das últimas três partidas. Na zaga, Allyson deve jogar ao lado de Alan Empereur, com Ronald no meio-campo. Nicolás Quagliata e Emerson Ramon brigam por um lugar no trio de ataque.


O Cuiabá é o 14º colocado, com 11 pontos, três a mais que o Corinthians, primeiro time fora do Z-4."
"Derik Lacerda treina à parte no Cuiabá, e presidente diz: ""Está numa sintonia diferente do grupo""",Assessoria do atacante nega afastamento por indisciplina e afirma que os trabalhos separados do elenco foram opção da comissão técnica,Derik Bueno e Gabriel Barros,"O atacante Derik Lacerda deve ser baixa no Cuiabá para o duelo contra o São Paulo, neste sábado. Segundo apurou o ge, o jogador teve divergências com a comissão técnica durante a semana que antecede a partida e foi colocado para treinar separado do elenco.
> Tudo sobre o Cuiabá: siga o canal do ge MT no WhatsApp
A reportagem entrou em contato com o presidente do clube, Cristiano Dresch. O dirigente disse que Derik não foi afastado, mas afirmou que o jogador tem apresentado atitudes distintas dos demais.
— Ele é um jogador que, atualmente, está numa sintonia bem diferente do restante do grupo — relatou Cristiano Dresch ao ge.
Mais:
+ Vasco x Cuiabá: CBF altera data da partida pela terceira vez; veja motivo e novo dia
+ Cuiabá busca feito alcançado uma única vez para fugir do rebaixamento
Ainda conforme apuração, o atacante de 25 anos entrou em discordância com o técnico Bernardo Franco em relação a determinados pontos do plano de jogo para encarar o São Paulo.
A assessoria do jogador confirmou os trabalhos realizados à parte, mas negou que Derik tenha se envolvido em problemas extracampo.
— O atleta treina à parte, mas por opção da comissão técnica. Derik está 100% fisicamente e nenhum histórico de extracampo ou problemas dentro do clube. O atacante segue focado em ajudar o Cuiabá a permanecer na série A, está trabalhando, comprometido e sempre se colocou à disposição do clube — diz a nota enviada pela assessoria do atacante auriverde.
Caso seja mantido separado do plantel, Derik Lacerda será a única baixa do Cuiabá para a 29ª rodada do Brasileirão. Penúltimo colocado, o Dourado recebe o São Paulo com apenas uma meta: somar os três pontos para não deixar que o pelotão fora do Z-4 aumente a vantagem.
+ Veja a tabela do Brasileirão
A partida será disputada a partir das 18h (de MT) deste sábado, na Arena Pantanal."
"Com força máxima, Cuiabá recebe o Vila Nova de olho na semi da Copa Verde; veja provável time",Dourado pode perder pela diferença mínima que mesmo assim avança de fase,Redação do ge,"Com 2 a 0 de vantagem, o Cuiabá volta a enfrentar o Vila Nova pelas quartas de final da Copa Verde. O Dourado terá força máxima para o duelo de volta, incluindo o atacante Deyverson, após não ser relacionado por dois jogos. A partida decisiva será disputada nesta quarta-feira, às 19h (de MT), na Arena Pantanal.
A equipe auriverde pode ser derrotada pela diferença mínima, e se apega ao retrospecto na Arena Pantanal para avançar de fase. A última vez que perdeu por mais de dois gols dentro de casa aconteceu em 2 de outubro de 2021, pela Série A do Campeonato Brasileiro.
Apesar do histórico como mandante, o técnico Ivo Vieira preza pelo foco exclusivo na vitória. O Cuiabá volta a jogar na Arena depois de 20 dias.
- Não podemos dormir em cima do resultado, conquistamos esse bom resultado, mas temos que jogar para vencer em nossa casa, contra um adversário difícil. Já tem um tempo que não jogamos na Arena, então é sempre um prazer e uma satisfação disputar o jogo lá.


Caso confirme a classificação, o Dourado vai encarar, na semifinal da Copa Verde, o vencedor do confronto entre Goiás e Brasiliense. A partida de ida está prevista para ser disputada neste fim de semana."
"Análise: Cuiabá cresce no segundo tempo, mostra evolução ofensiva e maturidade para virar o jogo","Contra o Inter, Dourado emplacou a terceira vitória consecutiva e ampliou a sequência invicta na Série A",Gabriel Barros,"Em pleno Beira-Rio, o Cuiabá buscou a segunda vitória de virada nesta edição da Série A. O Dourado saiu atrás contra o Internacional e foi pressionado ao longo de toda etapa inicial, mas demonstrou maturidade para encaixar o jogo e buscar os três pontos no segundo tempo. Invicto há cinco rodadas, o time liderado por António Oliveira apresenta, a cada partida, evolução em busca do equilíbrio entre a fase ofensiva e defensiva.
O primeiro tempo teve o Internacional com mais volume e presença no campo de ataque. Os anfitriões ficaram 80% do tempo com a bola nos pés e finalizaram nove vezes contra a meta, três delas no alvo. Em casa, o Colorado tentou empurrar o Cuiabá para trás.
Do outro lado, o Dourado tentava segurar a pressão para sair em contra-ataque, mas encontrava dificuldades no momento de construir a transição. Aos 16 minutos, Bustos abriu o placar para o time da casa, com um golaço de dentro da área.
Após ser vazado, o time auriverde conseguiu subir a marcação para pressionar o rival e criar oportunidades. O empate saiu aos 44, após cobrança de falta de Pablo Ceppelini e cabeçada do volante Raniele.
Leia mais notícia do Cuiabá:
+ Cuiabá emplaca inédita sequência de vitórias e já faz melhor primeiro turno na Série A desde acesso
Com a igualdade no placar, o Cuiabá voltou para a etapa final com outra postura. A equipe buscava ter mais a bola e agredir o Internacional no ataque. Aos 20, Mercado foi expulso e deixou o Colorado com um a menos em campo.
O Dourado cresceu e chegou a finalizar mais que o rival, nove contra oito arremates. A estratégia inicial era mantida, com o objetivo de atrair o adversário para explorar os espaços às costas.
E aos 43 minutos, o contragolpe fatal apareceu. Deyverson tabelou com Denilson e bateu de primeira para colocar o Cuiabá à frente.
Pela primeira vez, nos três anos na Série A, o clube mato-grossense alcança três vitórias consecutivas - além de já ter obtido a melhor campanha no primeiro turno desde o acesso.
Após encaixar defensivamente, o Cuiabá apresenta evolução na fase ofensiva. Sob o comando de António Oliveira, o time tem apresentado equilíbrio durante os jogos para jogar sem a bola e padrões bem executados quando tem a posse.
+ Veja a tabela do Série A
Serão mais duas partidas pela frente até o fim da primeira metade da Série A. Mas o fato é que, com 25 pontos, o Dourado passa a olhar mais pra cima na tabela do que se preocupar com a zona de rebaixamento."
Cuiabá lança camisa em homenagem ao Dia da Consciência Negra,"A peça é assinada pela marca Dourado, própria do clube",Redação do ge,"Engajado na luta contra a discriminação e preconceito racial, o Cuiabá lançou uma camisa em homenagem ao Dia da Consciência Negra, celebrado em 20 de novembro. A peça é assinada pela marca Dourado, própria do clube auriverde.
A camisa tem a cor preta predominante, com detalhe do punho cerrado, gesto símbolo da luta contra o racismo.
+ Cuiabá registra recorde de venda de camisas em 2022
Disponível nos modelos masculino, feminino, infantil e juvenil, em diversos tamanhos, a camisa está à venda. Ela pode ser adquirida nas lojas Dourado Store dos shoppings Estação e Pantanal ou pelo site. A camisa em homenagem ao Dia da Consciência Negra custa a partir de R$ 129,90."
