title,subtitle,author,article_content
Fluminense terá semana livre para tentar esvaziar departamento médico antes do Fla-Flu,Clube não pôde contar com peças importantes no primeiro jogo e ainda teve Ganso saindo com dores no último sábado,Redação do ge,"Sem poder contar com Thiago Santos, que foi expulso no primeiro jogo da semifinal do Carioca, o Fluminense terá a semana livre, sem jogos, para tentar esvaziar o departamento médico e recuperar jogadores para a segunda partida contra o Flamengo.
O Fluminense não pôde contar com quatro jogadores na derrota por 2 a 0, no último sábado, por conta de lesão: Marlon, com dores no joelho direito, Samuel Xavier, com lesão na panturrilha direita, Douglas Costa, com lesão muscular na coxa direita, e Gabriel Pires, que está em transição para o campo após problemas musculares. Ganso, que deixou o Fla-Flu com problemas na perna no segundo tempo, também será reavaliado.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp




Marlon não atua desde a derrota por 4 a 2 para o Botafogo, no dia 3 de março. Segundo informações do Fluminense, ele sentiu dores no joelho direito e iniciou tratamento no CT Carlos Castilho no fim da semana passada. Já Douglas Costa teve lesão muscular na coxa direita durante o jogo com o Alvinegro e chegou a ser substituído na partida.
Com apenas um jogo na temporada, Samuel Xavier teve lesão na panturrilha direita constatada após enfrentar a LDU, no jogo da conquista da Recopa Sul-Americana. Antes, ele vinha desfalcando o time com dores no joelho. Gabriel Pires não atua desde o dia 17 de fevereiro. Na última semana, o volante estava em período de transição para voltar aos gramados após problemas musculares.
Com a vitória, o Flamengo pode até perder por dois gols de diferença no jogo da volta para conquistar a classificação. Por ter terminado em uma posição superior na Taça Guanabara, o Rubro-Negro garante a classificação com um empate na soma dos placares agregados. Desta forma, o Fluminense precisa de um triunfo por três gols para se classificar. As equipes voltam a se enfrentar às 21h do próximo sábado, no Maracanã.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
Conmebol denuncia Fluminense por uso de bombas e sinalizadores contra Cerro Porteño,"Punição inicial é de 5 mil dólares, mas valor pode subir para 8 mil dólares devido a reincidência",Marcello Neves,"O Fluminense foi denunciado pela Conmebol por uso de sinalizadores e bombas durante a partida contra o Cerro Porteño, na última quinta-feira, pela 5ª rodada da fase de grupos da Conmebol Libertadores. A punição inicial é de 5 mil dólares (R$ 25 mil), mas o valor pode subir para 8 mil dólares (R$ 40 mil) devido a reincidência.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
O Fluminense foi denunciado nos artigos Artículos 12.2 literal c) e 27 do Código Disciplinario da Conmebol. De acordo com o regulamento disciplinar, as multas vão aumentando de acordo com a quantidade de denúncia e fase da competição.
De acordo com o delegado da partida, o Fluminense foi denunciado pelos seguintes acontecimentos:


O Fluminense poderá se defender das acusações. Caso seja punido, uma multa será aplicada.


Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
Fluminense se prepara para sequência de jogos fora do Rio de Janeiro; veja a programação,"Clube seguirá para São Paulo após jogo no Paraguai e tem chances de disputar dois jogos seguidos em Cariacica, no Espírito Santo",Bárbara Mendonça e Gustavo Garcia,"O Fluminense terá que arrumar as malas e se preparar para uma sequência de jogos fora do Rio de Janeiro. Com compromissos pela Conmebol Libertadores, Campeonato Brasileiro e Copa do Brasil, o time está montando uma logística em que ficará pouco tempo em casa nas próximas semanas.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
O Fluminense vai embarcar na próxima terça-feira para o Paraguai, onde irá enfrentar o Cerro Porteño, pela terceira rodada da fase de grupos na Conmebol Libertadores. Na sexta-feira, o time vai viajar direto para São Paulo, onde irá enfrentar o Corinthians no domingo, pela quarta rodada do Campeonato Brasileiro. A delegação voltará ao Rio de Janeiro após o confronto.
Na terça-feira seguinte, porém, dia 30 de abril, o time terá que embarcar novamente. O Flu vai enfrentar o Sampaio Corrêa pela Copa do Brasil - o mando é da equipe do Maranhão. Inicialmente, a partida seria no Castelão, em São Luís-MA, mas um novo destino vem se desenhando.
O Sampaio Corrêa está negociando para vender o mando da partida para Cariacica, no Espírito Santo. Após o jogo, o Fluminense tem compromisso pelo Campeonato Brasileiro contra o Atlético-MG.
A partida seria realizada no Maracanã. Porém, no mesmo dia, está agendado um show da cantora norte-americana Madonna, em Copacabana, na Zona Sul da cidade. Assim, a Polícia Militar entende que não terá segurança suficiente para organizar os dois eventos.
O ge apurou que o Fluminense também está negociando para mandar o jogo com o Atlético-MG em Cariacica, ficando assim a semana toda no Espírito Santo. As duas partidas ainda não foram confirmadas no Espírito Santo, mas as conversas estão avançadas. Caso se confirme, a tendência é que o elenco tricolor fique de terça (30 de abril) até sábado (4 de maio) na cidade.




Logo após o jogo contra o Galo, o Fluminense seguirá na estrada. Terá pela frente o confronto com o Colo-Colo, no Chile, pela Conmebol Libertadores. Depois, enfrentará o São Paulo no Morumbi.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
Fluminense viaja na terça-feira para o Paraguai e vai treinar no estádio do time de Romerito,"Clube enfrenta o Cerro Porteño na quinta-feira, pela terceira rodada da Conmebol Libertadores",Bárbara Mendonça e Gustavo Garcia,"O Fluminense está com a programação definida para enfrentar o Cerro Porteño na próxima quinta-feira, pela terceira rodada da fase de grupos da Conmebol Libertadores. A delegação tricolor vai viajar na terça-feira para o Paraguai e vai reencontrar um velho conhecido por lá: o ídolo Romerito.
O Flu vai treinar na quarta-feira à tarde no Estádio Feliciano Cáceres, do Sportivo Luqueño, clube que revelou Romerito para o futebol, onde ele se aposentou e hoje é dirigente.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
No ano passado, o Fluminense também treinou no Estádio do Sportivo Luqueño antes de enfrentar o Olimpia pelas quartas de final da Conmebol Libertadores.
Com quatro pontos em dois jogos, o Fluminense enfrenta o Cerro Porteño na próxima quinta-feira, às 19h, no Estádio La Nueva Olla. O Flu lidera o Grupo A.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
"Atuações do Fluminense: Thiago Silva, Arias e Serna se destacam contra o Palmeiras; veja notas",Confira como foram os jogadores do Tricolor na vitória por 1 a 0 sobre o Palmeiras,Redação do ge,"Fábio [GOL]: pouco acionado na primeira etapa, fez sua primeira defesa em chute de Vanderlan. Foi sua única participação no jogo. Nota: 5,5.
Samuel Xavier [LAD]: chamou atenção pelo aproveitamento ruim em cruzamentos. Não viveu sua melhor noite pelo Fluminense. Nota: 5,0.
Thiago Silva [ZAD]: elevou a defesa, mas também o Fluminense como um todo. Deu lindo lançamento para Marquinhos no início de jogo. Partida soberana. Por pouco não marcou, cabeceando para fora perto do gol de Weverton. Nota: 7,5.
Thiago Santos [ZAE]: tem colhido os frutos da parceria com Thiago Silva. Partida muito sólida, ganhou lances em cima de Flaco López e Rony. Levou o terceiro cartão amarelo e vai cumprir suspensão contra o Bragantino. Nota: 6,5.
Diogo Barbosa [LAE]: impôs velocidade quando teve que avançar pela esquerda, mas por vezes se atrapalhou na conclusão da jogada. Nota: 5,0.
André [VOL]: dá outro corpo ao jogo do Fluminense pelo meio, principalmente na hora de sair jogando. Um dos pilares do time. Nota: 6,0.
Martinelli [VOL]: mal em duelos, também abusou de passes laterais ou para trás. Foi lento justamente nos lances em que as jogadas mais pediram velocidade. Substituído por Nonato. Nota: 4,5.
Ganso [MEC]: mais um jogo de destaque. Se apresentou em diversas áreas do campo e deu importante auxílio pela direita. Precisa parar de buscar choques infantis. Substituído por Marcelo. Nota: 6,0.
Marquinhos [ATA]: erros bobos nas tomadas de decisões. Pecou nas finalizações, em especial após receber uma boa bola de Thiago Silva logo no início de jogo. Substituído no intervalo por Kevin Serna. Nota: 4,5.
Cano [ATA]: fez bom cruzamento logo no primeiro lance de perigo do Fluminense no jogo. No decorrer da partida, caiu de rendimento e saiu apagado. Substituído por Kauã Elias. Nota: 5,5.
Arias [ATA]: no primeiro lance do Fluminense no jogo, apareceu nas costas da defesa do Palmeiras e finalizou para defesa de Weverton. Subiu - e muito! - de rendimento quando passou a cair pelo lado direito. Autor do gol tricolor no Maracanã, torna-se artilheiro isolado do clube no ano. Nota: 8,0.
Mano Menezes [TEC]: soube ler bem o jogo e mudou o panorama da partida quando promoveu Marcelo pelo meio. Ganha moral em meio à crise com duas vitórias consecutivas. Nota: 6,5.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp


Serna [ATA]: virou presa fácil em algumas ofensivas do Palmeiras, mas ganhou rendimento quando passou a cair mais por dentro. Deu assistência para o gol de Arias e deixou uma ótima impressão na estreia. Nota: 6,5.
Kauã Elias [ATA]: mostrou, mais uma vez, que pede passagem. Se destacou pelo ímpeto dentro de campo e inflamou a torcida em suas tentativas. Nota: 6,0.
Marcelo [ATA]: entrou atuando mais pelo meio-campo e correspondeu à ideia de Mano. Deixou o jogo mais veloz. Se destacou pela versatilidade. Nota: 6,0.
Nonato [ATA]: conseguiu dar velocidade à transição tricolor. Entrou bem e deixa o Maracanã com louros na comparação com Martinelli. Nota: 5,5.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
"Das lágrimas à descrença, torcida do Fluminense reage a acerto com Thiago Silva: ""Bem-vindo, monstro""",Zagueiro e clube chegaram a acordo nesta sexta-feira,Redação do ge,"Thiago Silva será jogador do Fluminense após o fim de seu contrato com o Chelsea. O zagueiro e seus representantes chegaram a um acordo com o clube carioca nesta sexta-feira. A notícia do retorno do Moleque de Xerém movimentou a internet, com relatos de torcedores indo às lágrimas e celebrando a contratação. Confira abaixo!
+ Fluminense acerta a contratação de Thiago Silva
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
O ge apurou que o Fluminense mandou integrantes do departamento jurídico e de comunicação para Londres e trabalha às pressas para anunciar o jogador.
Thiago Silva vai assinar contrato e organizar sua mudança para o Rio de Janeiro nas próximas semanas (sua esposa continuará na Inglaterra com os filhos do casal, que jogam na base do Chelsea). Assim como foi com Marcelo, a ideia é apresentar o zagueiro no Maracanã.
Atual 16º colocado na tabela do Brasileirão, o Fluminense encara o Atlético-MG às 16h deste sábado. A partida será no estádio Kleber Andrade, em Cariacica (ES).




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
"Fluminense tenta empréstimo de Ignácio, mas Sporting Cristal deseja venda e negociação segue","Clubes seguem conversando pelo zagueiro brasileiro de 27 anos. Reforço, Kevin Serna é aguardado no Rio nesta terça-feira",Gustavo Garcia e Marcello Neves,"Após tentar uma proposta de empréstimo pelo zagueiro Ignácio, o Sporting Cristal respondeu que deseja vendê-lo. Apesar da intenção, nenhum dos dois modelos de negócio está descartado e as conversas seguem. Ele é o principal desejo da diretoria tricolor para reforçar o setor defensivo.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
De acordo com a imprensa peruana, o valor estipulado para a venda gira em torno de 1,5 milhão de dólares (aproximadamente R$ 8,2 milhões). Para fazer uma comparação, nesta janela de transferência, o Fluminense irá gastar 1,8 milhão de dólares (cerca de R$ 10 milhões) para contratar o meia Kevin Serna, do Alianza Lima.
Por sinal, o colombiano é aguardado no Rio de Janeiro na manhã desta terça-feira para assinar contrato de três anos e meio com o Tricolor.
Ignácio é natural de Currais Novos, a 186 km de Natal, e jogou por Assu e Força e Luz antes de deixar o Rio Grande do Norte com destino ao time sub-23 do Bahia.
No time baiano, o zagueiro demorou a se firmar e chegou a ser emprestado para CSA e Chapecoense, onde chamou atenção novamente, em 2021. No retorno ao Bahia, em 2022, foi titular durante todo o ano. Em seguida ele foi contratado pelo Sporting Cristal, quando enfrentou o Fluminense na Conmebol Libertadores 2023.
Thiago Silva é o principal reforço anunciado pelo Fluminense para o segundo semestre de 2024, e o zagueiro já tem condições de jogo após ser regularizado no Boletim Informativo Diário (BID) da CBF. Além do camisa 3, o Tricolor acertou o retorno de Nonato por empréstimo junto ao Santos; o anúncio ainda não foi feito.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
"Medel, do Vasco, visita delegação do Colo-Colo, adversário do Fluminense, e dá camisa para Vidal",Zagueiro esteve em hotel na Barra da Tijuca na tarde desta segunda-feira,Ronald Lincoln,"O zagueiro Medel, do Vasco, visitou a delegação do Colo-Colo, na tarde desta segunda-feira, em um hotel na Barra da Tijuca. O chileno tem amigos no clube e entregou uma camisa do Vasco para Vidal, ex-Flamengo. Depois, foi a vez do volante Galdames marcar presença no hotel.
Vidal e o Medel foram campeões juntos pela seleção do Chile, onde jogaram por muito tempo. O zagueiro do Vasco foi revelado pela Universidad Católica, rival do Colo-Colo, mas, mesmo assim o zagueiro marcou presença na concentração do adversário do Flu.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
Adversário do Fluminense na segunda rodada do Grupo A da Conmebol Libertadores, em partida que acontece no Maracanã na próxima terça-feira, o Colo-Colo desembarcou no Brasil no fim da noite da último domingo. Nesta segunda-feira, na parte da tarde, o técnico Jorge Almirón vai conceder entrevista coletiva e na sequência o time vai treinar no CT do Flamengo.
Fluminense e Colo-Colo se enfrentam na terça-feira, no Maracanã, pela segunda rodada da fase de grupos da Conmebol Libertadores. Por ter vencido o primeiro jogo, o time chileno lidera o Grupo A com três pontos. Flu e Alianza Lima têm um ponto cada.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
Fluminense aguarda Marquinhos e voltas de Alexsander e John Kennedy com fim do Pré-Olímpico,Jogadores tiveram último compromisso com a seleção brasileira neste domingo,Redação do ge,"Com o fim do Pré-Olímpico para o Brasil, que perdeu a vaga para os Jogos Olímpicos de Paris 2024, o Fluminense inicia a semana esperando três nomes para reforçar o elenco: as voltas de John Kennedy e Alexsander, além de Marquinhos, que está acertado com o clube e é aguardado para assinar contrato de empréstimo.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
Brasil e Argentina se enfrentaram no estádio Brígido Iriarte, em Caracas, pela última rodada do quadrangular final do Torneio Pré-Olímpico. As duas seleções brigavam diretamente por uma das duas vagas nos Jogos Olímpicos de Paris - a Seleção foi derrotada por 1 a 0 e ficou sem a vaga.
+ Contratações do Fluminense em 2024: veja quem chega, quem fica e quem vai embora
John Kennedy e Alexsander são peças importantes do elenco principal do Fluminense. Os dois estiveram em Jedá, na Arábia Saudita, na disputa do Mundial de Clubes em dezembro. O atacante chegou a se reapresentar no Fluminense no início de janeiro, dias antes de iniciar os compromissos com a Seleção.
Eles são aguardados nos próximos dias no Flu e a tendência é que façam parte da delegação que irá viajar para Quito, para o primeiro jogo contra a LDU da Recopa, que será realizado no dia 22 de fevereiro.
Já Marquinhos, que pertence ao Arsenal, está acertado com o Fluminense e vai assinar contrato de empréstimo. Com o fim do Pré-Olímpico, o atacante irá viajar para a Inglaterra para resolver questões burocráticas e da mudança para o Brasil. Na sequência, ele irá se apresentar ao Flu para fazer exames, assinar contrato e iniciar os trabalhos.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
"Diogo Barbosa, do Fluminense, defende Diniz: ""Quando as coisas não acontecem, tudo cai nele""","Lateral cita retrospecto recente do Tricolor e vantagem na Copa do Brasil após vitória sobre o Sampaio Corrêa: ""Nos traz confiança""",Redação do ge,"O Fluminense saiu na frente na terceira fase da Copa do Brasil, nesta quarta-feira, ao vencer o Sampaio Corrêa por 2 a 0, no estádio Kleber Andrade (ES). Escalado na vaga do titular Marcelo, Diogo Barbosa saiu em defesa do técnico Fernando Diniz em meio ao momento do Tricolor e reforçou a necessidade de novas conquistas.
+ ✅Clique aqui para seguir o novo canal ge Fluminense no WhatsApp
- A gente é um grupo muito humilde. Sabemos que tudo que conquistamos fica no passado. Precisamos de novas conquistas. Temos jogadores experientes, que conversam conosco. Temos um treinador fora do comum, que nos ajuda bastante. Quando as coisas não acontecem, parece que tudo cai em cima dele. Isso é perigoso. Mas a gente está trabalhando. É uma certeza que a torcida pode ter. Sou mais velho, passei por muitos lugares e o Fluminense é o time que mais treinei na carreira - disse o lateral, na zona mista do estádio Kleber Andrade.
+ Diniz cita afastamento de John Kennedy no Fluminense: ""Diretoria se posicionou de forma clara""
Nos últimos cinco jogos que disputou, o Fluminense venceu duas partidas (contra Sampaio Corrêa e Vasco), foi massacrado em derrota para o Corinthians por 3 a 0, empatou com o Cerro Porteño em jogo pouco criativo e virou presa fácil em virada sofrida para o Bahia, por 2 a 1.
Na opinião de Diogo, mesmo com o desempenho ainda abaixo do ideal contra o Sampaio, a vitória em Cariacica aumenta a moral do elenco de olho nos próximos compromissos.
- Vitória que nos traz confiança. Era o resultado que a gente precisava para a nossa sequência. Não atingimos o nível que a gente pode jogar. Mas estamos trabalhando para chegar no melhor nível de jogo. Estamos em busca disso. Resultado importante. Sábado tem mais um jogo difícil pelo Brasileiro e precisamos voltar a vencer - analisou, acrescentando:
+ Fluminense vence Sampaio Corrêa na estreia e sai em vantagem na Copa do Brasil
- Passamos por um momento que não é o nosso melhor, mas buscamos chegar no nosso nível máximo. Contra o Atlético-MG, é busca uma vitória que é importante para nós.
Ainda no Espírito Santo, o Fluminense vai encarar o Atlético-MG às 16h deste sábado, como mandante, pelo Brasileirão - torneio em que os comandados de Diniz ocupam a 16ª colocação na tabela, com uma vitória, um empate e duas derrotas. O Tricolor vive uma sequência de jogos fora do Rio de Janeiro e só irá retornar ao Maracanã no dia 16 de maio, contra o Cerro Porteño, pela Libertadores.




Assista: tudo sobre o Fluminense no ge, na Globo e no sportv"
