title,subtitle,author,article_content
"Em nota, Fortaleza comunica saída de goleiro Fernando Miguel",Jogador não teve contrato renovado com o Tricolor do Pici,Redação do ge,"O Fortaleza comunicou a saída, por término de contrato, do goleiro Fernando Miguel. Em nota, o clube comunicou que não irá renovar o vínculo do jogador após o fim dessa temporada.
+ Dia do goleiro: Fernando Miguel se refaz no Fortaleza e diz que penta foi ""grande experiência de vida""
O atleta atuou em 54 partidas, conquistou três títulos e participou de boas campanhas do Tricolor do Pici no Brasileirão e de competições internacionais ao longo dos últimos dois anos defendendo o clube cearense."
Zé Welison desfalca Fortaleza contra Juventude e Vasco,Volante Zé Welison não vai estar presente nos duelos do Leão do Pici pela Série A,Luis Norões e Marta Negreiros,"No jogo contra o Palmeiras, que ocorreu na última quarta-feira (26), o volante Zé Welison sentiu um desconforto logo aos 8 minutos e foi substituído de imediato por Vojvoda. O departamento médico do Fortaleza constatou uma lesão na posterior da coxa esquerda.
O atleta vai desfalcar o clube pelo menos nos próximos dois jogos - contra Juventude e Vasco -, e a equipe médica vai analisar sua recuperação durante a rotina, sendo considerada a possibilidade de contar com ele a partir do confronto contra o Fluminense, que vai ocorrer no domingo (7).
A novidade contra o Juventude será o retorno de Rossetto, que deixa o departamento médico. Ele está recuperado de edema na coxa esquerda.
O duelo contra o Juventude será neste domingo, às 16 horas, na Arena Castelão, pela 13ª rodada. A TV Verdes Mares transmite, e o ge acompanha em Tempo Real."
Fortaleza contrasta desempenho em casa e fora nesta Série A,Time sofreu 10 gols fora de casa nesta Série A do Brasileiro e vem de derrota para o Vasco,Redação do ge,"O Fortaleza foi derrotado pelo Vasco por 2 a 0, em São Januário. O time não conseguiu manter sequência sem derrotas e soma apenas um triunfo em seis jogos fora de casa pela Série A nesta temporada. O desempenho é completamente diferente em casa, quando, em sete jogos, venceu quatro e empatou três.
+ Confira as novidades do Fortaleza
Jogando fora de casa pelo Brasileirão, o Leão venceu o São Paulo por 2 a 1. O time empatou com o Corinthians e Atlético-MG. Foi derrotado por Bahia, Cuiabá e Vasco. O time acumula um aproveitamento de 27% fora.
O time sofreu 10 gols fora de casa. A pior derrota foi a goleada por 5 a 0 para o Cuiabá. Foram conquistados apenas quatro pontos fora de casa.


Nos seis primeiros jogos do Leão fora de casa pelo Brasileirão em 2023, o time venceu dois duelos, empatou dois e perdeu dois. Somou oito pontos dos 18 disputados. Um aproveitamento de 44,4%.
Foram vitórias em cima de Coritiba e Cruzeiro. O time empatou com Corinthians e Grêmio e foi derrotado por América-MG e Botafogo.


Em casa, a torcida ajuda no desempenho. São quatro vitórias e três empates, com 10 gols marcados e só quatro sofridos. Fortaleza e Fluminense se enfrentam no domingo (7), às 16h, na Arena Castelão. A partida é válida pela 15ª rodada da Série A do Brasileirão 2024."
"Autor de golaço, Kauan comenta empate em 3 a 3 com o Ceará","Fortaleza e Ceará se encararam neste sábado (17), pelo estadual",Beatriz Carvalho e Thaís Jorge,"Foi emocionante do começo ao fim. Fortaleza e Ceará empataram em 3 a 3 na Arena Castelão, neste sábado, pela quinta rodada do Cearense. Tinga, Kauan e Machuca marcaram para o Laion. Matheus Felipe, Aylon e Saulo Mineiro fizeram os gols do Ceará. Kauan marcou um golaço pelo Tricolor.
- Fiquei muito feliz com o gol e com a participação no jogo, vamos seguir trabalhando por mais - afirmou, em entrevista ao ge.
Com o resultado, o Fortaleza vai à semifinal como líder do Grupo A, com 11 pontos. O Ceará vai à semifinal como líder do Grupo B, com 11 pontos.
+ Veja os detalhes de Fortaleza x Ceará pelo Cearense
- Um pouco triste pelo resultado, porém vamos buscar esse campeonato para levantar a taça pela sexta vez."
Vai ou fica? Presidente do Fortaleza descarta renúncia,"Após mensagem com tom de despedida nas redes sociais, mandatário nega saída",Thais Jorge,"Alex Santiago adotou tom de despedida nas redes sociais com uma mensagem. Mas na manhã desta quarta-feira (10), o dirigente negou qualquer movimento de saída do Fortaleza.


Segundo apurou O Povo e o ge confirmou nesta quarta, haveria um desgaste no departamento de futebol do clube, onde também trabalha o executivo Bruno Costa.
Antes, nas redes sociais, Alex publicou uma frase do ex-jogador e ex-treinador Alfredo Di Stefano, ídolo do espanhol Real Madrid.


Alex assumiu a presidência no dia 9 de dezembro de 2023. Antes, ocupou os cargos de diretor de futebol e vice-presidente. No período, conquistou três títulos do Campeonato Cearense, dois da Copa do Nordeste e participou das campanhas na Libertadores e do vice-campeonato na Sul-Americana.
O dirigente ganhou notoriedade entre os torcedores por ter indicado a contratação de Juan Pablo Vojvoda, tido por muitos como o maior treinador da história do clube. Alex também é responsável pela contratação de muitos jogadores estrangeiros do atual elenco, como o atacante Lucero.


""Até os meus 12 anos, eu vivia o Fortaleza há 158 km de distância, em Russas, sentado no alpendre da casa da minha saudosa tia-avó Maria Helena, sozinho na noite do sertão, ansioso e acompanhado de um antigo rádio preto, com antena longa, ligado uma hora antes do jogo.
As vozes do Júlio Salles e do Aluízio Lima eram as minhas bússolas para imaginar o que estava acontecendo no estádio, assim como o grito que abafava a narração vinda da arquibancada dava a certeza da maior alegria que um torcedor mirim, do interior do estado podia ter: o gol.
Eu comemorava sozinho, mas quando saía aquele grito de gol, eu também me sentia parte daquela massa que eu nunca tinha visto. Em 2001, meu pai e meu avô me levaram para assistir “ao vivo” o que há uns três anos eu só ouvia e imaginava. Fortaleza 3 x 0 Bahia pelas oitavas de final da Copa do Brasil de 2001.
Deus preparou um jogo mágico, para que eu pudesse ter a minha primeira experiência no estádio. E eu me apaixonei. Dois anos depois, sai de Russas e vim a Fortaleza estudar e me preparar para o futuro. Fui acolhido na casa de meus tios como um filho, mas a saudade dos pais que doía forte no coração, era diminuída por aquele rádio que eu trouxe comigo para Fortaleza.
O mesmo rádio. A tristeza do fim de tarde longe de Russas, magicamente desaparecia, quando eu ligava o velho rádio na Assunção e passava a me concentrar nas notícias que o Aluízio trazia pro Júlio sobre a nossa preparação para a Série A de 2003.
Eu ouvia e buscava me concentrar na tabela de jogos pra fazer aquele primeiro ano de adaptação passar mais rápido. E passou…com meu Fortaleza, meu amigo de infância, estando sempre lá comigo, todos os dias. Aquele garoto apaixonado cresceu e a vontade de estar perto do clube só aumentava.
Fiz meu sócio-torcedor, me tornei sócio-proprietário dois anos depois, conselheiro do clube desde 2014, e no fim de 2017, após o acesso, tive o prazer de conhecer um irmão que a vida me deu e também o maior presidente da história desse clube @marcelopaz, que dentre tantas atribuições confiadas (e cuidadas “a la muerte”), me levou ao meio de um grupo de diretores vencedores, que me formaram como sou hoje.
Fui chamado a atuar no auxílio de várias situações da gestão, até que meu presidente me convoca para assumir a Diretoria de Futebol Profissional do clube, em 11/03/2021: desde lá, a cada dia que eu fui ao Pici, fui com o compromisso de deixar o meu melhor (independente do momento que o clube vivesse, não faltaria jamais a paixão de um fanático torcedor, na construção de um diretor vitorioso).
Encontrei um corpo de funcionários iluminado, que sentem o clube da mesma maneira que eu sinto, e encontrei irmãos no Departamento de Futebol que me fizeram ter a certeza de que grandes vôos nos esperavam.
De lá pra cá, foram 3 anos em que comemoramos o pentacampeonato cearense, o bicampeonato da Copa do Nordeste, o Terceiro Lugar na Copa do Brasil de 2021, o Quarto lugar na Série A em 2021, jogamos duas Copas Libertadores da América, somos os atuais Vice-campeoes da Copa Sulamericana e conseguimos atingir a marca de seis anos seguidos na série A do Futebol Brasileiro (marca inédita no futebol nordestino), estando nessas três temporadas sempre entre os 10 melhores clubes do país, o que também ilustra o ranking da CBF, em que o clube figura na nona posição.
Por convocação dos dois maiores tricolores que conheço, @marcelopaz e @geraldolucianomattosjr, assumo como o 94o presidente do clube, ciente do tamanho que o nosso Fortaleza representa para milhões de torcedores apaixonados. Ciente da alegria que o Fortaleza traz ao torcedor e ciente de que um Fortaleza vitorioso, faz com que seu torcedor se sinta vitorioso no dia a dia.
Ciente de que o @fortalezaec é uma força popular do estado, que deve ser um instrumento para fazer o bem à sociedade cearense, atingindo inúmeras famílias e orientando-as para mensagens de bem, de respeito ao esporte e de respeito ao próximo. Ciente de que o presidente nada mais é do que um torcedor que está momentaneamente à frente, e que tem o dever de ser sempre o primeiro a dar o exemplo.
Por fim, comunicar ao torcedor que essa reorganização em termos de ocupação de cargos em nada mudará o que realmente importa: todos seguimos juntos, sem importar o cargo, pelo nosso único compromisso, fazer o Fortaleza vencer! Vamos por mais!"""
Fortaleza tem três desfalques contra Cruzeiro; confira boletim médico,Time disputa segunda rodada do Brasileirão nesta quarta-feira,Redação do ge,"O Fortaleza entra em campo nesta quarta-feira (17) contra o Cruzeiro. É o segundo jogo da Série A e o time busca a segunda vitória na competição. Para o confronto, o Leão terá três desfalques. Calebe segue no departamento médico, assim como Cardona. Kuscevic também fica de fora do jogo por desconforto muscular.
+ Confira as novidades do Fortaleza




O Fortaleza vem de vitória sobre o São Paulo, fora de casa, na primeira rodada da Série A. Sob seus domínios, na Arena Castelão, o Tricolor quer manter a boa sequência. Após momento turbulento há alguns jogos, o Tricolor do Pici acumula uma sequência invicta de cinco partidas, com três vitórias no mesmo intervalo."
"Fortaleza viaja para enfrentar o Cuiabá, próximo adversário na Série A",Tricolor do Pici encara o Dourado neste domingo pela Série A,Redação do ge,"O Fortaleza embarcou de olho no confronto contra o Cuiabá, próximo desafio pela Série A. O time viajou na manhã desta sexta-feira (10), saindo direto do Paraná rumo a Cuiabá.
+ Veja jogos do Fortaleza nas rodadas 35 e 36 da Série A


O Tricolor do Pici empatou o último compromisso contra o Athletico-PR fora de casa e, com isso, caiu posições na tabela. O Laion agora é o 11° com 43 pontos. O time cearense não vence há cinco partidas (com sequência de quatro derrotas e um empate).
Fortaleza e Cuiabá se enfrentam neste domingo (12) às 18h30 na Arena Pantanal. O ge acompanha todos os detalhes da partida em tempo real com fotos e vídeos exclusivos."
"Pedro Augusto elogia Fortaleza em empate e avalia: ""Estive bem""","Fortaleza e Rosario Central empataram em 1 a 1 na Argentina. Equipes se enfrentam na próxima quarta-feira (21), na Arena Castelão",Redação do ge,"O Fortaleza empatou com o Rosario Central em 1 a 1 na Argentina. No duelo, Vojvoda apostou em mudanças na escalação. Pedro Augusto esteve entre os titulares no meio-campo e entregou uma boa atuação com participações ofensivas e defensivas. O jogador avaliou o resultado.
+ Confira as novidades do Fortaleza
- Sem dúvidas é um bom resultado, a gente leva a decisão para o Castelão, onde vamos ter a nossa torcida nos apoiando. Sem dúvidas está em aberto, mas lá (Fortaleza) as coisas podem ser diferentes - afirma.


As equipes se enfrentam na próxima quarta-feira (21) na Arena Castelão. Jogando em casa, o Fortaleza não perde há 19 jogos.
O elenco tricolor se reapresentou nesta quinta-feira (15), no CT Jorge B. Griffa, do Newell's Old Boys. Após o treino, o elenco seguiu viagem em voo fretado para São Paulo.
Bragantino e Fortaleza se enfrentam no sábado (17), às 18h30, pela 23ª rodada do Brasileirão Série A."
Calebe e Martínez entram no DM do Fortaleza; veja o boletim,Calebe está em processo de fortalecimento muscular,Redação do ge,"O Fortaleza enfrenta o Palmeiras na Arena Castelão com cinco desfalques por questões médicas. O jogo ocorre nesta quarta-feira pela Série A do Brasileiro. Calebe e Martínez entram no DM.




Veja tudo de Fortaleza x Palmeiras."
Análise: Fortaleza constrói boa vantagem e fica perto do tri da Copa do Nordeste,"Moisés e Lucero marcam na vitória tricolor no Castelão. Volta será no domingo, 16h30, no Rei Pelé",Juscelino Filho,"A grandeza de um time se mede nas decisões. Na primeira partida das finais da Copa do Nordeste, o Fortaleza venceu o CRB por 2 a 0 - o time alagoano até então tinha a melhor campanha da competição e havia vencido o próprio time cearense na fase de grupos. Mas nesta quarta-feira, o Leão pode não ter feito o seu melhor jogo, mas soube ser eficiente, controlar o adversário e construir uma boa vantagem para colocar uma mão na taça. A busca é pelo tão sonhado tricampeonato do Nordeste.
+ Veja como foi a partida em tempo real


Antes de a bola rolar, a torcida deu show. Um espetáculo à parte que já valeria o ingresso. A ideia eram de cerca de quatro minutos de luzes e cantos na arquibancada. Pareceu bem mais, verdade seja dita.
Com a bola rolando, Vojvoda mandou o time ao ataque. Com o esquema já conhecido, o time foi armado com Tinga na LD e Rossetto de primeiro volante, talvez as duas surpresas na escalação. E o Laion buscou fazer seu jogo. Trabalhou bem a bola, buscou velocidade na frente com Moisés e Pikachu, Lucero foi bastante acionado… Mas o CRB armou um ferrolho que dificultou a vida tricolor nos primeiros trinta minutos.
A vida dos goleiros estava tranquila, até os 30, quando Moisés fez ótima jogada pela direita e chutou cruzado pra carimbar a trave regatiana. Cinco minutos depois, o mesmo Moisés abriu o placar após boa jogada de velocidade, chutando no canto do goleiro do CRB.
A essa altura, o Tricolor já pressionava mais a defesa alagoana, enquanto João Ricardo era apenas um espectador de luxo. Aos 48, Tinga cruzou na medida para Lucero ampliar. Vantagem construída com tranquilidade pelos donos da casa.


Os primeiros vinte minutos da volta do intervalo foram puro marasmo. Enquanto o Fortaleza, com boa vantagem, não tinha pressa, o CRB parecia estar vencendo o jogo e fazia de João Ricardo um espectador de luxo.
Somente aos 21 Gegê arriscou um chute de fora da área e fez João Ricardo se esforçar, mas sem necessidade, já que a bola foi para fora. Vojvoda sacou Moisés e Rossetto e colocou Hércules e Kervin, e o Fortaleza apenas manteve a postura. Até que aos 34, a zaga alagoana deu bobeira e Lucero ficou na cara do gol, mas chutou em cima do goleiro adversário. Lucero, inclusive, que poderia ter feito mais gols. Bom que não fizeram falta para o jogo desta quarta.


O próximo adversário já será o próprio CRB. No domingo, no Rei Pelé, em Maceió, o Leão vai em busca do tri da Copa do Nordeste. O Tricolor pode até perder por um gol que ainda assim levanta a taça. O CRB precisa vencer por dois gols de diferença para levar para os pênaltis. Se vencer por três ou mais gols, o título fica com o time regatiano."
