title,subtitle,author,article_content
Juventude defende invencibilidade contra catarinenses para se manter no G-4 da Série B,"Nesta sábado, a equipe gaúcha enfrenta o Criciúma, às 15h30, no estádio Alfredo Jaconi",Roberto Peruzzo,"O Juventude entra em campo neste sábado para se consolidar no G-4 da Série B do Brasileirão. O clube gaúcho busca a terceira vitória seguida na competição diante do Criciúma, às 15h30, no Alfredo Jaconi. Para manter a boa fase e ficar mais próximo do acesso, o Ju aposta no bom desempenho da equipe contra catarinenses.
O Alviverde não sabe o que é perder para os times do estado vizinho na atual edição do campeonato. Em cinco jogos disputados, foram quatro vitórias e um empate, com oito gols marcados e dois sofridos. O único tropeço foi no 0 a 0 com a Chapecoense no Alfredo Jaconi.
Para encerrar a sequência com chave de ouro, o Juventude tem duelo direto com o Criciúma. As duas equipes estão separadas por apenas dois pontos na tabela. Os comandos de Thiago Carpini ocupam a quarta posição, com 50, enquanto o time de Cláudio Tencati é o sexto, com 48.
Veja também:
+ Thiago Carpini confirma retorno de Nenê contra o Criciúma
+ Victor Andrade volta de lesão e projeta ""confronto direto""
Pela importância do jogo, Carpini classificou o compromisso deste sábado como um ""confronto diretíssimo"". Para ele, independente do resultado final da partida, as duas equipes seguirão na briga pelo acesso até as últimas rodadas.
– Jogo de confronto diretíssimo. Duas equipes que vão figurar na competição até o final lutando pelo objetivo em comum que é o acesso. Sabemos da dificuldade que será enfrentar uma equipe forte, competitiva, de muita capacidade técnica e muito bem treinada pelo Cláudio Tencati. É um momento muito decisivo – afirmou Carpini.
De acordo com o zagueiro Danilo Boza, titular em todos os jogos do Juventude na temporada, é preciso aproveitar a vantagem de estar enfrentando um adversário direto dentro de casa.
– Temos força jogando em casa, além do apoio da nossa torcida, que é crucial. Será um jogo muito parelho, mas temos que impor nosso jogo, buscar ficar com a bola e sair com a vitória para se manter no G4, principalmente contra um adversário que vai brigar com a gente até o fim - disse Boza.
+ Veja a tabela da Série B do Brasileirão
O Juventude enfrenta o Criciúma às 15h30 deste sábado, no Alfredo Jaconi, pela 30ª rodada da Série B. Com Nenê confirmado, o provável time tem: Thiago Couto; Reginaldo, Danilo Boza, Zé Marcos e Alan Ruschel; Jean Irmer, Jadson, Vini Paulista e Nenê; David e Gabriel Taliari.
Juventude contra catarinenses na Série B 2023

"
"Roth comemora ""sinal positivo"" do Juventude em empate com o Inter: ""De igual para igual""","Alviverde teve duas vezes à frente do placar no Beira-Rio, mas cedeu empate ao adversário na estreia do Gauchão",Roberto Peruzzo,"A primeira amostragem do Juventude na temporada 2023 deixou uma boa impressão, conforme avaliação do técnico Celso Roth. O Alviverde esteve na frente do Inter no Beira-Rio em duas oportunidades, mas cedeu o empate na estreia das equipes no Gauchão.
Pela amostragem e empenho dos jogadores, Roth acredita que o Juventude deu um bom ""sinal"" em relação ao trabalho realizado durante toda a pré-temporada, por ter feito, na sua análise, uma partida de igualdade contra um adversário de poderio superior.
- Demos um sinal de que estamos trabalhando forte. Jogar no Beira-Rio contra o Inter não é fácil, é o atual vice-campeão brasileiro. O Juventude em um início de trabalho veio aqui e jogamos de igual para igual, dentro da sua estratégia, e foi feliz nas suas finalizações - analisou Roth.
- Nós sabíamos da qualidade do adversário e elaboramos nossa estratégia. Fomos bem e até tivemos oportunidades para sair com a vitória. O que nós queremos no campeonato é ser um time equilibrado e conseguir resultados - acrescentou.
O empate conquistado poderia ter sido uma vitória. O Ju teve a vantagem no marcador em dois momentos. Primeiro, com gol marcado pelo centroavante Rodrigo Rodrigues na etapa inicial e, já na complementar com Echaporã. No entanto, De Pena e Pedro Henrique marcaram para o Inter na igualdade no placar.
Além do ponto somado fora de casa, o comandante comemorou a resposta positiva dos jogadores dentro de campo e evidenciou a procura por uma postura equilibrada da equipe durante toda a competição.
- Nós buscamos manter o que tivemos, ter uma equipe que seja equilibrada tanto ofensiva como defensivamente. Cada jogo é um jogo. A estratégia é diferente em cada situação e vou usar do que tenho. Mas preciso parabenizar a direção, que fez várias contratações e montamos um time com alternativas - concluiu.
O Juventude terá pouco tempo de recuperação após o empate em 2 a 2 com o Inter. Pela segunda rodada, o clube enfrenta o São Luiz na próxima terça-feira, no Estádio Alfredo Jaconi, às 19h."
"Jair Ventura comemora virada relâmpago do Juventude e valoriza atitude: ""Demos resposta rápida""","Na tarde deste domingo, o Juventude venceu o Fluminense por 2 a 1, no Alfredo Jaconi",Roberto Peruzzo,"O Juventude precisou de apenas pouco mais de dois minutos para transformar uma derrota em três pontos. Na tarde deste domingo, o time gaúcho venceu, de virada, o Fluminense por 2 a 1, no Alfredo Jaconi, pela 26ª rodada do Brasileirão. O técnico Jair Ventura valorizou a resposta da equipe após a eliminação ""dolorida"" na Copa do Brasil.
– Foi um jogo mentalmente muito forte em alguns aspectos. Com a eliminação como é que foi no último minuto e dolorida para todos nós. O time mostrou que é foda. Outra situação vínhamos sofrendo gols no final dos jogos de maneira recorrente, foram oito na verdade se você botar o corte de oitenta minutos e seis de noventa minutos. Nos unimos, fizemos um pacto para sanar essa situação. E hoje, a gente inverte. Fizemos aos 81 e aos 83 os nossos dois gols – declarou Jair.
– Parabenizar o grupo por tudo que foi né. Volto a repetir aqui, o Fluminense deu apenas um chute no gol. Acho que seria muito injusto sair daqui com outro resultado que não fosse a vitória pelo desempenho da equipe. Demos uma resposta rápida para nossa torcida – acrescentou.
Em um primeiro tempo de poucas emoções, o Ju sofreu o gol de Arias em uma das únicas chances oferecidas ao adversário. Entretanto, quando a derrota parecia iminente, o jogo mudou drasticamente em dois minutos. Ronaldo, de cabeça, empatou aos 36, e Marcelinho virou aos 38.
Criticado pelas substituições na eliminação na Copa do Brasil, Jair Ventura mexeu bem contra o Fluminense e viu a equipe crescer na etapa final a partir das alterações. O resultado deu fôlego ao Ju na luta contra o rebaixamento.
– Tudo que eu faço aqui é melhor para o Juventude. E quando as coisas não acontecem, o vilão é o treinador. Isso faz parte. Mas eu quero só parabenizar o meu grupo. Eles são os responsáveis, são os protagonistas do jogo eles que foram responsáveis por essa grande atuação numa virada muito importante dentro da competição. Não tenho problemas com as críticas que são feitas. Quem senta aqui tem que estar preparado. Eu me preparei bastante para estar onde eu estou e faz parte conviver com as críticas.
Com o resultado, o Ju subiu para a 11ª posição, com 32 pontos, sete à frente da zona do rebaixamento. O time gaúcho volta a campo no próximo sábado, contra o Vitória, em Salvador. Mais um confronto importante na luta contra o Z-4."
"De volta, artilheiro do Juventude destaca melhor fase da carreira: ""Nunca tive essa sequência""",Lucas Barbosa marcou oito gols na temporada e já dobrou seu melhor número como profissional no Santos,Gabriel Girardon,"Se o Juventude vive um momento de regularidade na temporada é muito por conta de Lucas Barbosa. O atacante, titular na equipe de Roger Machado, é também o artilheiro do time, com oito gols na temporada. Na noite desta quarta, diante do Flamengo, é uma das esperanças do time de Caxias do Sul na busca pelos três pontos.
+ Veja como ajudar as vítimas das enchentes no RS
Aos 23 anos, Barbosa é natural de Bebedouro, interior de São Paulo. Menino da Vila Belmiro, o atacante chegou por empréstimo ao Alfredo Jaconi e logo se firmou. No início do ano foi um dos artilheiros do Gauchão, com quatro gols. No Juventude, vive o melhor início de temporada da carreira.
– O fator principal para eu ter dado esse salto na minha carreira foi a sequência que eu tive. Eu tenho tido uma boa sequência. O pessoal têm depositado confiança em mim. No Santos, o ano passado, quando eu tive oito jogos como titular e fiz três gols também. Eu estava com bons números, fiz gols importantes. Só que eu nunca tive essa sequência que eu estou tendo aqui no Juventude – avaliou o jogador, em entrevista exclusiva ao ge.
Veja também
+ Juventude x Flamengo: onde assistir ao vivo, horário e escalações
Em 2022, Lucas Barbosa marcou quatro gols pelo Santos em 41 jogos. Nesse ano, ele já dobrou o número em 26 partidas, além de contribuir com três assistências. Em 2024, além dos quatro gols pela estadual, também marcou diante do Vasco, do Atlético-GO e do Corinthians, pelo Brasileirão, e contra o Paysandu, ,Copa do Brasil.
O atacante está de volta ao time titular para o duelo diante do Flamengo, após cumprir suspensão na rodada anterior. Apesar de encarar o líder do campeonato, o Ju defende uma longa invencibilidade frente ao Rubro-Negro: são 27 anos sem perder para o Flamengo no Alfredo Jaconi. Foram 12 partidas no período, com seis empates e seis vitórias. Além disso, o time ainda não perdeu em casa nesse Brasileirão.
– Acho que estamos preparados para esse duelo. A gente vai ter o fator casa, que nos ajuda bastante. A gente vai usar isso como um incentivo para a gente. Vamos batalhar, vamos guerrear contra uma grande equipe – completou Lucas Barbosa.
O duelo contra o Flamengo ocorre a partir das 20h e é válido pela 12ª rodada do Brasileirão. O time de Caxias do Sul é o 12º na tabela, com 13 pontos, e pode se aproximar do G-6 em caso de novo triunfo."
"Roger destaca individualidades em goleada e ressalta tamanho da vitória: ""Muito grande""","Para o técnico, resultado positivo no Estrela D´Alva também dá confiança para a sequência da temporada",Roberto Peruzzo,"Depois de seis jogos sem vencer na temporada, o Juventude reencontrou o caminho das vitórias no momento certo. Na noite deste sábado, o Alviverde, mesmo fora de casa, goleou o Guarany, de Bagé, por 4 a 0 no Estádio Estrela D´Alva. Com isso, desfez a vantagem do adversário e se garantiu na semifinal do Gauchão, onde enfrentará o Inter em dois jogos. O resultado também amenizou a pressão sobre o trabalho do técnico Roger Machado.
Em coletiva de imprensa após o duelo no sul do estado, o comandante do Ju destacou que o placar dilatado não condiz com o que foi o confronto. Para ele, o triunfo foi construído de um maior de jogadores atuando em bom nível.
- Não foi uma vitória tranquila. Nós buscamos fazer a vitória ser tranquila. Foi um jogo difícil, com as características desta fase da competição. Hoje, dá pra dizer que teve uma janela maior de atuação e um número maior de jogadores atuando bem. Quando você tem sete, oito, nove individualidades se sobressaindo, a gente consegue suprir um ou dois que não estejam tão bem. Hoje tivemos muitos destaques. Não está tudo resolvido, obviamente. Mas acho que é um passo importante - analisou o treinador
Dentro da análise do confronto, Roger Machado admitiu que foi necessário dar um passo atrás e voltar a atuar com três atacantes, formação utilizada nas primeiras rodadas do Campeonato Gaúcho. Com Edson Carioca e Lucas Barbosa nas extremas e Caíque como primeiro volante, o Ju voltou a produzir mais, o que resultou no placar elástico construído.
- Reconhecemos a necessidade de dar um passo atrás, e voltar a atuar da forma como atuamos nos primeiros jogos, que nos fez ter um início muito bom na competição. Proporcionar a entrada do Caíque para que a gente tivesse. Proporcionar novamente a entrada de jogadores que conseguem com mais facilidade, com a velocidade, com o drible, tirar da frente. Isso faz com que a gente empurra o adversário para dentro do seu campo.
Em meio a sequência negativa, Roger Machado viu a pressão sobre o seu trabalho aumentar consideravelmente. Na última rodada da primeira fase, por exemplo, na derrota por 2 a 1 para o Inter no Jaconi, o comandante deixou o gramado sob os gritos de ""Fora Roger"" por parte dos torcedores. Sobre essa instabilidade, o comandante reforçou a importância do resultado para dar confiança.
- É uma vitória importante, mas não dá para dizer que a gente retornou completamente, porque mesmo uma vitória assim a gente tem pontos a corrigir, mas ela dá confiança, ela retomou otimismo, gera um pouco mais de tranquilidade para a gente conseguir fazer esses ajustes necessários. As coisas não estavam como uma terra arrasada. A instabilidade iria passar a partir dos ajustes que precisávamos fazer. Ele veio hoje com uma boa vitória, classificando para a Copa do Brasil. Essa vitória ganha uma importância muito grande - concluiu Roger.
Antes do primeiro duelo pela semifinal do Campeonato Gaúcho, o Juventude volta a campo na próxima quarta-feira, às 21h30, contra o Paysandu, no Jaconi, pela segunda fase da Copa do Brasil."
Atuações do Juventude: Paulo Miranda vai mal e marca contra; Vitor Gabriel evita derrota,Alviverde empatou com Fortaleza no Jaconi e segue afundado na lanterna do Brasileirão,Redação do ge,"O Juventude ficou no empate em 1 a 1 com o Fortaleza na noite deste domingo, pela 27ª rodada do Campeonato Brasileiro. Paulo Miranda marcou contra no primeiro tempo, enquanto Vitor Gabriel deixou tudo igual na segunda etapa. Veja os destaques e as as notas de cada um.
Paulo Miranda
Voltando ao time titular, o zagueiro teve uma má jornada no Jaconi. Na tentativa de interceptar o chute de Caio Alexandre, jogou de peito contra o próprio gol. Foi substituído ainda no intervalo. Nota: 4,5.
Isidro Pitta
Se movimentou bem no ataque, criou a melhor chance de gol da equipe no primeiro tempo e teve três oportunidades na segunda etapa, uma delas desperdiçada cara a cara com o goleiro. Nota: 6,5.
Vitor Gabriel
Precisou de apenas cinco minutos em campo para marcar o gol de empate. Bem posicionado na área, aproveitou o cruzamento de Capixaba para escorar de cabeça para as redes e evitar a derrota do Juventude: Nota: 7,0.


Pegorari [GOL]: 5,5
Rodrigo Soares [LAD]: 5,5
Vitor Mendes [ZGD]: 6,0
Paulo Miranda [ZAG]: 4,5
(Elton [VOL]: 5,5)
Ygor Nogueira [ZGE]: 6,0
Capixaba [LAE]: 6,5
Jean Irmer [VOL]: 5,0
(Bruno Nazário [MEI]: 5,5)
Jadson [VOL]: 5,5
(Chico Kim [MEI]: 6,0)
Felipe Pires [ATA]: 5,0
(Vitor Gabriel [ATA]: 7,0)
Óscar Ruiz [ATA]: 5,0
(Ruan [ATA]: 5,5)
Pitta [ATA]: 6,5
sociojaconero.juventude.com.br"
Técnico do Juventude confirma estreia de Nenê contra o Novorizontino,"Meia deve iniciar no banco de reservas no confronto de sábado, pela Série B do Brasileirão",Roberto Peruzzo,"O técnico do Juventude, Pintado, confirmou a estreia de Nenê na partida de sábado contra o Novorizontino, fora de casa, pela segunda rodada da Série B do Campeonato Brasileiro. Depois de ser superado pelo Botafogo-SP na estreia, o clube alviverde busca a reabilitação na competição.
Em entrevista coletiva nesta quinta-feira, o treinador não especificou se o meia de 41 anos vai começar o jogo ou entrar no decorrer da partida. Mas deu a entender que Nenê deve iniciar no banco de reservas. A ideia da comissão é que ele, aos poucos, ele comece a assumir a titularidade.
– Nenê é um reforço muito importante nesse momento, vamos avaliar para ver se ele inicia ou tem condições de fazer o final do jogo, mas nós vamos ter estreia já nesse jogo. Acho que é importante para nós darmos início – declarou o técnico.
+ Manipulação na Série A: Paulo Miranda, ex-Ju, é investigado
O ex-jogador do Vasco é considerado a principal contratação do Juventude para a disputa da segunda divisão nacional. Anunciado na última quinta-feira, Nenê ficou de fora da estreia do Papo, na derrota por 2 a 1 para o Botafogo-SP no último sábado, por não possuir as melhores condições físicas.
Questionado sobre a possibilidade de mudar a formação inicial da equipe com a entrada de Nenê ao lado de Fernando Boldrin, Pintado afirmou que essa alternativa não é considerada no momento, até por estar em um começo de trabalho, em que a equipe precisa evoluir em diversos aspectos no 4-3-3.
– Nesse momento, eu acho difícil isso acontecer. Nós temos que equilibrar melhor a equipe. Repito, o maior desafio nesse momento é construir um conjunto e eu quero manter uma equipe para a gente construir isso. Não é simples, não é você jogar bons jogadores dentro de campo e achar que as coisas vão acontecer naturalmente. Mas pela qualidade, pela entrega, pela luta dessa equipe aqui, eu acho que a gente vai construir uma equipe e bons jogadores sempre podem jogar juntos – analisou o técnico.
Além da possível estreia de Nenê, o Juventude terá outros reforços diante do Novorizontino. A tendência é que estejam no time titular alviverde o zagueiro Romércio na vaga de Gerardo Gordillo e o lateral-direito Reginaldo, melhor da posição no Campeonato Paulista, no lugar de Dani Bolt.
Com isso, o provável Juventude para a partida tem: Léo Vieira; Reginaldo, Danilo Boza, Romércio e Romário; Mandaca, Jadson e Fernando Boldrin (Nenê); Ruan, David e Rodrigo Rodrigues."
"Chico Kim aponta ""finais de Copa do Mundo"" para o Juventude e avalia chance contra o Botafogo",Técnico Umberto Louzer indica entrada do meia na equipe titular durante os treinamentos da semana,Roberto Peruzzo,"Mais uma vez, o Juventude apresentará uma formação nova de meio-campo. Com as suspensões dos volantes Yuri Lima e Jadson, o técnico Umberto Louzer deve promover até três mudanças para o duelo diante do Botafogo, neste domingo, às 11h, no Estádio Alfredo Jaconi. Entre as novidades está o meia Chico Kim, que definiu os jogos como ""finais de Copa do Mundo"" para os gaúchos.
Com apenas 16 pontos somados em 22 partidas disputadas, o Juventude é o lanterna do Campeonato Brasileiro e está a sete pontos do primeiro clube fora do Z-4, o Cuiabá. Por isso, o enfrentamento com o Botafogo é considerado por todos mais uma final de Copa do Mundo e para o meia Chico não é diferente.
- Sabemos dessa necessidade de buscar. Nós colocamos o clube nessa situação, então temos uma responsabilidade muito grande. O grupo tem se posicionado, tem falado e cobrado também. O professor nos cobra, fala para a gente nos cobrar ainda mais. E além disso, não trazer dúvida de fora para dentro. Sabemos a qualidade que temos e realmente não está dando com o que temos feito. Pensamos cada jogo como uma final de Copa do Mundo e enfrentar jogo após jogo para por fim a essa situação incômoda - finalizou
Marcado por ter anotado o gol da permanência do Juventude no ano passado, o atleta ficou marcado pela sua versatilidade. Além de atuar na faixa central, Chic chegou a exercer a função de extrema pela esquerda, posição que lhe rendeu boas atuações sob o comando de Eduardo Baptista.
No entanto, na troca de comando técnico, o meia voltou a ser figura frequente no meio de campo. Por ser considerado um atleta muito intenso, Umberto Louzer, até mesmo, testou a sua utilização como segundo volante na partida com o América-MG, no Estádio Alfredo Jaconi. No entanto, o resultado final não foi o esperado, mais uma derrota. Para o domingo, o jogador volta a ser a opção escolhida para exercer a criação das jogadas.
Em entrevista coletiva concedida na tarde desta quinta-feira, Chico Kim foi questionado sobre o posicionamento em que atuará contra o Botafogo. De acordo com ele, essa função proporciona com que ele possa ""flutuar"" também pelas faixas laterais do campo.
- É focar no nosso time. O Umberto nos dá muita liberdade para flutuar por dentro, para dar opção para o companheiro e ajudar na hora da criação. Mas, é claro, sempre ajudar também na hora de marcar. É um lugar onde me sinto bem, onde eu já tenho atuado. Espero fazer da minha melhor versão para ajudar o time a conseguir a vitória - afirmou o jogador.
Um dos responsáveis pela bola parada ofensiva do Juventude, o meia admite dificuldade em acertar os lançamentos e gerar perigo neste quesito do jogo para o adversário. Para ele, é necessário ter mais capricho na batida, somente dessa forma, será possível aumentar o número de gols anotados. Até o momento, o clube marcou apenas dois gols.
- Sou encarregado das bolas paradas e sou uma pessoa que me cobro muito nessa situação porque acredito que é a repetição. Então, temos treinado bastante, bola parada, escanteio e é uma jogada que define jogo. É entrar ainda mais concentrado para atacar a bola e, com certeza, melhorar na batida também. Se não tiver uma batida boa, não tem como o nosso companheiro atacar. Então, eu procuro me cobrar bastante pra chegar na perfeição. Se no jogo capricharmos mais na batida, eu tenho certeza que nossos companheiros irão atacar bem e fazer o gol - completou.
sociojaconero.juventude.com.br"
Juventude terá retornos de cinco jogadores para duelo decisivo com o Corinthians,Jair Ventura pode promover o retorno do volante Thiaguinho ao time titular para o confronto pela Copa do Brasil em São Paulo,Roberto Peruzzo,"Na preparação para o duelo decisivo com o Corinthians pela Copa do Brasil, o técnico Jair Ventura recebeu boas notícias. Após algumas semanas convivendo com uma lista numerosa de desfalques, o comandante recebeu sinal verde do departamento médico e contará com o retorno de cinco jogadores.
Para o jogo da volta, o lateral-direito Ewerthon, o zagueiro Lucas Freitas, o volante Thiaguinho e o meia Mandaca voltam a ser opções. Além deles, o centroavante Gilberto, que já foi relacionado para o confronto com o Cuiabá, é outra alternativa para o duelo na Neo Química Arena.
Em contrapartida, o zagueiro Rodrigo Sam, que chegou a atuar na derrota para o Inter por 3 a 1, pelo Brasileirão, volta a ser desfalque por causa de uma lesão no púbis.
Veja também
+ Juventude tem aproveitamento de Z-4 com Jair Ventura no Brasileiro
Mesmo com os retornos, a tendência é que Jair Ventura aposte na manutenção no time que vem sendo escalado nas últimas partidas. A única dúvida fica sobre a presença de Ronaldo ou Thiaguinho na primeira função do meio-campo.
O provável Juventude tem: Gabriel; João Lucas, Danilo Boza, Zé Marcos e Alan Ruschel; Ronaldo (Thiaguinho), Jadson e Nenê (Jean Carlos); Lucas Barbosa, Ronie Carrillo e Erick Farias.
Com a vitória no jogo de ida por 2 a 1, o Juventude pode até empatar o jogo em São Paulo para avançar às semifinais da Copa do Brasil. O duelo está marcado para a próxima quarta-feira, às 21h, na Neo Química Arena."
Thiago Carpini ostenta melhor aproveitamento entre técnicos da Série B e vira trunfo do Juventude,"Em nove jogos, o técnico alviverde conquistou sete vitórias e soma um aproveitamento de 77,7%",Roberto Peruzzo,"A campanha do Juventude na Série B do Brasileiro teve uma guinada após a chegada do técnico Thiago Carpini. Desde então, a equipe gaúcha conquistou sete vitórias em nove jogos e mudou de patamar na competição. Com o triunfo sobre o Vitória na última rodada, o treinador chegou aos 77,7% de aproveitamento e se consolidou como o comandante com melhores números.
- Uma campanha de nove jogos com sete vitórias, deveríamos figurar entre os quatro primeiros. Esperamos que seja questão de tempo. Continuamos com esse objetivo - afirmou Carpini.
O início de competição, sob o comando de Pintado, com apenas uma vitória em seis jogos, deixou o Juventude longe das primeiras posições na tabela. Os triunfos em sequência serviram mais para recuperar o prejuízo sofrido nas rodadas iniciais visto que o aproveitamento dos líderes é bem superior. Em edições anteriores, os atuais 53% renderiam ao Papo uma vaga no G-4.
- Nos últimos anos, não me recordo de ver um aproveitamento tão bom. Acho que são dois fatores, a régua muito alta e o nosso início, esse são dois fatores que estão contribuindo para a gente não estar mais próximo ou dentro do G-4 - analisou o comandante alviverde.
Números de Thiago Carpini


A campanha do treinador do time de Caxias do Sul é superior, até mesmo, aos números alcançados pelos comandantes dos quatro primeiros colocados da Série B do Brasileiro. Como, por exemplo, Enderson Moreira, do Sport, e Claudinei Oliveira, do Vila Nova-GO.
Aproveitamento dos treinadores na Série B


Dentro do levantamento realizado pela reportagem do ge, não constam os nomes de Umberto Louzer, do Guarani, Guto Ferreira, do Ceará, Marcelo Chamusca, do Botafogo-SP e João Burse, do Tombense. Todos comandaram as suas equipes por apenas três partidas, até o momento, na Série B.
No momento, o Juventude ocupa a sétima posição com 24 pontos somados. O clube gaúcho tenta emplacar a terceira vitória seguida no duelo com o Ituano, neste sábado, às 17h, no estádio Novelli Júnior."
