title,subtitle,author,article_content
"Sorridente, Abel Ferreira fala em orgulho com virada do Palmeiras: ""Só deixa de lutar quando termina""","Verdão busca vitória em Quito, no Equador, depois de sair perdendo por 2 a 0 na Libertadores",Thiago Ferri,"Abel Ferreira apareceu na sala de imprensa com um sorriso no rosto. Uma expressão que traduziu a satisfação do treinador do Palmeiras com a vitória de virada sobre o Independiente del Valle, por 3 a 2, no estádio Banco Guayaquil, no Equador, pela Conmebol Libertadores.
– É um time que só deixa de lutar quando termina. Fico muito feliz, foi uma vitória de todos somos um, do NSP (Núcleo de Saúde e Performance), da psicóloga, dos nossos nutricionistas, da presidente, que não deixa que nada nos falte e disse isso aos jogadores. Ficamos em um hotel extraordinário, temos tudo do bom e melhor. O clube nos proporciona isso, temos de ir para o campo e todos juntos nos esforçar pelo resultado – disse o treinador.
– Agradecer ao Barros, foi uma vitória do time da virada, do time do amor. Orgulho muito grande poder estar junto deste grupo e viver estas emoções. Não é a primeira vez, mas dificilmente vou viver isto em outro lado.
+ Siga o ge Palmeiras no WhatsApp
O Palmeiras terminou dominado no primeiro tempo e viu o Independiente del Valle abrir 2 a 0 no placar, diminuindo para 2 a 1 somente nos minutos finais da etapa. Voltou sem trocas na escalação, mas com mudança de atitude. Só trouxe substituições a partir do meio do segundo tempo e assim empatou com Lázaro e conseguiu a virada com Luis Guilherme nos acréscimos.
– Foi difícil escolher o 11 hoje, desde que estou no Palmeiras foi a vez que mais tive dificuldade para escalar de início, mas disse aos que entraram, que representassem os que tinham vontade de jogar.
– No primeiro tempo, foi muito duro para nós, a capacidade de nos adaptar ao clima foi dura em 30 minutos. O Weverton caiu e fizemos um ajuste, mas o verdadeiro ajuste foi no intervalo, em que o gol nos colocou a discutir o jogo. Disse: calma, vamos corrigir o que temos de corrigir. Entraram muito melhor no segundo tempo, na minha opinião pela capacidade de se adaptarem ao clima – avaliou.
Mais notícias do Palmeiras:
+ Quem foi bem e quem foi mal? Dê suas notas
+ Veja como foi o jogo em Quito
O Palmeiras, por sinal, havia feito uma preparação com suplementação específica e saindo do Brasil dois dias antes da partida, para treinar no Equador e acelerar esse processo de adaptação citado pelo treinador. Depois das dificuldades no primeiro tempo, com apenas uma finalização, as mudanças para a segunda etapa surtiram efeito.
– Não há satisfação maior ver quem entrou dar a volta ao resultado e a forma como todo o grupo celebrou o gol. É algo difícil de explicar, mas que se sente.
– Parabéns ao Del Valle, os primeiros 35 minutos nos colocou nas cordas, não fez o KO (nocaute), mas em determinado pensei que sofreríamos um KO. Soubemos esperar e no 12º round, demos um nocaute no adversário, estamos de parabéns.
A equipe retorna de viagem nesta quinta-feira e se reapresenta na sexta-feira na Academia de Futebol, iniciando a preparação para o confronto com o São Paulo, que acontece às 20h da segunda-feira, no Morumbi.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
"Abel diz que ""faltou eficácia"" ao Palmeiras contra o Bragantino e comenta disputa com Botafogo",Técnico diz que Verdão teve as chances mais perigosas em empate sem gols em Bragança,Eduardo Rodrigues,"Abel Ferreira viu o Palmeiras com maior volume de chances criadas do que o Bragantino, neste sábado, no empate sem gols no Nabi Abi Chedid. Porém, na avaliação do treinador, faltou eficácia ao Verdão para converter as oportunidades em gols
+ Siga o ge Palmeiras no WhatsApp
Além de lamentar os gols desperdiçados pelo Palmeiras, Abel Ferreira fez questão de exaltar os méritos do Bragantino.
– Do outro lado temos um adversário que luta pela vida, se bobear pode ser rebaixado. Nós não jogamos sozinhos, tem um adversário. Ano passado esse mesmo time brigou pelo título com a gente. Enfrentamos uma equipe que fechou os espaços, que defendeu de um outro jeito que está acostumado. Jogaram no nosso erro e as melhores chances foram nossas. Tivemos uma na cabeça do Flaco, outra no Mauricio, uma no pé do Rony, outra do Dudu que o goleiro pegou. Faltou eficácia, principalmente nessas quatro que criamos. Não fizemos e saímos com um ponto – disse o treinador.
– Queríamos 3 pontos, levamos 1. Quando não dá para ganhar, temos que somar pontos. O maior adversário nosso foi o goleiro deles, que foi muito bem, decisivo. Uma equipe que se fechou muito bem atrás da linha da bola. O treinador tem que andar à procura de soluções para ganhar. O maior adversário fomos nós por conta da ineficácia que tivemos em frente ao gol – completou.
Mais notícias do Palmeiras:
+ Atuações: veja quem foi bem e quem foi mal
+ Weverton comemora convocação e dá recado
Com o 0 a 0 neste sábado, o Palmeiras viu o Botafogo aumentar para três pontos a vantagem na liderança do Brasileirão - o clube carioca venceu o Athletico-PR, fora de casa.
– A ideia é jogar um jogo de cada vez, somar os três pontos de cada vez. Se chegar no final e o Botafogo ganhar é dar os parabéns. Eles investiram muito, no ano passado não foram bem, mas esse ano estão muito bem. Se eles forem campeões, parabéns a eles. Vamos continuar fazendo nosso trabalho. Infelizmente hoje não fomos eficazes. É aceitar o resultado e seguir em frente – opinou Abel.
O próximo compromisso do Verdão é no dia 20, contra o Juventude, fora de casa.
Confira outros trechos da entrevista de Abel Ferreira:


– Acho que nos duelos nosso adversário foi mais agressivo. Acho que nosso adversário se defendeu muito bem. Ainda não olhei para os números, mas o que vale no final são os gols que entram na baliza. Se tiver 10 oportunidades e não fizer, não vale de nada. A gente merecia e deveríamos ter ganho o jogo pelo que criamos. Não conseguimos fazer naquelas quatro oportunidade que tivemos... O que quiser dizer em relação a isso, tudo bem. Dizem que sou pragmático, e isso é o pragmatismo. Peço que não percam chance.


– Dar os parabéns pela grama, extraordinária. Muito top, estava espectacular. E como voce disse, sempre tem um extra. Ganham mais duelos, ganham disputas no ar... Nossos jogadores têm que estar preparados para isso, porque o Palmeiras não é surpresa para ninguém. Os jogos aqui sempre são muito intensos, disputados. Pena foi não saírmos com o resultado diferente. O Bragantino desde que estou aqui me habituou a ter bons jogos, bons técnicos, bons treinadores e é um clube organizado, que gere bem sua estrutura e não é à toa que tem um CT muito bom e está prestes a reformar esse estádio.


– Vamos aproveitar (data Fifa) para preparar a equipe, melhorar nossos processos, finalizações, que os jogadores que jogam menos chegar no nível dos outros. Eu gosto desses momentos de pausa.


– Acho que podemos falar que os jogadores que entraram entraram bem e no momento certo para crias as oportunidades para fazer gol. O Estevão fez uma jogada e erramos debaixo do gol. O Dudu criou duas chances boas. Em relação a dinâmicas tentamos abrir os pontas, uma vez que o Bragantino faz marcação individual. O que procuramos fazer foi abrir bem a linha de 4 para achar o corredor. Não criamos tanto quanto queríamos, mas foi suficiente para fazer o gol. Tudo que eu falar a mais aqui é para encher jornal.


– Todos sabíamos que o Braganitno tinha ação individual dos pontas, sabíamos da qualidade do Giay. A idade dele e ver o que ele já fez. Imagina ele com 24, 25 anos. O segredo dos treinadores e diretoria é ver o presente, imaginar o futuro e pensar numa equipe que tem presente e futuro. A dinamica do nosso grupo é assim sempre. Nossa equipe é formada para ter sede de ganhar títulos. Se não tiver isso, ou mudamos os jogadores ou mudamos o treinador.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
"Endrick faz gol da classificação, ""veste"" escudo do Palmeiras, sente a coxa e preocupa para final",Atacante precisou ser substituído contra o Novorizontino e iniciou tratamento com gelo,Eduardo Rodrigues,"O atacante Endrick colocou o Palmeiras na final do Campeonato Paulista, nesta quinta-feira, ao marcar o gol da vitória por 1 a 0 sobre o Novorizontino, no Allianz Parque. Apesar disso, o garoto virou uma preocupação para o Verdão.
Isso porque Endrick precisou ser substituído aos 27 minutos do segundo tempo por causa de dores na coxa direita e iniciou um tratamento com gelo no banco de reservas do Allianz Parque. Pouco antes, fez o gol da classificação e comemorou ""vestindo"" como se fosse uma capa um escudo do Palmeiras que estava à beira do gramado.
+ Siga o ge Palmeiras no WhatsApp
O local é o mesmo em que o atacante sofreu uma pancada no duelo contra a Espanha, pela seleção brasileira, na última terça-feira. Durante quase todo o período que ficou em campo pelo Brasil, ficou mancando.
Mais notícias do Palmeiras:
+ Veja como foi o confronto
Endrick deve passar por uma avaliação mais detalhada na reapresentação da equipe na Academia de Futebol, nesta sexta-feira. O primeiro jogo da final contra o Santos, na Vila Belmiro, será no domingo, e o jogador terá pouco tempo para recuperação caso seja algo mais grave.
– Tomei a pancada, vim de avião para cá, cheguei no Allianz fui tratar, passei o dia todo tratando, acordei cedo para fazer gelo. Como eu falei, o que eu puder fazer pelo Palmeiras, é só um gostinho de tentar retribuir, mesmo que seja 1%, mesmo sem perna eu vou jogar, para ajudar o Palmeiras e meus companheiros – afirmou Endrick na saída do gramado.
O atacante foi substituído por Rony durante a semifinal. O jogador pode ser uma opção para a vaga do companheiro. Lázaro, Breno Lopes, Luis Guilherme e Estêvão também brigam pela posição.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
Palmeiras se desculpa com Flamengo por cusparada em Tite e busca imagens para punir torcedor,Verdão pretende expulsar infrator do quadro de sócios se ele fizer parte do programa; técnico também receberá ligação do clube nas próximas horas,Eduardo Rodrigues,"O diretor de futebol do Palmeiras, Anderson Barros, entrou em contato com o diretor de futebol do Flamengo, Bruno Spindel, nesta segunda-feira, para pedir desculpas pela cusparada que o técnico Tite recebeu na entrada do gramado do Allianz Parque no jogo do último domingo, pelo Campeonato Brasileiro.
+ Siga o ge Palmeiras no WhatsApp
Em entrevista coletiva, Tite relatou sua indignação por ter recebido a cusparada e o constrangimento de ter que limpar a roupa pelo ato. Em contato com a reportagem, o Palmeiras entendeu se tratar de uma atitude ""incompatível com os valores da atual gestão, que tanto preza pelo respeito aos adversários"".
O clube também entrará em contato com Tite nesta noite de segunda-feira, assim que a delegação palmeirense chegar a Quito, no Equador, onde enfrentará o Independiente del Valle, pela Conmebol Libertadores, na quarta-feira, às 21h30.
Mais notícias do Palmeiras:
+ Análise: coletivo vai bem, mas falta individualidades ao time
+ Abre Aspas: Leila abre o jogo sobre temas do futebol e do Verdão
+ Abel explica por que clube não vendeu Jhon Jhon ao Bragantino
O Palmeiras busca imagens nas câmeras de seguranças do Allianz Parque para identificar o infrator e promete expulsar o torcedor do quadro de sócios caso ele seja membro do programa.
O Palmeiras só teve conhecimento do ocorrido após a entrevista coletiva de Tite. O clube afirma que, caso tivesse sido alertado imediatamente, teria retirado o torcedor para ele ser encaminhado ao Jecrim (Juizado Especial Criminal).
O clube tem fiscais de segurança nas arquibancadas do Allianz Parque e irá investigar como aconteceu o ocorrido.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
Felipe Anderson chega ao Brasil para resolver mudança antes de se apresentar no Palmeiras,"Meia-atacante despediu-se no domingo da Lazio e desembarcou em São Paulo para resolver as últimas burocracias antes de começar os trabalhos na Academia de Futebol, dia 1º de julho",Thiago Ferri,"Felipe Anderson chegou ao Brasil na noite dessa segunda-feira, após encerrar sua trajetória pela Lazio, na Itália. O meia-atacante agora vai resolver os detalhes de sua mudança definitiva ao Brasil, pois a partir de 1º de julho inicia sua passagem pelo Palmeiras.
+ Siga o ge Palmeiras no WhatsApp
Depois de três temporadas consecutivas, sendo oito ao todo no clube italiano, Felipe recebeu uma série de homenagens no último fim de semana. Ele ficou bastante emocionado após sua partida de despedida, o empate em 1 a 1 com o Sassuolo, na rodada final do Italiano.
Mais notícias do Palmeiras:
+ Vão voltar? Veja a situação dos emprestados do Verdão
+ Endrick chora em despedida: ""Vou sentir saudades""
Acertado com o Palmeiras desde abril, quando assinou um pré-contrato, o meia-atacante de 31 anos terá agora o mês de junho de férias e pode jogar a partir de 10 de julho, quando a janela de transferências reabre. Ele fechou com o Verdão até dezembro de 2027.
+ Entenda por que Estêvão, do Palmeiras, escolheu o Chelsea
Felipe Anderson não desfalcou a Lazio em nenhum jogo durante os três anos dessa última passagem. Foram 151 partidas consecutivas no período.
Ele chegou a receber uma oferta de renovação do clube, e tinha a possibilidade de se transferir para a Juventus, da Itália, mas acabou preferindo voltar ao Brasil, de olho em chances na Seleção.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
"Abel ainda busca reserva para Veiga no elenco do Palmeiras, e Felipe Anderson pode ter nova função","Reforço do Verdão pode ser o substituto do meia, suspenso, contra o Vitória, neste sábado, às 19h, pelo Brasileirão, no Allianz Parque",Redação do ge,"A suspensão de Raphael Veiga para o duelo contra o Vitória, neste sábado, às 19h, no Allianz Parque, pelo Campeonato Brasileiro, faz Abel Ferreira reviver um problema que ainda não conseguiu solucionar na temporada: encontrar um substituto para o meia.
+ Siga o ge Palmeiras no WhatsApp
Nas vezes em que não pôde contar com Veiga, o treinador testou diversos nomes na função, mas nenhum conseguiu suprir a falta do titular. Na última vez que o meia não jogou, no empate com o Grêmio, por exemplo, o substituto foi Jhon Jhon, vendido recentemente ao Red Bull Bragantino.
Sem uma atuação de destaque do garoto, ficou escancarada a importância de Raphael Veiga para a formação palmeirense. Na rodada passada, diante do Fluminense, Gabriel Menino entrou no lugar do companheiro no intervalo e também não foi bem.
Mais notícias do Palmeiras:
+ Verdão renova contrato de joias da base
+ Mayke e Estêvão avançam em recuperação e treinam
+ Tabata volta aos treinos e espera definição
Diante do Vitória, neste sábado, Abel Ferreira terá mais opções em relação ao confronto contra o Grêmio. Os reforços ainda não estavam à disposição naquela ocasião, e a tendência é que Felipe Anderson tenha chances de atuar por ali desta vez.
Nos três jogos que fez pelo Palmeiras, o ex-jogador da Lazio atuou mais aberto pela esquerda, chegando bastante à área adversária. Na Itália, porém, ele teve algumas oportunidades de jogar como meia.
– Sobre posição, nos últimos três anos na Lazio, o treinador me mudou muito. Joguei bastante na direita, mas ele me colocava na esquerda, meio... Último mês joguei até de ala. Desde que cheguei na Itália aprendi muito de tática e queria saber de todas as posições para assimilar os jogos, o que o treinador pede. Isso tem me ajudado muito para colaborar com o time. Gosto de estar disponível independente da posição – comentou o jogador em sua apresentação.
Além de Felipe Anderson, Abel também tem Mauricio, Gabriel Menino e Rômulo para a função. O primeiro teve poucos minutos em campo desde que foi contratado, mas pode ser testado no meio de campo.
Substituir Veiga tem sido uma missão complicada para o Palmeiras. Em 37 jogos em 2024, o meia tem 11 gols e sete assistências. É o equivalente a uma participação em gol a cada dois jogos.
Ausência neste sábado, o meia voltará ao time na próxima quarta-feira, às 20h, diante do Flamengo, pelo jogo de ida das oitavas de final da Copa do Brasil, no Maracanã.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
"Atuações: Veiga perde pênalti, e Gómez faz gol contra em derrota do Palmeiras; dê suas notas","Veja quem foi bem e quem foi mal na partida contra o Furacão, em Barueri",Camila Alves,"+ Siga o ge Palmeiras no WhatsApp
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
"Herói da vitória, Estêvão lamenta ter evitado gol de Rony: ""Triste por tirar o gol dele, mas feliz por fazer""","Garoto marcou aos 52 minutos do segundo tempo e garantiu o triunfo sobre o Botafogo-SP, que faz o Verdão jogar por um empate para avançar às oitavas da Copa do Brasil",Redação do ge,"Estêvão já seria o destaque do Palmeiras na partida contra o Botafogo-SP, mas terminou como o herói da noite ao marcar o gol da vitória por 2 a 1 no último lance do confronto desta quinta-feira pela Copa do Brasil, aos 52 minutos do segundo tempo, no Allianz Parque.
+ Siga o ge Palmeiras no WhatsApp
Aos 17 anos, o jovem comemorou o resultado e a postura do Verdão, que seguiu buscando o segundo gol após levar o empate, aos 45 minutos do segundo tempo.
Mais notícias do Palmeiras:
+ Quem foi bem? Quem foi mal? Dê suas notas!
– Muito bom saber que não desistimos. Triste por tirar o gol do Rony, mas feliz por fazer o gol da vitória. Resultado importante para o jogo da volta – disse o camisa 41.
Rony deu entrevista ao lado do garoto e avaliou que o Palmeiras teve um resultado importante diante da dificuldade para furar a marcação da equipe de Ribeirão Preto.
O camisa 10 fez o primeiro gol do Verdão no jogo, teve um anulado pelo VAR e ainda poderia ter marcado em uma chance sem goleiro, que Estêvão acabou o atrapalhando.
– Um lance rápido que a gente estava conversando, eu chapei, mas ele (Estêvão) estava no momento. Graças a Deus a gente teve outra oportunidade e ele fez o gol. Está todo mundo feliz. Um jogo difícil, que jogaram fechadinhos, a gente soube jogar bola e sair com resultado positivo – completou.
O Palmeiras visita o Botafogo-SP para o jogo de volta dia 23 de maio, no estádio Santa Cruz. O time de Abel Ferreira joga pelo empate para avançar às oitavas de final da Copa do Brasil.
O gol fora de casa não é mais critério de desempate. Portanto, se for derrotado por um gol de diferença, a decisão será nos pênaltis.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
Palmeiras recebe visita de Felipão em Porto Alegre; veja fotos,Verdão divulgou imagens do encontro do treinador com a delegação,Redação do ge,"A delegação do Palmeiras recebeu a visita de Felipão neste sábado, no hotel que hospeda a delegação alviverde na cidade de Porto Alegre, palco do jogo deste domingo contra o Internacional, às 17h, pela 21ª rodada do Campeonato Brasileiro.
+ Siga o ge Palmeiras no WhatsApp
O clube divulgou fotos do encontro de Felipão com Abel Ferreira e outros membros da comissão técnica. Campeão brasileiro pelo Verdão em 2018, o treinador também reencontrou jogadores importantes daquela conquista, casos de Weverton, Marcos Rocha, Gustavo Gómez, Mayke e Dudu.
Mais notícias do Palmeiras:
+ Verdão terá mudanças para enfrentar o Inter; veja provável escalação
Luiz Felipe Scolari e Abel Ferreira estão entre os maiores treinadores da história palmeirense. Nesta temporada, o português empatou com Oswaldo Brandão na lista dos maiores vencedores do clube, com 10 títulos.
Felipão aparece na quarta posição do ranking, com seis títulos. Ele comandou a equipe em três em 484 partidas, com 237 vitórias, 132 empates e 115 derrotas).
Abl soma 270 jogos pelo clube, com 157 vitórias, 63 empates e 50 derrotas.
Veja mais fotos:
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
"Palmeiras regulariza Maurício, e reforço pode estrear contra o Botafogo","Meia-atacante contratado do Internacional teve o nome publicado no BID da CBF, assim como Felipe Anderson. Giay ainda aguarda a liberação para o confronto de quarta",Thiago Ferri,"Depois de Felipe Anderson, o Palmeiras também regularizou Maurício. O ex-jogador do Internacional teve o nome publicado no Boletim Informativo Diário (BID) da CBF no início da noite de segunda-feira e está liberado para fazer sua estreia.
+ Siga o ge Palmeiras no WhatsApp
Os dois, portanto, estão à disposição de Abel Ferreira para o jogo desta quarta-feira, contra o Botafogo, às 21h30 (de Brasília), pela 17ª rodada do Campeonato Brasileiro. O único reforço que ainda aguarda a liberação é Agustín Giay, mas isto ainda pode acontecer no decorrer de terça.
Mais notícias do Palmeiras:
+ Verdão renova contrato com a Puma; veja detalhes
Contratado por 10,5 milhões de euros (cerca de R$ 60 milhões), Maurício está treinando com o elenco na Academia de Futebol desde o fim de junho.
Abel diz que o jogador de 23 anos de idade é uma opção tanto para a ponta direita quanto a armação, substituindo Luis Guilherme, vendido ao West Ham, da Inglaterra.
Assim como Felipe Anderson, Maurício deve iniciar sua trajetória no Palmeiras como reserva se for relacionado já na próxima partida.
+ Veja mais notícias do Palmeiras
🎧 Ouça o podcast ge Palmeiras🎧
+ Assista a tudo do Palmeiras na Globo, sportv e ge"
