title,subtitle,author,article_content
"Após eliminação e folga, elenco do São Paulo volta aos treinos nesta quarta","Jogadores agora focam em intertemporada antes da estreia na Libertadores, em duas semanas",Redação do ge,"O elenco do São Paulo se reapresenta na manhã desta quarta-feira, no CT da Barra Funda, para retomar os treinos após a eliminação no Campeonato Paulista. Os jogadores tiveram folga na segunda e na terça – exceção aos que tratam lesões.
+ Siga o canal ge São Paulo no WhatsApp
O foco, agora, é a preparação do time para a estreia na Conmebol Libertadores, contra o Talleres, em Córdoba. Ainda não há data definida para o duelo, mas ele ocorrerá na semana do dia 3 de abril.
Mais do São Paulo:
+ Conheça o grupo do São Paulo na Libertadores
+ Casares fala sobre possíveis contratações
Na segunda, antes do sorteio dos grupos da Libertadores, o presidente Julio Casares declarou que o técnico Thiago Carpini continua como treinador da equipe, apesar da pressão pela queda no estadual. O cartola defendeu o trabalho de Carpini e garantiu que ele estará no jogo na Argentina.
Além do Talleres, o São Paulo também enfrentará o Barcelona, do Equador, e o Cobresal, do Chile, na fase de grupos da competição.
+ Leia mais notícias do São Paulo
No Brasileiro, a estreia está prevista para o fim de semana do dia 14 de abril, contra o Fortaleza, no Morumbis.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
Escalação do São Paulo: Milton Cruz comanda último treino antes de jogo em Goiânia,Técnico interino fez trabalho tático de olho na partida contra o Atlético-GO,Redação do ge,"O São Paulo encerrou na manhã deste sábado a preparação para enfrentar o Atlético-GO, no domingo, às 18h30 (de Brasília), pela terceira rodada do Campeonato Brasileiro. A partida será realizada no estádio Antônio Accioly.
+ Siga o canal ge São Paulo no WhatsApp
Enquanto Luis Zubeldía não assume o São Paulo, o técnico interino Milton Cruz comandou neste sábado um trabalho tático no CT da Barra Funda para decidir a equipe que será titular contra o Atlético-GO.
Ainda sem James Rodríguez, o São Paulo deve entrar em campo neste domingo com: Rafael, Igor Vinícius, Arboleda, Diego Costa e Welington; Pablo Maia, Alisson e Michel Araújo (Galoppo); Luciano, Calleri e Ferreira.
Mais do São Paulo:
+ Milton Cruz tenta aliviar crise antes da chegada de novo técnico
+ Entenda o que falta para Zubeldía ser anunciado
+ Leia mais notícias do São Paulo
O São Paulo ainda tem fora de combate o volante Luiz Gustavo, o meia James Rodríguez, os atacantes Lucas e Wellington Rato e o lateral-direito Rafinha.
Depois de duas derrotas no Campeonato Brasileiro, o São Paulo busca a primeira vitória para respirar com mais tranquilidade na tabela de classificação. O Tricolor está em 18º lugar.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
São Paulo acumula quase R$ 13 milhões em renda bruta nos jogos da Libertadores,"No jogo contra o Talleres, por sinal, o Tricolor bateu recorde na temporada; veja os números",Marcelo Braga,"Torneio mais querido pelo torcedor do São Paulo, a Conmebol Libertadores já movimentou para o clube uma renda bruta de bilheteria no valor R$ 12,7 milhões nos três jogos em que realizou dentro do Morumbis. A vitória contra o Talleres, por 2 a 0, registrou recorde de público e renda em 2024.
Em média, o Tricolor acumulou uma renda bruta de R$ 4,2 milhões por partida. Deste valor, claro, são deduzidos os valores destinados às taxas obrigatórias para a realização das partidas.
+ Siga o canal ge São Paulo no WhatsApp
De toda forma, o Tricolor tem levado muita gente ao estádio. O ticket médio teve aumento ao longo da fase de grupos: foi de R$ 73,60 na vitória contra o Cobresal, para R$ 78,52 no empate sem gols com o Barcelona e acabou em R$ 91,75 no triunfo sobre o Talleres.
Mais do São Paulo:
+ Reações de Zubeldía já chamavam a atenção no Equador; vídeo

Classificado para as oitavas, o São Paulo conhece seu adversário na segunda-feira, no sorteio da Conmebol. Por ter terminado a fase de grupos em primeiro, a decisão será dentro do Morumbis. As partidas serão nas semanas de 14 e 21 de agosto.
+ Leia mais notícias do São Paulo




🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"São Paulo pede adiamento no TJD, e Arboleda está livre para enfrentar a Inter de Limeira",Jogador seria julgado nesta terça-feira na Federação Paulista de Futebol pela expulsão contra o Red Bull Bragantino,Marcelo Braga,"O Tribunal de Justiça Desportiva de São Paulo acatou um pedido do São Paulo para o adiamento do julgamento do zagueiro Arboleda, que aconteceria nesta terça-feira, a partir das 17h, no horário da viagem da delegação para Brasília, onde o time enfrenta a Inter de Limeira na quarta-feira.
+ Siga o canal ge São Paulo no WhatsApp
Assim, o equatoriano está livre para entrar em campo e reforçar a equipe. Expulso contra o Red Bull Bragantino, no dia 17, ele cumpriu suspensão no empate por 1 a 1 contra o Guarani e está livre para entrar em campo no jogo da próxima rodada.
Leia também
+ James Rodríguez está relacionado para pegar a Inter
+ Leia mais notícias do São Paulo
Arboleda foi expulso pelo árbitro Vinícius Gonçalves Dias de Araújo depois de cometer uma falta em Talisson. O lance inicialmente foi ignorado, mas acabou revisadi por orientação do VAR, o que causou a expulsão. Na sequência do lance, Helinho fez falta em Erick e também recebeu o vermelho.
O zagueiro foi citado no artigo 250, para quem pratica ""ato desleal ou hostil durante a partida, prova ou equivalente"". A suspensão prevista é de uma a três partidas. O departamento jurídico do São Paulo aposta em pena mínima, mas não quis correr o risco de perder o jogador em meio a uma viagem.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
Carpini cumpre nova meta no São Paulo e aumenta sequência em mata-matas de Paulistão,Técnico chega pela quarta vez seguida (e por quarto clube diferente) às quartas de final do Estadual; veja números e desempenho dele na competição,Marcelo Braga,"Thiago Carpini ainda não tem 40 anos, mas é atualmente um dos técnicos em atividade no torneio com mais jogos disputados de Paulistão. Há dois meses à frente do São Paulo, o treinador já conquistou a Supercopa do Brasil e cumpriu novo objetivo: levou o Tricolor às quartas de final do Estadual, que será jogada contra o Novorizontino, domingo, às 18h (de Brasília), no Morumbis.
+ Siga o canal ge São Paulo no WhatsApp
A partida será a de número 70 de Carpini no Estadual. E, pela quarta edição consecutiva, ele atinge a fase eliminatória, como fez com Inter de Limeira (2021), Santo André (2022) e Água Santa, que foi finalista e vice-campeão contra o Palmeiras na temporada passada. Antes, em 2020, não se classificou com o Guarani, mas chegou à final do Troféu do Interior, ficando com o vice-campeonato.
Em 69 partidas de Paulistão, Carpini acumula 28 vitórias, 15 empates e 22 derrotas, com 47,8% de aproveitamento geral. Pelo São Paulo, nesta edição, são 12 jogos, com seis vitórias, quatro empates e duas derrotas, num aproveitamento de 61% dos pontos.
Mais do São Paulo:
+ Análise: sufoco mostra que é preciso evoluir
+ Lucas critica o regulamento do Paulistão
Em relação aos seus companheiros de profissão, Carpini aparece apenas de Fábio Carille, do Santos, que acumula 72 jogos de Paulistão na carreira, e do experiente Pintado, da Portuguesa, que soma 166 jogos no Estadual. Abel Ferreira, do Palmeiras, tem 60. Eduardo Baptista, do Novorizontino, 61.
– Devo ser o técnico mais jovem do Paulista e um dos com mais jogos. Sem soberba, pelo amor de Deus, mas eu conheço bem a competição. Pretendo passar um pouco do que vivi, meus erros e acertos, para fazer um jogo seguro, equilibrado, para avançar um pouco mais na competição, porque o São Paulo merece – destacou o treinador em sua entrevista coletiva após vencer o Ituano.
+ Leia mais notícias do São Paulo
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
Da expectativa ao empréstimo: Luan perde espaço e deixa o São Paulo após 14 anos,"Volante era considerado uma das grandes promessas do clube nos últimos anos, mas não atingiu o nível esperado; Vitória será primeira missão do jogador fora do clube paulista",Redação do ge,"Luan, do São Paulo, vai reforçar o Vitória por empréstimo. Formado em Cotia, o jogador atuará pela primeira vez em outro clube que não seja o Tricolor. A expectativa em torno do volante durante quase toda sua trajetória no Morumbis, nesse caso, dá lugar à lamentação.
+ Siga o canal ge São Paulo no WhatsApp
Querido por torcedores e companheiros, Luan tem contrato até dezembro de 2026. Começou sua trajetória no Tricolor em 2010, com apenas 10 anos, e dará uma pausa até o fim deste ano enquanto atua pelo Vitória. A falta de espaço na reta final de 2023 e no início de 2024 foram ajudaram na saída.
Aos 24 anos, Luan já foi até protagonista de título no São Paulo. Em 2021, fez gol na final contra o Palmeiras para coroar o ótimo momento que vivia com o troféu do Campeonato Paulista. Aquele ano, porém, seria o último em que o volante mostraria à torcida tricolor tudo o que pode.
Mais do São Paulo:
+ FPF intervém na organização dos próximos clássicos
+ André Silva aparece no BID, e São Paulo pode inscrevê-lo
Em 2019, Luan havia entrado em campo 35 vezes. Depois, em 2020, 42. Em 2021, foram 40 partidas. Em 2022 e 2023, respectivamente, apenas 13 e 28. Em 2024, nenhuma.
Nas últimas temporadas, o volante sofreu, também, com lesões.
Em 2022, por sinal, chegou a passar por uma cirurgia na coxa esquerda para corrigir uma avulsão tendínea (desprendimento do músculo do osso), sofrida em 2021, quando o São Paulo optou por um tratamento conservador em vez da operação.
+ Leia mais notícias do São Paulo
Em 2023, livre de problemas físicos, Luan não teve tanto espaço. No fim da temporada xchegou a ficar dois meses sem jogar e entrou na lista de ""negociáveis"" do São Paulo.
A negociação, de fato, só ocorreu em 2024. Sequer inscrito no Campeonato Paulista, Luan vai defender o Vitória na Série A do Campeonato Brasileiro depois de conversas frustradas com outras equipes. O São Paulo, de longe, vai aguardar a recuperação de um jogador cercado de expectativa.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"Escalação do São Paulo: Lucas volta, e Zubeldía fecha preparação para enfrentar o Flamengo","Tricolor recebe o líder, neste sábado, no Morumbis, pela 21ª rodada do Brasileirão",Redação do ge,"O São Paulo fez o último treino antes do jogo contra o Flamengo, na manhã desta sexta-feira, no CT da Barra Funda. O duelo está marcado para sábado, no Morumbis, às 21h30, pela 21ª rodada do Brasileirão.
+ Siga o canal ge São Paulo no WhatsApp
O técnico Luis Zubeldía terá o reforço do meia-atacante Lucas, que desfalcou o time contra o Fortaleza, há uma semana, por suspensão. Ele treinou normalmente durante a semana, enfrentou o Goiás, na terça, pela Copa do Brasil, e é provável que seja titular contra o Flamengo.
A baixa para este jogo é o atacante Luciano, suspenso mais uma vez. Em sua vaga deve atuar Wellington Rato, mas Erick também é cotado após a boa partida contra o Goiás.
Mais do São Paulo:
+ Elenco ganha visita especial na véspera do jogo
+ Rival do São Paulo na Libertadores tem novidades
Um time provável para o jogo contra o Flamengo tem Rafael; Rafinha, Arboleda, Alan Franco e Welington; Luiz Gustavo e Bobadilla; Lucas, Wellington Rato (Erick) e Ferreira; Calleri.
Na última rodada, Zubeldía poupou jogadores contra o Fortaleza, em derrota por 1 a 0, por causa do duelo contra o Goiás. Por atuar em casa nesta rodada e contra o líder do Brasileiro, o técnico deve usar seus melhores jogadores.
+ Leia mais notícias do São Paulo
Em sexto na classificação do Brasileiro, o São Paulo tem 32 pontos e está a quatro do Fortaleza, o quarto, e a oito do Flamengo, o primeiro.

🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"Casares defende trabalho de Zubeldía no São Paulo: ""Aqui não há fritura de profissionais""","Presidente negou clima ruim para o técnico após as desclassificações, mas lembrou que as avaliações são diárias no futebol",Marcelo Braga,"Presidente do São Paulo, Julio Casares defendeu nesta sexta-feira o trabalho do técnico Luis Zubeldía. Depois de eliminações nas quartas de final da Copa do Brasil e da Conmebol Libertadores, o argentino passou a ser questionado por torcedores nas redes sociais.
+ Siga o canal ge São Paulo no WhatsApp
Em entrevista, Casares afirmou que o treinador não passa por um ""processo de fritura"" dentro do Morumbis. Zubeldía viajou com o elenco para comandar o time no jogo contra o Cuiabá, neste sábado, às 19h (de Brasília), na Arena Pantanal.
– Não há nenhum tipo de problema. Quando vejo, entre aspas, fritura. Nós nem comemos muita fritura, porque o doutor Eduardo Rauen proíbe (nutrólogo do clube). O que não existe na nossa prática é fritura de profissional. Existe diálogo, existe verdade, e não é por perder uma classificação que está tudo errado. E muitas vezes quando ganha não está tudo certo. O que tem que ter é diálogo – declarou.
Mais do São Paulo :
+ Tricolor renova contrato de artilheiro da base
+ Como é o desempenho do time sem Ferreira
Nesta semana, Zubeldía teve seu nome ligado ao Boca Juniors, da Argentina, clube que busca um novo treinador. O dirigente disse que está nos planos do São Paulo manter o técnico para o próximo ano.
– Zubeldía merece a nossa confiança, está super prestigiado, mas claro que futebol é dinâmico. Eu não vejo nenhum tipo de risco neste momento. Ele está trabalhando, foi para Cuiabá, está tudo normal. Eu me surpreendo com essa notícias (...) Agora, a avaliação do futebol é constante, toda segunda-feira nós fazemos uma avaliação da dinâmica – declarou.
Ao falar sobre o desempenho da equipe, que hoje ocupa a quinta colocação no Brasileirão, o dirigente lembrou que o São Paulo sofreu com muitos problemas de lesão nos últimos meses.
– O futebol merece entendimento. Esse ano perdemos Alisson, Pablo Maia, Ferreirinha, jogadores que estavam encaixados no sistema. O Flamengo também perdeu Pedro, Cebolinha, Arrascaeta, todos perdem. Tem de olhar sempre com tranquilidade.
+ Leia mais notícias do São Paulo
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"São Paulo tentará efeito suspensivo para Nestor e Sabino, suspensos pelo STJD",Jogadores foram condenados por brigas ocorridos em clássico contra o Palmeiras,Leonardo Lourenço,"O São Paulo tentará um efeito suspensivo para que Rodrigo Nestor e Sabino possam continuar atuando enquanto o clube recorre ao Tribunal Pleno do STJD. Os dois jogadores foram condenados nesta sexta por causa de brigas ocorridas no clássico contra o Palmeiras, em 18 de agosto, pelo Brasileiro.
+ Siga o canal ge São Paulo no WhatsApp
Sabino pegou a pena mais alta, de cinco jogos, por ter agredido um funcionário do Palmeiras ao fim do jogo, quando uma grande confusão envolveu atletas, comissões técnicas e dirigentes.
O gancho de Nestor é de quatro partidas por ter trocado socos com Zé Rafael, do Palmeiras, que foi punido pelo mesmo tempo.
Mais do São Paulo:
+ STJD suspende Zé Rafael, Nestor e Sabino por brigas em Palmeiras x São Paulo; veja penas
+ Entenda por que os últimos reforços do São Paulo não poderão jogar contra o Atlético-MG
Os dois jogadores do São Paulo já cumpriram a suspensão automática. O clube tentará, no Pleno, ao menos reduzir as penas.
Por enquanto, porém, Sabino e Nestor não podem enfrentar o Cruzeiro, no dia 15, pelo Brasileiro.
+ Leia mais notícias do São Paulo
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
"Análise: ""maneira de viver"" de Zubeldía abre caminho para um São Paulo mais forte e competitivo","Em sua estreia, treinador argentino comanda vitória contra o Barcelona de Guayaquil e dá mostras sobre como vai querer o time e também agir à beira do campo com o elenco",Bruno Giufrida,"A semana de Luis Zubeldía foi intensa. No domingo, chegou ao Brasil. Na segunda-feira, comandou seu primeiro treino como técnico do São Paulo, no CT da Barra Funda. Na terça, conseguiu com urgência um visto de trabalho para, dois dias depois, estrear com vitória por 2 a 0 sobre o Barcelona de Guayaquil, no estádio Monumental Isidro Romero Carbo, pela Conmebol Libertadores.
Mas é assim que o ""príncipe"", como é conhecido no Equador, gosta de viver o futebol. Com intensidade, comandou o São Paulo à beira do campo para conseguir sua primeira vitória no clube, com gols de Calleri e Alisson. De um lado para o outro, com muita orientação, pouca comemoração e muita tensão, Zubeldía teve a estreia que esperava.
+ Siga o canal ge São Paulo no WhatsApp
– Eu sou assim. Tem partida que eu estou mais ativo. Futebol é uma maneira de viver. É parte da minha vida. Futebol e a minha vida são a mesma coisa. Nossos estilos. Amo minha família e amo o futebol. É parte de minha vida. Tive a sorte de estar há muitos anos como jogador, auxiliar, treinador… e não sei distinguir isso. É uma maneira de viver – disse, logo depois da partida.
Zubeldía transmitiu sua intensidade aos jogadores. O São Paulo foi bem contra o Barcelona de Guayaquil. Entrou em campo com um esquema ousado, com quatro atacantes: André Silva, Calleri, Luciano e Ferreira. Antes, não havia dado certo. No Equador, deu.
Mais do São Paulo:
+ Zubeldía elogia Tricolor em sua estreia
+ Dê suas notas para os jogadores
+ Ferreira deixa o jogo com caimbras
O São Paulo entrou em campo precisando vencer para abrir uma distância segura do próprio Barcelona de Guayaquil, terceiro colocado no Grupo B da Libertadores. Com os três pontos conquistados, chegou a seis e abriu quatro do adversário. Agora, está a apenas um do Talleres, da Argentina, que é o líder - mas se manteve na zona de classificação para o mata-mata.
+ Leia mais notícias do São Paulo
A vitória foi boa, também, para Zubeldía começar sua trajetória no São Paulo mais tranquilo. À beira do campo em Guayaquil, o novo treinador tricolor precisou de apenas três minutos para levar um cartão amarelo por ter algumas vezes invadido o campo enquanto orientava seus jogadores.
Àquela altura, Zubeldía já havia reclamado com o árbitro, caminhado diversas vezes de um lado para o outro e sido chamado atenção. Nem o cartão amarelo foi capaz de acalmar o técnico do São Paulo, que se sentou no banco de reservas poucas vezes durante a vitória diante do Barcelona. Duas delas foram, acredite se quiser, quando o Tricolor fez os dois gols.
Sempre que conseguia, Zubeldía se aproximava de algum jogador para orientá-lo. O treinador fez diversas ""reuniões"", também, com seus pares à beira do campo. O auxiliar Milton Cruz, por exemplo, conversou diversas vezes com o treinador. Foram diversos os momentos em que o argentino reunia todos da comissão técnica para uma conversa.
Uma das principais orientações foi para a zaga do São Paulo. O treinador, logo depois do primeiro gol, ainda na etapa inicial, se virou para os defensores, fez sinais com as mãos para indicar a troca de passes e os incentivou para que fizessem mais.
A bem da verdade, Zubeldía mal parou. Nos minutos finais, quando o São Paulo já tinha total controle da partida e nenhuma chance de desperdiçar os três pontos, o treinador corria de um lado para o outro na área técnica. Parecia uma final de campeonato em que o Tricolor precisava de um gol para ser campeão.
Depois do apito final, Zubeldía voltou para o campo. Em uma roda de conversa com seus chefes, inclusive o diretor de futebol do São Paulo, Carlos Belmonte, o treinador falava sobre tática. Fez sinais com as mãos para explicar o posicionamento de seus volantes, Pablo Maia e Alisson, na partida contra o Barcelona.
Seus últimos passos no gramado do estádio que foi sua casa em 2011 e 2012, Zubeldía acenou para torcedores do Barcelona de Guayaquil que o chamavam. Na sala de imprensa, bem à vontade, o treinador tentou mexer na temperatura do ar condicionado. É verdade, estava muito frio.
🎧 Ouça o podcast ge São Paulo🎧
+ Assista: tudo sobre o São Paulo no ge, na Globo e no sportv"
